"Rank","Player","Year","Pos","Team","BaseSalary","SigningBonus","Payroll Salary","Adj Salary","CONT YR","CONT VALUE","Earnings","FA Year","Sign Year","Sign Age","Age","Weight","Height",""
"","Alex Rodriguez","2013","DH","NYY","$28,000,000","$1,000,000","$29,000,000","$29,000,000","10","$275,000,000","$355,290,700","2018","2008","32","38","230","0'0""",""
"","Johan Santana","2013","SP","NYM","$25,500,000","$0","$25,500,000","$25,500,000","6","$137,500,000","$174,060,000","2014","2008","28","34","155","6'0""",""
"","C.C. Sabathia","2013","SP","NYY","$23,000,000","$1,285,714","$24,285,714","$24,285,714","7","$161,000,000","$150,285,714","2016","2009","28","32","300","6'6""",""
"","Vernon Wells","2013","LF","NYY","$21,000,000","$3,187,500","$24,187,500","$11,500,000","7","$126,000,000","$123,521,000","2015","2008","29","34","0","0'0""",""
"","Mark Teixeira","2013","1B","NYY","$22,500,000","$625,000","$23,125,000","$23,125,000","8","$180,000,000","$150,150,000","2017","2009","28","33","225","6'3""",""
"","Miguel Cabrera","2013","1B","DET","$21,000,000","$0","$21,000,000","$21,000,000","8","$152,300,000","$119,927,573","0","2008","24","30","249","6'4""",""
"","Barry Zito","2013","SP","SF","$20,000,000","$0","$20,000,000","$20,000,000","7","$126,000,000","$139,540,000","2014","2007","28","35","208","6'4""",""
"","Alfonso Soriano","2013","DH","NYY","$18,000,000","$0","$18,000,000","$1,800,000","8","$136,000,000","$147,950,000","2015","2007","30","37","0","0'0""",""
"","Matt Holliday","2013","DH","STL","$17,000,000","$0","$17,000,000","$17,000,000","7","$120,000,000","$99,508,500","2017","2010","29","33","250","6'4""",""
"","A.J. Burnett","2013","SP","PIT","$16,500,000","$0","$16,500,000","$8,000,000","5","$82,500,000","$122,617,500","2014","2009","31","36","230","6'5""",""
"","Michael Young","2013","3B","LAD","$16,000,000","$0","$16,000,000","$966,666","5","$80,000,000","$95,665,000","2014","2009","32","36","0","0'0""",""
"","John Lackey","2013","SP","BOS","$15,250,000","$700,000","$15,950,000","$15,950,000","5","$82,500,000","$95,485,000","2016","2010","31","34","235","6'6""",""
"","Hanley Ramirez","2013","DH","LAD","$15,500,000","$0","$15,500,000","$15,500,000","6","$70,000,000","$55,288,000","2015","2009","25","29","235","6'2""",""
"","Nick Markakis","2013","RF","BAL","$15,000,000","$350,000","$15,350,000","$15,350,000","6","$66,100,000","$52,207,000","2016","2009","25","29","210","0'0""",""
"","Chase Utley","2013","2B","PHI","$15,000,000","$285,714","$15,285,714","$15,285,714","7","$85,000,000","$88,278,257","0","2007","28","34","195","6'1""",""
"","Justin Morneau","2013","1B","PIT","$14,000,000","$1,000,000","$15,000,000","$2,371,584","6","$80,000,000","$87,595,000","2014","2008","26","32","220","6'4""",""
"","Robinson Cano","2013","2B","NYY","$15,000,000","$0","$15,000,000","$15,000,000","4","$30,000,000","$58,021,800","2014","2008","25","30","210","6'0""",""
"","Curtis Granderson","2013","RF","NYY","$15,000,000","$0","$15,000,000","$15,000,000","5","$30,250,000","$44,905,000","2014","2008","26","32","200","6'1""",""
"","Ryan Zimmerman","2013","1B","WSH","$14,000,000","$100,000","$14,275,000","$14,275,000","5","$45,000,000","$49,892,000","2014","2009","24","28","215","6'3""",""
"","Josh Johnson","2013","SP","TOR","$13,750,000","$0","$13,750,000","$13,750,000","4","$39,000,000","$41,499,000","2014","2010","25","29","225","6'7""",""
"","Ervin Santana","2013","SP","KC","$13,000,000","$0","$13,000,000","$13,000,000","4","$30,000,000","$44,236,000","2014","2009","26","30","175","6'2""",""
