"Rank","Player","Pos","Team","GP","GP%","GS","GS%","AB","H","2B","3B","HR","RBI","AVG","OBP","SLG","OPS","WAR","TVS","Payroll Salary2022","Cash2022","AAV2022","Earnings2022","Age","Weight","Height",""
"","Whit Merrifield","2B","KC","158","0.975","157","0.969","632","192","43","3","12","60","0.304","0.367","0.438","0.806","5.54","95.73","$7,000,000","$2,461,568","$4,062,500","$18,792,486","29","195","6'1""",""
"","Freddie Freeman","1B","ATL","162","1.000","160","0.988","618","191","44","4","23","98","0.309","0.388","0.505","0.892","5.45","86.56","$27,000,000","$20,000,000","$27,000,000","$143,717,421","28","220","6'5""",""
"","J.D. Martinez","DH","BOS","150","0.926","150","0.926","569","188","37","2","43","130","0.330","0.402","0.629","1.031","6.37","96.69","$19,350,000","$19,350,000","$22,000,000","$118,421,096","30","230","6'3""",""
"","Manny Machado","3B","LAD","162","0.994","161","0.988","632","188","35","3","37","107","0.298","0.367","0.538","0.905","2.91","75.27","$32,000,000","$30,000,000","$30,000,000","$140,560,896","25","218","6'3""",""
"","Christian Yelich","LF","MIL","147","0.902","144","0.883","574","187","34","7","36","110","0.326","0.403","0.598","1.000","7.62","99.85","$26,000,000","$22,000,000","$26,928,571","$64,654,630","26","195","6'3""",""
"","Nick Markakis","RF","ATL","162","1.000","162","1.000","623","185","43","2","14","93","0.297","0.366","0.440","0.806","2.58","54.24","$0","$0","$0","$0","34","210","0'0""",""
"","Nick Castellanos","RF","DET","158","0.975","156","0.963","620","185","46","5","23","89","0.298","0.354","0.500","0.854","2.81","76.32","$20,000,000","$20,000,000","$20,000,000","$63,942,249","26","203","6'4""",""
"","Charlie Blackmon","CF","COL","157","0.963","152","0.933","626","182","31","7","29","70","0.291","0.358","0.502","0.860","1.02","44.97","$21,333,333","$21,000,000","$18,000,000","$98,323,715","32","221","6'3""",""
"","Jose Peraza","SS","CIN","158","0.975","152","0.938","632","182","31","4","14","58","0.288","0.326","0.416","0.742","2.26","64.65","$0","$0","$0","$0","24","210","6'0""",""
"","Mookie Betts","RF","BOS","137","0.846","132","0.815","520","180","47","5","32","80","0.346","0.438","0.640","1.078","10.68","100.00","$22,500,000","$14,500,000","$30,416,667","$72,634,598","25","180","5'9""",""
"","Trea Turner","SS","WSH","162","1.000","158","0.975","664","180","27","6","19","73","0.271","0.344","0.416","0.760","4.10","90.57","$21,000,000","$21,000,000","$21,000,000","$45,145,880","25","185","6'2""",""
"","Javier Baez","2B","CHC","161","0.988","145","0.890","606","176","40","9","34","111","0.290","0.326","0.554","0.881","6.44","97.85","$20,000,000","$20,000,000","$23,333,333","$45,207,493","25","190","6'0""",""
"","Nolan Arenado","3B","COL","156","0.957","154","0.945","590","175","38","2","38","110","0.297","0.374","0.561","0.935","6.36","91.76","$35,000,000","$29,429,500","$32,500,000","$145,138,340","27","215","6'2""",""
"","Trevor Story","SS","COL","158","0.969","156","0.957","598","174","42","6","37","108","0.291","0.348","0.567","0.914","5.58","98.73","$20,000,000","$20,000,000","$23,333,333","$49,980,463","25","213","6'2""",""
"","Paul Goldschmidt","1B","ARI","158","0.975","156","0.963","593","172","35","5","33","83","0.290","0.389","0.533","0.922","5.41","96.01","$26,000,000","$26,000,000","$26,000,000","$110,139,148","30","220","6'3""",""
"","Alex Bregman","3B","HOU","157","0.969","157","0.969","594","170","51","1","31","103","0.286","0.394","0.532","0.926","7.90","99.56","$12,666,666","$11,000,000","$20,000,000","$44,260,474","24","192","6'0""",""
"","Mitch Haniger","RF","SEA","158","0.975","157","0.969","596","170","38","4","26","93","0.285","0.366","0.493","0.859","6.12","96.85","$7,750,000","$7,750,000","$7,750,000","$14,865,716","27","215","6'2""",""
"","Miguel Andujar","3B","NYY","149","0.920","145","0.895","573","170","47","2","27","92","0.297","0.328","0.527","0.855","2.91","80.00","$0","$0","$0","$0","23","211","6'0""",""
"","Jose Altuve","2B","HOU","137","0.846","136","0.840","534","169","29","2","13","61","0.317","0.386","0.451","0.837","5.12","43.61","$29,000,000","$26,000,000","$23,357,143","$109,196,404","28","166","5'6""",""
"","Andrew Benintendi","OF","BOS","148","0.914","142","0.877","579","168","41","6","16","87","0.290","0.366","0.465","0.830","4.84","93.74","$8,500,000","$3,222,507","$8,500,000","$22,008,585","23","180","5'9""",""
"","Ozzie Albies","2B","ATL","158","0.975","151","0.932","639","167","40","5","24","72","0.261","0.305","0.452","0.757","4.14","80.11","$5,000,000","$5,000,000","$5,000,000","$10,456,596","21","165","5'8""",""
"","Lorenzo Cain","CF","MIL","142","0.871","137","0.841","539","166","25","2","10","38","0.308","0.395","0.417","0.813","6.86","84.09","$0","$0","$0","$0","32","214","6'2""",""
