"Rank","Player","Year","Pos","Team","BaseSalary","SigningBonus","Payroll Salary","Adj Salary","CONT YR","CONT VALUE","Earnings","FA Year","Sign Year","Sign Age","Age","Weight","Height",""
"","Mike Trout","2022","CF","LAA","$35,450,000","$1,666,667","$37,216,667","$37,216,667","12","$426,500,000","$196,840,125","2031","2019","27","30","235","6'2""",""
"","Anthony Rendon","2022","3B","LAA","$36,000,000","$571,428","$36,571,428","$36,571,428","7","$245,000,000","$127,244,444","2027","2020","29","32","200","6'1""",""
"","Gerrit Cole","2022","SP","NYY","$36,000,000","$0","$36,000,000","$36,000,000","9","$324,000,000","$120,222,046","2029","2020","29","31","220","6'4""",""
"","Jacob deGrom","2022","SP","NYM","$33,500,000","$2,500,000","$36,000,000","$20,500,000","5","$137,500,000","$72,659,998","2023","2019","30","34","180","6'4""",""
"","Nolan Arenado","2022","3B","STL","$35,000,000","$0","$35,075,000","$23,429,500","8","$260,000,000","$121,238,340","2028","2019","27","31","215","6'2""",""
"","Stephen Strasburg","2022","SP","WSH","$35,000,000","$0","$35,000,000","$23,571,429","7","$245,000,000","$172,948,014","2027","2020","31","33","235","6'5""",""
"","Miguel Cabrera","2022","DH","DET","$32,000,000","$0","$32,000,000","$32,000,000","8","$248,000,000","$353,188,684","2024","2016","32","39","249","6'4""",""
"","David Price","2022","RP","LAD","$32,000,000","$0","$32,000,000","$16,000,000","7","$217,000,000","$248,042,498","2023","2016","30","36","215","6'5""",""
"","Manny Machado","2022","3B","SD","$30,000,000","$2,000,000","$32,000,000","$32,000,000","10","$300,000,000","$140,560,896","2029","2019","26","29","218","6'3""",""
"","Chris Sale","2022","SP","BOS","$30,000,000","$0","$30,000,000","$20,000,000","5","$145,000,000","$109,195,275","2025","2019","29","33","183","6'6""",""
"","Giancarlo Stanton","2022","RF","NYY","$29,000,000","$0","$29,000,000","$29,000,000","13","$325,000,000","$137,345,578","2029","2015","25","32","245","6'6""",""
"","Jose Altuve","2022","2B","HOU","$26,000,000","$3,000,000","$29,000,000","$29,000,000","7","$163,500,000","$108,945,289","2025","2018","27","32","166","5'6""",""
"","Bryce Harper","2022","DH","PHI","$26,000,000","$1,538,462","$27,638,462","$27,638,462","13","$330,000,000","$144,629,629","2032","2019","26","29","220","6'3""",""
"","Paul Goldschmidt","2022","1B","STL","$22,000,000","$4,000,000","$26,300,000","$26,300,000","5","$130,000,000","$110,439,148","2025","2020","32","34","220","6'3""",""
"","Zack Wheeler","2022","SP","PHI","$26,000,000","$0","$26,000,000","$26,000,000","5","$118,000,000","$70,305,242","2025","2020","29","32","195","6'4""",""
