Acronym ,Franchise,,Acronym ,Franchise
ANA ,Anaheim Angels,,,
ARI ,Arizona Diamondbacks,,ARI ,Arizona Diamondbacks
ATL ,Atlanta Braves,,ATL ,Atlanta Braves
BAL ,Baltimore Orioles,,BAL ,Baltimore Orioles
BOS ,Boston Red Sox,,BOS ,Boston Red Sox
BOA ,Boston Americans,,,
BOB ,Boston Beaneaters (1901–1906) or Boston Braves/Bees (1912–1952),,,
BOD ,Boston Doves,,,
BOR ,Boston Red Sox,,BOR ,Boston Red Sox (1908–1952)
BOU ,Boston Rustlers,,,
BKN ,Brooklyn Dodgers/Robins/Superbas/Bridegrooms/Grooms/Grays/Atlantics,,,
CAL ,California Angels,,,
CHC ,Chicago Cubs,,CHC ,Chicago Cubs
CHO ,Chicago Orphans,,,
CHI ,Chicago Orphans/Colts/White Stockings (1876–1900),,,
CWS ,Chicago White Sox,,CWS ,Chicago White Sox
CIN ,Cincinnati Reds,,CIN ,Cincinnati Reds
CLE ,Cleveland Guardians/Indians/Naps/Broncos/Bluebirds/Lake Shores,,,
COL ,Colorado Rockies,,COL ,Colorado Rockies
DET ,Detroit Tigers,,DET ,Detroit Tigers
FLA ,Florida Marlins,,,
HOU ,Houston Astros,,HOU ,Houston Astros
KC ,Kansas City Royals,,KC ,Kansas City Royals
LAA ,Los Angeles Angels (of Anaheim),,LAA ,Los Angeles Angels
LAD ,Los Angeles Dodgers,,LAD ,Los Angeles Dodgers
LA ,Los Angeles Dodgers,,LA ,Los Angeles Dodgers (1958–1961; 1965–2004)
MIA ,Miami Marlins,,MIA ,Miami Marlins
MIL ,Milwaukee Brewers,,MIL ,Milwaukee Brewers
MIN ,Minnesota Twins,,MIN ,Minnesota Twins
MTL ,Montreal Expos,,,
NY ,New York Gothams/Giants (1883–1902) or New York Yankees (1958–1961),,,
NYG ,New York Giants/Gothams,,,
NYM ,New York Mets,,NYM ,New York Mets
NYY ,New York Yankees,,NYY ,New York Yankees
NYH ,New York Highlanders,,,
OAK ,Oakland Athletics,,OAK ,Oakland Athletics
PHA ,Philadelphia Athletics,,,
PHI ,Philadelphia Phillies,,PHI ,Philadelphia Phillies
PHP ,Philadelphia Phillies,,PHP ,Philadelphia Phillies (1901–1942; 1945–1954)
PHB ,Philadelphia Blue Jays,,,
PIT ,Pittsburgh Pirates,,PIT ,Pittsburgh Pirates
SD ,San Diego Padres,,SD ,San Diego Padres
SEA ,Seattle Mariners,,SEA ,Seattle Mariners
SF ,San Francisco Giants,,SF ,San Francisco Giants
SLB ,St. Louis Browns (AL),,,
SLC ,St. Louis Cardinals,,SLC ,St. Louis Cardinals (1902–1953)
STL ,St. Louis Cardinals,,STL ,St. Louis Cardinals
TB ,Tampa Bay (Devil) Rays,,TB ,Tampa Bay Rays
TEX ,Texas Rangers,,TEX ,Texas Rangers
TOR ,Toronto Blue Jays,,TOR ,Toronto Blue Jays
WSH ,Washington Nationals,,WSH ,Washington Nationals
