"Rank","Player","Year","Pos","Team","BaseSalary","SigningBonus","Payroll Salary","Adj Salary","Salary%","Cash","AAV","CONT YR","CONT VALUE","Earnings","FA Year","Sign Year","Sign Age",""
"","Anthony Rendon","2023","3B","LAA","$38,000,000","$571,428","$38,571,428","$38,571,428","0.374","$38,000,000","$35,000,000","7","$245,000,000","$165,244,444","2027","2020","29",""
"","Mike Trout","2023","LF","LAA","$35,450,000","$1,666,667","$37,116,666","$37,116,666","0.360","$35,450,000","$35,541,667","12","$426,500,000","$232,190,125","2031","2019","27",""
"","Gerrit Cole","2023","SP","NYY","$36,000,000","$0","$36,000,000","$36,000,000","0.238","$36,000,000","$36,000,000","9","$324,000,000","$156,222,046","2029","2020","29",""
"","Stephen Strasburg","2023","SP","WSH","$35,000,000","$0","$35,000,000","$23,571,429","0.368","$23,571,428","$35,000,000","7","$245,000,000","$196,219,442","2027","2020","31",""
"","Nolan Arenado","2023","3B","STL","$35,000,000","$0","$35,000,000","$14,000,000","0.176","$14,000,000","$32,500,000","8","$260,000,000","$180,138,340","2028","2019","27",""
"","Manny Machado","2023","3B","SD","$30,000,000","$2,000,000","$32,000,000","$32,000,000","0.208","$30,000,000","$30,000,000","10","$300,000,000","$170,560,896","2029","2019","26",""
"","Miguel Cabrera","2023","DH","DET","$32,000,000","$0","$32,000,000","$32,000,000","0.378","$32,000,000","$31,000,000","8","$248,000,000","$385,023,111","2024","2016","32",""
"","Giancarlo Stanton","2023","DH","NYY","$32,000,000","$0","$32,000,000","$32,000,000","0.212","$22,000,000","$25,000,000","13","$325,000,000","$159,487,630","2029","2015","25",""
"","Jacob deGrom","2023","SP","NYM","$30,500,000","$0","$30,500,000","$20,500,000","0.093","$30,500,000","$27,500,000","5","$137,500,000","$103,159,998","2025","2019","30",""
"","Alex Bregman","2023","3B","HOU","$28,500,000","$1,666,667","$30,166,666","$30,166,666","0.195","$28,500,000","$20,000,000","5","$100,000,000","$72,760,474","2025","2019","24",""
"","Jose Altuve","2023","2B","HOU","$26,000,000","$3,000,000","$29,000,000","$29,000,000","0.187","$26,000,000","$23,357,143","7","$163,500,000","$135,196,404","2025","2018","27",""
"","Bryce Harper","2023","RF","PHI","$26,000,000","$1,538,462","$27,538,462","$27,538,462","0.160","$26,000,000","$25,384,615","13","$330,000,000","$170,479,629","2032","2019","26",""
"","Chris Sale","2023","SP","BOS","$27,500,000","$0","$27,500,000","$17,500,000","0.171","$17,500,000","$29,000,000","5","$145,000,000","$126,695,275","2025","2019","29",""
"","Christian Yelich","2023","LF","MIL","$26,000,000","$0","$26,000,000","$22,000,000","0.551","$22,000,000","$26,928,571","7","$188,500,000","$86,654,630","2030","2020","28",""
"","Paul Goldschmidt","2023","1B","STL","$22,000,000","$4,000,000","$26,000,000","$26,000,000","0.327","$26,000,000","$26,000,000","5","$130,000,000","$136,139,148","2025","2020","32",""
"","Mookie Betts","2023","RF","LAD","$20,000,000","$5,000,000","$25,000,000","$25,000,000","0.156","$17,000,000","$30,416,667","12","$365,000,000","$89,634,598","2033","2020","27",""
"","Joey Votto","2023","1B","CIN","$25,000,000","$0","$25,000,000","$25,000,000","0.446","$25,000,000","$22,500,000","10","$225,000,000","$243,193,759","2025","2014","30",""
"","Jason Heyward","2023","RF","CHC","$22,000,000","$2,500,000","$24,500,000","$24,500,000","0.268","$22,000,000","$23,000,000","8","$184,000,000","$170,889,278","2024","2016","26",""
"","Zack Wheeler","2023","SP","PHI","$24,500,000","$0","$24,500,000","$24,500,000","0.142","$24,500,000","$23,600,000","5","$118,000,000","$94,805,242","2025","2020","29",""
"","Patrick Corbin","2023","SP","WSH","$24,000,000","$416,666","$24,416,666","$24,416,666","0.382","$24,000,000","$23,333,333","6","$140,000,000","$109,475,037","2025","2019","29",""
"","Madison Bumgarner","2023","SP","ARI","$23,000,000","$0","$23,000,000","$18,000,000","0.302","$23,000,000","$17,000,000","5","$85,000,000","$128,782,222","2025","2020","30",""
"","Josh Donaldson","2023","3B","NYY","$21,000,000","$0","$21,000,000","$21,000,000","0.139","$21,000,000","$23,000,000","4","$92,000,000","$153,555,667","2025","2020","34",""
"","Hyun-Jin Ryu","2023","SP","TOR","$20,000,000","$0","$20,000,000","$20,000,000","0.155","$20,000,000","$20,000,000","4","$80,000,000","$121,382,407","2024","2020","32",""
"","Wil Myers","2023","RF","SD","$20,000,000","$0","$20,000,000","$20,000,000","0.130","$1,000,000","$13,833,333","6","$83,000,000","$74,233,776","2024","2017","26",""
"","Xander Bogaerts","2023","SS","BOS","$20,000,000","$0","$20,000,000","$20,000,000","0.196","$20,000,000","$20,000,000","6","$120,000,000","$93,190,366","2027","2019","26",""
"","Charlie Blackmon","2023","DH","COL","$18,000,000","$333,334","$18,333,334","$18,333,334","0.122","$18,000,000","$18,000,000","6","$108,000,000","$116,323,715","2024","2018","31",""
"","Yasmani Grandal","2023","C","CHW","$18,250,000","$0","$18,250,000","$18,250,000","0.125","$18,250,000","$18,250,000","4","$73,000,000","$101,324,259","2024","2020","31",""
"","Mike Moustakas","2023","DH","CIN","$18,000,000","$0","$18,000,000","$18,000,000","0.321","$18,000,000","$16,000,000","4","$64,000,000","$94,169,194","2025","2020","31",""
"","Yu Darvish","2023","SP","SD","$18,000,000","$0","$18,000,000","$18,000,000","0.117","$18,000,000","$21,000,000","6","$126,000,000","$171,305,991","2024","2018","31",""
"","Yoan Moncada","2023","3B","CHW","$17,000,000","$800,000","$17,800,000","$17,800,000","0.121","$18,000,000","$14,000,000","5","$70,000,000","$73,615,787","2026","2020","24",""
"","Ronald Acuna Jr.","2023","RF","ATL","$17,000,000","$0","$17,000,000","$17,000,000","0.108","$17,000,000","$12,500,000","8","$100,000,000","$38,936,240","2029","2019","21",""
"","Jean Segura","2023","2B","PHI","$17,000,000","$0","$17,000,000","$17,000,000","0.099","$1,000,000","$14,000,000","5","$70,000,000","$73,037,777","2024","2017","26",""
"","Miles Mikolas","2023","SP","STL","$15,750,000","$1,000,000","$16,750,000","$16,750,000","0.211","$15,750,000","$17,000,000","4","$68,000,000","$74,234,870","2024","2019","30",""
"","Blake Snell","2023","SP","SD","$16,000,000","$600,000","$16,600,000","$16,600,000","0.108","$16,000,000","$10,000,000","5","$50,000,000","$47,738,367","2024","2019","26",""
"","Aaron Nola","2023","SP","PHI","$16,000,000","$0","$16,000,000","$16,000,000","0.093","$4,250,000","$11,250,000","4","$45,000,000","$45,106,353","2024","2019","25",""
"","German Marquez","2023","SP","COL","$15,000,000","$300,000","$15,300,000","$15,300,000","0.102","$15,000,000","$8,600,000","5","$43,000,000","$39,053,538","2025","2019","23",""
"","Luis Severino","2023","SP","NYY","$15,000,000","$0","$15,000,000","$15,000,000","0.099","$2,750,000","$10,000,000","4","$40,000,000","$35,555,889","2024","2019","24",""
"","Miguel Sano","2023","1B","MIN","$14,000,000","$0","$14,250,000","$14,250,000","0.120","$14,250,000","$10,000,000","3","$30,000,000","$43,257,744","2024","2020","26",""
"","Kyle Hendricks","2023","SP","CHC","$14,000,000","$0","$14,000,000","$14,000,000","0.153","$14,000,000","$13,875,000","4","$55,500,000","$60,149,468","2024","2019","29",""
"","Carlos Carrasco","2023","SP","NYM","$14,000,000","$0","$14,000,000","$14,000,000","0.064","$3,000,000","$11,750,000","4","$47,000,000","$64,607,003","2024","2019","31",""
"","Evan Longoria","2023","3B","SF","$13,000,000","$0","$13,000,000","$13,000,000","0.135","$3,000,000","$16,666,667","6","$100,000,000","$138,852,890","2024","2016","30",""
"","Will Smith","2023","RP","HOU","$13,000,000","$0","$13,000,000","$13,000,000","0.084","$1,000,000","$13,333,333","3","$40,000,000","$44,655,815","2024","2020","30",""
"","Kevin Kiermaier","2023","CF","TB","$13,000,000","$0","$13,000,000","$13,000,000","0.346","$2,500,000","$8,916,667","6","$53,500,000","$48,662,095","2024","2017","26",""
"","Eric Hosmer","2023","1B","BOS","$13,000,000","$0","$13,000,000","$720,000","0.007","$720,000","$18,000,000","8","$144,000,000","$142,752,156","2026","2018","28",""
"","Sonny Gray","2023","SP","MIN","$12,700,000","$0","$12,700,000","$12,700,000","0.107","$12,700,000","$10,166,667","3","$30,500,000","$60,980,796","2024","2019","29",""
"","Tim Anderson","2023","SS","CHW","$12,500,000","$0","$12,500,000","$12,500,000","0.085","$1,000,000","$4,166,667","6","$25,000,000","$25,101,906","2025","2017","23",""
"","Eugenio Suarez","2023","3B","SEA","$11,000,000","$285,714","$11,285,714","$11,285,714","0.149","$11,000,000","$11,000,000","6","$66,000,000","$48,121,225","2026","2018","26",""
"","Aaron Hicks","2023","CF","NYY","$10,500,000","$285,714","$10,785,714","$10,785,714","0.071","$10,500,000","$10,000,000","7","$70,000,000","$51,104,363","2027","2019","29",""
"","Nick Ahmed","2023","SS","ARI","$10,000,000","$375,000","$10,375,000","$10,375,000","0.174","$10,000,000","$8,125,000","4","$32,500,000","$36,323,695","2024","2020","29",""
"","Randal Grichuk","2023","RF","COL","$9,333,334","$1,000,000","$10,333,334","$10,333,334","0.069","$5,000,000","$10,400,000","5","$52,000,000","$49,921,202","2024","2019","27",""
"","Eloy Jimenez","2023","DH","CHW","$9,500,000","$833,333","$10,333,333","$10,333,333","0.071","$9,500,000","$7,166,667","6","$43,000,000","$28,855,556","2027","2019","22",""
"","Felipe Vazquez","2023","RP","PIT","$10,000,000","$0","$10,000,000","$10,000,000","0.374","$0","$5,625,000","4","$22,500,000","$10,002,130","2024","2018","26",""
"","A.J. Pollock","2023","LF","CHW","$10,000,000","$0","$10,000,000","$10,000,000","0.068","$10,000,000","$12,000,000","5","$60,000,000","$76,841,944","2024","2019","31",""
"","Drew Pomeranz","2023","RP","SD","$8,000,000","$2,000,000","$10,000,000","$10,000,000","0.065","$10,000,000","$8,500,000","4","$34,000,000","$52,687,462","2024","2020","31",""
"","Luis Robert","2023","CF","CHW","$9,500,000","$0","$9,500,000","$9,500,000","0.065","$9,500,000","$8,333,333","6","$50,000,000","$45,555,556","2028","2020","22",""
