Jugador,Valor_contrato,Valor_promedio_contrato,Posicion,Juegos,Porcetnaje_juegos,At-bats,Bateos,Home-runs,RBI,Porcentaje_bateo,OPS,Equipo,Sueldo,Victorias,Juegos totales,Promedio_victorias
George Springer,150000000,25000000,CF,78,0.482,299,79,22,50,0.264,0.907,TOR,23666666,92,163,0.5644171779141104
Marcus Semien,18000000,18000000,SS,162,1.0,652,173,45,102,0.265,0.873,TOR,18000000,92,163,0.5644171779141104
Robbie Ray,8000000,8000000,SP,32,0.198,4,0,0,0,0.0,0.0,TOR,8000000,92,163,0.5644171779141104
Jarrod Dyson,1500000,1500000,CF,102,0.63,135,28,0,10,0.207,0.549,TOR,1500000,92,163,0.5644171779141104
J.T. Realmuto,115500000,23100000,C,134,0.827,476,125,17,73,0.263,0.782,PHI,20000000,82,162,0.5061728395061729
Didi Gregorius,28000000,14000000,SS,103,0.636,368,77,13,54,0.209,0.639,PHI,12750000,82,162,0.5061728395061729
Archie Bradley,6000000,6000000,RP,53,0.327,1,0,0,0,0.0,0.0,PHI,6000000,82,162,0.5061728395061729
Brad Miller,3500000,3500000,2B,140,0.864,331,75,20,49,0.227,0.774,PHI,3500000,82,162,0.5061728395061729
Freddy Galvis,1500000,1500000,SS,104,0.642,356,86,14,40,0.242,0.709,PHI,1500000,82,162,0.5061728395061729
Trevor Bauer,102000000,34000000,SP,17,0.105,30,1,0,1,0.033,0.098,LAD,31333333,106,162,0.654320987654321
Justin Turner,34000000,17000000,3B,151,0.932,533,148,27,87,0.278,0.832,LAD,12000000,106,162,0.654320987654321
Albert Pujols,570500,570500,DH,109,0.673,275,65,17,50,0.236,0.717,LAD,570500,106,162,0.654320987654321
D.J. LeMahieu,90000000,15000000,3B,150,0.926,597,160,10,57,0.268,0.711,NYY,15000000,92,162,0.5679012345679012
Corey Kluber,11000000,11000000,SP,16,0.099,2,0,0,0,0.0,0.0,NYY,11000000,92,162,0.5679012345679012
Brett Gardner,5150000,2575000,LF,140,0.864,387,86,10,39,0.222,0.689,NYY,2850000,92,162,0.5679012345679012
Marcell Ozuna,65000000,16250000,LF,48,0.298,188,40,7,26,0.213,0.645,ATL,16000000,88,161,0.546583850931677
Charlie Morton,15000000,15000000,SP,34,0.211,55,7,0,1,0.127,0.273,ATL,15000000,88,161,0.546583850931677
Drew Smyly,11000000,11000000,SP,32,0.199,41,3,0,0,0.073,0.146,ATL,11000000,88,161,0.546583850931677
Joc Pederson,7000000,7000000,LF,137,0.851,429,103,18,61,0.24,0.738,ATL,4500000,88,161,0.546583850931677
Adam Duvall,5000000,5000000,RF,147,0.913,513,117,38,113,0.228,0.772,ATL,2000000,88,161,0.546583850931677
Josh Tomlin,1250000,1250000,RP,36,0.224,3,1,0,0,0.333,0.833,ATL,1000000,88,161,0.546583850931677
James McCann,40600000,10150000,C,121,0.747,375,87,10,46,0.232,0.643,NYM,8150000,77,162,0.4753086419753086
Taijuan Walker,23000000,7666667,SP,31,0.191,47,5,0,1,0.106,0.249,NYM,10000000,77,162,0.4753086419753086
Kevin Pillar,6500000,3250000,CF,124,0.765,325,75,15,47,0.231,0.692,NYM,3600000,77,162,0.4753086419753086
Jonathan Villar,3550000,3550000,OF,142,0.877,454,113,18,42,0.249,0.738,NYM,3550000,77,162,0.4753086419753086
Rich Hill,2500000,2500000,SP,32,0.198,24,3,0,0,0.125,0.25,NYM,2500000,77,162,0.4753086419753086
Trevor Williams,2500000,2500000,SP,23,0.142,25,5,0,1,0.2,0.431,NYM,2850000,77,162,0.4753086419753086
Michael Brantley,32000000,16000000,LF,121,0.747,469,146,8,47,0.311,0.799,HOU,16000000,95,162,0.5864197530864198
Jake Odorizzi,23500000,7833333,SP,24,0.148,1,0,0,0,0.0,0.0,HOU,9000000,95,162,0.5864197530864198
Jason Castro,7000000,3500000,C,66,0.407,149,35,8,21,0.235,0.799,HOU,3500000,95,162,0.5864197530864198
Marwin Gonzalez,3000000,3000000,3B,91,0.562,276,55,5,28,0.199,0.579,HOU,570500,95,162,0.5864197530864198
Jackie Bradley Jr.,24000000,12000000,CF,134,0.827,387,63,6,29,0.163,0.497,MIL,6500000,95,162,0.5864197530864198
Kolten Wong,18000000,9000000,2B,116,0.716,445,121,14,50,0.272,0.783,MIL,7500000,95,162,0.5864197530864198
Brett Anderson,2500000,2500000,SP,24,0.148,28,0,0,1,0.0,0.125,MIL,2500000,95,162,0.5864197530864198
Jurickson Profar,21000000,7000000,LF,137,0.846,353,80,4,33,0.227,0.649,SD,4333333,79,162,0.4876543209876543
Jake Marisnick,1500000,1500000,CF,99,0.611,176,38,5,24,0.216,0.661,SD,1000000,79,162,0.4876543209876543
Ross Detwiler,0,0,RP,53,0.327,3,1,0,0,0.333,0.667,SD,570500,79,162,0.4876543209876543
Tommy La Stella,18750000,6250000,2B,76,0.469,220,56,7,27,0.255,0.731,SF,2000000,108,163,0.6625766871165644
Anthony DeSclafani,6000000,6000000,SP,34,0.21,51,2,0,1,0.039,0.168,SF,6125000,108,163,0.6625766871165644
Alex Wood,3000000,3000000,SP,26,0.161,38,0,0,0,0.0,0.116,SF,5000000,108,163,0.6625766871165644
Curt Casali,1500000,1500000,C,77,0.475,200,42,5,26,0.21,0.663,SF,2000000,108,163,0.6625766871165644
Tony Watson,1000000,1000000,RP,62,0.383,1,0,0,0,0.0,0.0,SF,1000000,108,163,0.6625766871165644
Mike Minor,18000000,9000000,SP,28,0.173,7,0,0,0,0.0,0.0,KC,7000000,75,163,0.4601226993865031
Carlos Santana,17500000,8750000,1B,158,0.975,565,121,19,69,0.214,0.66,KC,7250000,75,163,0.4601226993865031
Michael Taylor,1750000,1750000,CF,142,0.877,483,118,12,54,0.244,0.653,KC,2000000,75,163,0.4601226993865031
Enrique Hernandez,14000000,7000000,2B,134,0.827,508,127,20,60,0.25,0.786,BOS,6000000,92,162,0.5679012345679012
Garrett Richards,10000000,10000000,RP,40,0.247,5,1,0,1,0.2,0.6,BOS,9500000,92,162,0.5679012345679012
Kyle Schwarber,10000000,10000000,LF,113,0.698,399,106,32,71,0.266,0.928,BOS,7000000,92,162,0.5679012345679012
Hunter Renfroe,3100000,3100000,RF,144,0.889,521,135,31,96,0.259,0.816,BOS,3700000,92,162,0.5679012345679012
Daniel Santana,1750000,1750000,OF,38,0.235,116,21,5,14,0.181,0.597,BOS,1750000,92,162,0.5679012345679012
Jose Iglesias,0,0,SS,137,0.846,483,131,9,48,0.271,0.701,BOS,570500,92,162,0.5679012345679012
Nelson Cruz,13000000,13000000,DH,140,0.864,513,136,32,86,0.265,0.832,TB,13000000,100,162,0.6172839506172839
Michael Wacha,3000000,3000000,SP,30,0.185,3,0,0,0,0.0,0.0,TB,3000000,100,162,0.6172839506172839
Mike Zunino,3000000,3000000,C,109,0.673,333,72,33,62,0.216,0.86,TB,2000000,100,162,0.6172839506172839
Matt Wisler,1150000,1150000,RP,48,0.296,1,0,0,0,0.0,0.0,TB,1200000,100,162,0.6172839506172839
Andrelton Simmons,10500000,10500000,SS,131,0.809,412,92,3,31,0.223,0.558,MIN,10500000,73,163,0.4478527607361963
Robbie Grossman,10000000,5000000,LF,156,0.963,557,133,23,67,0.239,0.772,DET,5500000,77,162,0.4753086419753086
Jonathan Schoop,4500000,4500000,2B,156,0.963,623,173,22,84,0.278,0.755,DET,4500000,77,162,0.4753086419753086
Jose Urena,3250000,3250000,SP,26,0.161,1,0,0,0,0.0,0.0,DET,3450000,77,162,0.4753086419753086
Yadier Molina,9000000,9000000,C,121,0.747,440,111,11,66,0.252,0.669,STL,9000000,89,161,0.5527950310559007
Adam Wainwright,8000000,8000000,SP,34,0.21,57,7,0,4,0.123,0.325,STL,8000000,89,161,0.5527950310559007
J.A. Happ,8000000,8000000,SP,30,0.185,14,0,0,0,0.0,0.067,STL,8000000,89,161,0.5527950310559007
Jon Lester,5000000,5000000,SP,30,0.185,48,8,1,3,0.167,0.471,STL,2000000,89,161,0.5527950310559007
Carlos Rodon,3000000,3000000,SP,24,0.148,3,0,0,0,0.0,0.0,CHW,3000000,93,162,0.5740740740740741
Mitch Moreland,2250000,2250000,1B,81,0.5,229,52,10,30,0.227,0.701,OAK,2250000,86,162,0.5308641975308642
Mike Foltynewicz,2000000,2000000,SP,28,0.173,2,0,0,0,0.0,0.0,TEX,2000000,60,162,0.3703703703703703
Asdrubal Cabrera,1750000,1750000,2B,110,0.679,309,71,7,42,0.23,0.681,CIN,1750000,83,163,0.50920245398773
Trevor Cahill,1500000,1500000,SP,9,0.056,9,1,0,0,0.111,0.222,PIT,1500000,60,161,0.3726708074534161
Yoshitomo Tsutsugo,0,0,OF,81,0.5,230,50,8,32,0.217,0.689,PIT,570500,60,161,0.3726708074534161
Alex Avila,1500000,1500000,C,34,0.21,89,17,1,9,0.191,0.694,WSH,1500000,65,162,0.4012345679012346
Ryan Zimmerman,1000000,1000000,1B,110,0.679,255,62,14,46,0.243,0.756,WSH,1000000,65,162,0.4012345679012346
Kurt Suzuki,1500000,1500000,C,72,0.444,219,49,6,16,0.224,0.636,LAA,1500000,77,162,0.4753086419753086
Austin Romine,1500000,1500000,C,28,0.173,60,13,1,5,0.217,0.542,CHC,2000000,71,162,0.4382716049382716
Kohl Stewart,700000,700000,SP,4,0.025,3,1,0,0,0.333,0.667,CHC,700000,71,162,0.4382716049382716
Jhoulys Chacin,0,0,RP,46,0.286,6,0,0,0,0.0,0.0,COL,1000000,74,161,0.4596273291925465
