Jugador,Valor_contrato,Valor_promedio_contrato,Posicion,Juegos,Porcetnaje_juegos,At-bats,Bateos,Home-runs,RBI,Porcentaje_bateo,OPS,Equipo,Sueldo,Victorias,Juegos totales,Promedio_victorias
Bryce Harper,330000000,25384615,RF,157,0.969,573,149,35,114,0.26,0.882,PHI,11538462,81,162,0.5
Andrew McCutchen,50000000,16666667,RF,59,0.364,219,56,10,29,0.256,0.834,PHI,10000000,81,162,0.5
Blake Parker,0,0,RP,60,0.37,1,0,0,0,0.0,0.0,PHI,555000,81,162,0.5
Manny Machado,300000000,30000000,3B,156,0.963,587,150,32,85,0.256,0.796,SD,12000000,70,162,0.4320987654320987
Garrett Richards,15500000,7750000,SP,3,0.019,2,0,0,0,0.0,0.0,SD,7000000,70,162,0.4320987654320987
Ian Kinsler,8000000,4000000,2B,87,0.537,258,56,9,22,0.217,0.646,SD,3750000,70,162,0.4320987654320987
Patrick Corbin,140000000,23333333,SP,33,0.204,65,6,0,4,0.092,0.24,WSH,12916666,93,162,0.5740740740740741
Anibal Sanchez,19000000,9500000,SP,30,0.185,52,6,0,1,0.115,0.231,WSH,10000000,93,162,0.5740740740740741
Kurt Suzuki,10000000,5000000,C,85,0.525,280,74,17,63,0.264,0.809,WSH,4000000,93,162,0.5740740740740741
Brian Dozier,9000000,9000000,2B,135,0.833,416,99,20,50,0.238,0.771,WSH,9000000,93,162,0.5740740740740741
Matt Adams,4000000,4000000,1B,111,0.685,310,70,20,56,0.226,0.741,WSH,3000000,93,162,0.5740740740740741
Asdrubal Cabrera,3500000,3500000,2B,132,0.815,447,116,18,91,0.26,0.783,WSH,555000,93,162,0.5740740740740741
Jeremy Hellickson,1300000,1300000,RP,9,0.056,9,1,0,0,0.111,0.384,WSH,1900000,93,162,0.5740740740740741
Nathan Eovaldi,68000000,17000000,SP,23,0.142,2,0,0,0,0.0,0.0,BOS,17000000,83,161,0.515527950310559
Chris Owings,3000000,3000000,2B,67,0.414,180,25,3,14,0.139,0.443,BOS,555000,83,161,0.515527950310559
A.J. Pollock,60000000,12000000,CF,86,0.531,308,82,15,47,0.266,0.795,LAD,4000000,105,161,0.6521739130434783
Joe Kelly,25000000,8333333,RP,55,0.34,2,0,0,0,0.0,0.0,LAD,3000000,105,161,0.6521739130434783
J.A. Happ,34000000,17000000,SP,32,0.198,3,0,0,0,0.0,0.0,NYY,17000000,103,162,0.6358024691358025
D.J. LeMahieu,24000000,12000000,2B,145,0.895,602,197,26,102,0.327,0.893,NYY,12000000,103,162,0.6358024691358025
Michael Brantley,32000000,16000000,LF,148,0.914,575,179,22,90,0.311,0.875,HOU,16000000,106,161,0.6583850931677019
Robinson Chirinos,5750000,5750000,C,114,0.704,366,87,17,58,0.238,0.79,HOU,5750000,106,161,0.6583850931677019
Wade Miley,4500000,4500000,SP,33,0.204,4,0,0,0,0.0,0.2,HOU,5000000,106,161,0.6583850931677019
Martin Maldonado,2500000,2500000,C,106,0.654,333,71,12,27,0.213,0.671,HOU,2500000,106,161,0.6583850931677019
Charlie Morton,30000000,15000000,SP,33,0.204,2,0,0,0,0.0,0.0,TB,15000000,96,161,0.5962732919254659
Avisail Garcia,3500000,3500000,RF,126,0.778,489,138,20,72,0.282,0.796,TB,4500000,96,161,0.5962732919254659
Travis d'Arnaud,0,0,C,103,0.636,351,88,16,69,0.251,0.745,TB,555000,96,161,0.5962732919254659
Lance Lynn,30000000,10000000,SP,33,0.204,2,0,0,0,0.0,0.0,TEX,9333333,78,162,0.4814814814814814
Jesse Chavez,8000000,4000000,RP,48,0.296,2,1,0,0,0.5,1.0,TEX,4000000,78,162,0.4814814814814814
Daniel Murphy,24000000,12000000,1B,132,0.815,438,122,13,78,0.279,0.78,COL,10000000,70,161,0.4347826086956521
Josh Donaldson,23000000,23000000,3B,157,0.969,549,142,37,94,0.259,0.9,ATL,23000000,97,161,0.6024844720496895
Dallas Keuchel,21210000,21210000,SP,19,0.117,38,5,0,2,0.132,0.312,ATL,21210000,97,161,0.6024844720496895
Nick Markakis,6000000,6000000,RF,116,0.716,414,118,9,62,0.285,0.776,ATL,4000000,97,161,0.6024844720496895
Billy Hamilton,5250000,5250000,CF,119,0.735,316,69,0,15,0.218,0.564,ATL,4450000,97,161,0.6024844720496895
Brian McCann,2000000,2000000,C,85,0.525,277,69,12,45,0.249,0.734,ATL,2000000,97,161,0.6024844720496895
Francisco Cervelli,0,0,C,48,0.296,141,30,3,12,0.213,0.649,ATL,555000,97,161,0.6024844720496895
Adeiny Hechavarria,0,0,SS,84,0.519,203,49,9,33,0.241,0.742,ATL,1000000,97,161,0.6024844720496895
Marwin Gonzalez,21000000,10500000,3B,116,0.716,425,112,15,55,0.264,0.736,MIN,12000000,101,162,0.6234567901234568
Nelson Cruz,14300000,14300000,DH,120,0.741,454,141,41,108,0.311,1.031,MIN,14000000,101,162,0.6234567901234568
Jonathan Schoop,7500000,7500000,2B,122,0.753,433,111,23,59,0.256,0.777,MIN,7500000,101,162,0.6234567901234568
Martin Perez,4000000,4000000,SP,32,0.198,3,0,0,0,0.0,0.0,MIN,3500000,101,162,0.6234567901234568
Jed Lowrie,20000000,10000000,2B,9,0.056,7,0,0,0,0.0,0.125,NYM,8500000,85,161,0.5279503105590062
Wilson Ramos,19000000,9500000,C,142,0.877,473,136,14,72,0.288,0.768,NYM,7750000,85,161,0.5279503105590062
Joe Panik,0,0,2B,142,0.877,438,107,5,39,0.244,0.651,NYM,555000,85,161,0.5279503105590062
Brad Brach,0,0,RP,59,0.364,4,1,0,1,0.25,0.5,NYM,555000,85,161,0.5279503105590062
Yasmani Grandal,18250000,18250000,C,153,0.944,513,126,28,77,0.246,0.848,MIL,16000000,89,161,0.5527950310559007
Mike Moustakas,10000000,10000000,3B,143,0.883,523,133,35,87,0.254,0.845,MIL,7050000,89,161,0.5527950310559007
Jordan Lyles,2050000,2050000,SP,28,0.173,45,4,0,4,0.089,0.217,MIL,2050000,89,161,0.5527950310559007
Gio Gonzalez,2000000,2000000,SP,19,0.117,25,1,0,0,0.04,0.117,MIL,2000000,89,161,0.5527950310559007
Drew Pomeranz,1500000,1500000,RP,46,0.284,19,0,0,0,0.0,0.0,MIL,1500000,89,161,0.5527950310559007
Trevor Cahill,9000000,9000000,RP,39,0.241,3,1,0,0,0.333,0.667,LAA,9000000,72,161,0.4472049689440994
Justin Bour,2500000,2500000,1B,52,0.321,151,26,8,26,0.172,0.623,LAA,2500000,72,161,0.4472049689440994
Derek Holland,7000000,7000000,RP,53,0.327,14,1,0,0,0.071,0.205,CHC,6500000,84,162,0.5185185185185185
Daniel Descalso,5000000,2500000,2B,82,0.506,168,29,2,15,0.173,0.521,CHC,1500000,84,162,0.5185185185185185
Jonathan Lucroy,0,0,C,102,0.63,293,68,8,36,0.232,0.66,CHC,555000,84,162,0.5185185185185185
Jordy Mercer,5250000,5250000,SS,74,0.46,255,69,9,22,0.271,0.75,DET,5250000,47,161,0.2919254658385093
Freddy Galvis,5000000,5000000,SS,148,0.914,557,145,23,70,0.26,0.734,CIN,4000000,75,162,0.4629629629629629
Wilmer Flores,4250000,4250000,2B,89,0.549,265,84,9,37,0.317,0.848,ARI,3750000,85,162,0.5246913580246914
Adam Jones,3000000,3000000,CF,137,0.846,485,126,16,67,0.26,0.728,ARI,4500000,85,162,0.5246913580246914
Caleb Joseph,1100000,1100000,C,20,0.124,38,8,0,3,0.211,0.513,ARI,1100000,85,162,0.5246913580246914
Jon Jay,4000000,4000000,RF,47,0.292,165,44,0,9,0.267,0.626,CHW,4000000,72,161,0.4472049689440994
James McCann,2500000,2500000,C,119,0.739,439,120,18,60,0.273,0.789,CHW,2500000,72,161,0.4472049689440994
Robbie Grossman,2000000,2000000,DH,138,0.852,420,101,6,38,0.241,0.684,OAK,2000000,97,162,0.5987654320987654
Brett Anderson,1500000,1500000,SP,32,0.198,8,4,0,0,0.5,1.0,OAK,1500000,97,162,0.5987654320987654
Neil Walker,2000000,2000000,1B,115,0.71,337,88,8,38,0.261,0.738,MIA,2000000,57,162,0.3518518518518518
Tim Beckham,1750000,1750000,3B,89,0.549,304,72,15,47,0.237,0.753,SEA,1800000,68,162,0.419753086419753
