Jugador,Porcetnaje_juegos,RBI,Porcentaje_bateo,OPS,Equipo,Sueldo,Agente libre
Derek Jeter,0.982,58,0.316,0.791,NYY,16000000,No
Miguel Cabrera,0.994,139,0.33,0.999,DET,21000000,No
Robinson Cano,0.994,94,0.313,0.929,NYY,14000000,No
Everth Cabrera,0.71,48,0.246,0.648,SD,480000,No
Everth Cabrera,0.71,48,0.246,0.648,SD,480000,No
Adrian Beltre,0.963,102,0.321,0.921,TEX,15200000,No
Andrew McCutchen,0.969,96,0.327,0.953,PIT,808333,No
Billy Butler,0.994,107,0.313,0.882,KC,8500000,No
Ryan Braun,0.951,112,0.319,0.987,MIL,7000000,No
Marco Scutaro,0.963,74,0.307,0.753,SF,6000000,No
Alex Gordon,0.994,72,0.294,0.822,KC,6025000,No
Adrian Gonzalez,0.982,108,0.299,0.806,BOS,21857142,No
Martin Prado,0.963,70,0.302,0.796,ATL,4750000,No
Adam Jones,1.0,82,0.287,0.839,BAL,6200000,No
Jose Reyes,0.988,57,0.287,0.78,MIA,10000000,Si
Aaron Hill,0.963,85,0.302,0.882,ARI,5500000,Si
Alex Rios,0.969,91,0.304,0.85,CHW,12500000,No
Starlin Castro,1.0,78,0.283,0.753,CHC,567000,No
Prince Fielder,1.0,108,0.313,0.94,DET,23150000,Si
Mike Trout,0.858,83,0.326,0.963,LAA,482500,No
Elvis Andrus,0.975,62,0.286,0.727,TEX,2625000,No
David Wright,0.963,93,0.306,0.883,NYM,15300000,No
Ichiro Suzuki,1.0,55,0.283,0.696,NYY,18000000,No
Buster Posey,0.914,103,0.336,0.957,SF,790000,No
Matt Holliday,0.969,102,0.296,0.877,STL,17050000,No
Alcides Escobar,0.957,52,0.293,0.721,KC,1000000,No
Joe Mauer,0.907,85,0.319,0.861,MIN,23025000,No
Angel Pagan,0.951,56,0.288,0.778,SF,5000000,No
Albert Pujols,0.951,105,0.285,0.859,LAA,12000000,Si
Chase Headley,0.994,115,0.286,0.875,SD,3475000,No
Aramis Ramirez,0.92,105,0.3,0.901,MIL,6000000,Si
Michael Bourn,0.957,57,0.274,0.739,ATL,6845000,No
Ian Kinsler,0.969,72,0.257,0.749,TEX,7250000,No
Torii Hunter,0.864,92,0.313,0.817,LAA,18500000,No
Jose Altuve,0.907,37,0.29,0.74,HOU,483000,No
Daniel Murphy,0.963,65,0.291,0.735,NYM,512196,No
Dustin Pedroia,0.87,65,0.29,0.797,BOS,8250000,No
Brandon Phillips,0.907,77,0.281,0.75,CIN,12500000,No
Ryan Zimmerman,0.895,95,0.282,0.824,WSH,12275000,No
Austin Jackson,0.846,66,0.3,0.856,DET,500000,No
Josh Hamilton,0.914,127,0.285,0.93,TEX,15250000,No
Paul Konerko,0.889,75,0.298,0.857,CHW,12000000,No
Melky Cabrera,0.698,60,0.346,0.906,SF,6000000,No
Yadier Molina,0.852,76,0.315,0.874,STL,7100000,No
Howie Kendrick,0.907,67,0.287,0.725,LAA,4850000,No
Andre Ethier,0.92,89,0.284,0.812,LAD,10950000,No
J.J. Hardy,0.975,68,0.238,0.671,BAL,7416667,No
Jimmy Rollins,0.963,68,0.25,0.743,PHI,11050000,No
Jason Heyward,0.975,82,0.269,0.814,ATL,565000,No
Alexei Ramirez,0.975,73,0.265,0.651,CHW,5000000,No
Carlos Gonzalez,0.833,85,0.303,0.881,COL,5478571,No
Hunter Pence,0.988,104,0.253,0.743,PHI,10400000,No
Justin Upton,0.926,67,0.28,0.785,ARI,6958333,No
Hanley Ramirez,0.969,92,0.257,0.759,LAD,15000000,No
Adam LaRoche,0.951,100,0.272,0.853,WSH,8000000,No
Kyle Seager,0.957,86,0.259,0.738,SEA,484300,No
Delmon Young,0.932,74,0.267,0.707,DET,6750000,No
Omar Infante,0.92,53,0.274,0.719,DET,2142076,Si
Edwin Encarnacion,0.932,110,0.28,0.941,TOR,3500000,No
Corey Hart,0.92,83,0.271,0.841,MIL,9333333,No
Shane Victorino,0.951,55,0.256,0.704,LAD,9500000,No
Nelson Cruz,0.982,90,0.26,0.779,TEX,5250000,No
Ben Zobrist,0.969,74,0.27,0.848,TB,4640475,No
Erick Aybar,0.87,45,0.29,0.74,LAA,5075000,No
Yonder Alonso,0.957,62,0.273,0.741,SD,1400000,No
Ben Revere,0.765,32,0.294,0.675,MIN,492500,No
Ian Desmond,0.803,73,0.292,0.845,WSH,512500,No
Norichika Aoki,0.932,50,0.289,0.787,MIL,2675000,No
Josh Reddick,0.963,85,0.242,0.768,OAK,485000,No
Alfonso Soriano,0.932,108,0.262,0.821,CHC,19000000,No
Carlos Beltran,0.932,97,0.269,0.842,STL,13050000,Si
Alejandro De Aza,0.809,50,0.281,0.76,CHW,495000,No
David Freese,0.889,79,0.293,0.839,STL,508000,No
Danny Espinosa,0.988,56,0.248,0.717,WSH,506000,No
Paul Goldschmidt,0.895,82,0.286,0.85,ARI,482000,No
Jordan Pacheco,0.815,54,0.31,0.762,COL,480000,No
Nick Swisher,0.914,93,0.272,0.837,NYY,10250000,No
Denard Span,0.79,41,0.283,0.738,MIN,3000000,No
Mark Trumbo,0.889,95,0.268,0.808,LAA,500000,No
Allen Craig,0.735,92,0.307,0.876,STL,495000,No
Bryce Harper,0.858,59,0.27,0.817,WSH,1750000,No
Yoenis Cespedes,0.796,82,0.292,0.861,OAK,6500000,No
Yunel Escobar,0.895,51,0.253,0.644,TOR,5000000,No
Melvin Upton,0.901,78,0.246,0.752,TB,7000000,No
Jay Bruce,0.957,99,0.252,0.841,CIN,5041666,No
Freddie Freeman,0.907,94,0.259,0.796,ATL,535000,No
Miguel Montero,0.87,88,0.286,0.829,ARI,5900000,No
David Murphy,0.907,61,0.304,0.859,TEX,3625000,No
Chris Davis,0.858,85,0.27,0.827,BAL,488000,No
Darwin Barney,0.963,44,0.254,0.653,CHC,500000,No
Curtis Granderson,0.988,106,0.232,0.811,NYY,10025000,No
Zack Cozart,0.852,35,0.246,0.687,CIN,480000,No
Chris Johnson,0.84,76,0.281,0.777,HOU,495000,No
Dustin Ackley,0.944,50,0.226,0.622,SEA,2100000,No
Dexter Fowler,0.883,53,0.3,0.863,COL,2350000,No
Mike Moustakas,0.92,73,0.242,0.708,KC,487250,No
Josh Willingham,0.895,110,0.26,0.89,MIN,7000000,Si
Rickie Weeks,0.969,63,0.23,0.728,MIL,11000000,No
Justin Morneau,0.827,77,0.267,0.773,MIN,15000000,No
Jon Jay,0.722,40,0.305,0.773,STL,504000,No
Brett Lawrie,0.772,48,0.273,0.729,TOR,482500,No
Ruben Tejada,0.704,25,0.289,0.685,NYM,491209,No
Jesus Montero,0.833,62,0.26,0.685,SEA,486900,No
A.J. Pierzynski,0.833,77,0.278,0.827,CHW,6000000,No
David DeJesus,0.914,50,0.263,0.753,CHC,4250000,Si
Ryan Doumit,0.827,75,0.275,0.781,MIN,3000000,No
Jeff Francoeur,0.914,49,0.235,0.665,KC,6750000,No
Kendrys Morales,0.827,73,0.273,0.787,LAA,2975000,No
Neil Walker,0.796,69,0.28,0.768,PIT,500000,No
Matt Wieters,0.889,83,0.249,0.764,BAL,500000,No
Giancarlo Stanton,0.759,86,0.29,0.969,MIA,480000,No
Garrett Jones,0.895,86,0.274,0.832,PIT,2250000,No
Dayan Viciedo,0.907,78,0.255,0.744,CHW,3500000,No
Jason Kubel,0.87,90,0.253,0.833,ARI,7500000,No
Pedro Alvarez,0.92,85,0.244,0.784,PIT,2200000,No
Mike Aviles,0.84,60,0.25,0.663,BOS,1200000,No
Cody Ross,0.803,81,0.267,0.807,BOS,3000000,Si
Jhonny Peralta,0.926,63,0.239,0.689,DET,5500000,No
Joey Votto,0.685,56,0.337,1.041,CIN,11550000,No
Rafael Furcal,0.747,49,0.264,0.671,STL,6500000,Si
Alex Rodriguez,0.753,57,0.272,0.783,NYY,30000000,No
Colby Rasmus,0.932,75,0.223,0.689,TOR,2700000,No
Nick Markakis,0.642,54,0.298,0.834,BAL,12350000,No
Michael Saunders,0.858,57,0.247,0.738,SEA,489100,No
Desmond Jennings,0.815,47,0.246,0.702,TB,486900,No
Eric Hosmer,0.938,60,0.232,0.663,KC,502500,No
Cameron Maybin,0.907,45,0.243,0.656,SD,600000,No
Gordon Beckham,0.932,60,0.234,0.668,CHW,520000,No
Matt Kemp,0.654,69,0.303,0.906,LAD,10250000,No
Tyler Colvin,0.84,72,0.291,0.858,COL,481000,No
Carlos Ruiz,0.704,68,0.325,0.935,PHI,3700000,No
Coco Crisp,0.741,46,0.259,0.742,OAK,6000000,Si
Ike Davis,0.963,90,0.227,0.771,NYM,506690,No
Mike Morse,0.63,62,0.291,0.791,WSH,3500000,No
Ryan Ludwick,0.772,80,0.275,0.877,CIN,2450000,Si
Dan Uggla,0.951,78,0.22,0.732,ATL,13200000,No
Alberto Callaspo,0.852,53,0.252,0.692,LAA,3150000,No
Rajai Davis,0.877,43,0.257,0.687,TOR,2750000,No
Todd Frazier,0.79,67,0.273,0.829,CIN,480000,No
Kelly Johnson,0.877,55,0.225,0.678,TOR,6375000,No
A.J. Ellis,0.821,52,0.27,0.786,LAD,490000,No
Mark Teixeira,0.759,84,0.251,0.807,NYY,23125000,No
Brennan Boesch,0.815,54,0.24,0.659,DET,502500,No
Brandon Belt,0.895,56,0.275,0.781,SF,481000,No
Pablo Sandoval,0.667,63,0.283,0.789,SF,3200000,No
Adam Dunn,0.932,96,0.204,0.8,CHW,14000000,No
Will Venable,0.914,45,0.264,0.765,SD,1475000,No
James Loney,0.889,41,0.249,0.63,LAD,6375000,No
Carlos Gomez,0.846,51,0.26,0.768,MIL,1987500,No
John Mayberry Jr.,0.92,46,0.245,0.695,PHI,495000,No
Brandon Crawford,0.883,45,0.248,0.653,SF,481000,No
Mark Ellis,0.679,31,0.258,0.697,LAD,2500000,Si
Wilin Rosario,0.722,71,0.27,0.843,COL,480000,No
Bobby Abreu,0.617,48,0.242,0.693,LAA,8598689,Si
Bobby Abreu,0.617,48,0.242,0.693,LAD,480000,Si
Justin Smoak,0.815,51,0.217,0.654,SEA,495100,No
