Jugador,Posicion,Juegos,Porcetnaje_juegos,At-bats,Bateos,Home-runs,RBI,Porcentaje_bateo,OPS,Equipo,Sueldo,Agente libre
Whit Merrifield,2B,158,0.975,632,192,12,60,0.304,0.806,KC,569500,No
Freddie Freeman,1B,162,1.0,618,191,23,98,0.309,0.892,ATL,21609375,No
J.D. Martinez,DH,150,0.926,569,188,43,130,0.33,1.031,BOS,23750000,Si
Manny Machado,3B,162,0.994,632,188,37,107,0.298,0.905,LAD,16000000,No
Christian Yelich,LF,147,0.902,574,187,36,110,0.326,1.0,MIL,7000000,No
Nick Markakis,RF,162,1.0,623,185,14,93,0.297,0.806,ATL,11050000,No
Nick Castellanos,RF,158,0.975,620,185,23,89,0.298,0.854,DET,6050000,No
Charlie Blackmon,CF,157,0.963,626,182,29,70,0.291,0.86,COL,12333333,No
Jose Peraza,SS,158,0.975,632,182,14,58,0.288,0.742,CIN,570000,No
Scooter Gennett,2B,154,0.951,584,181,23,92,0.31,0.847,CIN,5700000,No
Mookie Betts,RF,137,0.846,520,180,32,80,0.346,1.078,BOS,10500000,No
Trea Turner,SS,162,1.0,664,180,19,73,0.271,0.76,WSH,577200,No
Jean Segura,SS,146,0.901,586,178,10,63,0.304,0.755,SEA,9600000,No
Javier Baez,2B,161,0.988,606,176,34,111,0.29,0.881,CHC,657000,No
Nolan Arenado,3B,156,0.957,590,175,38,110,0.297,0.935,COL,17750000,No
Trevor Story,SS,158,0.969,598,174,37,108,0.291,0.914,COL,555000,No
Paul Goldschmidt,1B,158,0.975,593,172,33,83,0.29,0.922,ARI,11100000,No
Alex Bregman,3B,157,0.969,594,170,31,103,0.286,0.926,HOU,599000,No
Mitch Haniger,RF,158,0.975,596,170,26,93,0.285,0.859,SEA,560200,No
Miguel Andujar,3B,149,0.92,573,170,27,92,0.297,0.855,NYY,545800,No
Jose Altuve,2B,137,0.846,534,169,13,61,0.317,0.837,HOU,9000000,No
Andrew Benintendi,OF,148,0.914,579,168,16,87,0.29,0.83,BOS,620500,No
Ozzie Albies,2B,158,0.975,639,167,24,72,0.261,0.757,ATL,555000,No
Lorenzo Cain,CF,142,0.871,539,166,10,38,0.308,0.813,MIL,14300000,Si
Starlin Castro,2B,154,0.957,593,165,12,54,0.278,0.729,MIA,10857142,No
Giancarlo Stanton,DH,159,0.982,617,164,38,100,0.266,0.852,NYY,25000000,No
David Peralta,RF,147,0.907,560,164,30,87,0.293,0.868,ARI,3300000,No
Adam Jones,CF,146,0.901,580,163,15,63,0.281,0.732,BAL,17333333,No
Anthony Rendon,3B,137,0.846,529,163,24,92,0.308,0.909,WSH,12300000,No
Marcell Ozuna,LF,150,0.926,582,163,23,88,0.28,0.758,STL,9000000,No
Jose Martinez,1B,152,0.938,534,163,17,83,0.305,0.821,STL,560400,No
Andrelton Simmons,SS,148,0.914,554,162,11,75,0.292,0.754,LAA,11000000,No
Marcus Semien,SS,159,0.982,632,161,15,70,0.255,0.706,OAK,3125000,No
Eddie Rosario,LF,139,0.858,559,161,24,77,0.288,0.803,MIN,602500,No
Brian Anderson,RF,156,0.969,590,161,11,65,0.273,0.757,MIA,545000,No
Anthony Rizzo,1B,154,0.945,566,160,25,101,0.283,0.846,CHC,7285714,No
Jed Lowrie,2B,157,0.969,596,159,23,99,0.267,0.801,OAK,6000000,No
Ender Inciarte,CF,156,0.963,597,158,10,61,0.265,0.705,ATL,4700000,No
Yulieski Gurriel,1B,136,0.84,537,156,13,85,0.291,0.751,HOU,12400000,No
Eric Hosmer,1B,157,0.969,613,155,18,69,0.253,0.72,SD,21000000,Si
Starling Marte,CF,146,0.907,559,155,20,72,0.277,0.787,PIT,7833333,No
Eduardo Escobar,3B,152,0.938,566,154,23,84,0.272,0.824,ARI,4850000,No
Cesar Hernandez,2B,161,0.994,605,153,15,60,0.253,0.718,PHI,5100000,No
Matt Chapman,3B,145,0.895,547,152,24,68,0.278,0.864,OAK,547500,No
Corey Dickerson,LF,135,0.839,504,151,13,55,0.3,0.804,PIT,5950000,No
Dee Gordon,2B,142,0.877,556,149,4,36,0.268,0.637,SEA,10800000,No
Freddy Galvis,SS,162,1.0,602,149,13,67,0.248,0.68,SD,6825000,No
Eugenio Suarez,3B,144,0.889,527,149,34,104,0.283,0.892,CIN,2535714,No
Shin-Soo Choo,DH,146,0.901,560,148,21,62,0.264,0.812,TEX,20100000,No
Xander Bogaerts,SS,136,0.84,513,148,23,103,0.289,0.883,BOS,7050000,No
Matt Duffy,3B,133,0.821,503,148,4,44,0.294,0.727,TB,930000,No
Mike Trout,CF,140,0.864,471,147,39,79,0.312,1.088,LAA,34083333,No
D.J. LeMahieu,2B,129,0.791,533,147,15,62,0.276,0.749,COL,8500000,No
Joe Wendle,2B,139,0.858,487,146,7,61,0.3,0.789,TB,545000,No
Stephen Piscotty,RF,151,0.932,546,146,27,88,0.267,0.821,OAK,1333333,No
Andrew McCutchen,RF,155,0.957,569,145,20,65,0.255,0.792,NYY,14750000,No
Matt Carpenter,1B,156,0.963,564,145,36,81,0.257,0.897,STL,13750000,No
Yolmer Sanchez,3B,155,0.957,600,145,8,55,0.242,0.678,CHW,2350000,No
Cody Bellinger,1B,162,0.994,557,145,25,76,0.26,0.814,LAD,585000,No
Mike Moustakas,3B,153,0.939,573,144,28,95,0.251,0.774,MIL,7700000,Si
George Springer,CF,141,0.87,544,144,22,71,0.265,0.78,HOU,12000000,No
Joey Votto,1B,145,0.895,503,143,12,67,0.284,0.837,CIN,25075000,No
Asdrubal Cabrera,2B,148,0.914,546,143,23,75,0.262,0.774,PHI,8250000,No
Matt Olson,1B,162,1.0,580,143,29,84,0.247,0.788,OAK,547500,No
Khris Davis,DH,151,0.932,576,142,48,123,0.247,0.874,OAK,10500000,No
Mallex Smith,LF,141,0.87,480,142,2,40,0.296,0.773,TB,553000,No
