Jugador,Posicion,Juegos,Porcetnaje_juegos,At-bats,Bateos,Home-runs,RBI,Porcentaje_bateo,OPS,Equipo,Sueldo_base,Sueldo,Sueldo_regular,Juegos_2,Porcetnaje_juegos_2,At-bats_2,Bateos_2,Home-runs_2,RBI_2,Porcentaje_bateo_2,OPS_2,Agente libre
Trea Turner,SS,148,0.914,595,195,28,77,0.328,0.911,LAD,13000000,13000000,4567568,21904,0.835396,354025,38025,784,5929,0.10758400000000001,0.829921,No
Bo Bichette,SS,159,0.982,640,191,29,102,0.298,0.828,TOR,587800,587800,587800,25281,0.964324,409600,36481,841,10404,0.088804,0.685584,No
Vladimir Guerrero Jr.,1B,161,0.994,604,188,48,111,0.311,1.002,TOR,605400,605400,605400,25921,0.988036,364816,35344,2304,12321,0.096721,1.004004,No
Whit Merrifield,RF,162,1.0,664,184,10,74,0.277,0.713,KC,6750000,7450000,7450000,26244,1.0,440896,33856,100,5476,0.07672900000000002,0.508369,No
Freddie Freeman,1B,160,0.994,600,180,31,83,0.3,0.895,ATL,22000000,22409375,22409375,25600,0.988036,360000,32400,961,6889,0.09,0.801025,No
Austin Riley,3B,161,1.0,590,179,33,107,0.303,0.898,ATL,590500,590500,590500,25921,1.0,348100,32041,1089,11449,0.091809,0.806404,No
Paul Goldschmidt,1B,158,0.975,603,177,31,99,0.294,0.879,STL,22000000,26000000,26000000,24964,0.9506249999999999,363609,31329,961,9801,0.08643599999999999,0.772641,No
Adam Frazier,2B,155,0.957,577,176,5,43,0.305,0.779,SD,4300000,4300000,214690,24025,0.9158489999999999,332929,30976,25,1849,0.093025,0.6068410000000001,No
Cedric Mullins,CF,159,0.982,602,175,30,59,0.291,0.878,BAL,577000,577000,577000,25281,0.964324,362404,30625,900,3481,0.08468099999999999,0.770884,No
Jonathan Schoop,2B,156,0.963,623,173,22,84,0.278,0.755,DET,4500000,4500000,4500000,24336,0.9273689999999999,388129,29929,484,7056,0.07728400000000002,0.570025,Si
Marcus Semien,SS,162,1.0,652,173,45,102,0.265,0.873,TOR,18000000,18000000,18000000,26244,1.0,425104,29929,2025,10404,0.07022500000000001,0.762129,Si
Isiah Kiner-Falefa,SS,158,0.975,635,172,8,53,0.271,0.67,TEX,2000000,2000000,2000000,24964,0.9506249999999999,403225,29584,64,2809,0.073441,0.4489000000000001,No
Salvador Perez,C,161,0.994,620,169,48,121,0.273,0.859,KC,13000000,14200000,14200000,25921,0.988036,384400,28561,2304,14641,0.07452900000000001,0.737881,No
Bryan Reynolds,LF,159,0.982,559,169,24,90,0.302,0.912,PIT,601000,601000,601000,25281,0.964324,312481,28561,576,8100,0.091204,0.831744,No
Yulieski Gurriel,1B,143,0.883,530,169,15,81,0.319,0.846,HOU,6500000,8500000,8500000,20449,0.779689,280900,28561,225,6561,0.101761,0.7157159999999999,No
