Jugador,Valor_contrato,Valor_promedio_contrato,Posicion,Juegos,Porcetnaje_juegos,At-bats,Bateos,Home-runs,RBI,Porcentaje_bateo,OPS,Equipo,Sueldo
Robinson Cano,240000000,24000000,2B,157,0.969,595,187,14,82,0.314,0.836,SEA,24050000
Jacoby Ellsbury,153000000,21857143,CF,149,0.92,575,156,16,70,0.271,0.747,NYY,21142857
Shin-Soo Choo,130000000,18571429,RF,123,0.759,455,110,13,40,0.242,0.714,TEX,14000000
Brian McCann,85000000,17000000,C,140,0.864,495,115,23,75,0.232,0.692,NYY,17000000
Curtis Granderson,60000000,15000000,RF,155,0.957,564,128,20,66,0.227,0.714,NYM,13000000
Jhonny Peralta,53000000,13250000,3B,157,0.969,560,147,21,75,0.263,0.779,STL,15500000
Matt Garza,50000000,12500000,SP,27,0.167,49,3,0,0,0.061,0.162,MIL,12500000
Ricky Nolasco,49000000,12250000,SP,27,0.167,2,0,0,0,0.0,0.0,MIN,12000000
Carlos Beltran,45000000,15000000,DH,109,0.673,403,94,15,49,0.233,0.703,NYY,15000000
Mike Napoli,32000000,16000000,1B,119,0.735,415,103,17,55,0.248,0.789,BOS,16000000
Omar Infante,30250000,7562500,2B,135,0.833,528,133,6,66,0.252,0.632,KC,5000000
Scott Feldman,30000000,10000000,SP,29,0.179,2,0,0,0,0.0,0.0,HOU,12000000
Tim Hudson,28000000,9333333,SP,31,0.191,53,2,0,1,0.038,0.127,SF,11025000
Carlos Ruiz,26000000,8666667,C,110,0.679,381,96,6,31,0.252,0.717,PHI,8500000
Phil Hughes,24000000,8000000,RP,32,0.198,6,0,0,0,0.0,0.0,MIN,8500000
Bronson Arroyo,23500000,11750000,SP,15,0.093,27,6,0,0,0.222,0.444,ARI,9500000
Scott Kazmir,22000000,11000000,SP,32,0.198,4,0,0,0,0.0,0.0,OAK,9050000
Jarrod Saltalamacchia,21000000,7000000,C,114,0.704,373,82,11,44,0.22,0.681,MIA,6000000
James Loney,21000000,7000000,1B,155,0.957,600,174,9,69,0.29,0.716,TB,2666666
Bartolo Colon,20000000,10000000,SP,31,0.191,62,2,0,0,0.032,0.081,NYM,9000000
Marlon Byrd,16000000,8000000,LF,154,0.951,591,156,25,85,0.264,0.757,PHI,8000000
Hiroki Kuroda,16000000,16000000,SP,32,0.198,3,0,0,0,0.0,0.0,NYY,16000000
A.J. Burnett,16000000,16000000,SP,34,0.21,60,8,0,1,0.133,0.341,PHI,11250000
Juan Uribe,15000000,7500000,3B,103,0.636,386,120,9,54,0.311,0.777,LAD,7500000
Ervin Santana,14100000,14100000,SP,31,0.191,63,7,0,1,0.111,0.265,ATL,14100000
Justin Morneau,12500000,6250000,1B,135,0.833,502,160,17,82,0.319,0.86,COL,5000000
Nate McLouth,10750000,5375000,LF,79,0.488,139,24,1,7,0.173,0.517,WSH,5000000
Brad Ziegler,10500000,5250000,RP,68,0.42,1,0,0,0,0.0,0.0,ARI,4500000
Stephen Drew,10093443,10093443,2B,85,0.525,271,44,7,26,0.162,0.536,NYY,14100000
Rajai Davis,10000000,5000000,CF,134,0.827,461,130,8,51,0.282,0.721,DET,5000000
Dan Haren,10000000,10000000,SP,32,0.198,54,10,0,5,0.185,0.432,LAD,11000000
Nelson Cruz,8000000,8000000,DH,159,0.982,613,166,40,108,0.271,0.859,BAL,8000000
Dioner Navarro,8000000,4000000,C,139,0.858,481,132,12,69,0.274,0.712,TOR,3000000
Garrett Jones,7750000,3875000,RF,146,0.901,496,122,15,53,0.246,0.72,MIA,2750000
Kendrys Morales,7540983,7540983,DH,98,0.605,367,80,8,42,0.218,0.612,SEA,12000000
Chris Young,7250000,7250000,RF,111,0.685,325,72,11,38,0.222,0.71,SEA,4725000
Chris Young,7250000,7250000,RF,111,0.685,325,72,11,38,0.222,0.71,NYY,500000
Chris Young,7250000,7250000,RP,30,0.185,1,0,0,0,0.0,0.0,SEA,4725000
Chris Young,7250000,7250000,RP,30,0.185,1,0,0,0,0.0,0.0,NYY,500000
Corey Hart,6000000,6000000,RF,68,0.42,232,47,6,21,0.203,0.59,SEA,6000000
Mike Morse,6000000,6000000,LF,131,0.809,438,122,16,61,0.279,0.811,SF,6000000
Jason Hammel,6000000,6000000,SP,30,0.185,37,5,0,3,0.135,0.293,OAK,6000000
Willie Bloomquist,5800000,2900000,2B,47,0.29,133,37,1,14,0.278,0.643,SEA,2800000
Mark Ellis,5250000,5250000,2B,73,0.451,178,32,0,12,0.18,0.466,STL,5250000
Skip Schumaker,5000000,2500000,LF,83,0.512,247,58,2,22,0.235,0.595,CIN,2000000
Ryan Vogelsong,5000000,5000000,SP,32,0.198,61,7,0,2,0.115,0.304,SF,5000000
Edinson Volquez,5000000,5000000,SP,32,0.198,53,2,0,2,0.038,0.127,PIT,5000000
Jose Molina,4500000,2250000,C,80,0.494,225,40,0,10,0.178,0.417,TB,1750000
Gavin Floyd,4000000,4000000,RP,9,0.056,18,2,0,0,0.111,0.222,ATL,4000000
Jeff Baker,3700000,1850000,1B,90,0.556,208,55,3,28,0.264,0.701,MIA,1600000
Rafael Furcal,3500000,3500000,SS,9,0.056,35,6,0,2,0.171,0.445,MIA,3500000
Kelly Johnson,3000000,3000000,2B,106,0.654,265,57,7,27,0.215,0.659,BAL,3000000
Nick Punto,3000000,3000000,SS,73,0.451,198,41,2,14,0.207,0.589,OAK,2750000
Raul Ibanez,2750000,2750000,DH,90,0.556,246,41,5,26,0.167,0.549,KC,500000
Kurt Suzuki,2750000,2750000,C,131,0.809,452,130,3,61,0.288,0.727,MIN,3300000
Joba Chamberlain,2500000,2500000,RP,69,0.426,1,0,0,0,0.0,0.0,DET,3000000
Paul Konerko,2500000,2500000,1B,81,0.5,208,43,5,22,0.207,0.572,CHW,2500000
Brayan Pena,2275000,1137500,C,115,0.71,348,88,5,26,0.253,0.645,CIN,875000
LaTroy Hawkins,2250000,2250000,RP/CL,57,0.352,1,0,0,0,0.0,0.0,COL,2250000
Mark Reynolds,2000000,2000000,3B,130,0.803,378,74,22,45,0.196,0.681,MIL,2000000
Colby Lewis,2000000,2000000,SP,29,0.179,5,2,0,1,0.4,0.8,TEX,2000000
J.P. Arencibia,1800000,1800000,1B,63,0.389,203,36,10,35,0.177,0.608,TEX,1800000
Jamey Wright,1800000,1800000,RP,61,0.377,5,0,0,0,0.0,0.0,LAD,1800000
Felipe Paulino,1750000,1750000,SP,4,0.025,1,0,0,0,0.0,0.0,CHW,1500000
Lyle Overbay,1500000,1500000,1B,121,0.747,258,60,4,35,0.233,0.661,MIL,1500000
Daisuke Matsuzaka,1500000,1500000,SP,34,0.21,11,2,0,1,0.182,0.432,NYM,1500000
Paul Maholm,1500000,1500000,RP,30,0.185,9,0,0,0,0.0,0.182,LAD,1500000
Wil Nieves,1125000,1125000,C,36,0.222,122,31,1,7,0.254,0.614,PHI,1125000
Ramon Santiago,1100000,1100000,2B,75,0.463,179,44,2,17,0.246,0.667,CIN,1100000
Justin Turner,1000000,1000000,3B,109,0.673,288,98,7,43,0.34,0.897,LAD,1100000
Delmon Young,1000000,1000000,LF,83,0.512,242,73,7,30,0.302,0.779,BAL,1000000
Tyler Colvin,1000000,1000000,RP,57,0.352,139,31,2,18,0.223,0.65,SF,1000000
Scott Baker,1000000,1000000,SP,25,0.154,1,0,0,0,0.0,0.0,TEX,1000000
Reed Johnson,1000000,1000000,LF,113,0.698,187,44,2,25,0.235,0.614,MIA,1000000
Jeff Francoeur,925000,925000,LF,10,0.062,24,2,0,1,0.083,0.262,SD,1000000
Kevin Frandsen,900000,900000,3B,105,0.648,220,57,1,17,0.259,0.608,WSH,950000
John Baker,875000,875000,C,68,0.42,182,35,0,15,0.192,0.504,CHC,875000
John McDonald,850000,850000,SS,95,0.586,76,13,0,5,0.171,0.453,LAA,850000
Zach Duke,850000,850000,RP,74,0.457,1,0,0,0,0.0,0.0,MIL,850000
Sam Fuld,800000,800000,CF,113,0.698,351,84,4,36,0.239,0.663,OAK,800000
Chris Coghlan,800000,800000,LF,125,0.772,385,109,9,41,0.283,0.804,CHC,800000
Brennan Boesch,800000,800000,RF,27,0.167,75,14,2,7,0.187,0.496,LAA,800000
Adam Rosales,750000,750000,2B,56,0.346,164,43,4,19,0.262,0.706,TEX,750000
Grady Sizemore,750000,750000,RF,112,0.691,347,81,5,27,0.233,0.654,PHI,500000
Ryan Kalish,550000,550000,LF,57,0.352,121,30,0,5,0.248,0.642,CHC,550000
A.J. Pierzynski,500000,500000,C,102,0.63,338,85,5,37,0.252,0.625,STL,167539
Dylan Axelrod,500000,500000,RP,5,0.031,4,0,0,0,0.0,0.0,CIN,500000
Endy Chavez,0,0,LF,80,0.494,232,64,2,23,0.276,0.688,SEA,500000
Tsuyoshi Wada,0,0,SP,13,0.08,20,1,0,0,0.05,0.145,CHC,500000
John Buck,0,0,C,32,0.198,89,20,1,6,0.225,0.57,LAA,500000
Jordany Valdespin,0,0,2B,52,0.321,98,21,3,10,0.214,0.627,MIA,500000
Jim Johnson,0,0,RP,54,0.333,1,0,0,0,0.0,0.0,DET,500000
