Jugador,Valor_contrato,Valor_promedio_contrato,Porcetnaje_juegos,RBI,Porcentaje_bateo,OPS,Equipo,Sueldo
Eric Hosmer,144000000,18000000,0.969,69,0.253,0.72,SD,21000000
Yu Darvish,126000000,21000000,0.049,0,0.083,0.25,CHC,25000000
J.D. Martinez,110000000,22000000,0.926,130,0.33,1.031,BOS,23750000
Lorenzo Cain,80000000,16000000,0.871,38,0.308,0.813,MIL,14300000
Jake Arrieta,75000000,25000000,0.191,3,0.133,0.388,PHI,30000000
Carlos Santana,60000000,20000000,0.994,86,0.229,0.766,PHI,18333333
Alex Cobb,57000000,14250000,0.173,0,0.167,0.333,BAL,14000000
Jay Bruce,39000000,13000000,0.586,37,0.223,0.68,NYM,11000000
Zack Cozart,38000000,12666667,0.364,18,0.219,0.658,LAA,12666666
Tyler Chatwood,38000000,12666667,0.153,2,0.16,0.352,CHC,12500000
Mike Minor,28000000,9333333,0.173,0,0.333,1.0,TEX,8333333
Brandon Morrow,21000000,10500000,0.215,0,0.0,0.0,CHC,9000000
Tommy Hunter,18000000,9000000,0.401,0,0.0,0.0,PHI,9000000
Todd Frazier,17000000,8500000,0.71,59,0.213,0.695,NYM,8000000
Andrew Cashner,16000000,8000000,0.185,0,0.0,0.0,BAL,9500000
Jason Vargas,16000000,8000000,0.13,0,0.148,0.327,NYM,6000000
Jhoulys Chacin,15500000,7750000,0.221,1,0.161,0.382,MIL,8750000
Welington Castillo,15000000,7500000,0.309,15,0.259,0.71,CHW,7250000
Steve Cishek,13000000,6500000,0.497,0,0.167,0.333,CHC,7500000
Mitch Moreland,13000000,6500000,0.772,68,0.245,0.758,BOS,6500000
Lance Lynn,12000000,12000000,0.191,0,0.0,0.0,NYY,12000000
Jaime Garcia,10000000,10000000,0.203,0,0.0,0.0,CHC,545000
Brandon Kintzler,10000000,5000000,0.429,0,0.0,0.0,CHC,5000000
Chris Iannetta,8500000,4250000,0.675,36,0.224,0.73,COL,3600000
Alex Avila,8250000,4125000,0.5,20,0.165,0.603,ARI,4000000
Carlos Gonzalez,8000000,8000000,0.816,64,0.277,0.796,COL,8000000
Eduardo Nunez,8000000,4000000,0.784,44,0.265,0.677,BOS,4000000
Jarrod Dyson,7500000,3750000,0.414,12,0.189,0.539,ARI,3750000
Howie Kendrick,7000000,3500000,0.247,12,0.303,0.805,WSH,3000000
Brian Duensing,7000000,3500000,0.301,0,0.0,0.5,CHC,3500000
Logan Morrison,6500000,6500000,0.586,39,0.186,0.644,MIN,5500000
Jonathan Lucroy,6500000,6500000,0.778,51,0.241,0.617,OAK,6500000
Mike Moustakas,6500000,6500000,0.939,95,0.251,0.774,MIL,7700000
David Hernandez,5000000,2500000,0.352,0,0.0,0.0,CIN,2800000
Curtis Granderson,5000000,5000000,0.755,38,0.242,0.782,MIL,5000000
Matt Adams,4000000,4000000,0.747,57,0.239,0.786,STL,4000000
Francisco Liriano,4000000,4000000,0.167,0,0.0,0.0,DET,4000000
Neil Walker,4000000,4000000,0.698,46,0.219,0.664,NYY,4000000
Carlos Gomez,4000000,4000000,0.728,32,0.208,0.634,TB,4400000
Lucas Duda,3500000,3500000,0.667,50,0.241,0.731,ATL,3800000
Cameron Maybin,3250000,3250000,0.796,28,0.249,0.662,SEA,3250000
Rene Rivera,2800000,2800000,0.204,11,0.233,0.693,ATL,2800000
Nick Hundley,2500000,2500000,0.593,31,0.241,0.706,SF,2500000
Sergio Romo,2500000,2500000,0.451,0,0.0,0.0,TB,2500000
Alcides Escobar,2500000,2500000,0.864,34,0.231,0.593,KC,3775000
Anibal Sanchez,2500000,2500000,0.154,0,0.024,0.072,ATL,1000000
Chase Utley,2000000,1000000,0.534,14,0.213,0.61,LAD,1000000
Chris Young,2000000,2000000,0.364,13,0.168,0.615,LAA,2000000
Jose Reyes,2000000,2000000,0.679,16,0.189,0.58,NYM,2000000
Clay Buchholz,1500000,1500000,0.105,1,0.065,0.191,ARI,1500000
Jesse Chavez,1500000,1500000,0.387,0,0.0,0.0,CHC,1500000
Jordan Lyles,1000000,1000000,0.227,1,0.0,0.167,MIL,750000
Yovani Gallardo,750000,750000,0.13,0,0.0,0.0,TEX,2300000
Ryan Flaherty,750000,750000,0.5,13,0.217,0.59,ATL,750000
Dan Jennings,750000,750000,0.448,0,0.667,1.667,MIL,750000
Chris Stewart,575000,575000,0.049,3,0.2,0.435,ARI,575000
Austin Jackson,545000,545000,0.716,32,0.245,0.624,NYM,545000
Jose Bautista,545000,545000,0.753,48,0.203,0.727,PHI,545000
