Jugador,Porcetnaje_juegos,RBI,Porcentaje_bateo,OPS,Equipo,Sueldo
Adrian Beltre,0.988,92,0.315,0.88,TEX,16000000
Matt Carpenter,0.969,78,0.318,0.873,STL,514000
Dustin Pedroia,0.988,84,0.301,0.787,BOS,10250000
Miguel Cabrera,0.914,137,0.348,1.078,DET,21000000
Robinson Cano,0.988,107,0.314,0.899,NYY,15000000
Mike Trout,0.969,97,0.323,0.988,LAA,510000
Daniel Murphy,0.994,78,0.286,0.733,NYM,2925000
Eric Hosmer,0.982,79,0.302,0.801,KC,528250
Manny Machado,0.963,71,0.283,0.744,BAL,520000
Adam Jones,0.988,108,0.285,0.811,BAL,8908333
Andrew McCutchen,0.969,84,0.316,0.91,PIT,4858333
Paul Goldschmidt,0.988,125,0.302,0.952,ARI,500000
Victor Martinez,0.982,83,0.299,0.781,DET,13000000
Alexei Ramirez,0.975,48,0.284,0.693,CHW,7000000
Hunter Pence,1.0,99,0.283,0.822,SF,13800000
Joey Votto,1.0,73,0.305,0.926,CIN,19050000
Jose Altuve,0.938,52,0.283,0.677,HOU,505700
Freddie Freeman,0.907,109,0.319,0.897,ATL,560000
Jed Lowrie,0.951,75,0.29,0.791,OAK,2400000
Prince Fielder,1.0,106,0.279,0.819,DET,23050000
Josh Donaldson,0.975,92,0.299,0.88,OAK,492500
Jean Segura,0.901,49,0.294,0.752,MIL,492000
Martin Prado,0.957,82,0.282,0.75,ARI,7000000
Nick Markakis,0.988,59,0.272,0.687,BAL,15350000
Jacoby Ellsbury,0.827,53,0.298,0.781,BOS,9000000
Adrian Gonzalez,0.969,100,0.293,0.803,LAD,21857142
Alex Rios,0.957,81,0.278,0.756,TEX,13000000
Norichika Aoki,0.957,37,0.286,0.725,MIL,2087500
Denard Span,0.944,47,0.279,0.707,WSH,4750000
Billy Butler,1.0,82,0.289,0.787,KC,8500000
Alex Gordon,0.963,81,0.265,0.749,KC,9050000
Ben Zobrist,0.963,71,0.275,0.756,TB,5640475
Elvis Andrus,0.957,67,0.271,0.659,TEX,5050000
Ian Desmond,0.975,80,0.28,0.784,WSH,3800000
Kendrys Morales,0.963,80,0.277,0.784,SEA,5250000
Chris Davis,0.988,138,0.285,1.004,BAL,3350000
Evan Longoria,0.982,88,0.269,0.842,TB,6000000
Chris Johnson,0.877,68,0.321,0.816,ATL,2287500
Carlos Beltran,0.895,84,0.296,0.83,STL,13050000
Jay Bruce,0.988,109,0.262,0.807,CIN,7541666
Shin-Soo Choo,0.951,54,0.285,0.885,CIN,7375000
Michael Cuddyer,0.803,84,0.331,0.919,COL,10500000
Starlin Castro,0.994,44,0.243,0.627,CHC,5857142
