Jugador,Y,X,Posicion,Estado,Equipos_estado
A.J. Burnett,-471.0401653292447,0.6333713676593468,SP,Pennsylvania,2.0
A.J. Pierzynski,199.17533186708147,-0.5233840034595245,C,Georgia,1.0
A.J. Pierzynski,1218.5682245967605,-0.699236550944064,C,Missouri,2.0
A.J. Pierzynski,-2515.7318526249082,0.731269589289021,C,Texas,2.0
Aaron Harang,509.2721112278273,-0.62919432566738,SP,California,5.0
Adam LaRoche,293.4260406054036,0.6825396825396826,DH,Washington DC,1.0
Adam Rosales,249.00602588601998,-0.5384072800259824,2B,Texas,2.0
Adam Wainwright,313.0414009423589,-0.654264343483113,SP,Missouri,2.0
Adeiny Hechavarria,-6.284269277225235,0.7761987323164664,SS,Georgia,1.0
Albert Pujols,-3004.214745301728,0.704165741445523,DH,California,5.0
Alex Avila,-878.5896919486229,0.7598853483087152,C,Minnesota,1.0
Alex Avila,590.1702085044051,0.7112670960473303,C,Illinois,2.0
Alex Avila,-193.08658855079375,0.6343228113692201,C,Illinois,2.0
Alex Avila,32.32967286298435,0.6680590795417206,C,Arizona,1.0
Alex Gordon,-1634.3004321576911,0.6584277920880522,LF,Missouri,2.0
Alex Wood,200.76014665858588,0.8437205738748231,RP,California,5.0
Andrew Cashner,-123.8593098950214,0.6268025051048749,SP,Texas,2.0
Andrew Miller,283.49713145240594,-0.6776918635904803,RP,New York,2.0
Anibal Sanchez,-2160.8432529420725,0.7576767609436587,RP,Michigan,1.0
Anibal Sanchez,2217.053851021161,0.7157388081497772,SP,Georgia,1.0
Asdrubal Cabrera,-347.1882821226543,-0.5391705069124423,3B,Washington DC,1.0
Asdrubal Cabrera,123.65821581419641,-0.6245377905883668,2B,Florida,2.0
Asdrubal Cabrera,909.6908718285599,0.738095238095238,2B,Washington DC,1.0
Asdrubal Cabrera,-2284.9546313113533,0.7267939630472261,2B,New York,2.0
Austin Jackson,-1609.215585221104,0.6343228113692201,CF,Illinois,2.0
Austin Romine,-663.2113116552121,-0.5325605756038618,C,Michigan,1.0
Avisail Garcia,571.2016318740575,0.758931998689661,RF,Florida,2.0
Bartolo Colon,-2101.7831260697467,0.7267939630472261,SP,New York,2.0
Bartolo Colon,1341.5323030849743,0.7650337473989959,SP,California,5.0
Bartolo Colon,-338.7432965573021,-0.6558884926917602,SP,New York,2.0
Billy Butler,-2003.8506811648713,-0.5452647361120173,DH,California,5.0
Blake Treinen,-393.2038567623081,0.8437205738748231,RP/CL,California,5.0
Brad Brach,243.3878568180071,0.7100860558507381,RP,New York,2.0
Brad Ziegler,512.3005868844348,-0.5246505481509285,RP,Arizona,1.0
Brandon Kintzler,-549.9967005811352,0.7299546951299288,RP,Illinois,2.0
Brandon McCarthy,1309.182921957754,0.6599120175960898,SP,Arizona,1.0
Brandon Morrow,2287.498894434339,-0.5351261274732456,RP,California,5.0
Brandon Morrow,-862.4647970527936,-0.5823431387208848,RP,California,5.0
Brayan Pena,-8.098534093002058,0.7576767609436587,C,Michigan,1.0
Brayan Pena,679.2675521228191,-0.6062757783883121,C,Ohio,2.0
Brett Anderson,-732.6030189515409,-0.6278684177437179,SP,Wisconsin,1.0
Brett Anderson,-2504.3325518528836,-0.669910641989637,SP,California,5.0
Brett Anderson,1060.7353361385606,0.7730028489344021,SP,California,5.0
Brett Gardner,-1539.1236619227022,-0.6897656841487015,CF,New York,2.0
Brian Duensing,729.9970059159601,0.7100332503077386,RP,Maryland,1.0
Brian Duensing,456.0184837624038,0.7112670960473303,RP,Illinois,2.0
Brian McCann,-2955.1916801262387,-0.6502841466721764,C,New York,2.0
Brian Wilson,2304.6762563666734,-0.6730916042023134,RP,California,5.0
Cameron Maybin,-619.0887861207473,0.7370742592499306,CF,Washington,1.0
Carlos Beltran,219.06070157660042,-0.6871121829501663,DH,Missouri,2.0
Carlos Beltran,62.1612004451963,-0.6502841466721764,DH,New York,2.0
Carlos Gomez,-1387.0695781714685,0.6268025051048749,CF,Texas,2.0
Carlos Pena,-2170.1787715295773,0.7071067811865476,1B,Florida,2.0
Carlos Santana,-1740.8222138343153,0.6941056083938045,1B,Pennsylvania,2.0
Carlos Villanueva,-899.487661065134,-0.5102568297730847,RP,Illinois,2.0
Carlos Villanueva,-210.8053285383303,0.7905694150420948,RP,Missouri,2.0
Chad Qualls,617.5806051188652,-0.5324409543913041,RP,Florida,2.0
Chad Qualls,-180.3455988122805,-0.5325287151187511,RP,Texas,2.0
Charlie Morton,-94.99222313493556,0.758931998689661,SP,Florida,2.0
Charlie Morton,854.9908441753005,0.7683628603856266,SP,Texas,2.0
Chase Utley,-1234.086088508589,-0.669910641989637,2B,California,5.0
Chase Utley,-538.584710599466,0.7608861612721803,2B,California,5.0
Chaz Roe,316.0042420762825,0.645484773007035,RP,Maryland,1.0
Chris Capuano,-1089.5748673020403,-0.6776918635904803,RP,New York,2.0
Chris Capuano,-1239.2841952820143,-0.62919432566738,RP,California,5.0
Chris Capuano,1634.4152026395466,-0.6502841466721764,RP,New York,2.0
Chris Iannetta,682.7922113960828,0.7576767609436587,C,Arizona,1.0
Chris Iannetta,-978.7534993919107,0.7166528424781935,C,Washington,1.0
Chris Young,266.13271825058564,0.6599120175960898,RF,Arizona,1.0
Chris Young,-855.6083736465093,0.7650337473989959,RF,California,5.0
Chris Young,-634.9252475763387,0.7166528424781935,RF,Washington,1.0
Chris Young,1018.3306176221085,-0.6776918635904803,RF,New York,2.0
Chris Young,-1240.2256352137235,0.7074613232261974,RF,Massachusetts,1.0
Clay Buchholz,511.20435150212097,0.6680590795417206,SP,Arizona,1.0
Clayton Richard,981.8705713575728,0.7468016390580665,SP,Illinois,2.0
Clint Barmes,-1210.0624591100957,0.6282596204870265,SS,Pennsylvania,2.0
Cody Ross,760.1693424853324,-0.5216505933704916,RF,Massachusetts,1.0
Colby Lewis,464.1867650864001,0.7034682677932879,SP,Texas,2.0
Colby Lewis,625.4939055886125,-0.5384072800259824,SP,Texas,2.0
Colby Rasmus,-673.237983162498,0.6583132261787437,LF,Texas,2.0
Corey Hart,-929.9746408574015,0.7166528424781935,RF,Washington,1.0
Cory Gearrin,456.4130713268082,-0.6409665039853908,RP,California,5.0
Craig Stammen,220.9651650664789,-0.5161810303677112,RP,California,5.0
Curtis Granderson,-1535.151021407537,-0.6558884926917602,RF,New York,2.0
D.J. LeMahieu,325.95742679445357,0.7973722274670736,2B,New York,2.0
Dallas Keuchel,-400.16035833320166,0.7761987323164664,SP,Georgia,1.0
Dan Haren,-340.3266035841152,0.6825396825396826,SP,Washington DC,1.0
Dan Johnson,-275.658921203353,0.6869822470392353,1B,Illinois,2.0
Daniel Descalso,-87.91251869818825,-0.5569574694415405,3B,Colorado,1.0
Daniel Descalso,39.24406457521013,0.7576767609436587,3B,Arizona,1.0
Daniel Hudson,1570.7073629422434,-0.5246505481509285,RP,Arizona,1.0
Daniel Hudson,-1204.9237538405375,0.5964490067914808,RP,Pennsylvania,2.0
Daniel Hudson,1060.7687081720012,0.738095238095238,RP,Washington DC,1.0
Daniel Murphy,250.28194081664515,0.7506654835847382,2B,Washington DC,1.0
Darren O'Day,-1067.8456461132089,0.7100332503077386,RP,Maryland,1.0
David Hernandez,-360.51876278038503,-0.6111147204336758,RP,Pennsylvania,2.0
David Phelps,30.333864680709667,0.6559297999321454,RP,Pennsylvania,2.0
David Phelps,-328.665555559146,0.6494177833475624,RP,Illinois,2.0
David Robertson,-125.66140820263627,-0.6180581238982145,RP,Illinois,2.0
David Ross,-208.29003723949472,0.7333348921295317,C,Massachusetts,1.0
