Jugador,Anio_t,Anios_contrato_t,Valor_contrato_t,Valor_promedio_contrato_t,Juegos_t,Juegos_iniciados_t,Inning_pitched_t,Bateos_pitcher_t,Carreras_t,Carreras_ganadas_t,Walks_t,Strike_outs_t,Wins_t,Losses_t,Saves_t,WHIP_t,ERA_t,Equipo_t,ln_Sueldo_base_t,ln_Sueldo_t,ln_Sueldo_regular_t,Dominio_t,Control_t,Comando_t,Juegos_2_t,Juegos_iniciados_2_t,Inning_pitched_2_t,Bateos_pitcher_2_t,Carreras_2_t,Carreras_ganadas_2_t,Walks_2_t,Strike_outs_2_t,Wins_2_t,Losses_2_t,Saves_2_t,WHIP_2_t,ERA_2_t,Control_2_t,Comando_2_t,Anio_t_1,Anios_contrato_t_1,Valor_contrato_t_1,Valor_promedio_contrato_t_1,Juegos_t_1,Juegos_iniciados_t_1,Inning_pitched_t_1,Bateos_pitcher_t_1,Carreras_t_1,Carreras_ganadas_t_1,Walks_t_1,Strike_outs_t_1,Wins_t_1,Losses_t_1,Saves_t_1,WHIP_t_1,ERA_t_1,Equipo_t_1,Dominio_t_1,Control_t_1,Comando_t_1,Juegos_2_t_1,Juegos_iniciados_2_t_1,Inning_pitched_2_t_1,Bateos_pitcher_2_t_1,Carreras_2_t_1,Carreras_ganadas_2_t_1,Walks_2_t_1,Strike_outs_2_t_1,Wins_2_t_1,Losses_2_t_1,Saves_2_t_1,WHIP_2_t_1,ERA_2_t_1,Control_2_t_1,Comando_2_t_1
Chris Young,6,2,13000000,6500000,34,13,88.2,104,63,60,43,94,3,9,1,1.67,6.12,BOS,15.687312734865866,15.687312734865866,15.687312734865866,0.1184177374653565,0.0541698160745779,2.186046511627907,1156,169,7779.240000000001,10816,3969,3600,1849,8836,9,81,1,2.7889,37.4544,0.0029343689735536,4.77879935100054,5,1,675000,675000,33,18,121.7,91,44,42,42,80,11,6,0,1.09,3.11,NYY,0.0730393499497854,0.0383456587236373,1.9047619047619049,1089,324,14810.89,8281,1936,1764,1764,6400,121,36,0,1.1881000000000002,9.6721,0.0014703895429496,3.6281179138321993
Chris Young,6,2,13000000,6500000,34,13,88.2,104,63,60,43,94,3,9,1,1.67,6.12,BOS,15.687312734865866,15.687312734865866,15.687312734865866,0.1184177374653565,0.0541698160745779,2.186046511627907,1156,169,7779.240000000001,10816,3969,3600,1849,8836,9,81,1,2.7889,37.4544,0.0029343689735536,4.77879935100054,5,1,675000,675000,33,18,121.7,91,44,42,42,80,11,6,0,1.09,3.11,KC,0.0730393499497854,0.0383456587236373,1.9047619047619049,1089,324,14810.89,8281,1936,1764,1764,6400,121,36,0,1.1881000000000002,9.6721,0.0014703895429496,3.6281179138321993
Chris Young,6,2,13000000,6500000,34,13,88.2,104,63,60,43,94,3,9,1,1.67,6.12,KC,15.2624295409006,15.319587954740548,15.319587954740548,0.1184177374653565,0.0541698160745779,2.186046511627907,1156,169,7779.240000000001,10816,3969,3600,1849,8836,9,81,1,2.7889,37.4544,0.0029343689735536,4.77879935100054,5,1,675000,675000,33,18,121.7,91,44,42,42,80,11,6,0,1.09,3.11,NYY,0.0730393499497854,0.0383456587236373,1.9047619047619049,1089,324,14810.89,8281,1936,1764,1764,6400,121,36,0,1.1881000000000002,9.6721,0.0014703895429496,3.6281179138321993
Chris Young,6,2,13000000,6500000,34,13,88.2,104,63,60,43,94,3,9,1,1.67,6.12,KC,15.2624295409006,15.319587954740548,15.319587954740548,0.1184177374653565,0.0541698160745779,2.186046511627907,1156,169,7779.240000000001,10816,3969,3600,1849,8836,9,81,1,2.7889,37.4544,0.0029343689735536,4.77879935100054,5,1,675000,675000,33,18,121.7,91,44,42,42,80,11,6,0,1.09,3.11,KC,0.0730393499497854,0.0383456587236373,1.9047619047619049,1089,324,14810.89,8281,1936,1764,1764,6400,121,36,0,1.1881000000000002,9.6721,0.0014703895429496,3.6281179138321993
Chris Young,6,2,11500000,5750000,34,13,88.2,104,63,60,43,94,3,9,1,1.67,6.12,BOS,15.687312734865866,15.687312734865866,15.687312734865866,0.1184177374653565,0.0541698160745779,2.186046511627907,1156,169,7779.240000000001,10816,3969,3600,1849,8836,9,81,1,2.7889,37.4544,0.0029343689735536,4.77879935100054,5,1,675000,675000,33,18,121.7,91,44,42,42,80,11,6,0,1.09,3.11,NYY,0.0730393499497854,0.0383456587236373,1.9047619047619049,1089,324,14810.89,8281,1936,1764,1764,6400,121,36,0,1.1881000000000002,9.6721,0.0014703895429496,3.6281179138321993
Chris Young,6,2,11500000,5750000,34,13,88.2,104,63,60,43,94,3,9,1,1.67,6.12,BOS,15.687312734865866,15.687312734865866,15.687312734865866,0.1184177374653565,0.0541698160745779,2.186046511627907,1156,169,7779.240000000001,10816,3969,3600,1849,8836,9,81,1,2.7889,37.4544,0.0029343689735536,4.77879935100054,5,1,675000,675000,33,18,121.7,91,44,42,42,80,11,6,0,1.09,3.11,KC,0.0730393499497854,0.0383456587236373,1.9047619047619049,1089,324,14810.89,8281,1936,1764,1764,6400,121,36,0,1.1881000000000002,9.6721,0.0014703895429496,3.6281179138321993
Chris Young,6,2,11500000,5750000,34,13,88.2,104,63,60,43,94,3,9,1,1.67,6.12,KC,15.2624295409006,15.319587954740548,15.319587954740548,0.1184177374653565,0.0541698160745779,2.186046511627907,1156,169,7779.240000000001,10816,3969,3600,1849,8836,9,81,1,2.7889,37.4544,0.0029343689735536,4.77879935100054,5,1,675000,675000,33,18,121.7,91,44,42,42,80,11,6,0,1.09,3.11,NYY,0.0730393499497854,0.0383456587236373,1.9047619047619049,1089,324,14810.89,8281,1936,1764,1764,6400,121,36,0,1.1881000000000002,9.6721,0.0014703895429496,3.6281179138321993
Chris Young,6,2,11500000,5750000,34,13,88.2,104,63,60,43,94,3,9,1,1.67,6.12,KC,15.2624295409006,15.319587954740548,15.319587954740548,0.1184177374653565,0.0541698160745779,2.186046511627907,1156,169,7779.240000000001,10816,3969,3600,1849,8836,9,81,1,2.7889,37.4544,0.0029343689735536,4.77879935100054,5,1,675000,675000,33,18,121.7,91,44,42,42,80,11,6,0,1.09,3.11,KC,0.0730393499497854,0.0383456587236373,1.9047619047619049,1089,324,14810.89,8281,1936,1764,1764,6400,121,36,0,1.1881000000000002,9.6721,0.0014703895429496,3.6281179138321993
Mark Lowe,6,2,11000000,5500000,54,0,49.3,57,41,39,21,49,1,3,0,1.58,7.12,DET,15.520258650202699,15.520258650202699,15.520258650202699,0.1104349785891368,0.0473292765382014,2.333333333333333,2916,0,2430.49,3249,1681,1521,441,2401,1,9,0,2.4964000000000004,50.6944,0.0022400604176295,5.4444444444444455,5,1,0,0,57,0,55.0,46,15,12,12,61,1,3,1,1.05,1.96,TOR,0.1232323232323232,0.0242424242424242,5.083333333333333,3249,0,3025.0,2116,225,144,144,3721,1,9,1,1.1025,3.8416,0.0005876951331496,25.84027777777777
Jason Motte,6,2,10000000,5000000,30,0,23.7,28,15,13,8,24,0,1,0,1.52,4.94,COL,15.424948470398375,15.424948470398375,15.424948470398375,0.1125175808720112,0.0375058602906704,3.0,900,0,561.6899999999999,784,225,169,64,576,0,1,0,2.3104,24.403600000000004,0.0014066895561432,9.0,5,1,4500000,4500000,57,0,48.3,48,21,21,11,34,8,1,6,1.22,3.91,CHC,0.0782148608235564,0.0253048079135035,3.090909090909091,3249,0,2332.89,2304,441,441,121,1156,64,1,36,1.4884,15.288100000000002,0.0006403333035393,9.553719008264462
