Jugador,Juegos,Wins,Saves,WHIP,ERA,Equipo,Sueldo,Agente libre
Ervin Santana,33,16,0,1.13,3.28,MIN,13500000,No
Jeff Samardzija,35,9,0,1.14,4.42,SF,19800000,No
Justin Verlander,33,15,0,1.17,3.36,HOU,28000000,No
Carlos Martinez,34,12,0,1.22,3.64,STL,3700000,No
Rick Porcello,33,11,0,1.39,4.65,BOS,20125000,No
Gerrit Cole,34,12,0,1.25,4.26,PIT,3750000,No
Zack Greinke,33,17,0,1.07,3.2,ARI,34000000,No
Jacob deGrom,37,15,0,1.19,3.53,NYM,4050000,No
Gio Gonzalez,32,15,0,1.18,2.96,WSH,12000000,No
Chris Archer,34,10,0,1.26,4.12,TB,4916666,No
Marcus Stroman,34,13,0,1.31,3.09,TOR,3400000,No
Max Scherzer,31,16,0,0.9,2.51,WSH,22242857,No
Clayton Richard,32,8,0,1.51,4.79,SD,2750000,Si
Luis Severino,31,14,0,1.04,2.98,NYY,550975,No
Zach Davies,33,17,0,1.35,4.0,MIL,546200,No
R.A. Dickey,31,10,0,1.37,4.31,ATL,7500000,Si
Patrick Corbin,35,14,0,1.42,4.04,ARI,3950000,No
Jose Quintana,32,11,0,1.22,4.15,CHC,7000000,No
Julio Teheran,37,11,0,1.38,4.54,ATL,6466666,No
Ivan Nova,31,11,0,1.28,4.14,PIT,8416666,Si
Yu Darvish,31,10,0,1.16,3.86,LAD,11000000,No
Kevin Gausman,34,11,0,1.5,4.68,BAL,3550000,No
Lance Lynn,33,11,0,1.23,3.43,STL,8500000,No
Mike Leake,32,10,0,1.27,3.92,SEA,15000000,No
Marco Estrada,33,10,0,1.38,4.98,TOR,14500000,No
Martin Perez,32,13,0,1.53,4.77,TEX,4650000,No
Dan Straily,33,10,0,1.3,4.26,MIA,552100,No
Tanner Roark,32,13,0,1.34,4.67,WSH,4315000,No
Ricky Nolasco,33,6,0,1.45,4.92,LAA,12000000,No
Jon Lester,32,13,0,1.32,4.33,CHC,25000000,No
Jason Hammel,32,8,0,1.42,5.29,KC,5000000,Si
Jhoulys Chacin,34,13,0,1.27,3.89,SD,1750000,Si
Jason Vargas,32,18,0,1.33,4.16,KC,8000000,No
Alex Cobb,29,12,0,1.22,3.66,TB,4200000,No
Masahiro Tanaka,30,13,0,1.24,4.74,NYY,22000000,No
Stephen Strasburg,28,15,0,1.02,2.57,WSH,18333333,No
Jimmy Nelson,29,12,0,1.25,3.49,MIL,547000,No
Clayton Kershaw,27,18,0,0.95,2.31,LAD,35571428,No
Matt Moore,32,6,0,1.53,5.52,SF,7000000,No
Drew Pomeranz,32,17,0,1.36,3.32,BOS,4450000,No
John Lackey,32,12,0,1.28,4.59,CHC,16000000,No
Dylan Bundy,28,13,0,1.2,4.14,BAL,1640000,No
Jose Urena,36,14,0,1.27,3.82,MIA,535000,No
Jake Arrieta,32,14,0,1.22,3.53,CHC,15637500,No
Aaron Nola,27,12,0,1.21,3.54,PHI,544000,No
Andrew Cashner,28,11,0,1.32,3.4,TEX,10000000,Si
Michael Wacha,30,12,0,1.36,4.13,STL,2775000,No
Michael Fulmer,25,10,0,1.15,3.83,DET,551900,No
Jeremy Hellickson,30,8,0,1.26,5.43,BAL,17200000,No
Luis Perdomo,29,8,0,1.51,4.73,SD,544300,No
Ty Blach,38,8,0,1.36,4.78,SF,536500,No
Sonny Gray,27,10,0,1.21,3.55,NYY,3575000,No
Robbie Ray,28,15,0,1.15,2.89,ARI,570400,No
German Marquez,29,11,0,1.38,4.39,COL,537000,No
Jordan Zimmermann,29,8,0,1.55,6.08,DET,18000000,No
Ariel Miranda,32,8,0,1.27,5.12,SEA,540500,No
Sean Manaea,29,12,0,1.4,4.37,OAK,537500,No
Kyle Gibson,29,12,0,1.53,5.07,MIN,2900000,No
Wade Miley,32,8,0,1.72,5.61,BAL,8916668,No
Taijuan Walker,28,9,0,1.33,3.49,ARI,2250000,No
Chad Kuhl,33,8,0,1.47,4.35,PIT,550000,No
Jaime Garcia,27,5,0,1.41,4.47,NYY,12000000,No
Miguel Gonzalez,27,8,0,1.43,4.85,TEX,5900000,No
Kyle Freeland,35,11,0,1.49,4.1,COL,535000,No
Jordan Montgomery,29,9,0,1.23,3.88,NYY,535000,No
Zack Godley,27,8,0,1.14,3.37,ARI,535000,No
Ian Kennedy,30,5,0,1.33,5.38,KC,13500000,No
Mike Foltynewicz,29,10,0,1.48,4.79,ATL,544000,No
Michael Fiers,30,8,0,1.43,5.22,HOU,3450000,No
Alex Wood,27,16,0,1.06,2.72,LAD,2800000,No
Trevor Williams,31,7,0,1.32,4.13,PIT,544000,No
C.C. Sabathia,27,14,0,1.27,3.69,NYY,25000000,No
Cole Hamels,24,11,0,1.2,4.2,TEX,22500000,No
Tyler Chatwood,35,8,1,1.44,4.63,COL,4400000,No
Johnny Cueto,25,8,0,1.45,4.52,SF,23500000,No
J.C. Ramirez,27,11,0,1.34,4.15,LAA,550000,No
Charlie Morton,25,14,0,1.19,3.62,HOU,8875000,Si
Danny Duffy,24,9,0,1.26,3.81,KC,5000000,No
Dallas Keuchel,23,14,0,1.12,2.9,HOU,9150000,No
Jose Berrios,26,14,0,1.23,3.89,MIN,535000,No
J.A. Happ,25,10,0,1.31,3.53,TOR,13000000,No
Jake Odorizzi,28,10,0,1.24,4.14,TB,4100000,No
Bartolo Colon,28,7,0,1.59,6.48,MIN,535000,Si
Ubaldo Jimenez,31,6,0,1.59,6.81,BAL,13500000,No
Chase Anderson,25,12,0,1.09,2.74,MIL,2450000,No
Kyle Hendricks,25,7,0,1.19,3.03,CHC,760500,No
Jesse Chavez,38,7,0,1.4,5.35,LAA,6550000,Si
Eduardo Rodriguez,25,6,0,1.28,4.19,BOS,584500,No
James Paxton,24,12,0,1.1,2.98,SEA,2350000,No
Rich Hill,25,12,0,1.09,3.32,LAD,12666666,Si
Matt Boyd,26,6,0,1.56,5.4,DET,544200,No
Antonio Senzatela,36,10,0,1.3,4.68,COL,535000,No
Kenta Maeda,30,13,1,1.15,4.22,LAD,7375000,No
Jameson Taillon,25,8,0,1.48,4.44,PIT,555500,No
Nick Pivetta,26,8,0,1.5,5.89,PHI,535000,No
Brad Peacock,34,13,0,1.19,3.0,HOU,541500,No
Erasmo Ramirez,37,5,1,1.17,4.39,SEA,3125000,No
Yovani Gallardo,28,5,1,1.51,5.72,SEA,11000000,No
Mike Montgomery,44,7,3,1.2,3.17,CHC,570500,No
Blake Snell,24,5,0,1.33,4.04,TB,545000,No
Jharel Cotton,24,9,0,1.44,5.65,OAK,535000,No
Jerad Eickhoff,24,4,0,1.52,4.64,PHI,552000,No
Hyun-Jin Ryu,25,5,1,1.37,3.77,LAD,7833333,No
Matt Cain,27,3,0,1.66,5.43,SF,20833334,No
Adam Wainwright,26,12,0,1.5,5.11,STL,19500000,No
Tim Adleman,30,5,0,1.43,5.52,CIN,535000,No
Parker Bridwell,21,10,0,1.2,3.65,LAA,535000,No
Mike Pelfrey,34,3,0,1.58,5.93,CHW,535000,No
