Jugador,Posicion,Juegos,Juegos_iniciados,Inning_pitched,Bateos_pitcher,Carreras,Carreras_ganadas,Walks,Strike-outs,Wins,Losses,Saves,WHIP,ERA,Equipo,Sueldo_base,Sueldo,Sueldo_regular,Dominio,Control,Comando,Juegos_2,Juegos_iniciados_2,Inning_pitched_2,Bateos_pitcher_2,Carreras_2,Carreras_ganadas_2,Walks_2,Strike-outs_2,Wins_2,Losses_2,Saves_2,WHIP_2,ERA_2,Control_2,Comando_2,Juegos_2_2,Agente libre
Justin Verlander,SP,34,34,223.0,137,66,64,42,300,21,6,0,0.8,2.58,HOU,28000000,28075000,20000000,0.14947683109118087,0.02092675635276532,7.142857142857143,1156,1156,49729.0,18769,4356,4096,1764,90000,441,36,0,0.6400000000000001,6.6564000000000005,0.00043792913144800373,51.02040816326531,1336336,No
Trevor Bauer,SP,34,34,213.0,184,118,106,82,253,11,13,0,1.25,4.48,CIN,13000000,13000000,4193548,0.13197704747000522,0.04277516953573292,3.0853658536585367,1156,1156,45369.0,33856,13924,11236,6724,64009,121,169,0,1.5625,20.070400000000003,0.0018297151288106934,9.519482450922071,1336336,No
Gerrit Cole,SP,34,33,212.3,142,66,59,48,326,20,5,0,0.89,2.5,HOU,13500000,13500000,13500000,0.17061809807923797,0.025121683152771235,6.791666666666667,1156,1089,45071.29000000001,20164,4356,3481,2304,106276,400,25,0,0.7921,6.25,0.0006310989644282302,46.126736111111114,1336336,No
Stephen Strasburg,SP,34,33,209.0,161,79,77,56,251,18,6,0,1.04,3.32,WSH,35000000,39333334,5000000,0.13343965975544922,0.029771398192450824,4.482142857142857,1156,1089,43681.0,25921,6241,5929,3136,63001,324,36,0,1.0816000000000001,11.0224,0.0008863361503334641,20.089604591836732,1336336,No
Zack Greinke,SP,36,33,208.7,175,73,68,30,187,18,5,0,0.98,2.93,HOU,31500000,34500000,4537635,0.09955811105787148,0.015971889474524836,6.233333333333333,1296,1089,43555.689999999995,30625,5329,4624,900,34969,324,25,0,0.9603999999999999,8.584900000000001,0.00025510125338643725,38.85444444444445,1679616,No
Mike Minor,SP,33,32,208.3,190,86,83,68,200,14,10,0,1.24,3.59,TEX,9500000,9833333,9833333,0.10668373606443697,0.03627247026190857,2.9411764705882355,1089,1024,43388.89000000001,36100,7396,6889,4624,40000,196,100,0,1.5376,12.8881,0.0013156920989010417,8.65051903114187,1185921,No
Lance Lynn,SP,33,33,208.3,195,89,85,59,246,16,11,0,1.22,3.67,TEX,8000000,9333333,9333333,0.1312209953592575,0.031471702139008906,4.169491525423729,1089,1089,43388.89000000001,38025,7921,7225,3481,60516,256,121,0,1.4884,13.4689,0.0009904680355264978,17.384659580580298,1185921,Si
Madison Bumgarner,SP,37,34,207.7,191,99,90,43,203,9,9,0,1.13,3.9,SF,12000000,12000000,12000000,0.10859680094152892,0.023003263253624354,4.72093023255814,1369,1156,43139.28999999999,36481,9801,8100,1849,41209,81,81,0,1.2768999999999997,15.209999999999999,0.0005291501203155445,22.287182260681455,1874161,No
Jacob deGrom,SP,34,32,204.0,154,59,55,44,255,11,8,0,0.97,2.43,NYM,7000000,9500000,9500000,0.1388888888888889,0.023965141612200435,5.795454545454546,1156,1024,41616.0,23716,3481,3025,1936,65025,121,64,0,0.9409,5.9049000000000005,0.0005743280124928208,33.58729338842976,1336336,No
Eduardo Rodriguez,SP,34,34,203.3,195,88,86,75,213,19,6,0,1.33,3.81,BOS,4300000,4325000,4325000,0.11641252664371209,0.04099032628299721,2.84,1156,1156,41330.89000000001,38025,7744,7396,5625,45369,361,36,0,1.7689000000000001,14.5161,0.001680206848786572,8.0656,1336336,No
Marco Gonzales,SP,35,35,203.0,210,106,90,56,147,16,13,0,1.31,3.99,SEA,900000,900000,900000,0.08045977011494253,0.03065134099616858,2.625,1225,1225,41209.0,44100,11236,8100,3136,21609,256,169,0,1.7161000000000002,15.920100000000001,0.0009395047048634047,6.890625,1500625,No
Aaron Nola,SP,34,34,202.3,176,91,87,80,229,12,7,0,1.26,3.87,PHI,4000000,4500000,4500000,0.12577580051628495,0.043939144285165044,2.8625,1156,1156,40925.29000000001,30976,8281,7569,6400,52441,144,49,0,1.5876000000000001,14.9769,0.001930648400512552,8.19390625,1336336,No
Patrick Corbin,SP,33,33,202.0,169,81,73,70,238,14,7,0,1.18,3.25,WSH,12500000,12916666,12916666,0.13091309130913092,0.03850385038503851,3.4,1089,1089,40804.0,28561,6561,5329,4900,56644,196,49,0,1.3923999999999999,10.5625,0.00148254649447343,11.559999999999999,1185921,Si
Jose Berrios,SP,32,32,200.3,194,94,82,51,195,14,8,0,1.22,3.68,MIN,620000,620000,620000,0.10817107671825595,0.028290896987851557,3.823529411764706,1024,1024,40120.090000000004,37636,8836,6724,2601,38025,196,64,0,1.4884,13.5424,0.0008003748523772283,14.619377162629759,1048576,No
