Jugador,Valor_contrato,Valor_promedio_contrato,Posicion,Juegos,Juegos_iniciados,Inning_pitched,Bateos,Carreras,Carreras_ganadas,Walks,Strike-outs,Wins,Losses,Saves,WHIP,ERA,Equipo,Sueldo
David Price,217000000,31000000,SP,35,35,230.0,227,106,102,50,228,17,9,0,1.2,3.99,BOS,30000000
Zack Greinke,206500000,34416667,SP,27,26,158.7,161,80,77,41,134,13,7,0,1.27,4.37,ARI,34000000
Johnny Cueto,130000000,21666667,SP,32,32,219.7,195,71,68,45,198,18,5,0,1.09,2.79,SF,17500000
Jordan Zimmermann,110000000,22000000,SP,19,18,105.3,118,63,57,26,66,9,7,0,1.37,4.87,DET,18000000
Jeff Samardzija,90000000,18000000,SP,34,32,203.3,190,88,86,54,167,12,11,0,1.2,3.81,SF,10800000
Mike Leake,80000000,16000000,SP,34,30,176.7,203,101,92,30,125,9,12,0,1.32,4.69,STL,12000000
Wei-Yin Chen,80000000,16000000,SP,22,22,123.3,134,69,68,24,100,5,5,0,1.28,4.96,MIA,12500000
Ian Kennedy,70000000,14000000,SP,33,33,195.4,173,81,80,66,184,11,11,0,1.22,3.68,KC,7500000
Scott Kazmir,48000000,16000000,SP,27,26,136.3,133,71,69,52,134,10,6,0,1.36,4.56,LAD,12666666
J.A. Happ,36000000,12000000,SP,32,32,195.0,168,72,69,60,163,20,4,0,1.17,3.19,TOR,10000000
John Lackey,32000000,16000000,SP,29,29,188.3,146,74,70,53,180,11,8,0,1.06,3.35,CHC,16000000
Darren O'Day,31000000,7750000,RP,34,0,31.0,25,13,13,13,38,3,1,3,1.23,3.77,BAL,6000000
Marco Estrada,26000000,13000000,SP,29,29,176.0,132,73,68,65,165,9,9,0,1.12,3.48,TOR,11500000
Joakim Soria,25000000,8333333,RP/CL,70,0,66.7,70,31,30,27,68,5,8,1,1.46,4.05,KC,7000000
Yovani Gallardo,22000000,11000000,RP,24,23,117.8,126,74,71,61,85,6,8,0,1.59,5.43,BAL,9000000
Ryan Madson,22000000,7333333,RP,63,0,64.7,63,27,26,20,49,6,7,30,1.28,3.62,OAK,7916666
Tony Sipp,18000000,6000000,RP,60,0,43.7,52,26,24,18,40,1,2,1,1.6,4.95,HOU,6000000
