Jugador,Anio,Status,Equipo_anterior,Anios_contrato,Valor_contrato,Valor_promedio_contrato,Posicion,Juegos,Juegos_iniciados,Inning_pitched,Bateos_pitcher,Carreras,Carreras_ganadas,Walks,Strike-outs,Wins,Losses,Saves,WHIP,ERA,Equipo,Sueldo_base,Sueldo,Sueldo_regular,Dominio,Control,Comando,Juegos_2,Juegos_iniciados_2,Inning_pitched_2,Bateos_pitcher_2,Carreras_2,Carreras_ganadas_2,Walks_2,Strike-outs_2,Wins_2,Losses_2,Saves_2,WHIP_2,ERA_2,Control_2,Comando_2,Juegos_2_2
Aroldis Chapman,2017,UFA,CHC,5,86000000,17200000,RP/CL,52,0,50.3,37,20,18,20,69,4,3,22,1.13,3.22,NYY,15000000,17200000,17200000,0.15241882041086813,0.04417936823503424,3.45,2704,0,2530.0899999999997,1369,400,324,400,4761,16,9,484,1.2768999999999997,10.368400000000001,0.0019518165776467524,11.902500000000002,7311616
Kenley Jansen,2017,UFA,LAD,5,80000000,16000000,RP/CL,65,0,68.3,44,11,10,7,109,5,0,41,0.75,1.32,LAD,10000000,11333333,11333333,0.17732227102651701,0.011387668781519441,15.571428571428571,4225,0,4664.889999999999,1936,121,100,49,11881,25,0,1681,0.5625,1.7424000000000002,0.0001296790002775925,242.46938775510202,17850625
Mark Melancon,2017,UFA,WSH,4,62000000,15500000,RP/CL,32,0,30.0,37,16,15,6,29,1,2,11,1.43,4.5,SF,4000000,14000000,14000000,0.10740740740740741,0.022222222222222223,4.833333333333333,1024,0,900.0,1369,256,225,36,841,1,4,121,2.0448999999999997,20.25,0.0004938271604938272,23.361111111111107,1048576
Rich Hill,2017,UFA,LAD,3,48000000,16000000,SP,25,25,135.7,99,51,50,49,166,12,8,0,1.09,3.32,LAD,12000000,12666666,12666666,0.13592074019487432,0.040121182346679767,3.3877551020408165,625,625,18414.489999999998,9801,2601,2500,2401,27556,144,64,0,1.1881000000000002,11.0224,0.0016097092728955282,11.476884631403584,390625
Brett Cecil,2017,UFA,TOR,4,30500000,7625000,RP,73,0,67.3,67,31,29,16,66,2,4,1,1.23,3.88,STL,7500000,7750000,7750000,0.1089648340762754,0.02641571735182434,4.125,5329,0,4529.29,4489,961,841,256,4356,4,16,1,1.5129,15.0544,0.0006977901232114735,17.015625,28398241
Ivan Nova,2017,UFA,PIT,3,26000000,8666667,SP,31,31,187.0,203,96,86,36,131,11,14,0,1.28,4.14,PIT,7000000,8416666,8416666,0.0778371954842543,0.0213903743315508,3.638888888888889,961,961,34969.0,41209,9216,7396,1296,17161,121,196,0,1.6384,17.139599999999998,0.0004575481140438674,13.241512345679013,923521
Edinson Volquez,2017,UFA,KC,2,22000000,11000000,SP,17,17,92.3,78,46,43,53,81,4,8,0,1.42,4.19,MIA,9000000,9000000,9000000,0.09750812567713978,0.06380161309738774,1.528301886792453,289,289,8519.289999999999,6084,2116,1849,2809,6561,16,64,0,2.0164,17.556100000000004,0.004070645833828759,2.335706657173372,83521
Michael Dunn,2017,UFA,MIA,3,19000000,6333333,RP,68,0,50.3,43,25,25,28,57,5,1,0,1.41,4.47,COL,4000000,4000000,4000000,0.12591119946984758,0.061851115529047936,2.0357142857142856,4624,0,2530.0899999999997,1849,625,625,784,3249,25,1,0,1.9880999999999998,19.9809,0.003825560492187635,4.144132653061224,21381376
Jason Hammel,2017,UFA,CHC,2,16000000,8000000,SP,32,32,180.3,209,109,106,48,145,8,13,0,1.42,5.29,KC,5000000,5000000,5000000,0.08935724409934061,0.029580329081161028,3.0208333333333335,1024,1024,32508.090000000004,43681,11881,11236,2304,21025,64,169,0,2.0164,27.9841,0.0008749958685497809,9.125434027777779,1048576
Brad Ziegler,2017,UFA,BOS,2,16000000,8000000,RP,53,0,47.0,57,29,25,16,26,1,4,10,1.55,4.79,MIA,7000000,7000000,7000000,0.061465721040189124,0.037825059101654845,1.625,2809,0,2209.0,3249,841,625,256,676,1,16,100,2.4025000000000003,22.9441,0.0014307350960436822,2.640625,7890481
Charlie Morton,2017,UFA,PHI,2,14000000,7000000,SP,25,25,146.7,125,65,59,50,163,14,7,0,1.19,3.62,HOU,7000000,8875000,8875000,0.1234567901234568,0.03787018101946527,3.26,625,625,21520.889999999996,15625,4225,3481,2500,26569,196,49,0,1.4161,13.1044,0.0014341506104470678,10.6276,390625
Bartolo Colon,2017,UFA,NYM,1,12500000,12500000,SP,28,28,143.0,192,112,103,35,89,7,14,0,1.59,6.48,MIN,535000,535000,222148,0.06915306915306915,0.027195027195027196,2.5428571428571427,784,784,20449.0,36864,12544,10609,1225,7921,49,196,0,2.5281000000000002,41.99040000000001,0.0007395695041382687,6.466122448979591,614656
