Jugador,Valor_contrato,Valor_promedio_contrato,Posicion,Juegos,Juegos_iniciados,Inning_pitched,Bateos_pitcher,Carreras,Carreras_ganadas,Walks,Strike-outs,Wins,Losses,Saves,WHIP,ERA,Equipo,Sueldo
Trevor Bauer,102000000,34000000,SP,17,17,107.7,71,36,31,37,137,8,5,0,1.0,2.59,LAD,31333333
Liam Hendriks,54000000,18000000,RP/CL,69,0,71.0,45,23,20,7,113,8,3,38,0.73,2.54,CHW,11333333
Justin Turner,34000000,17000000,3B,151,139,1.0,2,0,0,0,0,0,0,0,2.0,0.0,LAD,12000000
Jake Odorizzi,23500000,7833333,SP,24,23,104.7,97,51,49,34,91,6,7,0,1.25,4.21,HOU,9000000
Taijuan Walker,23000000,7666667,SP,31,29,159.0,133,84,79,55,146,7,11,0,1.18,4.47,NYM,10000000
Mike Minor,18000000,9000000,SP,28,28,158.7,156,92,89,41,149,8,12,0,1.24,5.05,KC,7000000
Blake Treinen,17500000,8750000,RP/CL,72,0,72.3,46,20,16,25,85,6,5,7,0.98,1.99,LAD,8000000
Trevor May,15500000,7750000,RP,68,0,62.7,55,29,25,24,83,7,3,4,1.26,3.59,NYM,8000000
Charlie Morton,15000000,15000000,SP,34,33,185.7,136,77,69,58,216,14,6,0,1.04,3.35,ATL,15000000
Pedro Baez,12500000,6250000,RP,4,0,4.3,2,1,1,1,5,0,0,0,0.69,2.08,HOU,4750000
Drew Smyly,11000000,11000000,SP,32,23,126.7,133,69,63,41,117,11,4,0,1.37,4.48,ATL,11000000
Corey Kluber,11000000,11000000,SP,16,16,80.0,74,37,34,33,82,5,3,0,1.34,3.83,NYY,11000000
Brad Hand,10500000,10500000,RP,68,0,64.7,56,39,28,26,61,6,7,21,1.27,3.9,NYM,10500000
Garrett Richards,10000000,10000000,RP,40,22,136.7,158,86,74,60,115,7,8,3,1.6,4.87,BOS,9500000
James Paxton,8500000,8500000,SP,1,1,1.3,0,1,1,1,2,0,0,0,0.75,6.75,SEA,8500000
Robbie Ray,8000000,8000000,SP,32,32,193.3,150,62,61,52,248,13,7,0,1.04,2.84,TOR,8000000
Adam Wainwright,8000000,8000000,SP,34,32,206.3,168,72,70,50,174,17,7,0,1.06,3.05,STL,8000000
J.A. Happ,8000000,8000000,SP,30,30,152.3,177,100,98,48,122,10,8,0,1.48,5.79,STL,8000000
Kevin Pillar,6500000,3250000,CF,124,82,0.3,0,0,0,0,0,0,0,0,0.0,0.0,NYM,3600000
Chris Archer,6500000,6500000,SP,6,5,19.3,18,11,10,8,21,1,1,0,1.35,4.66,TB,6500000
Alex Colome,6250000,6250000,RP,67,0,65.0,68,41,30,23,58,4,4,17,1.4,4.15,MIN,5000000
Archie Bradley,6000000,6000000,RP,53,0,51.0,51,24,21,22,40,7,3,2,1.43,3.71,PHI,6000000
Anthony DeSclafani,6000000,6000000,SP,34,31,167.7,141,61,59,42,152,13,7,0,1.09,3.17,SF,6125000
Justin Wilson,5150000,2575000,RP,42,0,34.0,32,22,20,16,29,1,1,0,1.41,5.29,CIN,2850000
Jon Lester,5000000,5000000,SP,30,28,141.3,159,84,74,55,91,7,6,0,1.51,4.71,STL,2000000
Jake McGee,5000000,2500000,RP,62,0,59.7,44,25,18,10,58,3,2,31,0.9,2.72,SF,2000000
Anthony Bass,5000000,2500000,RP,70,1,61.3,55,33,26,24,58,3,9,0,1.29,3.82,MIA,1000000
