Jugador,Posicion,Juegos,Juegos_iniciados,Inning_pitched,Bateos_pitcher,Carreras,Carreras_ganadas,Walks,Strike-outs,Wins,Losses,Saves,WHIP,ERA,Equipo,Sueldo
Justin Verlander,SP,34,34,223.0,137,66,64,42,300,21,6,0,0.8,2.58,HOU,28075000
Trevor Bauer,SP,34,34,213.0,184,118,106,82,253,11,13,0,1.25,4.48,CIN,13000000
Gerrit Cole,SP,34,33,212.3,142,66,59,48,326,20,5,0,0.89,2.5,HOU,13500000
Stephen Strasburg,SP,34,33,209.0,161,79,77,56,251,18,6,0,1.04,3.32,WSH,39333334
Zack Greinke,SP,36,33,208.7,175,73,68,30,187,18,5,0,0.98,2.93,HOU,34500000
Mike Minor,SP,33,32,208.3,190,86,83,68,200,14,10,0,1.24,3.59,TEX,9833333
Madison Bumgarner,SP,37,34,207.7,191,99,90,43,203,9,9,0,1.13,3.9,SF,12000000
Jacob deGrom,SP,34,32,204.0,154,59,55,44,255,11,8,0,0.97,2.43,NYM,9500000
Eduardo Rodriguez,SP,34,34,203.3,195,88,86,75,213,19,6,0,1.33,3.81,BOS,4325000
Marco Gonzales,SP,35,35,203.0,210,106,90,56,147,16,13,0,1.31,3.99,SEA,900000
Aaron Nola,SP,34,34,202.3,176,91,87,80,229,12,7,0,1.26,3.87,PHI,4500000
Jose Berrios,SP,32,32,200.3,194,94,82,51,195,14,8,0,1.22,3.68,MIN,620000
Noah Syndergaard,SP,32,32,197.7,194,101,94,50,202,10,8,0,1.23,4.28,NYM,6000000
Sandy Alcantara,SP,33,32,197.3,179,94,85,81,151,6,14,0,1.32,3.88,MIA,555000
Mike Leake,SP,32,32,197.0,227,114,94,27,127,12,11,0,1.29,4.29,ARI,16000000
Jack Flaherty,SP,38,33,196.3,135,62,60,55,231,11,8,0,0.97,2.75,STL,562100
Zack Wheeler,SP,31,31,195.3,196,93,86,50,195,11,8,0,1.26,3.96,NYM,5975000
Luis Castillo,SP,32,32,190.7,139,76,72,79,226,15,8,0,1.14,3.4,CIN,557500
Ivan Nova,SP,34,34,187.0,225,107,98,47,114,11,12,0,1.46,4.72,CHW,9166668
Matt Boyd,SP,33,32,185.3,178,101,94,50,238,9,12,0,1.23,4.57,DET,2600000
Marcus Stroman,SP,32,32,184.3,183,77,66,58,159,10,13,0,1.31,3.22,NYM,7400000
Miles Mikolas,SP,32,32,184.0,193,90,85,32,144,9,14,0,1.22,4.16,STL,8750000
Reynaldo Lopez,SP,33,33,184.0,203,119,110,65,169,10,15,0,1.46,5.38,CHW,580000
Merrill Kelly,RP,32,32,183.3,184,95,90,57,158,13,14,0,1.32,4.42,ARI,2000000
Hyun-Jin Ryu,SP,30,29,182.7,160,53,47,24,163,14,5,0,1.01,2.32,LAD,17900000
Walker Buehler,SP,30,30,182.3,153,77,66,37,215,14,4,0,1.04,3.26,LAD,570000
Masahiro Tanaka,SP,32,31,182.0,186,95,90,40,149,11,9,0,1.24,4.45,NYY,22000000
Jeff Samardzija,SP,32,32,181.3,152,78,71,49,140,11,12,0,1.11,3.52,SF,19800000
Yu Darvish,SP,31,31,178.7,140,82,79,56,229,6,8,0,1.1,3.98,CHC,20000000
Clayton Kershaw,SP,29,28,178.3,145,63,60,41,189,16,5,0,1.04,3.03,LAD,31000000
Kyle Hendricks,SP,31,30,177.0,168,78,68,32,150,11,10,0,1.13,3.46,CHC,7405000
Lucas Giolito,SP,29,29,176.7,131,69,67,57,228,14,9,0,1.06,3.41,CHW,573000
Sonny Gray,SP,34,31,175.3,122,59,56,68,205,11,8,0,1.08,2.88,CIN,7500000
Jake Junis,SP,31,31,175.3,192,108,102,58,164,9,14,0,1.43,5.24,KC,578250
Julio Teheran,SP,35,33,174.7,148,81,74,83,162,10,11,0,1.32,3.81,ATL,11166668
Michael Soroka,SP,29,29,174.7,153,56,52,41,142,13,4,0,1.11,2.68,ATL,555000
Dakota Hudson,SP,33,32,174.7,160,80,65,86,136,16,7,1,1.41,3.35,STL,559100
Rick Porcello,SP,32,32,174.3,198,114,107,45,143,14,12,0,1.39,5.52,BOS,21125000
Robbie Ray,SP,34,33,174.3,150,91,84,84,235,12,8,0,1.34,4.34,ARI,6050000
German Marquez,SP,29,28,174.0,174,96,92,35,175,12,5,0,1.2,4.76,COL,1300000
Max Scherzer,SP,29,27,172.3,144,59,56,33,243,11,7,0,1.03,2.93,WSH,37505562
Jon Lester,SP,32,31,171.7,205,101,85,52,165,13,10,0,1.5,4.46,CHC,27500000
Adam Wainwright,SP,32,32,171.7,181,83,80,64,153,14,10,0,1.43,4.19,STL,10000000
Jose Quintana,SP,32,31,171.0,191,100,89,46,152,13,9,0,1.39,4.68,CHC,10500000
Joe Musgrove,SP,46,31,170.3,168,98,84,39,157,11,12,0,1.22,4.44,PIT,582500
