Jugador,Posicion,Juegos,Juegos_iniciados,Inning_pitched,Bateos,Carreras,Carreras_ganadas,Walks,Strike-outs,Wins,Losses,Saves,WHIP,ERA,Equipo,Sueldo
Walker Buehler,SP,34,33,207.7,149,61,57,52,212,16,4,0,0.97,2.47,LAD,3750000
Sandy Alcantara,SP,33,33,205.7,171,85,73,50,201,8,15,0,1.08,3.19,MIA,630000
Kevin Gausman,SP,34,33,192.0,150,66,60,50,227,14,6,0,1.04,2.81,SF,18900000
Jose Berrios,SP,32,32,192.0,159,83,75,45,204,12,9,0,1.06,3.52,TOR,5600000
Luis Castillo,SP,33,33,187.7,181,94,83,75,192,8,16,0,1.36,3.98,CIN,4200000
Frankie Montas,SP,32,32,187.0,164,79,70,57,207,13,9,0,1.18,3.37,OAK,1800000
Julio Urias,SP,32,32,185.7,151,67,61,38,195,20,3,0,1.02,2.96,LAD,3600000
Nathan Eovaldi,SP,32,32,182.3,182,81,76,35,195,11,9,0,1.19,3.75,BOS,17000000
Kyle Gibson,SP,31,30,182.0,158,78,75,64,155,10,9,0,1.22,3.71,PHI,11500000
Gerrit Cole,SP,30,30,181.3,151,69,65,41,243,16,8,0,1.06,3.23,NYY,36000000
Joe Musgrove,SP,40,31,181.3,142,68,64,54,203,11,9,0,1.08,3.18,SD,4450000
Kyle Hendricks,SP,32,32,181.0,200,101,96,44,131,14,7,0,1.35,4.77,CHC,14000000
Aaron Nola,SP,33,32,180.7,165,95,93,39,223,9,9,0,1.13,4.63,PHI,12250000
Jordan Lyles,SP,32,30,180.0,194,104,103,56,146,10,13,0,1.39,5.15,TEX,8000000
German Marquez,SP,32,32,180.0,165,92,88,64,176,12,11,0,1.27,4.4,COL,7800000
Tyler Mahle,SP,33,33,180.0,158,78,75,64,210,13,6,0,1.23,3.75,CIN,2200000
Chris Flexen,SP,31,31,179.7,185,74,72,40,125,14,6,0,1.25,3.61,SEA,1700000
Max Scherzer,SP,30,30,179.3,119,53,49,36,236,15,4,0,0.86,2.46,LAD,34603480
Sean Manaea,SP,32,32,179.3,179,79,78,41,194,11,10,0,1.23,3.91,OAK,5950000
Brandon Woodruff,SP,30,30,179.3,130,54,51,43,211,9,10,0,0.96,2.56,MIL,3275000
Marcus Stroman,SP,33,33,179.0,161,70,60,44,158,10,13,0,1.14,3.02,NYM,18900000
Lucas Giolito,SP,31,31,178.7,145,74,70,52,201,11,9,0,1.1,3.53,CHW,4150000
Cole Irvin,SP,32,32,178.3,195,94,84,42,125,10,15,0,1.33,4.24,OAK,573000
Patrick Corbin,SP,31,31,171.7,192,114,111,60,143,9,16,0,1.47,5.82,WSH,24416666
Zack Greinke,SP,30,29,171.0,164,82,79,36,120,11,6,0,1.17,4.16,HOU,35000000
Hyun-Jin Ryu,SP,31,31,169.0,170,85,82,37,143,14,10,0,1.23,4.37,TOR,20000000
Tyler Anderson,SP,31,31,167.0,170,87,84,38,134,7,11,0,1.25,4.53,SEA,2500000
Corbin Burnes,SP,28,28,167.0,123,47,45,34,234,11,5,0,0.94,2.43,MIL,608000
Yu Darvish,SP,30,30,166.3,138,81,78,44,199,8,11,0,1.09,4.22,SD,22000000
Max Fried,SP,32,28,165.7,139,61,56,41,158,14,7,0,1.09,3.04,ATL,3500000
Dylan Cease,SP,32,32,165.7,138,77,72,68,226,13,7,0,1.24,3.91,CHW,600000
Wade Miley,SP,30,28,163.0,166,64,61,50,125,12,7,0,1.33,3.37,CIN,8150000
Lance McCullers,SP,30,28,162.3,122,59,57,76,185,13,5,0,1.22,3.16,HOU,7083333
Dallas Keuchel,SP,32,30,162.0,189,105,95,59,95,9,9,0,1.53,5.28,CHW,18000000
Merrill Kelly,SP,27,27,158.0,163,82,78,41,130,7,11,0,1.29,4.44,ARI,4250000
Eduardo Rodriguez,SP,32,31,157.7,172,87,83,47,185,13,8,0,1.39,4.74,BOS,8300000
Chris Bassitt,SP,27,27,157.3,127,55,55,39,159,12,4,0,1.05,3.15,OAK,4900000
Jordan Montgomery,SP,30,30,157.3,150,73,67,51,162,6,7,0,1.28,3.83,NYY,2130000
Lance Lynn,SP,28,28,157.0,123,52,47,45,176,11,6,0,1.07,2.69,CHW,9333334
Yusei Kikuchi,SP,29,29,157.0,145,82,77,62,163,7,9,0,1.32,4.41,SEA,16500000
Antonio Senzatela,SP,28,28,156.7,178,84,77,32,105,4,10,0,1.34,4.42,COL,3000000
Luis Garcia,RP,30,28,155.3,132,62,57,50,167,11,8,0,1.17,3.3,HOU,580100
Luis Garcia,RP,30,28,155.3,132,62,57,50,167,11,8,0,1.17,3.3,STL,570500
Luis Garcia,RP,30,28,155.3,132,62,57,50,167,11,8,0,1.17,3.3,WSH,570500
Luis Garcia,RP,34,0,33.3,25,12,12,8,34,1,1,2,0.99,3.24,HOU,580100
Luis Garcia,RP,34,0,33.3,25,12,12,8,34,1,1,2,0.99,3.24,STL,570500
Luis Garcia,RP,34,0,33.3,25,12,12,8,34,1,1,2,0.99,3.24,WSH,570500
Nick Pivetta,SP,31,30,155.0,137,80,78,65,175,9,8,1,1.3,4.53,BOS,613500
Ryan Yarbrough,SP,30,21,155.0,163,96,88,27,117,9,7,0,1.23,5.11,TB,2300000
Steven Matz,SP,29,29,150.7,158,70,64,43,144,14,7,0,1.33,3.82,TOR,5200000
Casey Mize,SP,30,30,150.3,130,64,62,41,118,7,9,0,1.14,3.71,DET,574100
Tarik Skubal,SP,31,29,149.3,141,76,72,47,164,8,12,0,1.26,4.34,DET,574300
Jon Gray,SP,31,29,149.0,140,83,76,58,157,8,12,0,1.33,4.59,COL,6000000
Logan Webb,SP,28,26,148.3,128,53,50,36,158,11,3,0,1.11,3.03,SF,583000
Zach Davies,SP,33,32,148.0,162,99,95,75,114,6,12,0,1.6,5.78,CHC,8630000
John Means,SP,26,26,146.7,125,64,59,26,134,6,9,0,1.03,3.62,BAL,593500
Madison Bumgarner,SP,28,26,146.3,134,82,76,39,124,7,10,0,1.18,4.67,ARI,19000000
Jameson Taillon,SP,29,29,144.3,130,73,69,44,140,8,6,0,1.21,4.3,NYY,2250000
Freddy Peralta,SP,29,27,144.3,84,47,45,56,195,10,5,0,0.97,2.81,MIL,1334960
Marco Gonzales,SP,25,25,143.3,125,64,63,42,108,10,6,0,1.16,3.96,SEA,5250000
Adrian Houser,SP,28,26,142.3,118,61,51,64,105,10,6,0,1.28,3.23,MIL,584100
Sonny Gray,SP,26,26,135.3,115,67,63,50,155,7,9,0,1.22,4.19,CIN,10166666
Framber Valdez,SP,22,22,134.7,110,52,47,58,125,11,6,0,1.25,3.14,HOU,637300
Brad Keller,SP,26,26,133.7,158,89,80,64,120,8,12,0,1.66,5.39,KC,3350000
