Equipo,Cantidad_agentes_libres,Valor_contrato,Acronimo,Victorias,Juegos totales,Promedio_victorias
Los Angeles Angels,8,153500000,LAA,78,162,0.48148148148148145
Los Angeles Dodgers,7,150850000,LAD,92,162,0.5679012345679012
Boston Red Sox,10,130700000,BOS,97,162,0.5987654320987654
Detroit Tigers,4,107775000,DET,93,162,0.5740740740740741
San Francisco Giants,6,80750000,SF,76,162,0.4691358024691358
Atlanta Braves,3,77250000,ATL,96,162,0.5925925925925926
Chicago Cubs,10,73850000,CHC,66,162,0.4074074074074074
Washington Nationals,11,67000000,WSH,86,162,0.5308641975308642
New York Yankees,8,64000000,NYY,85,162,0.5246913580246914
Arizona Diamondbacks,7,54650000,ARI,81,162,0.5
Milwaukee Brewers,7,43300000,MIL,74,162,0.4567901234567901
Cincinnati Reds,12,41800000,CIN,90,162,0.5555555555555556
Toronto Blue Jays,7,36750000,TOR,74,162,0.4567901234567901
Texas Rangers,12,33750000,TEX,91,162,0.5617283950617284
Pittsburgh Pirates,8,28875000,PIT,94,162,0.5802469135802469
Seattle Mariners,10,28400000,SEA,71,162,0.4382716049382716
Kansas City Royals,5,26100000,KC,86,162,0.5308641975308642
Tampa Bay Rays,10,19090000,TB,91,162,0.5617283950617284
Philadelphia Phillies,6,16350000,PHI,73,162,0.4506172839506173
Minnesota Twins,7,15515000,MIN,66,162,0.4074074074074074
Chicago White Sox,5,14800000,CHW,63,162,0.3888888888888889
St. Louis Cardinals,6,13650000,STL,97,162,0.5987654320987654
Miami Marlins,12,7675000,MIA,62,162,0.38271604938271603
New York Mets,10,7150000,NYM,74,162,0.4567901234567901
Houston Astros,5,5900000,HOU,51,162,0.3148148148148148
Colorado Rockies,7,5800000,COL,74,162,0.4567901234567901
San Diego Padres,3,3550000,SD,76,162,0.4691358024691358
Oakland Athletics,3,3000000,OAK,96,162,0.5925925925925926
Baltimore Orioles,4,2000000,BAL,85,162,0.5246913580246914
