Equipo,Cantidad_agentes_libres,Valor_contrato,Acronimo,Victorias,Juegos totales
New York Yankees,2,336500000,NYY,33,60
Washington Nationals,10,316750000,WSH,26,62
Los Angeles Angels,3,260850000,LAA,26,60
Chicago White Sox,5,151500000,CHW,35,60
Cincinnati Reds,4,144825000,CIN,31,59
Philadelphia Phillies,4,134350000,PHI,28,60
Minnesota Twins,7,134000000,MIN,36,60
Toronto Blue Jays,3,108000000,TOR,32,61
Atlanta Braves,7,95750000,ATL,35,60
Texas Rangers,4,55750000,TEX,22,59
Milwaukee Brewers,9,49875000,MIL,29,60
San Diego Padres,2,43000000,SD,38,61
New York Mets,5,26300000,NYM,26,60
Miami Marlins,6,25350000,MIA,31,60
Arizona Diamondbacks,4,24650000,ARI,25,60
Detroit Tigers,5,19350000,DET,23,57
Boston Red Sox,8,19100000,BOS,24,60
San Francisco Giants,3,18250000,SF,29,60
Los Angeles Dodgers,4,15813500,LAD,42,59
Houston Astros,3,15650000,HOU,29,60
Kansas City Royals,3,7550000,KC,25,59
Oakland Athletics,2,7500000,OAK,36,60
St. Louis Cardinals,2,7000000,STL,30,58
Seattle Mariners,4,6550000,SEA,27,61
Pittsburgh Pirates,3,3900000,PIT,19,59
Baltimore Orioles,2,3800000,BAL,27,62
Chicago Cubs,4,2650000,CHC,32,58
