Jugador,Valor_contrato_2013,Valor_promedio_contrato_2013,Porcetnaje_juegos_2013,RBI_2013,Porcentaje_bateo_2013,OPS_2013,Equipo_2013,Sueldo_2013
Zack Greinke,147000000,24500000,0.179,4,0.328,0.788,LAD,19000000
Josh Hamilton,125000000,25000000,0.932,79,0.25,0.739,LAA,17400000
Anibal Sanchez,80000000,16000000,0.179,0,0.0,0.2,DET,8800000
Melvin Upton,72500000,14500000,0.778,26,0.184,0.557,ATL,13050000
Edwin Jackson,52000000,13000000,0.191,4,0.077,0.265,CHC,13000000
Angel Pagan,40000000,10000000,0.438,30,0.282,0.749,SF,8250000
Shane Victorino,39000000,13000000,0.753,61,0.291,0.795,BOS,13000000
Kyle Lohse,33000000,11000000,0.204,3,0.146,0.306,MIL,4350000
David Ortiz,29000000,14500000,0.846,103,0.309,0.959,BOS,14550000
Cody Ross,26000000,8666667,0.58,38,0.278,0.745,ARI,6000000
Torii Hunter,26000000,13000000,0.889,84,0.304,0.8,DET,12000000
Jeremy Guthrie,25000000,8333333,0.204,0,0.25,0.5,KC,5000000
Adam LaRoche,24000000,12000000,0.938,62,0.237,0.735,WSH,10000000
Marco Scutaro,20000000,6666667,0.784,31,0.297,0.726,SF,6691667
Russell Martin,17000000,8500000,0.784,55,0.226,0.703,PIT,7500000
Melky Cabrera,16000000,8000000,0.543,30,0.279,0.682,TOR,8000000
Brandon McCarthy,15500000,7750000,0.136,0,0.027,0.127,ARI,5250000
Joe Blanton,15000000,7500000,0.173,0,0.167,0.333,LAA,6500000
Hiroki Kuroda,15000000,15000000,0.198,0,0.0,0.0,NYY,15000000
Ryan Ludwick,15000000,7500000,0.235,12,0.24,0.618,CIN,2000000
Hisashi Iwakuma,14000000,7000000,0.204,0,0.0,0.0,SEA,6550000
Ichiro Suzuki,13000000,6500000,0.926,35,0.262,0.639,NYY,6500000
Dan Haren,13000000,13000000,0.191,2,0.17,0.438,WSH,13000000
Jonny Gomes,10000000,5000000,0.716,52,0.248,0.773,BOS,5000000
Maicer Izturis,10000000,3333333,0.661,32,0.236,0.597,TOR,3000000
Kevin Correia,10000000,5000000,0.198,0,0.0,0.0,MIN,4500000
Carlos Villanueva,10000000,5000000,0.29,1,0.156,0.313,CHC,5000000
Stephen Drew,9500000,9500000,0.765,67,0.254,0.778,BOS,10000000
A.J. Pierzynski,7500000,7500000,0.822,70,0.272,0.722,TEX,7500000
Joe Saunders,6500000,6500000,0.204,0,0.0,0.0,SEA,6500000
David Ross,6200000,3100000,0.222,10,0.216,0.681,BOS,3100000
