Jugador,Valor_contrato_2015,Valor_promedio_contrato_2015,Juegos_2015,Wins_2015,Saves_2015,WHIP_2015,ERA_2015,Equipo_2015,Sueldo_2015
Max Scherzer,210000000,30000000,34,14,0,0.92,2.79,WSH,17317857
Jon Lester,155000000,25833333,32,11,0,1.12,3.34,CHC,20000000
James Shields,75000000,18750000,36,13,0,1.33,3.91,SD,10000000
Ervin Santana,55000000,13750000,17,7,0,1.3,4.0,MIN,7598360
Brandon McCarthy,48000000,12000000,4,3,0,1.22,5.87,LAD,12500000
David Robertson,46000000,11500000,60,6,34,0.96,3.41,CHW,10000000
Francisco Liriano,39000000,13000000,31,12,0,1.21,3.38,PIT,11666666
Andrew Miller,36000000,9000000,60,3,36,0.86,2.04,NYY,9000000
Adam LaRoche,25000000,12500000,127,0,0,0.0,0.0,CHW,12000000
Jake Peavy,24000000,12000000,19,8,0,1.12,3.58,SF,9000000
Edinson Volquez,20000000,10000000,35,13,0,1.31,3.54,KC,7500000
Jason Hammel,20000000,10000000,32,10,0,1.16,3.74,CHC,9000000
Luke Gregerson,18500000,6166667,64,7,31,0.95,3.1,HOU,6050000
Zach Duke,15000000,5000000,72,3,1,1.28,3.36,CHW,4500000
Sergio Romo,15000000,7500000,70,0,2,1.06,2.98,SF,6000000
Francisco Rodriguez,13000000,6500000,60,1,38,0.86,2.21,MIL,3500000
Pat Neshek,12500000,6250000,66,3,1,1.12,3.62,HOU,5500000
Luke Hochevar,10000000,5000000,50,1,1,1.28,3.73,KC,4000000
Brett Anderson,10000000,10000000,31,10,0,1.33,3.79,LAD,12400000
Kris Medlen,8500000,4250000,15,6,0,1.27,4.01,KC,2000000
A.J. Burnett,8500000,8500000,26,9,0,1.36,3.18,PIT,8500000
Jason Grilli,8000000,4000000,36,3,24,1.13,2.94,ATL,4250000
Kyle Kendrick,5500000,5500000,27,7,0,1.52,6.32,COL,5500000
Chris Capuano,5000000,5000000,22,0,0,1.82,7.97,NYY,5000000
Casey Janssen,5000000,5000000,48,2,0,1.15,4.95,WSH,3500000
David Ross,5000000,2500000,72,0,0,0.0,0.0,CHC,2500000
Aaron Harang,5000000,5000000,29,6,0,1.39,4.86,PHI,5000000
Jason Motte,4500000,4500000,57,8,6,1.22,3.91,CHC,4500000
Colby Lewis,4000000,4000000,33,17,0,1.24,4.66,TEX,4000000
Ryan Vogelsong,4000000,4000000,33,9,0,1.47,4.67,SF,4000000
Jonny Gomes,4000000,4000000,95,0,0,3.0,18.0,KC,1000000
Matt Belisle,3500000,3500000,34,1,0,1.46,2.67,STL,3500000
Neal Cotts,3000000,3000000,68,1,0,1.26,3.41,MIN,721311
John Axford,2600000,2600000,60,4,25,1.58,4.2,COL,2600000
Chris Denorfia,2600000,2600000,103,0,0,0.0,0.0,CHC,2600000
Brandon Morrow,2500000,2500000,5,2,0,1.09,2.73,SD,2500000
Burke Badenhop,2500000,2500000,68,2,0,1.37,3.94,CIN,1000000
Tim Stauffer,2200000,2200000,18,1,0,1.98,6.97,NYM,507500
Ichiro Suzuki,2000000,2000000,153,0,0,2.0,9.0,MIA,3200000
Carlos Villanueva,2000000,2000000,35,4,2,1.16,2.95,STL,2000000
Craig Breslow,2000000,2000000,45,0,1,1.41,4.15,BOS,2000000
Franklin Morales,1850000,1850000,67,4,0,1.15,3.03,KC,1850000
Jim Johnson,1600000,1600000,72,2,10,1.46,4.46,LAD,585792
Joe Beimel,1500000,1500000,53,2,1,1.37,3.99,SEA,600000
Chad Billingsley,1500000,1500000,7,2,0,1.65,5.84,PHI,1500000
Matt Albers,1500000,1500000,30,2,0,1.07,1.21,CHW,1500000
Alexi Ogando,1500000,1500000,64,3,0,1.33,4.0,BOS,1500000
Tom Gorzelanny,1000000,1000000,48,2,0,1.75,6.18,DET,1000000
Joba Chamberlain,1000000,1000000,36,0,0,1.74,6.18,KC,507500
Joe Thatcher,1000000,1000000,43,1,0,1.54,3.18,HOU,765027
Jeanmar Gomez,800000,800000,65,2,0,1.33,3.01,PHI,800000
Chris Young,675000,675000,33,11,0,1.09,3.11,NYY,2500000
Chris Young,675000,675000,33,11,0,1.09,3.11,KC,675000
Shane Robinson,550000,550000,83,0,0,1.0,0.0,MIN,550000
Ross Detwiler,507500,507500,41,1,0,2.02,7.25,ATL,507500
Rich Hill,0,0,4,2,0,0.65,1.55,BOS,507500
Mat Latos,0,0,24,4,0,1.31,4.95,LAA,507500
David Carpenter,0,0,30,0,0,1.38,4.01,WSH,792349
David Carpenter,0,0,30,0,0,1.38,4.01,ATL,191352
David Carpenter,0,0,4,0,0,1.64,7.36,WSH,792349
David Carpenter,0,0,4,0,0,1.64,7.36,ATL,191352
Josh Wilson,0,0,21,0,0,2.0,9.0,DET,507500
Felix Doubront,0,0,16,3,1,1.5,5.5,OAK,507500
Clint Robinson,0,0,126,0,0,1.0,0.0,WSH,525000
Ross Ohlendorf,0,0,21,3,1,1.45,3.72,TEX,507500
Trevor Cahill,0,0,26,1,0,1.38,5.4,CHC,507500
Chaz Roe,0,0,36,4,0,1.48,4.14,BAL,507500
Scott Carroll,0,0,18,1,0,1.45,3.44,CHW,507500
Clayton Richard,0,0,23,4,0,1.28,3.83,CHC,507500
Ryan Mattheus,0,0,58,2,0,1.52,4.02,CIN,507500
Cory Gearrin,0,0,7,0,0,0.55,4.91,SF,507500
Mark Lowe,0,0,57,1,1,1.05,1.96,TOR,507500
