Jugador,Porcetnaje_juegos_2017,RBI_2017,Porcentaje_bateo_2017,OPS_2017,Equipo_2017,Sueldo_2017
Charlie Blackmon,0.982,104,0.334,1.007,COL,7300000
Jose Altuve,0.944,81,0.346,0.957,HOU,4687500
Ender Inciarte,0.969,57,0.304,0.759,ATL,2700000
Dee Gordon,0.975,33,0.306,0.713,MIA,7800000
Eric Hosmer,1.0,94,0.318,0.882,KC,12250000
Elvis Andrus,0.975,88,0.297,0.808,TEX,15250000
D.J. LeMahieu,0.957,64,0.31,0.783,COL,4800000
Marcell Ozuna,0.982,124,0.308,0.917,MIA,3500000
Jose Abreu,0.963,102,0.304,0.906,CHW,10825000
Nolan Arenado,0.982,130,0.309,0.959,COL,11750000
Jonathan Schoop,0.988,105,0.293,0.841,BAL,3475000
Joey Votto,1.0,100,0.32,1.032,CIN,22000000
Melky Cabrera,0.963,85,0.286,0.746,KC,15000000
Lorenzo Cain,0.957,50,0.303,0.809,KC,11000000
Daniel Murphy,0.889,93,0.322,0.928,WSH,12000000
Avisail Garcia,0.84,79,0.33,0.885,CHW,3000000
Adam Jones,0.907,73,0.285,0.787,BAL,16333333
Christian Yelich,0.963,81,0.282,0.807,MIA,3500000
Giancarlo Stanton,0.982,132,0.283,1.01,MIA,14500000
Whit Merrifield,0.895,78,0.288,0.784,KC,543750
Nick Castellanos,0.969,101,0.272,0.811,DET,3000000
Robinson Cano,0.926,97,0.28,0.791,SEA,24000000
Paul Goldschmidt,0.957,120,0.298,0.966,ARI,8850000
Brian Dozier,0.938,93,0.269,0.853,MIN,6025000
Corey Dickerson,0.926,62,0.282,0.815,TB,3025000
Mookie Betts,0.944,102,0.263,0.798,BOS,950000
Andrelton Simmons,0.975,69,0.278,0.752,LAA,8000000
Nick Markakis,0.988,76,0.275,0.738,ATL,11000000
Brandon Phillips,0.889,60,0.285,0.735,LAA,14000000
Manny Machado,0.963,95,0.259,0.782,BAL,11500000
Kris Bryant,0.932,73,0.295,0.946,CHC,1050000
Joe Mauer,0.87,71,0.307,0.804,MIN,23000000
Evan Longoria,0.963,86,0.261,0.737,TB,11692000
Nelson Cruz,0.957,119,0.288,0.924,SEA,14250000
Ryan Zimmerman,0.889,108,0.303,0.93,WSH,14000000
Andrew McCutchen,0.963,88,0.279,0.849,PIT,14208333
Corey Seager,0.895,77,0.295,0.854,LAD,575000
Trey Mancini,0.907,78,0.293,0.826,BAL,536000
Buster Posey,0.864,67,0.32,0.861,SF,22177777
Alex Bregman,0.957,71,0.284,0.827,HOU,539400
Yulieski Gurriel,0.858,75,0.299,0.817,HOU,14400000
Jed Lowrie,0.944,69,0.277,0.808,OAK,6500000
Brett Gardner,0.932,63,0.264,0.778,NYY,12500000
Jean Segura,0.772,45,0.3,0.776,SEA,6800000
Eddie Rosario,0.932,78,0.29,0.836,MIN,552500
Anthony Rizzo,0.969,109,0.273,0.899,CHC,7285714
Xander Bogaerts,0.914,62,0.273,0.746,BOS,4500000
Ryon Healy,0.92,78,0.271,0.754,OAK,537500
Freddy Galvis,1.0,61,0.255,0.69,PHI,4350000
George Springer,0.864,85,0.283,0.889,HOU,3900000
Andrew Benintendi,0.932,90,0.271,0.776,BOS,549000
Didi Gregorius,0.84,87,0.288,0.799,NYY,5100000
David Peralta,0.864,57,0.293,0.796,ARI,572200
Aaron Judge,0.957,114,0.284,1.049,NYY,544500
Anthony Rendon,0.907,100,0.301,0.937,WSH,5800000
Justin Upton,0.938,109,0.273,0.901,LAA,22125000
Justin Smoak,0.975,90,0.27,0.883,TOR,4125000
Mike Moustakas,0.914,85,0.272,0.835,KC,8700000
Tim Anderson,0.901,56,0.257,0.679,CHW,850000
Alcides Escobar,1.0,54,0.25,0.629,KC,6500000
Cesar Hernandez,0.79,34,0.294,0.793,PHI,2550000
Kevin Pillar,0.951,42,0.256,0.704,TOR,555000
Chris Taylor,0.864,72,0.288,0.85,LAD,535000
J.T. Realmuto,0.87,65,0.278,0.783,MIA,562500
Tim Beckham,0.846,62,0.276,0.778,BAL,885000
Travis Shaw,0.889,101,0.273,0.862,MIL,544400
Joe Panik,0.852,53,0.287,0.767,SF,600000
Odubel Herrera,0.852,56,0.28,0.774,PHI,1600000
Eduardo Nunez,0.704,58,0.313,0.801,BOS,4200000
Domingo Santana,0.932,85,0.278,0.875,MIL,542200
Adam Duvall,0.969,99,0.249,0.782,CIN,577500
Kyle Seager,0.951,88,0.249,0.773,SEA,11000000
Billy Hamilton,0.858,38,0.247,0.634,CIN,2625000
Shin-Soo Choo,0.92,78,0.263,0.783,TEX,20000000
Albert Pujols,0.92,101,0.241,0.672,LAA,26000000
Chase Headley,0.907,61,0.273,0.758,NYY,14000000
Khris Davis,0.944,111,0.247,0.864,OAK,5000000
Josh Bell,0.982,90,0.255,0.8,PIT,549000
Nomar Mazara,0.914,101,0.253,0.745,TEX,546450
Ben Gamel,0.827,59,0.275,0.735,SEA,535000
Orlando Arcia,0.944,53,0.277,0.731,MIL,538100
Mark Reynolds,0.914,97,0.267,0.839,COL,1500000
Kole Calhoun,0.957,71,0.244,0.725,LAA,6000000
Eugenio Suarez,0.963,82,0.26,0.828,CIN,595000
Wil Myers,0.957,74,0.243,0.792,SD,4500000
Marwin Gonzalez,0.827,90,0.303,0.907,HOU,3725000
Yadier Molina,0.84,82,0.274,0.751,STL,14200000
Scooter Gennett,0.87,97,0.295,0.874,CIN,2525000
Denard Span,0.796,43,0.272,0.756,SF,13750000
Freddie Freeman,0.722,71,0.307,0.989,ATL,20859375
Tommy Pham,0.79,72,0.304,0.927,STL,535000
Asdrubal Cabrera,0.833,59,0.28,0.785,NYM,8250000
Bryce Harper,0.685,87,0.319,1.008,WSH,13725000
Carlos Correa,0.673,85,0.318,0.945,HOU,535000
Starlin Castro,0.691,63,0.3,0.792,NYY,9857142
Jake Lamb,0.92,105,0.248,0.844,ARI,573300
Josh Harrison,0.79,47,0.272,0.771,PIT,7750000
Maikel Franco,0.951,76,0.23,0.69,PHI,560000
Gary Sanchez,0.753,90,0.28,0.88,NYY,557900
J.D. Martinez,0.735,104,0.303,1.066,ARI,11750000
Brandon Crawford,0.889,77,0.253,0.709,SF,8200000
Yasiel Puig,0.938,75,0.263,0.831,LAD,8214285
Ian Kinsler,0.858,52,0.236,0.725,DET,11000000
Hunter Pence,0.827,67,0.262,0.705,SF,18500000
Zack Cozart,0.753,62,0.295,0.928,CIN,5325000
