Jugador,Juegos_2013,Wins_2013,Saves_2013,WHIP_2013,ERA_2013,Equipo_2013,Sueldo_2013
Miguel Gonzalez,60,22,0,2.45,7.56,BAL,502000
Miguel Gonzalez,60,22,0,2.45,7.56,CHW,490000
Adam Wainwright,35,19,0,1.07,2.94,STL,12150000
Clayton Kershaw,35,16,0,0.92,1.83,LAD,11250000
James Shields,34,13,0,1.24,3.15,KC,10250000
R.A. Dickey,34,14,0,1.24,4.21,TOR,5250000
Cliff Lee,34,14,0,1.01,2.87,PHI,25050000
Cole Hamels,33,8,0,1.16,3.6,PHI,20500000
Justin Verlander,34,13,0,1.32,3.46,DET,20000000
Max Scherzer,32,21,0,0.97,2.9,DET,6725000
Chris Sale,30,11,0,1.07,3.07,CHW,865000
Jeff Samardzija,33,8,0,1.35,4.34,CHC,2640000
Jon Lester,33,15,0,1.29,3.76,BOS,11625000
Jordan Zimmermann,32,19,0,1.09,3.25,WSH,5350000
Derek Holland,33,10,0,1.29,3.42,TEX,3200000
C.J. Wilson,33,17,0,1.34,3.39,LAA,11500000
C.C. Sabathia,32,14,0,1.37,4.78,NYY,24285714
Ervin Santana,32,9,0,1.14,3.24,KC,13000000
Mat Latos,32,14,0,1.21,3.16,CIN,4250000
Yu Darvish,32,13,0,1.07,2.83,TEX,10550000
Homer Bailey,32,11,0,1.12,3.49,CIN,5350000
Doug Fister,33,14,0,1.31,3.67,DET,4000000
Patrick Corbin,33,14,0,1.17,3.41,ARI,494000
Chris Tillman,33,16,0,1.22,3.71,BAL,508500
Mike Minor,32,13,0,1.09,3.21,ATL,505000
Felix Hernandez,31,12,0,1.13,3.0,SEA,20607142
Mark Buehrle,33,12,0,1.35,4.15,TOR,12000000
Eric Stults,37,11,0,1.27,3.93,SD,507600
Wade Miley,34,10,0,1.32,3.55,ARI,500500
Bronson Arroyo,32,14,0,1.15,3.79,CIN,6500000
Lance Lynn,33,15,0,1.31,3.97,STL,513000
Madison Bumgarner,31,13,0,1.03,2.77,SF,975000
Travis Wood,37,9,0,1.14,3.11,CHC,527500
Jose Quintana,33,9,0,1.22,3.51,CHW,500000
A.J. Griffin,32,14,0,1.13,3.83,OAK,492500
Ricky Nolasco,34,13,0,1.21,3.7,LAD,11500000
Dillon Gee,32,12,0,1.28,3.62,NYM,527375
Tim Lincecum,32,10,0,1.32,4.37,SF,22250000
Jhoulys Chacin,32,14,0,1.26,3.47,COL,1650000
Kris Medlen,32,15,0,1.22,3.11,ATL,2600000
Jarrod Parker,32,12,0,1.22,3.98,OAK,495000
Gio Gonzalez,32,11,0,1.25,3.36,WSH,6350000
Mike Leake,31,14,0,1.25,3.37,CIN,3060000
Hyun-Jin Ryu,30,14,0,1.2,3.0,LAD,3408333
A.J. Burnett,30,10,0,1.22,3.3,PIT,16500000
John Lackey,29,10,0,1.16,3.52,BOS,15950000
David Price,27,10,0,1.1,3.33,TB,15112500
Julio Teheran,30,14,0,1.17,3.2,ATL,490000
Matt Cain,30,8,0,1.16,4.0,SF,20833333
Wily Peralta,32,11,0,1.42,4.37,MIL,490000
Stephen Strasburg,30,8,0,1.05,3.0,WSH,3900000
Kyle Kendrick,32,10,0,1.4,4.7,PHI,5000000
Ian Kennedy,32,7,0,1.4,4.96,SD,2144153
Yovani Gallardo,33,12,0,1.36,4.19,MIL,8000000
Matt Harvey,27,9,0,0.93,2.27,NYM,498750
Rick Porcello,32,13,0,1.28,4.32,DET,5100000
Bud Norris,32,10,0,1.49,4.18,BAL,3000000
Andrew Cashner,34,10,0,1.13,3.09,SD,500800
Jeremy Hellickson,32,12,0,1.35,5.17,TB,503000
Shelby Miller,31,15,0,1.21,3.06,STL,490000
Jose Fernandez,28,12,0,0.98,2.19,MIA,490000
Edinson Volquez,33,9,0,1.59,5.71,LAD,490000
Jerome Williams,37,9,0,1.39,4.57,LAA,2000000
Jorge De La Rosa,30,16,0,1.38,3.49,COL,11000000
Jeff Locke,30,10,0,1.38,3.52,PIT,497500
Felix Doubront,29,11,0,1.43,4.32,BOS,518500
Francisco Liriano,26,16,0,1.22,3.02,PIT,1000000
Juan Nicasio,31,9,0,1.47,5.14,COL,491000
Tom Milone,28,12,0,1.27,4.15,OAK,495000
Matt Garza,24,10,0,1.24,3.82,TEX,10250000
Jered Weaver,24,11,0,1.14,3.27,LAA,16200000
Lucas Harrell,37,6,0,1.71,5.86,HOU,500700
Dallas Keuchel,33,6,0,1.54,5.15,HOU,490000
Paul Maholm,26,10,0,1.41,4.41,ATL,6500000
Dan Straily,27,10,0,1.24,3.96,OAK,492500
Matt Moore,27,17,0,1.3,3.29,TB,1100000
Jason Vargas,24,9,0,1.39,4.02,LAA,8500000
Hector Santiago,34,4,0,1.4,3.56,CHW,505000
Trevor Cahill,26,8,0,1.42,3.99,ARI,5700000
Phil Hughes,30,4,0,1.46,5.19,NYY,7150000
Garrett Richards,47,7,1,1.35,4.16,LAA,495000
Jake Peavy,23,12,0,1.15,4.17,BOS,14500000
Aaron Harang,26,5,0,1.35,5.4,NYM,5500000
Alex Cobb,22,11,0,1.15,2.76,TB,502200
Jonathan Niese,24,8,0,1.44,3.71,NYM,3050000
Tom Koehler,29,5,0,1.36,4.41,MIA,490000
Jordan Lyles,27,7,1,1.51,5.59,HOU,490000
Jason Hammel,26,7,1,1.43,4.84,BAL,6750000
Ivan Nova,23,9,0,1.28,3.1,NYY,575600
John Danks,22,4,0,1.29,4.75,CHW,15750000
Esmil Rogers,46,5,0,1.42,4.77,TOR,509000
Wei-Yin Chen,23,7,0,1.32,4.07,BAL,3655333
Wade Davis,31,8,0,1.68,5.32,KC,2800000
Barry Zito,30,5,0,1.7,5.74,SF,20000000
Tim Hudson,21,8,0,1.19,3.98,ATL,9500000
Chris Archer,23,9,0,1.13,3.22,TB,490000
Dylan Axelrod,30,4,0,1.66,5.68,CHW,493000
Marco Estrada,21,7,0,1.08,3.87,MIL,1955000
Tyson Ross,36,3,0,1.15,3.17,SD,500500
Martin Perez,20,10,0,1.34,3.62,TEX,492000
Joe Kelly,40,10,0,1.35,2.69,STL,493000
Bruce Chen,34,9,0,1.18,3.27,KC,4500000
Jacob Turner,20,3,0,1.44,3.74,MIA,1175000
Gerrit Cole,19,10,0,1.17,3.22,PIT,490000
Randall Delgado,21,5,0,1.2,4.26,ARI,495000
Charlie Morton,20,7,0,1.28,3.26,PIT,2000000
Tyler Chatwood,26,8,0,1.43,3.15,COL,490000
Clay Buchholz,16,12,0,1.02,1.75,BOS,5800000
Samuel Deduno,18,8,0,1.35,3.83,MIN,490000
Nathan Eovaldi,18,4,0,1.32,3.39,MIA,502000
Tony Cingrani,24,7,0,1.1,2.92,CIN,490000
Alexi Ogando,23,7,0,1.23,3.11,TEX,506600
Ryan Vogelsong,19,4,0,1.56,5.73,SF,5000000
Henderson Alvarez,17,5,0,1.14,3.59,MIA,507900
Jonathan Pettibone,18,5,0,1.47,4.04,PHI,490000
Zack Wheeler,18,7,0,1.36,3.42,NYM,490000
Justin Grimm,27,7,0,1.57,5.97,CHC,491000
Anthony Swarzak,48,3,0,1.16,2.91,MIN,502500
Nick Tepesch,19,4,0,1.37,4.84,TEX,490000
J.A. Happ,18,5,0,1.47,4.57,TOR,3700000
Josh Collmenter,49,5,0,1.22,3.13,ARI,504000
Brandon Maurer,22,5,0,1.57,6.3,SEA,490000
Alfredo Simon,63,6,1,1.08,2.88,CIN,890000
David Phelps,22,6,0,1.42,4.99,NYY,512425
Carlos Torres,33,4,0,1.11,3.44,NYM,490000
Tommy Hunter,67,6,4,0.98,2.85,BAL,1820000
Brad Peacock,18,5,0,1.38,5.18,HOU,490000
Craig Stammen,55,7,0,1.29,2.76,WSH,875000
Josh Johnson,16,2,0,1.66,6.2,TOR,13750000
Jeanmar Gomez,34,3,0,1.15,3.35,PIT,500000
Ryan Webb,66,2,0,1.21,2.91,MIA,975000
A.J. Ramos,68,3,0,1.26,3.15,MIA,490000
Adam Ottavino,51,1,0,1.33,2.64,COL,491000
Nate Jones,70,4,0,1.21,4.04,CHW,507500
Alex Wood,31,3,0,1.33,3.13,ATL,490000
Brandon Kintzler,71,3,0,1.07,2.69,MIL,491000
Todd Redmond,17,4,0,1.21,4.33,TOR,490000
Adam Warren,34,3,1,1.43,3.39,NYY,490525
Kenley Jansen,75,4,28,0.86,1.88,LAD,512000
