Jugador,Juegos_2019,Wins_2019,Saves_2019,WHIP_2019,ERA_2019,Equipo_2019,Sueldo_2019,Agente libre
Justin Verlander,34,21,0,0.8,2.58,HOU,28075000,No
Trevor Bauer,34,11,0,1.25,4.48,CIN,13000000,No
Gerrit Cole,34,20,0,0.89,2.5,HOU,13500000,No
Stephen Strasburg,34,18,0,1.04,3.32,WSH,39333334,No
Zack Greinke,36,18,0,0.98,2.93,HOU,34500000,No
Mike Minor,33,14,0,1.24,3.59,TEX,9833333,No
Lance Lynn,33,16,0,1.22,3.67,TEX,9333333,Si
Madison Bumgarner,37,9,0,1.13,3.9,SF,12000000,No
Jacob deGrom,34,11,0,0.97,2.43,NYM,9500000,No
Eduardo Rodriguez,34,19,0,1.33,3.81,BOS,4325000,No
Marco Gonzales,35,16,0,1.31,3.99,SEA,900000,No
Aaron Nola,34,12,0,1.26,3.87,PHI,4500000,No
Patrick Corbin,33,14,0,1.18,3.25,WSH,12916666,Si
Jose Berrios,32,14,0,1.22,3.68,MIN,620000,No
Noah Syndergaard,32,10,0,1.23,4.28,NYM,6000000,No
Sandy Alcantara,33,6,0,1.32,3.88,MIA,555000,No
Mike Leake,32,12,0,1.29,4.29,ARI,16000000,No
Jack Flaherty,38,11,0,0.97,2.75,STL,562100,No
Zack Wheeler,31,11,0,1.26,3.96,NYM,5975000,No
Charlie Morton,33,16,0,1.08,3.05,TB,15000000,Si
Luis Castillo,32,15,0,1.14,3.4,CIN,557500,No
Ivan Nova,34,11,0,1.46,4.72,CHW,9166668,No
Matt Boyd,33,9,0,1.23,4.57,DET,2600000,No
Michael Fiers,34,14,0,1.19,3.9,OAK,6000000,Si
Marcus Stroman,32,10,0,1.31,3.22,NYM,7400000,No
Miles Mikolas,32,9,0,1.22,4.16,STL,8750000,No
Reynaldo Lopez,33,10,0,1.46,5.38,CHW,580000,No
Merrill Kelly,32,13,0,1.32,4.42,ARI,2000000,No
Hyun-Jin Ryu,30,14,0,1.01,2.32,LAD,17900000,No
Walker Buehler,30,14,0,1.04,3.26,LAD,570000,No
Masahiro Tanaka,32,11,0,1.24,4.45,NYY,22000000,No
Jeff Samardzija,32,11,0,1.11,3.52,SF,19800000,No
Yu Darvish,31,6,0,1.1,3.98,CHC,20000000,No
Clayton Kershaw,29,16,0,1.04,3.03,LAD,31000000,No
Kyle Hendricks,31,11,0,1.13,3.46,CHC,7405000,No
Lucas Giolito,29,14,0,1.06,3.41,CHW,573000,No
Brett Anderson,32,13,0,1.31,3.89,OAK,1500000,Si
Sonny Gray,34,11,0,1.08,2.88,CIN,7500000,No
Jake Junis,31,9,0,1.43,5.24,KC,578250,No
Julio Teheran,35,10,0,1.32,3.81,ATL,11166668,No
Michael Soroka,29,13,0,1.11,2.68,ATL,555000,No
Dakota Hudson,33,16,1,1.41,3.35,STL,559100,No
Rick Porcello,32,14,0,1.39,5.52,BOS,21125000,No
Robbie Ray,34,12,0,1.34,4.34,ARI,6050000,No
German Marquez,29,12,0,1.2,4.76,COL,1300000,No
Max Scherzer,29,11,0,1.03,2.93,WSH,37505562,No
Jon Lester,32,13,0,1.5,4.46,CHC,27500000,No
Adam Wainwright,32,14,0,1.43,4.19,STL,10000000,No
Jose Quintana,32,13,0,1.39,4.68,CHC,10500000,No
Joe Musgrove,46,11,0,1.22,4.44,PIT,582500,No
Wade Miley,33,14,0,1.35,3.98,HOU,5000000,Si
Anthony DeSclafani,31,9,0,1.2,3.89,CIN,2125000,No
Anibal Sanchez,30,11,0,1.27,3.85,WSH,10000000,Si
Max Fried,40,17,0,1.33,4.02,ATL,565000,No
Martin Perez,32,10,0,1.52,5.12,MIN,3500000,Si
Tanner Roark,31,10,0,1.4,4.36,OAK,10000000,No
Brad Keller,28,7,0,1.36,4.19,KC,578175,No
Joey Lucchesi,30,10,0,1.22,4.18,SD,565100,No
Homer Bailey,33,13,0,1.32,4.57,OAK,555000,No
Zach Eflin,32,10,0,1.35,4.13,PHI,590000,No
Dylan Bundy,30,6,0,1.36,4.79,BAL,2800000,No
Yusei Kikuchi,32,6,0,1.51,5.46,SEA,9500000,No
J.A. Happ,32,12,0,1.29,4.91,NYY,17000000,Si
Steven Matz,36,11,0,1.34,4.21,NYM,2625000,No
Kyle Gibson,34,13,0,1.44,4.84,MIN,8125000,No
Zach Davies,35,10,0,1.29,3.55,MIL,2600000,No
Jake Odorizzi,30,15,0,1.21,3.51,MIN,9500000,No
John Means,31,12,0,1.13,3.6,BAL,555500,No
Trent Thornton,32,6,0,1.41,4.84,TOR,555000,No
Kenta Maeda,41,10,3,1.07,4.04,LAD,8525000,No
Caleb Smith,30,10,0,1.23,4.52,MIA,556500,No
James Paxton,29,15,0,1.28,3.82,NYY,8575000,No
Andrew Cashner,42,11,1,1.35,4.68,BOS,12500000,No
Jon Gray,27,11,0,1.35,3.84,COL,2925000,No
Jason Vargas,30,7,0,1.36,4.51,PHI,8000000,No
Eric Lauer,30,8,0,1.4,4.45,SD,562500,No
Spencer Turnbull,30,3,0,1.44,4.61,DET,556100,No
Chris Sale,25,6,0,1.09,4.4,BOS,15000000,No
Michael Pineda,26,11,0,1.16,4.01,MIN,8000000,No
Trevor Williams,26,7,0,1.41,5.38,PIT,584000,No
Daniel Norris,33,3,0,1.33,4.49,DET,1275000,No
Chris Bassitt,28,10,0,1.19,3.81,OAK,565000,No
Domingo German,27,18,0,1.15,4.03,NYY,577500,No
Cole Hamels,27,7,0,1.39,3.81,CHC,20000000,No
Ryan Yarbrough,28,11,0,1.0,4.13,TB,563400,No
Jordan Lyles,28,12,0,1.32,4.15,MIL,2050000,Si
Chris Paddack,26,9,0,0.98,3.33,SD,555000,No
Chase Anderson,34,8,0,1.27,4.21,MIL,6500000,No
Glenn Sparkman,31,4,0,1.51,6.02,KC,555000,No
Jake Arrieta,24,8,0,1.47,4.64,PHI,25000000,No
Trevor Richards,31,6,0,1.35,4.06,TB,570000,No
Yonny Chirinos,26,9,0,1.05,3.85,TB,561800,No
Aaron Sanchez,30,5,0,1.62,5.89,HOU,3900000,No
Danny Duffy,23,7,0,1.31,4.34,KC,15250000,No
Tyler Mahle,27,3,0,1.31,5.14,CIN,570000,No
Michael Wacha,29,6,0,1.56,4.76,STL,6350000,No
Adrian Sampson,35,6,0,1.53,5.89,TEX,555000,No
Antonio Senzatela,25,11,0,1.75,6.71,COL,560000,No
Jorge Lopez,39,4,1,1.47,6.33,KC,562250,No
Ariel Jurado,32,7,0,1.5,5.81,TEX,555000,No
Brandon Woodruff,27,11,0,1.14,3.63,MIL,561400,No
Wade LeBlanc,26,6,0,1.45,5.71,SEA,2800000,No
Chris Archer,24,3,0,1.41,5.19,PIT,7666668,No
Vincent Velasquez,35,7,0,1.39,4.91,PHI,2249000,No
Mike Foltynewicz,21,8,0,1.25,4.54,ATL,5475000,No
Tyler Beede,25,5,0,1.48,5.08,SF,555000,No
Matthew Strahm,48,6,0,1.25,4.71,SD,581700,No
Drew Smyly,25,4,1,1.59,6.24,PHI,7000000,No
