"Rank","Player","Year","Pos","Team","BaseSalary","Payroll Salary","Adj Salary",""
"","Mike Trout","2021","CF","LAA","$35,450,000","$37,166,667","$37,166,667",""
"","Jacob deGrom","2021","SP","NYM","$33,500,000","$36,000,000","$22,000,000",""
"","Gerrit Cole","2021","SP","NYY","$36,000,000","$36,000,000","$36,000,000",""
"","Nolan Arenado","2021","3B","STL","$35,000,000","$35,025,000","$20,570,500",""
"","Stephen Strasburg","2021","SP","WSH","$35,000,000","$35,000,000","$23,571,429",""
"","Zack Greinke","2021","SP","HOU","$32,000,000","$35,000,000","$24,666,667",""
"","Max Scherzer","2021","SP","LAD","$27,360,623","$34,603,480","$0",""
"","Justin Verlander","2021","SP","HOU","$33,000,000","$33,000,000","$33,000,000",""
"","Manny Machado","2021","3B","SD","$30,000,000","$32,000,000","$32,000,000",""
"","David Price","2021","SP","LAD","$32,000,000","$32,000,000","$16,000,000",""
"","Trevor Bauer","2021","SP","LAD","$28,000,000","$31,333,333","$31,333,333",""
"","Clayton Kershaw","2021","SP","LAD","$23,333,334","$31,000,000","$31,000,000",""
"","Miguel Cabrera","2021","DH","DET","$30,000,000","$30,000,000","$30,000,000",""
"","Chris Sale","2021","SP","BOS","$30,000,000","$30,000,000","$20,000,000",""
"","Jose Altuve","2021","2B","HOU","$26,000,000","$29,000,000","$29,000,000",""
"","Giancarlo Stanton","2021","DH","NYY","$29,000,000","$29,000,000","$29,000,000",""
"","Anthony Rendon","2021","3B","LAA","$27,500,000","$28,071,428","$28,071,428",""
"","Bryce Harper","2021","RF","PHI","$26,000,000","$28,038,462","$28,038,462",""
"","Paul Goldschmidt","2021","1B","STL","$22,000,000","$26,000,000","$26,000,000",""
"","Joey Votto","2021","1B","CIN","$25,000,000","$25,000,000","$25,000,000",""
"","Patrick Corbin","2021","SP","WSH","$24,000,000","$24,416,666","$24,416,666",""
"","George Springer","2021","CF","TOR","$22,000,000","$23,666,666","$23,666,666",""
"","Jason Heyward","2021","RF","CHC","$21,000,000","$23,500,000","$23,500,000",""
"","Justin Upton","2021","LF","LAA","$23,000,000","$23,000,000","$23,000,000",""
"","Wil Myers","2021","LF","SD","$20,000,000","$22,500,000","$22,500,000",""
"","Zack Wheeler","2021","SP","PHI","$22,500,000","$22,500,000","$22,500,000",""
"","Mookie Betts","2021","RF","LAD","$17,500,000","$22,500,000","$22,500,000",""
"","Freddie Freeman","2021","1B","ATL","$22,000,000","$22,409,375","$22,409,375",""
"","Francisco Lindor","2021","SS","NYM","$22,300,000","$22,300,000","$22,300,000",""
"","Buster Posey","2021","C","SF","$21,400,000","$22,202,777","$22,202,777",""
"","Yu Darvish","2021","SP","SD","$22,000,000","$22,000,000","$19,000,000",""
"","Charlie Blackmon","2021","RF","COL","$21,000,000","$21,333,333","$21,333,333",""
