Rank,Player,Pos,Team,GP,GP%,AB,H,HR,RBI,AVG,OPS,Cash2022
1,Whit Merrifield,2B,KC,162,1,681,206,16,74,0.303,0.811,"$7,000,000"
2,Rafael Devers,3B,BOS,156,0.963,647,201,32,115,0.311,0.916,"$11,200,000"
3,D.J. LeMahieu,2B,NYY,145,0.895,602,197,26,102,0.327,0.893,"$15,000,000"
4,Xander Bogaerts,SS,BOS,155,0.957,614,190,33,117,0.309,0.939,"$20,000,000"
5,Ozzie Albies,2B,ATL,160,0.988,640,189,24,86,0.295,0.852,"$5,000,000"
6,Marcus Semien,SS,OAK,162,1,656,187,33,92,0.285,0.893,"$25,000,000"
7,Ketel Marte,2B,ARI,145,0.895,569,187,32,92,0.329,0.981,"$11,000,000"
8,Jorge Polanco,SS,MIN,153,0.944,631,186,22,79,0.295,0.841,"$5,500,000"
9,Nolan Arenado,3B,COL,155,0.957,588,185,41,118,0.315,0.962,"$29,429,500"
10,Charlie Blackmon,RF,COL,140,0.864,580,182,32,86,0.314,0.94,"$21,000,000"
11,Jose Abreu,DH,CHW,159,0.988,634,180,33,123,0.284,0.834,"$14,000,000"
12,Michael Brantley,LF,HOU,148,0.914,575,179,22,90,0.311,0.875,"$16,000,000"
13,Nick Castellanos,RF,CHC,155,0.957,615,178,27,73,0.289,0.863,"$20,000,000"
14,Amed Rosario,SS,NYM,157,0.969,616,177,15,72,0.287,0.755,"$4,950,000"
15,Freddie Freeman,1B,ATL,159,0.982,597,176,38,121,0.295,0.938,"$20,000,000"
16,Jonathan Villar,2B,BAL,162,1,642,176,24,73,0.274,0.791,"$4,500,000"
17,Mookie Betts,RF,BOS,151,0.932,597,176,29,80,0.295,0.915,"$14,500,000"
18,J.D. Martinez,DH,BOS,148,0.914,575,175,36,105,0.304,0.939,"$19,350,000"
19,Trey Mancini,LF,BAL,154,0.951,602,175,35,97,0.291,0.899,"$7,500,000"
20,Ronald Acuna Jr.,LF,ATL,156,0.963,626,175,41,101,0.28,0.883,"$15,000,000"
21,Anthony Rendon,3B,WSH,146,0.901,545,174,34,126,0.319,1.01,"$36,000,000"
22,Trevor Story,SS,COL,145,0.895,588,173,35,85,0.294,0.917,"$20,000,000"
23,David Fletcher,2B,LAA,154,0.951,596,173,6,49,0.29,0.734,"$4,000,000"
24,Starlin Castro,2B,MIA,162,1,636,172,22,86,0.27,0.736,$0
25,Eduardo Escobar,3B,ARI,158,0.975,636,171,35,118,0.269,0.831,"$10,000,000"
26,Cesar Hernandez,2B,PHI,161,0.994,612,171,14,71,0.279,0.741,"$4,000,000"
27,Cody Bellinger,RF,LAD,156,0.963,558,170,47,115,0.305,1.035,"$17,000,000"
28,Yulieski Gurriel,1B,HOU,146,0.901,564,168,31,104,0.298,0.884,"$8,000,000"
29,Tim Anderson,SS,CHW,126,0.783,498,167,18,56,0.335,0.865,"$9,500,000"
30,Elvis Andrus,SS,TEX,147,0.907,600,165,12,72,0.275,0.707,"$6,750,000"
31,Eric Hosmer,1B,SD,160,0.988,619,164,22,99,0.265,0.735,"$20,000,000"
32,Alex Bregman,3B,HOU,157,0.969,554,164,41,112,0.296,1.015,"$11,000,000"
33,Jeff McNeil,2B,NYM,133,0.821,510,162,23,75,0.318,0.916,"$3,000,000"
34,Jean Segura,SS,PHI,146,0.901,576,161,12,60,0.28,0.743,"$14,250,000"
35,Leury Garcia,CF,CHW,143,0.888,577,161,8,40,0.279,0.688,"$5,500,000"
36,Christian Yelich,LF,MIL,131,0.809,489,161,44,97,0.329,1.1,"$22,000,000"
37,Yoan Moncada,2B,CHW,132,0.82,511,161,25,79,0.315,0.915,"$14,000,000"
38,Hanser Alberto,SS,BAL,140,0.864,524,160,12,51,0.305,0.751,"$1,350,000"
39,Starling Marte,CF,PIT,133,0.821,539,159,23,82,0.295,0.845,"$17,000,000"
40,Adam Eaton,RF,WSH,151,0.932,566,158,15,49,0.279,0.792,$0
41,Kevin Pillar,CF,SF,161,0.994,611,158,21,88,0.259,0.719,$0
42,Jorge Soler,DH,KC,162,1,589,156,48,117,0.265,0.922,"$12,000,000"
43,Eugenio Suarez,3B,CIN,159,0.982,575,156,49,103,0.271,0.93,"$11,000,000"
44,Paul Goldschmidt,1B,STL,161,0.994,597,155,34,97,0.26,0.821,"$26,000,000"
45,Tommy Pham,CF,TB,146,0.901,567,155,21,68,0.273,0.818,"$6,000,000"
46,Eddie Rosario,LF,MIN,137,0.846,562,155,32,109,0.276,0.8,"$9,000,000"
47,Trea Turner,SS,WSH,122,0.753,521,155,19,57,0.298,0.85,"$21,000,000"
48,Pete Alonso,1B,NYM,161,0.994,597,155,53,120,0.26,0.941,"$7,400,000"
49,Bryan Reynolds,OF,PIT,135,0.833,491,154,16,68,0.314,0.88,"$6,750,000"
50,Adam Frazier,2B,PIT,153,0.944,554,154,10,50,0.278,0.753,"$7,500,000"
51,Austin Meadows,CF,TB,139,0.858,530,154,33,89,0.291,0.922,"$4,000,000"
52,Kris Bryant,3B,CHC,148,0.914,543,153,31,77,0.282,0.903,"$24,000,000"
53,Juan Soto,LF,WSH,152,0.938,542,153,34,110,0.282,0.949,"$17,100,000"
54,Kevin Newman,SS,PIT,130,0.803,493,152,12,64,0.308,0.8,"$1,950,000"
55,Gleyber Torres,SS,NYY,144,0.889,546,152,38,90,0.278,0.871,"$6,250,000"
56,Anthony Rizzo,1B,CHC,146,0.901,512,150,27,94,0.293,0.924,"$16,000,000"
57,Manny Machado,3B,SD,156,0.963,587,150,32,85,0.256,0.796,"$30,000,000"
58,Shin-Soo Choo,DH,TEX,151,0.932,563,149,24,61,0.265,0.826,$0
59,Bryce Harper,RF,PHI,157,0.969,573,149,35,114,0.26,0.882,"$26,000,000"
60,Jose Altuve,2B,HOU,124,0.765,500,149,31,74,0.298,0.903,"$26,000,000"
61,Javier Baez,SS,CHC,141,0.87,531,149,29,85,0.281,0.847,"$20,000,000"
62,Alex Gordon,LF,KC,150,0.926,556,148,13,76,0.266,0.741,$0
63,J.T. Realmuto,C,PHI,145,0.895,538,148,25,83,0.275,0.82,"$23,875,000"
64,Lorenzo Cain,CF,MIL,148,0.914,562,146,11,48,0.26,0.697,"$17,000,000"
65,Josh Bell,1B,PIT,143,0.883,527,146,37,116,0.277,0.936,"$10,000,000"
66,Hunter Dozier,3B,KC,139,0.858,523,146,26,84,0.279,0.87,"$4,500,000"
67,Jose Iglesias,SS,CIN,146,0.901,504,145,11,59,0.288,0.724,"$5,000,000"
68,Freddy Galvis,SS,CIN,148,0.914,557,145,23,70,0.26,0.734,$0
69,Andrew Benintendi,LF,BOS,138,0.852,541,144,13,68,0.266,0.774,"$7,900,000"
70,Matt Chapman,3B,OAK,156,0.963,582,144,36,91,0.247,0.846,"$13,000,000"
71,Josh Donaldson,3B,ATL,157,0.969,549,142,37,94,0.259,0.9,"$23,000,000"
72,Nelson Cruz,DH,MIN,120,0.741,454,141,41,108,0.311,1.031,"$12,000,000"
73,Nick Ahmed,SS,ARI,159,0.982,556,141,19,82,0.254,0.755,"$8,250,000"
74,Michael Conforto,RF,NYM,151,0.932,549,141,33,92,0.257,0.856,$0
75,George Springer,CF,HOU,122,0.753,479,140,39,96,0.292,0.974,"$28,000,000"
76,Miguel Cabrera,1B,DET,137,0.851,492,139,12,59,0.283,0.745,"$32,000,000"
77,Justin Turner,3B,LAD,136,0.84,479,139,27,67,0.29,0.881,"$16,000,000"
78,Giovanny Urshela,3B,NYY,132,0.815,442,139,21,74,0.315,0.89,"$6,550,000"
79,Victor Robles,OF,WSH,156,0.963,546,139,17,65,0.255,0.745,"$1,650,000"
80,Josh Reddick,RF,HOU,142,0.877,501,138,14,56,0.275,0.728,$0
81,Avisail Garcia,RF,TB,126,0.778,489,138,20,72,0.282,0.796,"$12,000,000"
82,Joey Votto,1B,CIN,145,0.895,525,137,15,47,0.261,0.768,"$25,000,000"
83,Mike Trout,CF,LAA,136,0.84,470,137,45,104,0.292,1.083,"$35,450,000"
84,Miguel Rojas,SS,MIA,132,0.815,483,137,5,46,0.284,0.71,"$5,500,000"
85,Christian Walker,1B,ARI,152,0.938,529,137,29,73,0.259,0.825,"$2,600,000"
86,Wilson Ramos,C,NYM,142,0.877,473,136,14,72,0.288,0.768,$0
87,Kolten Wong,2B,STL,148,0.914,478,136,11,59,0.285,0.784,"$8,000,000"
88,Randal Grichuk,CF,TOR,151,0.932,586,136,31,80,0.232,0.738,"$3,950,000"
89,Paul DeJong,SS,STL,159,0.982,583,136,30,78,0.233,0.762,"$6,000,000"
90,Willy Adames,SS,TB,153,0.944,531,135,20,52,0.254,0.735,"$4,600,000"
91,Daniel Santana,2B,TEX,130,0.803,474,134,28,81,0.283,0.858,$0
92,Mike Moustakas,3B,MIL,143,0.883,523,133,35,87,0.254,0.845,"$16,000,000"
93,Christian Vazquez,C,BOS,138,0.852,482,133,23,72,0.276,0.798,"$7,000,000"
94,Corey Seager,SS,LAD,135,0.833,489,133,19,87,0.272,0.817,"$37,500,000"
95,Kyle Schwarber,LF,CHC,155,0.957,529,132,38,92,0.25,0.871,"$19,000,000"
96,Max Kepler,CF,MIN,136,0.84,524,132,36,90,0.252,0.855,"$6,750,000"
97,Renato Nunez,3B,BAL,151,0.932,541,132,31,90,0.244,0.771,$0
98,Ryan Braun,LF,MIL,144,0.889,459,131,22,75,0.285,0.849,$0
99,Jason Heyward,RF,CHC,148,0.914,513,129,21,62,0.252,0.772,"$22,000,000"
100,Colin Moran,3B,PIT,149,0.92,466,129,13,80,0.277,0.751,"$1,000,000"
101,Matt Olson,1B,OAK,127,0.784,482,129,36,91,0.268,0.897,"$15,000,000"
102,Rhys Hoskins,1B,PHI,160,0.988,570,129,29,85,0.226,0.819,"$7,700,000"
103,Kole Calhoun,RF,LAA,152,0.938,552,128,33,74,0.232,0.792,"$5,200,000"
104,Adam Jones,CF,ARI,137,0.846,485,126,16,67,0.26,0.728,$0
105,Yasmani Grandal,C,MIL,153,0.944,513,126,28,77,0.246,0.848,"$18,250,000"
106,Vladimir Guerrero Jr.,3B,TOR,124,0.765,464,126,15,69,0.272,0.772,"$7,900,000"
107,J.D. Davis,3B,NYM,140,0.864,410,126,22,57,0.307,0.895,"$2,760,000"
108,Yolmer Sanchez,3B,CHW,149,0.926,496,125,2,43,0.252,0.638,$0
109,Eloy Jimenez,OF,CHW,123,0.764,468,125,31,79,0.267,0.829,"$6,500,000"
110,Ramon Laureano,OF,OAK,123,0.759,434,125,24,67,0.288,0.86,"$2,450,000"
111,Brett Gardner,LF,NYY,142,0.877,491,123,28,74,0.251,0.829,$0
112,Brandon Belt,1B,SF,157,0.969,526,123,17,57,0.234,0.742,"$18,400,000"
113,Daniel Murphy,1B,COL,132,0.815,438,122,13,78,0.279,0.78,$0
114,Max Muncy,1B,LAD,142,0.877,487,122,35,98,0.251,0.889,"$11,500,000"
115,Dansby Swanson,SS,ATL,128,0.79,483,121,17,65,0.251,0.748,"$10,100,000"
116,Albert Pujols,1B,LAA,131,0.809,491,120,23,93,0.244,0.734,"$2,500,000"
117,James McCann,C,CHW,119,0.739,439,120,18,60,0.273,0.789,"$8,000,000"
118,Ryan McMahon,2B,COL,141,0.87,480,120,24,83,0.25,0.779,"$5,000,000"
119,Brian Anderson,3B,MIA,126,0.778,459,120,20,66,0.261,0.811,"$4,475,000"
120,Omar Narvaez,C,SEA,133,0.821,428,119,22,55,0.278,0.813,"$5,000,000"
121,Nick Markakis,RF,ATL,116,0.716,414,118,9,62,0.285,0.776,$0
122,Marcell Ozuna,LF,STL,131,0.809,485,118,29,89,0.243,0.804,"$16,000,000"
123,Scott Kingery,SS,PHI,126,0.778,458,118,19,55,0.258,0.788,$0
124,Raimel Tapia,CF,COL,139,0.858,426,117,9,44,0.275,0.724,"$3,950,000"
125,Asdrubal Cabrera,2B,WSH,132,0.815,447,116,18,91,0.26,0.783,$0
126,Dexter Fowler,CF,STL,150,0.926,487,116,19,67,0.238,0.754,$0
127,C.J. Cron,1B,MIN,125,0.772,458,116,25,78,0.253,0.78,"$7,250,000"
128,Mallex Smith,LF,SEA,134,0.827,510,116,6,37,0.228,0.635,$0
129,Harold Ramirez,RF,MIA,119,0.735,421,116,11,50,0.276,0.728,"$728,000"
130,Howie Kendrick,LF,WSH,122,0.753,334,115,17,62,0.344,0.966,$0
131,Evan Longoria,3B,SF,130,0.803,453,115,20,69,0.254,0.762,"$14,500,000"
132,Eric Sogard,2B,TB,112,0.691,396,115,13,40,0.29,0.81,$0
133,Nomar Mazara,RF,TEX,117,0.722,429,115,19,66,0.268,0.786,$0
134,Brandon Crawford,SS,SF,147,0.907,500,114,11,59,0.228,0.654,"$16,000,000"
135,Domingo Santana,RF,SEA,122,0.753,451,114,21,69,0.253,0.77,$0
136,Yadier Molina,C,STL,113,0.698,419,113,10,57,0.27,0.711,"$10,000,000"
137,Ian Desmond,CF,COL,140,0.864,443,113,20,65,0.255,0.788,$0
138,Jorge Alfaro,C,MIA,131,0.809,431,113,18,57,0.262,0.736,"$2,725,000"
139,David Dahl,LF,COL,101,0.624,374,113,15,61,0.302,0.877,$0
140,Luke Voit,1B,NYY,118,0.728,429,113,21,62,0.263,0.842,"$5,450,000"
141,Todd Frazier,3B,NYM,133,0.821,447,112,21,67,0.251,0.772,$0
142,Marwin Gonzalez,3B,MIN,116,0.716,425,112,15,55,0.264,0.736,"$1,150,000"
143,Joc Pederson,LF,LAD,149,0.92,450,112,36,74,0.249,0.876,"$6,000,000"
144,Mark Canha,CF,OAK,126,0.778,409,112,26,59,0.274,0.916,"$14,000,000"
145,Jonathan Schoop,2B,MIN,122,0.753,433,111,23,59,0.256,0.777,"$7,500,000"
146,Jackie Bradley Jr.,CF,BOS,148,0.914,494,111,21,62,0.225,0.738,"$9,500,000"
147,Orlando Arcia,SS,MIL,152,0.938,494,110,15,59,0.223,0.633,"$1,600,000"
148,Shohei Ohtani,DH,LAA,106,0.654,384,110,18,62,0.287,0.848,"$5,500,000"
149,Adalberto Mondesi,SS,KC,102,0.63,415,109,9,62,0.263,0.715,"$3,000,000"
150,Luis Arraez,2B,MIN,92,0.568,326,109,4,28,0.334,0.838,"$2,000,000"
151,Dee Gordon,2B,SEA,118,0.728,393,108,3,34,0.275,0.663,"$1,000,000"
152,Brian Goodwin,RF,LAA,136,0.84,413,108,17,47,0.262,0.796,$0
153,Joe Panik,2B,NYM,142,0.877,438,107,5,39,0.244,0.651,$0
154,Rougned Odor,2B,TEX,146,0.901,522,107,30,93,0.205,0.721,"$700,000"
155,Ji-Man Choi,1B,TB,127,0.784,410,107,19,63,0.261,0.822,"$3,200,000"
156,Garrett Cooper,RF,MIA,108,0.667,381,107,15,50,0.281,0.791,"$2,500,000"
157,Melky Cabrera,LF,PIT,133,0.821,378,106,7,47,0.28,0.713,$0
158,Khris Davis,DH,OAK,136,0.84,480,106,23,73,0.221,0.681,$0
159,Fernando Tatis Jr.,SS,SD,84,0.519,334,106,22,53,0.317,0.969,"$5,000,000"
160,Andrelton Simmons,SS,LAA,104,0.642,398,105,7,40,0.264,0.673,"$4,000,000"
161,David Peralta,LF,ARI,100,0.617,382,105,12,57,0.275,0.804,"$8,000,000"
162,Niko Goodrum,LF,DET,115,0.714,423,105,12,45,0.248,0.743,"$2,100,000"
163,Buster Posey,C,SF,114,0.704,405,104,7,38,0.257,0.688,$0
164,Wil Myers,LF,SD,155,0.957,435,104,18,53,0.239,0.739,"$20,000,000"
165,Aaron Judge,RF,NYY,102,0.63,378,103,27,55,0.273,0.921,"$17,000,000"
166,Harold Castro,3B,DET,97,0.603,353,103,5,38,0.292,0.692,"$1,275,000"
167,Edwin Encarnacion,DH,NYY,111,0.685,418,102,34,86,0.244,0.875,$0
168,Kevin Kiermaier,CF,TB,129,0.796,447,102,14,55,0.228,0.674,"$12,000,000"
169,Robbie Grossman,DH,OAK,138,0.852,420,101,6,38,0.241,0.684,"$5,000,000"
170,Alex Verdugo,LF,LAD,108,0.667,343,101,12,44,0.295,0.817,"$3,550,000"
171,Mike Yastrzemski,OF,SF,107,0.661,371,101,21,55,0.272,0.852,"$3,700,000"
172,Robinson Cano,2B,NYM,107,0.661,390,100,13,39,0.256,0.736,"$20,250,000"
173,Jurickson Profar,SS,OAK,139,0.858,459,100,20,67,0.218,0.711,"$8,000,000"
174,Brian Dozier,2B,WSH,135,0.833,416,99,20,50,0.238,0.771,$0
175,Tommy Edman,SS,STL,92,0.568,326,99,11,36,0.304,0.85,"$700,000"
176,Anthony Santander,OF,BAL,94,0.58,380,99,20,59,0.261,0.773,"$3,150,000"
177,Eric Thames,1B,MIL,149,0.92,396,98,25,61,0.248,0.851,$0
178,Enrique Hernandez,CF,LAD,130,0.803,414,98,17,64,0.237,0.715,"$7,000,000"
179,Willson Contreras,C,CHC,105,0.648,360,98,24,64,0.272,0.888,"$7,500,000"
180,Yordan Alvarez,1B,HOU,87,0.537,313,98,27,78,0.313,1.067,"$764,600"
181,Brandon Dixon,1B,DET,118,0.733,391,97,15,52,0.248,0.725,$0
182,Chris Taylor,2B,LAD,124,0.765,366,96,12,52,0.262,0.794,"$15,000,000"
183,Dan Vogelbach,1B,SEA,144,0.889,462,96,30,76,0.208,0.78,"$800,000"
184,Nick Senzel,OF,CIN,106,0.654,375,96,12,42,0.256,0.742,"$1,250,000"
185,Teoscar Hernandez,LF,TOR,125,0.772,417,96,26,65,0.23,0.778,"$10,650,000"
186,Hunter Renfroe,RF,SD,142,0.877,440,95,33,64,0.216,0.778,"$7,650,000"
187,Keston Hiura,2B,MIL,84,0.519,314,95,19,49,0.303,0.938,"$700,000"
188,Matt Carpenter,1B,STL,129,0.796,416,94,15,46,0.226,0.726,$0
189,Tony Wolters,C,COL,122,0.753,359,94,1,42,0.262,0.666,$0
190,Miguel Sano,3B,MIN,105,0.648,380,94,34,79,0.247,0.923,"$9,250,000"
191,Kyle Seager,3B,SEA,107,0.661,393,93,23,63,0.237,0.784,$0
192,Manuel Margot,CF,SD,151,0.932,398,93,12,37,0.234,0.691,"$5,600,000"
193,Jarrod Dyson,CF,ARI,130,0.803,400,92,7,27,0.23,0.633,$0
194,Gary Sanchez,C,NYY,106,0.654,396,92,34,77,0.232,0.841,"$7,500,000"
195,Brandon Drury,3B,TOR,121,0.747,418,91,15,41,0.218,0.642,"$700,000"
196,Maikel Franco,3B,PHI,123,0.759,389,91,17,56,0.234,0.705,"$1,000,000"
197,Nicholas Lopez,SS,KC,103,0.636,379,91,2,30,0.24,0.601,"$2,000,000"
198,Jesse Winker,LF,CIN,113,0.698,338,91,16,38,0.269,0.83,"$7,000,000"
199,Jose Peraza,SS,CIN,141,0.87,376,90,6,33,0.239,0.631,$0
200,Jose Martinez,1B,STL,128,0.79,334,90,10,42,0.27,0.751,$0
201,Delino DeShields,CF,TEX,118,0.728,357,89,4,32,0.249,0.672,$0
202,Stephen Piscotty,RF,OAK,95,0.586,357,89,13,44,0.249,0.72,"$7,250,000"
203,Neil Walker,1B,MIA,115,0.71,337,88,8,38,0.261,0.738,$0
