"Rank","Player","Pos","Team","GP","GP%","AB","H","HR","RBI","AVG","OPS","Cash2023","Age","Weight","Height",""
"","Freddie Freeman","1B","LAD","159","0.982","612","199","21","100","0.325","0.918","$20,000,000","32","220","6'5""",""
"","Trea Turner","SS","LAD","160","0.988","652","194","21","100","0.298","0.809","$27,272,727","29","185","6'2""",""
"","Bo Bichette","SS","TOR","159","0.982","652","189","24","93","0.290","0.802","$5,711,199","24","185","6'0""",""
"","Jose Abreu","1B","CHW","157","0.969","601","183","15","75","0.305","0.824","$19,500,000","35","235","6'3""",""
"","Amed Rosario","SS","CLE","153","0.944","637","180","11","71","0.283","0.715","$8,808,691","26","190","6'2""",""
"","Nate Lowe","1B","TEX","157","0.969","593","179","27","76","0.302","0.851","$4,250,000","26","220","6'4""",""
"","Paul Goldschmidt","1B","STL","151","0.932","561","178","35","115","0.317","0.981","$26,000,000","34","220","6'3""",""
"","Dansby Swanson","SS","ATL","162","1.000","640","177","25","96","0.277","0.776","$20,000,000","28","190","6'1""",""
"","Aaron Judge","CF","NYY","157","0.969","570","177","62","131","0.311","1.111","$40,000,000","30","282","6'7""",""
"","Vladimir Guerrero Jr.","1B","TOR","160","0.988","638","175","32","97","0.274","0.818","$14,389,960","23","250","6'2""",""
"","Jeff McNeil","2B","NYM","148","0.914","533","174","9","62","0.327","0.836","$6,533,056","30","195","6'1""",""
"","Manny Machado","3B","SD","150","0.926","578","172","32","102","0.298","0.898","$30,000,000","29","218","6'3""",""
"","Xander Bogaerts","SS","BOS","150","0.926","557","171","15","73","0.307","0.833","$30,000,000","29","218","6'2""",""
"","Jose Ramirez","3B","CLE","157","0.969","601","168","29","126","0.280","0.870","$14,000,000","29","190","5'9""",""
"","Austin Riley","3B","ATL","159","0.982","615","168","38","93","0.273","0.878","$15,000,000","25","240","6'3""",""
"","Steven Kwan","LF","CLE","147","0.907","563","168","6","52","0.298","0.772","$0","24","175","5'9""",""
"","Alex Verdugo","LF","BOS","152","0.938","593","166","11","74","0.280","0.732","$7,167,218","26","192","6'0""",""
"","Marcus Semien","2B","TEX","161","0.994","657","164","26","83","0.250","0.738","$26,000,000","31","195","6'0""",""
"","Rafael Devers","3B","BOS","141","0.870","555","164","27","88","0.296","0.879","$17,147,240","25","240","6'0""",""
"","Alec Bohm","3B","PHI","152","0.938","586","164","13","72","0.280","0.717","$0","25","225","6'5""",""
"","Nolan Arenado","3B","STL","148","0.914","557","163","30","103","0.293","0.891","$13,000,000","31","215","6'2""",""
"","Pete Alonso","1B","NYM","160","0.988","597","162","40","131","0.271","0.870","$15,000,000","27","245","6'3""",""
"","Shohei Ohtani","SP","LAA","157","0.969","586","160","34","95","0.273","0.875","$30,000,000","27","210","6'4""",""
"","Brandon Nimmo","CF","NYM","151","0.932","580","159","16","64","0.274","0.800","$20,250,000","29","207","6'3""",""
"","Jose Altuve","2B","HOU","141","0.870","527","158","28","57","0.300","0.921","$26,000,000","32","166","5'6""",""
"","Cedric Mullins","CF","BAL","156","0.963","608","157","16","64","0.258","0.721","$4,049,991","27","175","5'8""",""
"","Ian Happ","LF","CHC","158","0.975","573","155","17","72","0.271","0.781","$10,853,308","27","205","6'0""",""
"","Mookie Betts","RF","LAD","142","0.877","572","154","35","82","0.269","0.873","$17,000,000","29","180","5'9""",""
"","Carlos Correa","SS","MIN","136","0.840","522","152","22","64","0.291","0.834","$0","27","220","6'4""",""
"","Ty France","1B","SEA","140","0.864","551","152","20","84","0.276","0.777","$4,258,181","27","205","6'0""",""
"","Adolis Garcia","RF","TEX","156","0.963","605","151","27","101","0.250","0.756","$0","29","205","6'1""",""
"","Bobby Witt Jr.","SS","KC","150","0.926","591","150","20","80","0.254","0.722","$0","22","190","6'1""",""
"","C.J. Cron","1B","COL","150","0.926","575","148","29","102","0.257","0.783","$7,250,000","32","235","6'4""",""
"","Matt Olson","1B","ATL","162","1.000","616","148","34","103","0.240","0.802","$21,000,000","28","225","6'5""",""
"","Josh Bell","1B","SD","156","0.963","552","147","17","71","0.266","0.784","$16,500,000","29","250","6'4""",""
"","J.D. Martinez","DH","BOS","139","0.858","533","146","16","62","0.274","0.790","$10,000,000","34","230","6'3""",""
"","Christian Yelich","LF","MIL","154","0.951","575","145","14","57","0.252","0.738","$22,000,000","30","195","6'3""",""
"","Corey Seager","SS","TEX","151","0.932","593","145","33","83","0.245","0.772","$35,000,000","28","215","6'4""",""
"","Julio Rodriguez","CF","SEA","132","0.815","511","145","28","75","0.284","0.853","$19,300,000","21","180","6'3""",""
"","Rhys Hoskins","1B","PHI","156","0.963","589","145","30","79","0.246","0.794","$12,845,095","29","225","6'4""",""
"","Yordan Alvarez","DH","HOU","135","0.833","470","144","37","97","0.306","1.019","$12,000,000","25","225","6'5""",""
"","Giovanny Urshela","3B","MIN","144","0.889","501","143","13","64","0.285","0.767","$9,283,000","30","215","6'0""",""
"","Alex Bregman","3B","HOU","155","0.957","548","142","23","93","0.259","0.821","$28,500,000","28","192","6'0""",""
"","Bryan Reynolds","CF","PIT","145","0.895","542","142","27","62","0.262","0.807","$6,750,000","27","205","6'3""",""
"","Christian Walker","1B","ARI","160","0.988","583","141","36","94","0.242","0.804","$7,425,838","31","220","6'0""",""
"","Jake Cronenworth","2B","SD","158","0.975","587","141","17","88","0.240","0.727","$4,429,031","28","187","6'0""",""
"","Charlie Blackmon","DH","COL","135","0.833","530","140","16","78","0.264","0.733","$15,000,000","36","221","6'3""",""
"","Jurickson Profar","LF","SD","152","0.938","575","140","15","58","0.244","0.723","$0","29","184","6'0""",""
"","Brendan Rodgers","2B","COL","137","0.846","527","140","13","63","0.266","0.733","$2,441,848","25","180","6'0""",""
"","Kyle Tucker","RF","HOU","150","0.926","544","140","30","107","0.257","0.808","$5,948,937","25","199","6'4""",""
"","Andrew Benintendi","LF","NYY","126","0.778","461","140","5","51","0.304","0.772","$0","27","180","5'9""",""
"","Yandy Diaz","3B","TB","137","0.846","473","140","9","57","0.296","0.824","$5,441,075","30","215","6'2""",""
"","J.T. Realmuto","C","PHI","139","0.858","504","139","22","84","0.276","0.820","$23,875,000","31","210","6'1""",""
"","Taylor Ward","RF","LAA","135","0.833","495","139","23","65","0.281","0.833","$3,188,544","28","200","6'1""",""
"","Ryan Mountcastle","1B","BAL","145","0.895","555","139","22","85","0.251","0.729","$0","25","230","6'4""",""
"","Nick Castellanos","RF","PHI","136","0.840","524","138","13","62","0.263","0.694","$20,000,000","30","203","6'4""",""
"","Anthony Santander","RF","BAL","152","0.938","574","138","33","89","0.240","0.773","$7,442,409","27","225","6'2""",""
"","Andrew Vaughn","DH","CHW","134","0.827","510","138","17","76","0.271","0.750","$0","24","215","6'0""",""
"","George Springer","CF","TOR","133","0.821","513","137","25","76","0.267","0.814","$22,500,000","32","221","6'3""",""
"","Starling Marte","RF","NYM","118","0.728","466","136","16","63","0.292","0.814","$22,000,000","33","195","6'1""",""
"","Brandon Drury","3B","SD","138","0.852","518","136","28","87","0.263","0.813","$8,500,000","29","215","6'2""",""
"","Gleyber Torres","2B","NYY","140","0.864","526","135","24","76","0.257","0.761","$9,608,255","25","205","6'1""",""
"","Nico Hoerner","SS","CHC","135","0.833","481","135","10","55","0.281","0.736","$2,831,704","25","200","6'1""",""
"","Willy Adames","SS","MIL","139","0.858","563","134","31","98","0.238","0.756","$9,609,697","26","210","6'0""",""
"","Sean Murphy","C","OAK","148","0.914","537","134","18","66","0.250","0.759","$4,000,000","27","228","6'3""",""
"","Austin Hays","LF","BAL","145","0.895","535","134","16","60","0.251","0.719","$3,586,495","26","205","6'1""",""
"","Kyle Farmer","SS","CIN","145","0.895","526","134","14","78","0.255","0.702","$6,134,974","31","205","6'0""",""
"","Alejandro Kirk","C","TOR","139","0.858","470","134","14","63","0.285","0.786","$0","23","265","5'8""",""
"","Elvis Andrus","SS","CHW","149","0.920","535","133","17","58","0.249","0.709","$0","33","200","6'0""",""
"","Teoscar Hernandez","DH","TOR","131","0.809","499","133","25","77","0.267","0.807","$14,463,983","29","205","6'2""",""
"","Javier Baez","SS","DET","144","0.889","555","132","17","67","0.238","0.671","$22,000,000","29","190","6'0""",""
"","Yulieski Gurriel","1B","HOU","146","0.901","545","132","8","53","0.242","0.647","$0","38","215","6'0""",""
"","Lourdes Gurriel Jr.","LF","TOR","121","0.747","453","132","5","52","0.291","0.743","$5,400,000","28","215","6'4""",""
"","Jeremy Pena","SS","HOU","136","0.840","521","132","22","63","0.253","0.715","$0","24","179","6'0""",""
"","Randal Grichuk","RF","COL","141","0.870","506","131","19","73","0.259","0.724","$5,000,000","30","216","6'2""",""
"","Tommy Pham","LF","BOS","144","0.889","554","131","17","63","0.237","0.686","$0","34","223","6'1""",""
"","Ryan McMahon","3B","COL","153","0.944","529","130","20","67","0.246","0.741","$9,000,000","27","219","6'2""",""
"","Ha-seong Kim","SS","SD","150","0.926","517","130","11","59","0.252","0.710","$7,000,000","26","168","5'9""",""
"","Juan Soto","RF","SD","153","0.944","524","127","27","62","0.242","0.853","$23,500,000","23","185","6'1""",""
"","Kyle Schwarber","LF","PHI","155","0.957","577","126","46","94","0.218","0.827","$20,000,000","29","229","6'0""",""
"","Whit Merrifield","2B","TOR","139","0.858","504","126","11","58","0.250","0.673","$6,750,000","33","195","6'1""",""
"","J.P. Crawford","SS","SEA","145","0.895","518","126","6","42","0.243","0.675","$10,000,000","27","180","6'2""",""
"","Mike Trout","CF","LAA","119","0.735","438","124","40","80","0.283","0.999","$35,450,000","30","235","6'2""",""
"","Trey Mancini","1B","HOU","143","0.883","519","124","18","63","0.239","0.710","$0","30","230","6'3""",""
"","Ronald Acuna Jr.","RF","ATL","119","0.735","467","124","15","50","0.266","0.765","$17,000,000","24","205","6'0""",""
"","Mark Canha","LF","NYM","140","0.864","462","123","13","61","0.266","0.770","$10,500,000","33","209","6'2""",""
"","Matt Chapman","3B","TOR","155","0.957","538","123","27","76","0.229","0.757","$12,000,000","29","220","6'0""",""
"","Michael Harris","CF","ATL","114","0.704","414","123","19","64","0.297","0.853","$5,000,000","21","0","0'0""",""
"","D.J. LeMahieu","3B","NYY","125","0.772","467","122","12","46","0.261","0.734","$15,000,000","33","220","6'4""",""
"","Hunter Renfroe","RF","MIL","125","0.772","474","121","29","72","0.255","0.807","$12,243,103","30","230","6'1""",""
"","A.J. Pollock","LF","CHW","138","0.852","489","120","14","56","0.245","0.681","$0","34","210","6'1""",""
"","Wilmer Flores","DH","SF","151","0.932","525","120","19","71","0.229","0.710","$6,500,000","30","205","6'3""",""
"","Lane Thomas","CF","WSH","146","0.901","498","120","17","52","0.241","0.705","$2,153,767","26","185","6'0""",""
"","Josh Rojas","3B","ARI","125","0.772","443","120","9","56","0.271","0.746","$2,206,410","28","185","6'1""",""
"","Jose Miranda","SS","MIN","125","0.772","444","119","15","66","0.268","0.751","$0","24","210","6'2""",""
"","Ketel Marte","2B","ARI","137","0.846","492","118","12","52","0.240","0.727","$11,000,000","28","165","6'1""",""
"","Tony Kemp","2B","OAK","147","0.907","497","117","7","46","0.235","0.641","$3,250,827","30","160","5'6""",""
"","Gavin Lux","2B","LAD","129","0.796","421","116","6","42","0.276","0.745","$0","24","190","6'2""",""
"","Rowdy Tellez","1B","MIL","153","0.944","529","116","35","89","0.219","0.767","$5,247,408","27","255","6'4""",""
"","Seth Brown","LF","OAK","150","0.926","500","115","25","73","0.230","0.749","$0","29","220","6'3""",""
"","Salvador Perez","C","KC","114","0.704","445","113","23","76","0.254","0.757","$20,000,000","32","255","6'3""",""
"","Luke Voit","DH","WSH","135","0.833","500","113","22","69","0.226","0.710","$0","31","255","6'3""",""
"","Yonathan Daza","CF","COL","113","0.698","372","112","2","34","0.301","0.733","$0","28","207","6'2""",""
"","Miguel Rojas","SS","MIA","140","0.864","471","111","6","36","0.236","0.605","$4,500,000","33","188","6'0""",""
"","David Peralta","LF","TB","134","0.827","439","110","12","59","0.251","0.731","$0","34","210","6'1""",""
"","Nick Gordon","SS","MIN","138","0.852","405","110","9","50","0.272","0.744","$0","26","160","6'0""",""
"","Hunter Dozier","1B","KC","129","0.796","462","110","12","41","0.238","0.686","$7,250,000","30","220","6'4""",""
"","Brendan Donovan","LF","STL","126","0.778","391","110","5","45","0.281","0.773","$0","25","195","6'1""",""
"","Christian Vazquez","C","HOU","119","0.735","398","109","9","52","0.274","0.714","$10,000,000","31","205","5'9""",""
"","Jesus Aguilar","1B","BAL","129","0.796","464","109","16","51","0.235","0.661","$0","32","277","6'3""",""
"","Raimel Tapia","RF","TOR","128","0.790","411","109","7","52","0.265","0.672","$0","28","175","6'3""",""
"","Jorge Mateo","SS","BAL","150","0.926","494","109","13","50","0.221","0.646","$1,266,376","27","182","6'0""",""
"","Kolten Wong","2B","MIL","134","0.827","430","108","15","47","0.251","0.770","$8,250,000","31","185","5'7""",""
"","Luis Robert","CF","CHW","98","0.605","380","108","12","56","0.284","0.746","$9,500,000","24","220","6'2""",""
"","Garrett Cooper","DH","MIA","119","0.735","414","108","9","50","0.261","0.752","$4,303,371","31","235","6'5""",""
"","Oscar Gonzalez","RF","CLE","91","0.562","362","107","11","43","0.296","0.789","$0","24","0","0'0""",""
"","Josh Donaldson","DH","NYY","132","0.815","478","106","15","62","0.222","0.682","$21,000,000","36","210","6'1""",""
"","Bryce Harper","DH","PHI","99","0.611","370","106","18","65","0.287","0.877","$26,000,000","29","220","6'3""",""
"","Travis d'Arnaud","C","ATL","107","0.661","396","106","18","60","0.268","0.791","$8,000,000","33","210","6'2""",""
"","Marcell Ozuna","DH","ATL","124","0.765","470","106","23","56","0.226","0.687","$16,000,000","31","225","6'1""",""
"","Cody Bellinger","CF","LAD","144","0.889","504","106","19","68","0.210","0.654","$12,000,000","26","203","6'4""",""
"","Nelson Cruz","DH","WSH","124","0.765","448","105","10","64","0.234","0.651","$0","41","230","6'2""",""
"","Michael Taylor","CF","KC","124","0.765","414","105","9","43","0.254","0.670","$4,500,000","31","215","6'4""",""
"","Anthony Rizzo","1B","NYY","130","0.803","465","104","32","75","0.224","0.817","$17,000,000","32","240","6'3""",""
"","Joc Pederson","LF","SF","134","0.827","380","104","23","70","0.274","0.874","$19,650,000","30","220","6'1""",""
"","Brandon Marsh","LF","PHI","134","0.827","424","104","11","52","0.245","0.679","$0","24","215","6'4""",""
"","Seiya Suzuki","RF","CHC","111","0.685","397","104","14","46","0.262","0.770","$17,000,000","27","0","0'0""",""
"","Owen Miller","1B","CLE","130","0.803","424","103","6","51","0.243","0.652","$0","25","185","6'0""",""
