"Rank","Player","Pos","Team","GP","GP%","GS","GS%","AB","H","2B","3B","HR","RBI","AVG","OBP","SLG","OPS","TVS","Cash2023",""
"","Gerrit Cole","SP","PIT","1.00","0.12","1.00","0.12","1.79","0.37","0.00","0.00","0.00","0.26","0.206","0.229","0.206","0.434","4.55","$36,000,000",""
"","Alex Cobb","SP","TB","1.00","0.14","1.00","0.14","0.14","0.00","0.00","0.00","0.00","0.00","0.000","0.000","0.000","0.000","3.90","$9,000,000",""
"","Nathan Eovaldi","SP","MIA","1.00","0.11","1.00","0.11","1.72","0.11","0.00","0.00","0.00","0.06","0.065","0.094","0.065","0.158","3.71","$18,000,000",""
"","Matt Harvey","SP","NYM","1.00","0.17","0.96","0.16","2.15","0.19","0.07","0.00","0.00","0.07","0.086","0.102","0.121","0.222","3.64","$0",""
"","Ivan Nova","SP","NYY","1.00","0.14","0.87","0.12","0.13","0.00","0.00","0.00","0.00","0.00","0.000","0.000","0.000","0.000","3.59","$0",""
"","Charlie Morton","SP","PIT","1.00","0.12","1.00","0.12","1.80","0.25","0.00","0.00","0.00","0.05","0.139","0.139","0.139","0.278","3.34","$20,000,000",""
"","Bartolo Colon","SP","OAK","1.00","0.19","1.00","0.19","0.20","0.00","0.00","0.00","0.00","0.00","0.000","0.000","0.000","0.000","3.21","$0",""
"","Francisco Liriano","RP","PIT","1.00","0.16","1.00","0.16","1.81","0.12","0.00","0.00","0.00","0.04","0.064","0.137","0.064","0.201","3.20","$0",""
"","Tyler Chatwood","SP","COL","1.00","0.16","0.77","0.12","1.54","0.46","0.04","0.00","0.00","0.27","0.300","0.333","0.325","0.658","3.12","$0",""
"","Martin Perez","SP","TEX","1.00","0.12","1.00","0.12","0.25","0.00","0.00","0.00","0.00","0.00","0.000","0.000","0.000","0.000","2.96","$19,650,000",""
"","Max Scherzer","SP","DET","1.00","0.20","1.00","0.20","0.09","0.03","0.03","0.00","0.00","0.03","0.333","0.333","0.667","1.000","2.91","$43,333,333",""
"","Adam Wainwright","SP","STL","1.00","0.22","0.97","0.21","2.03","0.43","0.11","0.00","0.00","0.17","0.211","0.208","0.268","0.476","2.81","$7,500,000",""
"","Anibal Sanchez","RP","DET","1.00","0.18","1.00","0.18","0.14","0.00","0.00","0.00","0.00","0.00","0.000","0.200","0.000","0.200","2.79","$0",""
"","Jordan Zimmermann","SP","WSH","1.00","0.20","1.00","0.20","2.03","0.25","0.03","0.00","0.00","0.06","0.123","0.134","0.138","0.273","2.74","$0",""
"","Hisashi Iwakuma","SP","SEA","1.00","0.20","1.00","0.20","0.09","0.00","0.00","0.00","0.00","0.00","0.000","0.000","0.000","0.000","2.74","$0",""
"","Zack Wheeler","SP","NYM","1.00","0.11","0.94","0.10","1.67","0.22","0.06","0.00","0.00","0.11","0.133","0.161","0.167","0.328","2.70","$24,500,000",""
"","Julio Teheran","SP","ATL","1.00","0.19","1.00","0.19","1.93","0.43","0.10","0.00","0.00","0.07","0.224","0.250","0.276","0.526","2.63","$0",""
"","Madison Bumgarner","SP","SF","1.00","0.19","1.00","0.19","1.81","0.19","0.00","0.00","0.00","0.13","0.107","0.177","0.107","0.285","2.63","$23,000,000",""
"","Mat Latos","SP","CIN","1.00","0.20","1.00","0.20","2.22","0.28","0.06","0.00","0.00","0.13","0.127","0.139","0.155","0.294","2.62","$0",""
"","Chris Archer","SP","TB","1.00","0.14","1.00","0.14","0.04","0.00","0.00","0.00","0.00","0.00","0.000","0.000","0.000","0.000","2.60","$0",""
"","Doug Fister","SP","DET","1.00","0.20","0.97","0.20","0.15","0.06","0.00","0.00","0.00","0.03","0.400","0.400","0.400","0.800","2.56","$0",""
"","David Price","SP","TB","1.00","0.17","1.00","0.17","0.22","0.00","0.00","0.00","0.00","0.00","0.000","0.000","0.000","0.000","2.56","$0",""
"","Patrick Corbin","SP","ARI","1.00","0.20","0.97","0.20","1.97","0.24","0.12","0.00","0.00","0.09","0.123","0.162","0.185","0.346","2.53","$24,000,000",""
"","James Shields","SP","KC","1.00","0.21","1.00","0.21","0.09","0.03","0.00","0.00","0.00","0.00","0.333","0.333","0.333","0.667","2.42","$0",""
"","Stephen Strasburg","SP","WSH","1.00","0.19","1.00","0.19","1.63","0.23","0.07","0.00","0.00","0.07","0.143","0.177","0.184","0.360","2.38","$23,571,428",""
"","Jose Quintana","SP","CHW","1.00","0.20","1.00","0.20","0.06","0.00","0.00","0.00","0.00","0.00","0.000","0.000","0.000","0.000","2.34","$13,000,000",""
"","Marco Estrada","SP","MIL","1.00","0.13","1.00","0.13","1.62","0.33","0.05","0.00","0.00","0.10","0.206","0.229","0.235","0.464","2.30","$0",""
"","Lance Lynn","SP","STL","1.00","0.20","1.00","0.20","1.64","0.12","0.00","0.00","0.00","0.06","0.074","0.138","0.074","0.212","2.14","$18,500,000",""
"","Zack Greinke","SP","LAD","1.00","0.18","0.97","0.17","2.00","0.66","0.10","0.00","0.00","0.14","0.328","0.409","0.379","0.788","2.06","$8,500,000",""
"","Jon Lester","SP","BOS","1.00","0.20","1.00","0.20","0.18","0.00","0.00","0.00","0.00","0.00","0.000","0.000","0.000","0.000","1.95","$0",""
"","Yu Darvish","SP","TEX","1.00","0.20","1.00","0.20","0.09","0.00","0.00","0.00","0.00","0.00","0.000","0.000","0.000","0.000","1.92","$30,000,000",""
"","Jered Weaver","SP","LAA","1.00","0.15","1.00","0.15","0.17","0.00","0.00","0.00","0.00","0.00","0.000","0.000","0.000","0.000","1.88","$0",""
"","Chris Tillman","SP","BAL","1.00","0.20","1.00","0.20","0.15","0.00","0.00","0.00","0.00","0.00","0.000","0.000","0.000","0.000","1.81","$0",""
"","Dan Straily","SP","OAK","1.00","0.17","1.00","0.17","0.07","0.00","0.00","0.00","0.00","0.00","0.000","0.333","0.000","0.333","1.80","$0",""
"","Wei-Yin Chen","SP","BAL","1.00","0.14","1.00","0.14","0.09","0.00","0.00","0.00","0.00","0.00","0.000","0.000","0.000","0.000","1.76","$0",""
"","Felix Hernandez","SP","SEA","1.00","0.19","1.00","0.19","0.16","0.00","0.00","0.00","0.00","0.00","0.000","0.167","0.000","0.167","1.67","$0",""
"","Rick Porcello","SP","DET","1.00","0.20","0.91","0.18","0.09","0.03","0.00","0.00","0.00","0.00","0.333","0.333","0.333","0.667","1.66","$0",""
"","Ervin Santana","SP","KC","1.00","0.20","1.00","0.20","0.13","0.03","0.00","0.00","0.00","0.00","0.250","0.250","0.250","0.500","1.66","$0",""
"","Hiroki Kuroda","SP","NYY","1.00","0.20","1.00","0.20","0.19","0.00","0.00","0.00","0.00","0.00","0.000","0.000","0.000","0.000","1.64","$0",""
"","Adam Ottavino","RP","COL","1.00","0.31","0.00","0.00","0.18","0.02","0.00","0.00","0.00","0.00","0.111","0.111","0.111","0.222","1.62","$3,750,000",""
"","Brandon McCarthy","SP","ARI","1.00","0.14","1.00","0.14","1.68","0.05","0.00","0.00","0.00","0.00","0.027","0.100","0.027","0.127","1.56","$0",""
"","Jean Machi","RP","SF","1.00","0.31","0.00","0.00","0.02","0.00","0.00","0.00","0.00","0.00","0.000","0.000","0.000","0.000","1.54","$0",""
"","Felix Doubront","SP","BOS","1.00","0.18","0.93","0.17","0.10","0.00","0.00","0.00","0.00","0.00","0.000","0.000","0.000","0.000","1.52","$0",""
"","Josh Collmenter","RP","ARI","1.00","0.30","0.00","0.00","0.22","0.02","0.00","0.00","0.00","0.00","0.091","0.167","0.091","0.258","1.52","$0",""
"","Matt Garza","SP","TEX","1.00","0.15","1.00","0.15","0.75","0.17","0.04","0.00","0.00","0.08","0.222","0.263","0.278","0.541","1.51","$0",""
"","Vin Mazzaro","RP","PIT","1.00","0.35","0.00","0.00","0.11","0.02","0.00","0.00","0.00","0.00","0.167","0.167","0.167","0.333","1.50","$0",""
"","C.J. Wilson","SP","LAA","1.00","0.20","1.00","0.20","0.24","0.03","0.00","0.00","0.00","0.00","0.125","0.222","0.125","0.347","1.49","$0",""
"","Kyle Lohse","SP","MIL","1.00","0.20","0.97","0.20","1.67","0.24","0.00","0.00","0.00","0.09","0.146","0.161","0.145","0.306","1.48","$0",""
"","Justin Wilson","RP","PIT","1.00","0.36","0.00","0.00","0.09","0.00","0.00","0.00","0.00","0.00","0.000","0.000","0.000","0.000","1.46","$1,000,000",""
"","Carlos Martinez","SP","STL","1.00","0.13","0.05","0.01","0.10","0.00","0.00","0.00","0.00","0.00","0.000","0.000","0.000","0.000","1.46","$0",""
"","Craig Stammen","RP","WSH","1.00","0.34","0.00","0.00","0.09","0.00","0.00","0.00","0.00","0.00","0.000","0.167","0.000","0.167","1.46","$0",""
"","Alex Wood","SP","ATL","1.00","0.19","0.35","0.07","0.68","0.00","0.00","0.00","0.00","0.00","0.000","0.000","0.000","0.000","1.40","$12,500,000",""
"","Ricky Nolasco","SP","LAD","1.00","0.21","0.97","0.20","1.47","0.18","0.06","0.00","0.00","0.03","0.120","0.214","0.160","0.374","1.39","$0",""
"","A.J. Burnett","SP","PIT","1.00","0.19","1.00","0.19","1.97","0.13","0.00","0.00","0.00","0.07","0.068","0.098","0.068","0.166","1.32","$0",""
"","Kenley Jansen","RP/CL","LAD","1.00","0.46","0.00","0.00","0.01","0.00","0.00","0.00","0.00","0.00","0.000","0.000","0.000","0.000","1.28","$16,000,000",""
"","Kevin Correia","SP","MIN","1.00","0.20","0.97","0.19","0.22","0.00","0.00","0.00","0.00","0.00","0.000","0.000","0.000","0.000","1.26","$0",""
"","Seth Maness","RP","STL","1.00","0.41","0.00","0.00","0.08","0.02","0.00","0.00","0.00","0.00","0.200","0.200","0.200","0.400","1.24","$0",""
"","Tyson Ross","SP","SD","1.00","0.22","0.44","0.10","0.92","0.17","0.00","0.00","0.00","0.00","0.182","0.182","0.182","0.364","1.23","$0",""
"","Edward Mujica","RP","STL","1.00","0.40","0.00","0.00","0.03","0.00","0.00","0.00","0.00","0.00","0.000","0.000","0.000","0.000","1.22","$0",""
"","Rex Brothers","RP","COL","1.00","0.44","0.00","0.00","0.01","0.00","0.00","0.00","0.00","0.00","0.000","0.000","0.000","0.000","1.21","$0",""
"","Tony Watson","RP","PIT","1.00","0.41","0.00","0.00","0.01","0.00","0.00","0.00","0.00","0.00","0.000","0.000","0.000","0.000","1.20","$0",""
"","Nick Tepesch","SP","TEX","1.00","0.12","0.89","0.10","0.16","0.00","0.00","0.00","0.00","0.00","0.000","0.000","0.000","0.000","1.18","$0",""
"","Bronson Arroyo","SP","CIN","1.00","0.20","1.00","0.20","1.84","0.13","0.00","0.00","0.00","0.00","0.068","0.068","0.068","0.136","1.11","$0",""
"","R.A. Dickey","SP","TOR","1.00","0.21","1.00","0.21","0.18","0.06","0.03","0.00","0.00","0.03","0.333","0.333","0.500","0.833","1.10","$0",""
"","Anthony Varvaro","RP","ATL","1.00","0.38","0.00","0.00","0.02","0.00","0.00","0.00","0.00","0.00","0.000","0.000","0.000","0.000","1.09","$0",""
"","John Lackey","SP","BOS","1.00","0.18","1.00","0.18","0.17","0.00","0.00","0.00","0.00","0.00","0.000","0.000","0.000","0.000","1.06","$0",""
