"Rank","Player","Pos","Team","GP","GS","IP","H","R","ER","BB","SO","W","L","SV","WHIP","ERA","WAR","TVS","Cash2023",""
"","Sergio Romo","RP","MIN","1.00","0.00","0.93","0.77","0.42","0.35","0.26","0.92","0.03","0.02","0.31","0.02","0.05","0.00","0.94","$0",""
"","Josh James","RP","HOU","1.00","0.02","1.25","0.94","0.69","0.65","0.71","2.04","0.10","0.02","0.02","0.03","0.10","0.00","0.88","$0",""
"","Javy Guerra","RP","WSH","1.00","0.00","1.33","1.31","0.71","0.69","0.33","1.12","0.06","0.02","0.04","0.02","0.09","0.00","0.84","$0",""
"","Mike Morin","RP","PHI","1.00","0.00","0.97","0.88","0.56","0.50","0.19","0.50","0.02","0.06","0.02","0.02","0.09","0.00","0.82","$0",""
"","Matt Andriese","RP","ARI","1.00","0.00","1.31","1.33","0.69","0.69","0.50","1.46","0.09","0.09","0.02","0.03","0.09","0.00","0.71","$0",""
"","Richard Bleier","RP","BAL","1.00","0.02","1.04","1.23","0.64","0.62","0.15","0.57","0.06","0.00","0.08","0.02","0.10","0.00","0.64","$3,500,000",""
"","Yimi Garcia","RP","LAD","1.00","0.00","0.97","0.63","0.44","0.39","0.22","1.03","0.02","0.06","0.00","0.01","0.06","0.00","0.62","$5,000,000",""
"","Vincent Velasquez","SP","PHI","1.00","0.66","3.35","3.43","1.97","1.83","1.23","3.71","0.20","0.23","0.00","0.04","0.14","0.00","0.59","$3,150,000",""
"","Ryan Brasier","RP","BOS","1.00","0.00","0.90","0.82","0.53","0.48","0.34","0.98","0.03","0.06","0.11","0.02","0.08","0.00","0.57","$2,000,000",""
"","Robert Gsellman","RP","NYM","1.00","0.00","1.22","1.23","0.69","0.63","0.44","1.15","0.04","0.06","0.02","0.03","0.09","0.00","0.57","$0",""
"","Joe Ross","SP","WSH","1.00","0.32","2.29","2.64","1.46","1.39","1.18","2.04","0.14","0.14","0.00","0.06","0.20","0.00","0.54","$0",""
"","Ariel Jurado","SP","TEX","1.00","0.56","3.82","4.63","2.94","2.47","1.13","2.53","0.22","0.34","0.00","0.05","0.18","0.00","0.51","$0",""
"","Jared Hughes","RP","PHI","1.00","0.00","0.99","0.79","0.51","0.44","0.38","0.75","0.07","0.07","0.01","0.02","0.06","0.00","0.47","$0",""
"","Matt Albers","RP","MIL","1.00","0.00","0.89","0.79","0.51","0.51","0.43","0.85","0.12","0.09","0.06","0.02","0.08","0.00","0.44","$0",""
"","Kenley Jansen","RP/CL","LAD","1.00","0.00","1.02","0.82","0.45","0.42","0.26","1.29","0.08","0.05","0.55","0.02","0.06","0.00","0.42","$16,000,000",""
"","Glenn Sparkman","SP","KC","1.00","0.74","4.39","5.29","3.10","2.94","1.32","2.61","0.13","0.35","0.00","0.05","0.19","0.00","0.41","$0",""
"","Chaz Roe","RP","TB","1.00","0.00","0.72","0.69","0.38","0.32","0.44","0.92","0.01","0.04","0.01","0.02","0.06","0.00","0.36","$0",""
"","Pedro Strop","RP","CHC","1.00","0.00","0.83","0.66","0.48","0.46","0.40","0.98","0.04","0.10","0.20","0.03","0.10","0.00","0.35","$0",""
"","Jeff Hoffman","SP","COL","1.00","0.83","3.89","4.28","2.83","2.83","1.89","3.78","0.11","0.33","0.00","0.09","0.36","0.00","0.34","$0",""
"","Blake Treinen","RP","OAK","1.00","0.00","1.03","1.02","0.58","0.56","0.65","1.04","0.11","0.09","0.28","0.03","0.09","0.00","0.33","$8,000,000",""
"","Chris Devenski","RP","HOU","1.00","0.02","1.13","1.13","0.64","0.61","0.34","1.18","0.03","0.05","0.00","0.02","0.08","0.00","0.33","$0",""
"","Gabriel Ynoa","SP","BAL","1.00","0.36","3.07","3.50","2.14","1.92","0.72","1.86","0.03","0.28","0.00","0.04","0.16","0.00","0.33","$0",""
"","Jace Fry","RP","CHW","1.00","0.00","0.81","0.65","0.49","0.43","0.63","1.00","0.04","0.06","0.00","0.02","0.07","0.00","0.32","$0",""
"","Tim Mayza","RP","TOR","1.00","0.00","0.75","0.66","0.43","0.41","0.40","0.81","0.01","0.04","0.00","0.02","0.07","0.00","0.31","$2,100,000",""
"","Derek Law","RP","TOR","1.00","0.07","1.05","1.05","0.62","0.57","0.69","1.16","0.02","0.03","0.09","0.03","0.08","0.00","0.31","$0",""
"","Paul Fry","RP","BAL","1.00","0.00","0.87","0.82","0.59","0.52","0.44","0.83","0.02","0.14","0.05","0.02","0.08","0.00","0.28","$0",""
"","Luis Garcia","RP","LAA","1.00","0.02","0.97","0.95","0.55","0.47","0.52","0.89","0.03","0.02","0.02","0.02","0.07","0.00","0.28","$3,500,000",""
"","Jake Diekman","RP","OAK","1.00","0.00","0.81","0.64","0.45","0.43","0.52","1.09","0.01","0.09","0.00","0.02","0.06","0.00","0.28","$3,500,000",""
"","Kyle Crick","RP","PIT","1.00","0.00","0.94","0.79","0.58","0.52","0.67","1.17","0.06","0.13","0.00","0.03","0.10","0.00","0.24","$0",""
"","Brandon Dixon","1B","DET","1.00","0.82","0.02","0.01","0.02","0.02","0.00","0.01","0.00","0.00","0.00","0.00","0.08","0.00","0.22","$0",""
"","Justin Anderson","RP","LAA","1.00","0.00","0.87","0.78","0.59","0.54","0.59","1.11","0.06","0.00","0.02","0.03","0.10","0.00","0.21","$0",""
"","Yusei Kikuchi","SP","SEA","1.00","1.00","5.05","6.09","3.41","3.06","1.56","3.63","0.19","0.34","0.00","0.05","0.17","0.00","0.21","$10,000,000",""
"","Dylan Moore","SS","SEA","1.00","0.59","0.01","0.04","0.04","0.04","0.02","0.00","0.00","0.00","0.00","0.06","0.32","0.00","0.18","$2,250,000",""
"","Gerardo Parra","RF","WSH","1.00","0.50","0.00","0.01","0.04","0.04","0.03","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.15","$0",""
"","Kyle Farmer","C","CIN","1.00","0.36","0.01","0.01","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.01","0.00","0.00","0.13","$5,585,000",""
"","Nathan Eovaldi","SP","BOS","1.00","0.52","2.94","3.13","2.00","1.96","1.52","3.04","0.09","0.04","0.00","0.07","0.26","0.00","0.10","$18,000,000",""
"","Bryan Shaw","RP","COL","1.00","0.01","1.03","0.99","0.63","0.61","0.41","0.83","0.04","0.03","0.01","0.02","0.08","0.00","0.08","$0",""
"","Charlie Culberson","2B","ATL","1.00","0.14","0.02","0.02","0.00","0.00","0.02","0.01","0.00","0.00","0.00","0.02","0.00","0.00","0.07","$0",""
"","Jordan Zimmermann","SP","DET","1.00","1.00","4.87","6.30","3.87","3.74","1.09","3.57","0.04","0.57","0.00","0.07","0.30","0.00","0.05","$0",""
"","Trevor Cahill","RP","LAA","1.00","0.28","2.62","2.85","1.82","1.74","1.00","2.08","0.10","0.23","0.00","0.04","0.15","0.00","0.00","$0",""
"","Juan Nicasio","RP","PHI","1.00","0.00","1.01","1.21","0.57","0.53","0.45","0.96","0.04","0.06","0.02","0.04","0.10","0.00","0.00","$0",""
"","David Robertson","RP","PHI","1.00","0.00","0.95","1.14","0.57","0.57","0.86","0.86","0.00","0.14","0.00","0.30","0.77","0.00","0.00","$10,000,000",""
"","Wade LeBlanc","RP","SEA","1.00","0.38","4.67","5.58","3.08","2.96","1.19","3.54","0.23","0.27","0.00","0.06","0.22","0.00","0.00","$0",""
"","Jake McGee","RP","COL","1.00","0.00","0.92","1.04","0.56","0.44","0.24","0.78","0.00","0.04","0.00","0.03","0.10","0.00","0.00","$0",""
"","Tyson Ross","SP","DET","1.00","1.00","5.05","5.86","4.00","3.43","2.57","3.57","0.14","0.71","0.00","0.24","0.87","0.00","0.00","$0",""
"","Wilmer Font","RP","TOR","1.00","0.35","1.76","1.63","0.88","0.88","0.60","1.98","0.08","0.10","0.00","0.03","0.09","0.00","0.00","$0",""
"","Drew Pomeranz","RP","MIL","1.00","0.39","2.26","2.28","1.26","1.22","0.96","2.98","0.04","0.22","0.04","0.03","0.11","0.00","0.00","$10,000,000",""
"","Luis Avilan","RP","NYM","1.00","0.00","0.71","0.73","0.40","0.40","0.31","0.67","0.09","0.00","0.00","0.03","0.11","0.00","0.00","$0",""
"","Jedd Gyorko","3B","LAD","1.00","0.24","0.01","0.00","0.00","0.00","0.00","0.02","0.00","0.00","0.00","0.00","0.00","0.00","0.00","$0",""
"","Caleb Joseph","C","ARI","1.00","0.55","0.07","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","$0",""
"","Archie Bradley","CL","ARI","1.00","0.02","1.09","1.02","0.45","0.42","0.55","1.32","0.06","0.08","0.27","0.02","0.05","0.00","0.00","$0",""
"","Austin Adams","RP","SEA","1.00","0.00","1.07","0.67","0.47","0.47","0.53","1.77","0.07","0.07","0.00","0.04","0.13","0.00","0.00","$0",""
"","Drew VerHagen","RP","DET","1.00","0.18","2.64","3.18","1.82","1.73","1.05","2.32","0.18","0.14","0.00","0.07","0.27","0.00","0.00","$3,000,000",""
"","Roenis Elias","RP","WSH","1.00","0.00","1.04","0.96","0.67","0.46","0.38","0.98","0.08","0.04","0.29","0.03","0.08","0.00","0.00","$0",""
"","Jose Urena","RP","MIA","1.00","0.52","3.39","3.96","2.12","1.96","1.04","2.48","0.16","0.40","0.12","0.06","0.21","0.00","0.00","$3,000,000",""
"","Ray Black","RP","MIL","1.00","0.00","0.94","0.82","0.53","0.53","0.53","1.06","0.00","0.06","0.00","0.08","0.30","0.00","0.00","$0",""
"","Ryan Tepera","RP","TOR","1.00","0.04","0.94","0.87","0.52","0.52","0.35","0.61","0.00","0.09","0.00","0.06","0.22","0.00","0.00","$7,000,000",""
"","Matt Wisler","RP","SEA","1.00","0.18","1.17","1.27","0.77","0.73","0.36","1.43","0.07","0.09","0.00","0.03","0.13","0.00","0.00","$0",""
"","Josh Staumont","RP","KC","1.00","0.00","1.21","1.31","0.81","0.50","0.63","0.94","0.00","0.00","0.00","0.10","0.23","0.00","0.00","$1,025,000",""
"","Ryan Burr","RP","CHW","1.00","0.06","1.23","1.06","0.81","0.63","0.50","1.25","0.06","0.06","0.00","0.08","0.29","0.00","0.00","$0",""
"","Jimmy Cordero","RP","CHW","1.00","0.00","1.20","0.84","0.39","0.39","0.35","1.00","0.03","0.03","0.00","0.03","0.09","0.00","0.00","$800,000",""
"","Roman Quinn","CF","PHI","1.00","0.52","0.08","0.16","0.07","0.07","0.07","0.02","0.00","0.02","0.00","0.07","0.18","0.00","0.00","$0",""
"","Yohander Mendez","RP","TEX","1.00","0.00","1.56","1.33","1.00","1.00","1.67","2.67","0.33","0.00","0.00","0.64","1.93","0.00","0.00","$0",""
"","Branden Kline","RP","BAL","1.00","0.00","1.21","1.29","0.82","0.79","0.56","1.00","0.03","0.12","0.00","0.05","0.17","0.00","0.00","$0",""
"","Richard Urena","SS","TOR","1.00","0.70","0.03","0.13","0.13","0.13","0.03","0.00","0.00","0.00","0.00","0.17","1.20","0.00","0.00","$0",""
"","Dustin May","RP","LAD","1.00","0.29","2.48","2.36","1.21","1.00","0.36","2.29","0.14","0.21","0.00","0.08","0.26","0.00","0.00","$1,675,000",""
"","Dan Altavilla","RP","SEA","1.00","0.00","0.86","0.53","0.53","0.53","0.71","1.06","0.12","0.06","0.00","0.08","0.32","0.00","0.00","$0",""
"","Robby Scott","RP","ARI","1.00","0.00","0.67","0.73","0.36","0.36","0.64","0.82","0.09","0.00","0.00","0.19","0.45","0.00","0.00","$0",""
"","Jose Ruiz","RP","CHW","1.00","0.00","1.00","1.40","0.68","0.63","0.60","0.88","0.03","0.10","0.00","0.05","0.14","0.00","0.00","$925,000",""
"","Duane Underwood","RP","CHC","1.00","0.00","0.97","1.08","0.58","0.58","0.25","1.08","0.00","0.00","0.00","0.11","0.45","0.00","0.00","$1,025,000",""
"","Javier Guerra","SS","SD","1.00","0.00","1.08","0.88","0.63","0.63","0.38","0.75","0.00","0.00","0.00","0.14","0.65","0.00","0.00","$0",""
"","Yency Almonte","RP","COL","1.00","0.00","1.21","1.39","0.79","0.75","0.50","1.04","0.00","0.04","0.00","0.06","0.20","0.00","0.00","$1,500,000",""
"","Jose Osuna","1B","PIT","1.00","0.61","0.02","0.03","0.01","0.01","0.00","0.00","0.00","0.00","0.00","0.01","0.04","0.00","0.00","$0",""
"","Dillon Maples","RP","CHC","1.00","0.00","0.83","0.43","0.50","0.50","0.71","1.29","0.07","0.00","0.00","0.10","0.39","0.00","0.00","$0",""
"","Tanner Scott","RP","BAL","1.00","0.00","0.94","1.00","0.61","0.50","0.68","1.32","0.04","0.04","0.00","0.06","0.17","0.00","0.00","$2,825,000",""
"","Seranthony Dominguez","RP/CL","PHI","1.00","0.00","0.91","0.89","0.48","0.41","0.44","1.07","0.11","0.00","0.00","0.05","0.15","0.00","0.00","$2,500,000",""
"","Jesus Tinoco","RP","COL","1.00","0.00","1.50","1.50","0.96","0.79","0.92","1.17","0.00","0.13","0.04","0.07","0.20","0.00","0.00","$0",""
"","Nick Martini","RF","SD","1.00","0.72","0.03","0.00","0.00","0.00","0.06","0.03","0.00","0.00","0.00","0.06","0.00","0.00","0.00","$0",""
