Acronimo,Equipo,Victorias,Juegos totales
ARI,Arizona Diamondbacks,64,161
ATL,Atlanta Braves,79,162
BAL,Baltimore Orioles,96,162
BOS,Boston Red Sox,71,162
CHC,Chicago Cubs,73,162
CHW,Chicago White Sox,73,162
CIN,Cincinnati Reds,76,162
COL,Colorado Rockies,66,161
DET,Detroit Tigers,90,162
HOU,Houston Astros,70,162
KC,Kansas City Royals,89,162
LAA,Los Angeles Angels,98,161
LAD,Los Angeles Dodgers,93,161
MIA,Miami Marlins,77,162
MIL,Milwaukee Brewers,82,162
MIN,Minnesota Twins,70,162
NYM,New York Mets,79,162
NYY,New York Yankees,84,162
OAK,Oakland Athletics,88,162
PHI,Philadelphia Phillies,73,162
PIT,Pittsburgh Pirates,88,162
SD,San Diego Padres,77,161
SEA,Seattle Mariners,86,161
SF,San Francisco Giants,87,161
STL,St. Louis Cardinals,89,161
TB,Tampa Bay Rays,77,162
TEX,Texas Rangers,67,162
TOR,Toronto Blue Jays,83,162
WSH,Washington Nationals,96,162
