Acronimo,Equipo,Victorias,Juegos totales
ARI,Arizona Diamondbacks,93,162
ATL,Atlanta Braves,72,162
BAL,Baltimore Orioles,75,162
BOS,Boston Red Sox,93,162
CHC,Chicago Cubs,92,162
CHW,Chicago White Sox,67,162
CIN,Cincinnati Reds,68,162
COL,Colorado Rockies,87,162
DET,Detroit Tigers,64,162
HOU,Houston Astros,101,162
KC,Kansas City Royals,80,162
LAA,Los Angeles Angels,80,162
LAD,Los Angeles Dodgers,104,162
MIA,Miami Marlins,77,162
MIL,Milwaukee Brewers,86,162
MIN,Minnesota Twins,85,162
NYM,New York Mets,70,162
NYY,New York Yankees,91,162
OAK,Oakland Athletics,75,162
PHI,Philadelphia Phillies,66,162
PIT,Pittsburgh Pirates,75,162
SD,San Diego Padres,71,162
SEA,Seattle Mariners,78,162
SF,San Francisco Giants,64,162
STL,St. Louis Cardinals,83,162
TB,Tampa Bay Rays,80,162
TEX,Texas Rangers,78,162
TOR,Toronto Blue Jays,76,162
WSH,Washington Nationals,97,163
