Acronimo_t,Acronimo_t_1,Agente libre,Altura_t,Altura_t_1,Anio,Anio_de_agente_libre_t,Anio_de_agente_libre_t_1,Anio_inicio_de_contrato_t,Anio_inicio_de_contrato_t_1,Anios_de_contrato_t,Anios_de_contrato_t_1,At_bats_2_t,At_bats_2_t_1,At_bats_t,At_bats_t_1,Bateos_2_t,Bateos_2_t_1,Bateos_t,Bateos_t_1,Bono_por_firma_t,Bono_por_firma_t_1,Cantidad_agentes_libres_t,Cantidad_agentes_libres_t_1,Cantidad_de_equipos_t,Cantidad_de_equipos_t_1,Edad_al_firmar_t,Edad_al_firmar_t_1,Edad_t,Edad_t_1,Equipo_t,Equipo_t_1,Estado_t,Ganancias_t,Ganancias_t_1,Home_runs_2_t,Home_runs_2_t_1,Home_runs_t,Home_runs_t_1,Juegos_2_t,Juegos_2_t_1,Juegos_t,Juegos_t_1,Juegos_totales_t,Juegos_totales_t_1,Jugador,OPS_2_t,OPS_2_t_1,OPS_t,OPS_t_1,Pennants_won_t,Pennants_won_t_1,Peso_t,Peso_t_1,Playoffs_t,Playoffs_t_1,Porcentaje_bateo_2_t,Porcentaje_bateo_2_t_1,Porcentaje_bateo_t,Porcentaje_bateo_t_1,Porcetnaje_juegos_2_t,Porcetnaje_juegos_2_t_1,Porcetnaje_juegos_t,Porcetnaje_juegos_t_1,Posicion_t,Posicion_t_1,Promedio_victorias_t,Promedio_victorias_t_1,RBI_2_t,RBI_2_t_1,RBI_t,RBI_t_1,Sueldo_ajustado_t,Sueldo_ajustado_t_1,Sueldo_base_t,Sueldo_base_t_1,Sueldo_regular_t,Sueldo_regular_t_1,TVS_2_t,TVS_2_t_1,TVS_t,TVS_t_1,Valor_contrato_total_t,Valor_contrato_total_t_1,Valor_del_contrato_t,Valor_del_contrato_t_1,Victorias_t,Victorias_t_1,WAR_2_t,WAR_2_t_1,WAR_t,WAR_t_1,WS_ganadas_t,WS_ganadas_t_1,ln_Sueldo_ajustado_t,ln_Sueldo_base_t,ln_Sueldo_regular_t
LAD,LAD,No,6.1,6.1,2021,2023,2023,2019,2019,5,5,336400,38416,580,196,28224,2916,168,54,3000000,3000000,7,4,5,5,31,31,33,32,Los Angeles Dodgers,Los Angeles Dodgers,California,53498337,38498337,1369,256,37,16,29584,3025,172,55,162,59,A.J. Pollock,0.788544,0.776161,0.888,0.881,25,25,210,210,35,34,0.0841,0.07617600000000001,0.29,0.276,0.6006250000000001,0.8408890000000001,0.775,0.917,LF,LF,0.654320987654321,0.711864406779661,10609,1156,103,34,18000000,7444444,15000000,12000000,18000000,15000000,17614.5984,3644.5368999999996,132.72,60.37,160320500,15813500,60000000,60000000,106,42,13.5424,0.3844,3.68,0.62,7,7,16.70588231586044,16.523560759066484,16.70588231586044
NYY,NYY,No,6.1,6.1,2021,2027,2027,2019,2019,7,7,76729,28561,277,169,3481,1444,59,38,285714,285714,4,2,2,2,29,29,31,30,New York Yankees,New York Yankees,New York,29946435,19446435,100,36,10,6,7396,2916,86,54,162,60,Aaron Hicks,0.5328999999999999,0.6288490000000001,0.73,0.793,40,40,205,205,57,56,0.045369,0.050625,0.213,0.225,0.149769,0.81,0.387,0.9,CF,CF,0.5679012345679012,0.55,1225,441,35,21,10785714,4174603,10500000,10500000,10785714,10785714,3340.8399999999997,3340.8399999999997,57.8,57.8,111300000,336500000,70000000,70000000,92,33,0.04000000000000001,0.24009999999999998,0.2,0.49,27,27,16.193733038673873,16.166885815127753,16.193733038673873
HOU,HOU,No,6.0,6.0,2021,2025,2025,2019,2019,5,5,251001,23409,501,153,17161,1369,131,37,1666667,1666667,5,3,2,2,24,24,27,26,Houston Astros,Houston Astros,Texas,32947084,21947084,324,36,18,6,17689,1764,133,42,162,60,Alex Bregman,0.616225,0.6416010000000001,0.785,0.801,4,3,192,192,15,14,0.06864400000000001,0.058564,0.262,0.242,0.358801,0.48999999999999994,0.599,0.7,3B,3B,0.5864197530864198,0.4833333333333333,5929,484,77,22,12666666,5740741,11000000,11000000,12666666,12666666,1479.1716000000001,1479.1716000000001,38.46,38.46,76100000,15650000,100000000,100000000,95,29,10.497600000000002,1.2544000000000002,3.24,1.12,1,1,16.35448437639097,16.213405830762646,16.35448437639097
KC,BOS,No,5.9,5.9,2021,2023,2023,2020,2020,2,2,283024,1521,532,39,19600,16,140,4,0,0,5,8,2,1,25,25,25,25,Kansas City Royals,Boston Red Sox,Missouri,13508585,6908585,289,0,17,0,21904,196,148,14,163,60,Andrew Benintendi,0.5505639999999999,0.195364,0.742,0.442,4,14,180,180,9,24,0.06916900000000001,0.010608999999999999,0.263,0.103,0.44488900000000003,0.054289000000000004,0.667,0.233,LF,LF,0.4601226993865031,0.4,5476,1,74,1,3800000,1259259,6600000,3400000,6600000,3400000,3025.0,0.0,55.0,0.0,41500000,19100000,10000000,10000000,75,24,5.522500000000001,0.0064,2.35,-0.08,2,9,15.150511624696614,15.702580206996654,15.702580206996654
LAA,LAA,No,6.1,6.1,2021,2027,2027,2020,2020,7,7,164836,35721,406,189,11236,2916,106,54,571428,571428,6,3,5,5,29,29,31,30,Los Angeles Angels,Los Angeles Angels,California,91244444,63744444,225,81,15,9,12100,2704,110,52,162,60,Anthony Rendon,0.6528640000000001,0.8372250000000001,0.808,0.915,1,1,200,200,10,10,0.068121,0.08179599999999998,0.261,0.286,0.24601599999999998,0.7516889999999999,0.496,0.867,3B,3B,0.4753086419753086,0.4333333333333333,4225,961,65,31,28071428,10015872,27500000,25500000,28071428,26071428,2804.7616000000003,2804.7616000000003,52.96,52.96,12625000,260850000,245000000,245000000,77,26,3.3856,3.3856,1.84,1.84,1,1,17.150262819862043,17.1296965626368,17.150262819862043
NYY,CHC,No,6.3,6.3,2021,2022,2022,2013,2013,7,7,488601,41209,699,203,28224,2025,168,45,0,0,4,4,2,2,23,23,31,30,New York Yankees,Chicago Cubs,New York,62565422,46065422,1089,121,33,11,39601,3364,199,58,162,58,Anthony Rizzo,0.6006250000000001,0.570025,0.775,0.755,40,17,240,240,57,21,0.0576,0.049284,0.24,0.222,0.8028160000000001,0.935089,0.896,0.967,1B,1B,0.5679012345679012,0.5517241379310345,7225,576,85,24,0,6111111,16500000,16500000,16500000,16500000,12879.980099999999,3607.2036000000003,113.49,60.06,111300000,2650000,41000000,41000000,92,32,3.8415999999999997,0.5929,1.96,0.77,27,3,-inf,16.61887093887081,16.61887093887081
MIL,MIL,No,6.4,6.4,2021,2023,2023,2020,2020,2,2,412164,32761,642,181,26896,1849,164,43,250000,250000,4,9,1,1,28,28,30,29,Milwaukee Brewers,Milwaukee Brewers,Wisconsin,33565538,21065538,961,4,31,2,35344,2809,188,53,162,60,Avisail Garcia,0.6006250000000001,0.43428100000000003,0.775,0.659,1,1,250,250,8,7,0.065536,0.05664399999999999,0.256,0.238,0.717409,0.779689,0.847,0.883,RF,LF,0.5864197530864198,0.4833333333333333,10201,225,101,15,10750000,2842593,10500000,7000000,10750000,7250000,5829.322499999999,125.88840000000002,76.35,11.22,45400000,49875000,20000000,20000000,95,29,5.9536,0.22089999999999999,2.44,-0.47,0,0,16.190416312537945,16.166885815127753,16.190416312537945
SF,SF,No,6.4,6.4,2021,2022,2022,2016,2016,5,5,224676,22201,474,149,18225,2116,135,46,1200000,1200000,8,3,5,5,27,27,33,32,San Francisco Giants,San Francisco Giants,California,76927998,60927998,1444,81,38,9,21904,2601,148,51,163,60,Brandon Belt,0.976144,1.0302249999999997,0.988,1.015,23,23,235,235,27,26,0.08122499999999999,0.095481,0.285,0.309,0.44488900000000003,0.7224999999999999,0.667,0.85,1B,1B,0.6625766871165644,0.4833333333333333,7921,900,89,30,17200000,7125926,16000000,16000000,17200000,17200000,7951.2889000000005,7951.2889000000005,89.17,89.17,36200000,18250000,72800000,72800000,108,29,21.808899999999998,4.0804,4.67,2.02,8,8,16.660419941783683,16.588099280204055,16.660419941783683
SF,SF,No,6.2,6.2,2021,0,0,2016,2016,6,6,429025,29584,655,172,35344,1936,188,44,200000,200000,8,3,5,5,28,28,34,33,San Francisco Giants,San Francisco Giants,California,70889183,55889183,1024,64,32,8,36864,2916,192,54,163,60,Brandon Crawford,0.753424,0.627264,0.868,0.792,23,23,227,227,27,26,0.08236899999999998,0.065536,0.287,0.256,0.748225,0.81,0.865,0.9,SS,SS,0.6625766871165644,0.4833333333333333,13924,784,118,28,15200000,5755556,15000000,15000000,15200000,15200000,20209.4656,2467.1089,142.16,49.67,36200000,18250000,75000000,75000000,108,29,54.908100000000005,1.7689000000000001,7.41,1.33,8,8,16.536805985816503,16.523560759066484,16.536805985816503
LAD,LAD,No,6.1,6.1,2021,2022,2022,2020,2020,2,2,478864,34225,692,185,32041,2500,179,50,0,0,7,4,5,5,29,29,30,29,Los Angeles Dodgers,Los Angeles Dodgers,California,15465516,7665516,784,64,28,8,41616,3136,204,56,162,59,Chris Taylor,0.636804,0.7089639999999999,0.798,0.842,25,25,196,196,35,34,0.067081,0.0729,0.259,0.27,0.8445610000000001,0.8704890000000001,0.919,0.933,2B,2B,0.654320987654321,0.711864406779661,11025,1024,105,32,7800000,2074074,7800000,5600000,7800000,5600000,22554.032400000004,6854.184100000001,150.18,82.79,160320500,15813500,13400000,13400000,106,42,20.702499999999997,3.3856,4.55,1.84,7,7,15.86963429165982,15.86963429165982,15.86963429165982
