Acronimo,Altura,Anio_de_agente_libre,Anio_inicio_de_contrato,Anio,Anios_de_contrato,At-bats,At-bats_2,Bateos,Bateos_2,Bono_por_firma,Cantidad_agentes_libres,Edad,Edad_al_firmar,Equipo,Equipo_anterior,Ganancias,Home-runs,Home-runs_2,Juegos,Juegos totales,Juegos_2,Jugador,OPS,OPS_2,Pennants won,Peso,Playoffs,Porcentaje_bateo,Porcentaje_bateo_2,Porcetnaje_juegos,Porcetnaje_juegos_2,Posicion,Promedio_victorias,RBI,RBI_2,Status,Sueldo_ajustado,Sueldo_base,Sueldo_regular,TVS,TVS_2,Valor_contrato,Valor_contrato_total,Valor_del_contrato,Valor_promedio_contrato,Victorias,WAR,WAR_2,WS ganadas,ln_Sueldo_ajustado,ln_Sueldo_base,ln_Sueldo_regular
SD,6.3,2029,2019,2019,10,587,344569,150,22500,2000000,4,26,26,San Diego Padres,LAD,69449785,32,1024,156,162,24336,Manny Machado,0.796,0.6336160000000001,2,218,5,0.256,0.065536,0.963,0.9273689999999999,3B,0.4320987654320987,85,7225,UFA,12000000,10000000,12000000,20.05,402.00250000000005,300000000,326000000,300000000,30000000,70,3.08,9.4864,0,16.300417207752275,16.11809565095832,16.300417207752275
WSH,6.4,2025,2019,2019,6,65,4225,6,36,416666,7,29,29,Washington Nationals,ARI,31233415,0,0,33,162,1089,Patrick Corbin,0.24,0.0576,1,220,6,0.092,0.008464,0.204,0.04161599999999999,SP,0.5740740740740741,4,16,UFA,12916666,12500000,12916666,80.28,6444.8784000000005,140000000,184550000,140000000,23333333,93,5.66,32.0356,1,16.374028973482616,16.34123920227253,16.374028973482616
BOS,6.2,2023,2019,2019,4,2,4,0,0,0,1,29,28,Boston Red Sox,BOS,31768901,0,0,23,161,529,Nathan Eovaldi,0.0,0.0,14,217,24,0.0,0.0,0.142,0.020163999999999998,SP,0.515527950310559,0,0,UFA,17000000,17000000,17000000,2.23,4.9729,68000000,68000000,68000000,17000000,83,0.12,0.0144,9,16.64872390202049,16.64872390202049,16.64872390202049
LAD,6.1,2023,2019,2019,5,308,94864,82,6724,3000000,3,31,31,Los Angeles Dodgers,ARI,34053893,15,225,86,161,7396,A.J. Pollock,0.795,0.6320250000000001,25,210,33,0.266,0.07075600000000001,0.531,0.281961,CF,0.6521739130434783,47,2209,UFA,4000000,1000000,4000000,0.0,0.0,60000000,85000000,60000000,12000000,105,0.21,0.04409999999999999,6,15.201804919084164,13.815510557964274,15.201804919084164
NYY,6.5,2021,2019,2019,2,3,9,0,0,0,5,36,36,New York Yankees,NYY,73489000,0,0,32,162,1024,J.A. Happ,0.0,0.0,40,205,55,0.0,0.0,0.198,0.039204,SP,0.6358024691358025,0,0,UFA,17000000,17000000,17000000,23.16,536.3856,34000000,124555000,34000000,17000000,103,1.21,1.4641,27,16.64872390202049,16.64872390202049,16.64872390202049
HOU,6.2,2021,2019,2019,2,575,330625,179,32041,1000000,3,32,31,Houston Astros,CLE,54880911,22,484,148,161,21904,Michael Brantley,0.875,0.765625,3,209,13,0.311,0.096721,0.914,0.835396,LF,0.6583850931677019,90,8100,UFA,16000000,15000000,16000000,69.04,4766.521600000001,32000000,42250000,32000000,16000000,106,4.77,22.752899999999997,1,16.588099280204055,16.523560759066484,16.588099280204055
TB,6.5,2022,2019,2019,2,2,4,0,0,0,2,35,35,Tampa Bay Rays,HOU,60098008,0,0,33,161,1089,Charlie Morton,0.0,0.0,1,215,5,0.0,0.0,0.204,0.04161599999999999,SP,0.5962732919254659,0,0,UFA,15000000,15000000,15000000,88.46,7825.171599999999,30000000,33500000,30000000,15000000,96,5.06,25.603599999999997,0,16.523560759066484,16.523560759066484,16.523560759066484
TEX,6.5,0,2019,2019,3,2,4,0,0,1333333,6,32,31,Texas Rangers,NYY,48737213,0,0,33,162,1089,Lance Lynn,0.0,0.0,2,270,8,0.0,0.0,0.204,0.04161599999999999,SP,0.4814814814814814,0,0,UFA,9333333,8000000,9333333,94.84,8994.625600000001,30000000,47250000,30000000,10000000,78,7.61,57.9121,0,16.049102743757082,15.89495209964411,16.049102743757082
LAD,6.1,2023,2019,2019,3,2,4,0,0,0,3,31,30,Los Angeles Dodgers,BOS,13176907,0,0,55,161,3025,Joe Kelly,0.0,0.0,25,174,33,0.0,0.0,0.34,0.11560000000000002,RP,0.6521739130434783,0,0,UFA,3000000,3000000,3000000,8.68,75.3424,25000000,85000000,25000000,8333333,105,-0.53,0.28090000000000004,6,14.914122846632385,14.914122846632385,14.914122846632385
COL,0.0,2022,2019,2019,2,438,191844,122,14884,0,1,34,33,Colorado Rockies,CHC,65929196,13,169,132,161,17424,Daniel Murphy,0.78,0.6084,1,221,5,0.279,0.07784100000000002,0.815,0.664225,1B,0.4347826086956521,78,6084,UFA,10000000,10000000,10000000,19.76,390.45760000000007,24000000,24000000,24000000,12000000,70,0.17,0.028900000000000006,0,16.11809565095832,16.11809565095832,16.11809565095832
NYY,6.4,2021,2019,2019,2,602,362404,197,38809,0,5,30,30,New York Yankees,COL,30793216,26,676,145,162,21025,D.J. LeMahieu,0.893,0.7974490000000001,40,220,55,0.327,0.10692900000000001,0.895,0.801025,2B,0.6358024691358025,102,10404,UFA,12000000,12000000,12000000,88.79,7883.664100000001,24000000,124555000,24000000,12000000,103,6.03,36.3609,27,16.300417207752275,16.300417207752275,16.300417207752275
ATL,6.1,2020,2019,2019,1,549,301401,142,20164,0,6,33,33,Atlanta Braves,CLE,81001131,37,1369,157,161,24649,Josh Donaldson,0.9,0.81,18,210,25,0.259,0.067081,0.969,0.9389609999999999,3B,0.6024844720496895,94,8836,UFA,23000000,23000000,23000000,77.88,6065.294399999999,23000000,52210000,23000000,23000000,97,5.42,29.3764,3,16.951004773893423,16.951004773893423,16.951004773893423
ATL,6.2,2020,2019,2019,1,38,1444,5,25,0,6,31,30,Atlanta Braves,HOU,52917680,0,0,19,161,361,Dallas Keuchel,0.312,0.097344,18,205,25,0.132,0.017424000000000002,0.117,0.013689000000000002,SP,0.6024844720496895,2,4,UFA,13000000,21210000,21210000,40.73,1658.9328999999998,21210000,52210000,21210000,21210000,97,2.05,4.2025,3,16.38045991542581,16.869983326540865,16.869983326540865
MIN,6.1,2021,2019,2019,2,425,180625,112,12544,0,4,30,29,Minnesota Twins,HOU,25391400,15,225,116,162,13456,Marwin Gonzalez,0.736,0.541696,6,205,16,0.264,0.06969600000000001,0.716,0.512656,3B,0.6234567901234568,55,3025,UFA,12000000,12000000,12000000,25.08,629.0063999999999,21000000,46800000,21000000,10500000,101,1.61,2.5921000000000003,3,16.300417207752275,16.300417207752275,16.300417207752275
NYM,6.0,2021,2019,2019,2,7,49,0,0,2500000,6,35,34,New York Mets,OAK,49238000,0,0,9,161,81,Jed Lowrie,0.125,0.015625,5,180,9,0.0,0.0,0.056,0.0031360000000000003,2B,0.5279503105590062,0,0,UFA,8500000,6000000,8500000,0.0,0.0,20000000,79000000,20000000,10000000,85,-0.15,0.0225,2,15.955576721460545,15.60727002719233,15.955576721460545
NYM,6.1,2022,2019,2019,2,473,223729,136,18496,1000000,6,31,31,New York Mets,PHI,36079500,14,196,142,161,20164,Wilson Ramos,0.768,0.589824,5,245,9,0.288,0.08294399999999999,0.877,0.769129,C,0.5279503105590062,72,5184,UFA,7750000,6250000,7750000,30.19,911.4361000000001,19000000,79000000,19000000,9500000,85,1.96,3.8415999999999997,2,15.86320340132953,15.648092021712584,15.86320340132953
WSH,6.0,2022,2019,2019,2,52,2704,6,36,0,7,35,34,Washington Nationals,ATL,105390927,0,0,30,162,900,Anibal Sanchez,0.231,0.053361000000000006,1,205,6,0.115,0.013225,0.185,0.034225,SP,0.5740740740740741,1,1,UFA,6000000,8000000,10000000,70.67,4994.2489000000005,19000000,184550000,19000000,9500000,93,3.66,13.395600000000002,1,15.60727002719233,15.89495209964411,16.11809565095832
MIL,6.2,2021,2019,2019,1,513,263169,126,15876,0,5,30,30,Milwaukee Brewers,LAD,40709000,28,784,153,161,23409,Yasmani Grandal,0.848,0.719104,1,225,6,0.246,0.060516,0.944,0.8911359999999999,C,0.5527950310559007,77,5929,UFA,16000000,16000000,16000000,50.22,2522.0483999999997,18250000,31900000,18250000,18250000,89,2.47,6.100900000000001,0,16.588099280204055,16.588099280204055,16.588099280204055
SD,6.2,2021,2019,2019,2,2,4,0,0,0,4,31,30,San Diego Padres,LAA,33486800,0,0,3,162,9,Garrett Richards,0.0,0.0,2,210,5,0.0,0.0,0.019,0.000361,SP,0.4320987654320987,0,0,UFA,7000000,7000000,7000000,0.0,0.0,15500000,326000000,15500000,7750000,70,-0.24,0.0576,0,15.761420707019587,15.761420707019587,15.761420707019587
MIN,6.2,2021,2019,2019,1,454,206116,141,19881,0,4,38,38,Minnesota Twins,SEA,100813340,41,1681,120,162,14400,Nelson Cruz,1.031,1.0629609999999998,6,230,16,0.311,0.096721,0.741,0.549081,DH,0.6234567901234568,108,11664,UFA,14000000,14000000,14000000,94.89,9004.1121,14300000,46800000,14300000,14300000,101,4.42,19.5364,3,16.454567887579532,16.454567887579532,16.454567887579532
MIL,6.0,2021,2019,2019,1,523,273529,133,17689,0,5,30,30,Milwaukee Brewers,MIL,41561864,35,1225,143,161,20449,Mike Moustakas,0.845,0.7140249999999999,1,225,6,0.254,0.064516,0.883,0.779689,3B,0.5527950310559007,87,7569,UFA,7050000,7000000,7050000,67.79,4595.484100000001,10000000,31900000,10000000,10000000,89,3.21,10.3041,0,15.768538174788452,15.761420707019587,15.768538174788452
WSH,0.0,2020,2019,2019,1,416,173056,99,9801,0,7,32,31,Washington Nationals,LAD,30597500,20,400,135,162,18225,Brian Dozier,0.771,0.594441,1,200,6,0.238,0.05664399999999999,0.833,0.693889,2B,0.5740740740740741,50,2500,UFA,9000000,9000000,9000000,27.48,755.1504,9000000,184550000,9000000,9000000,93,1.27,1.6129,1,16.012735135300492,16.012735135300492,16.012735135300492
LAA,6.4,2020,2019,2019,1,3,9,1,1,0,4,31,30,Los Angeles Angels,OAK,48461516,0,0,39,161,1521,Trevor Cahill,0.667,0.44488900000000003,1,230,10,0.333,0.11088900000000002,0.241,0.058080999999999994,RP,0.4472049689440994,0,0,UFA,9000000,9000000,9000000,0.0,0.0,9000000,31000000,9000000,9000000,72,-0.36,0.1296,1,16.012735135300492,16.012735135300492,16.012735135300492
SD,6.0,2022,2019,2019,2,258,66564,56,3136,0,4,37,36,San Diego Padres,BOS,107247708,9,81,87,162,7569,Ian Kinsler,0.646,0.417316,2,200,5,0.217,0.047089,0.537,0.28836900000000004,2B,0.4320987654320987,22,484,UFA,3750000,3750000,3750000,0.0,0.0,8000000,326000000,8000000,4000000,70,-0.29,0.0841,0,15.137266397946593,15.137266397946593,15.137266397946593
