Acronimo,Altura,Anio_de_agente_libre,Anio_inicio_de_contrato,Anio,Anios_de_contrato,Bateos_pitcher,Bateos_pitcher_2,Bono_por_firma,Cantidad_agentes_libres,Carreras,Carreras_2,Carreras_ganadas,Carreras_ganadas_2,Comando,Comando_2,Control,Control_2,Dominio,Dominio_2,ERA,ERA_2,Edad,Edad_al_firmar,Equipo,Equipo_anterior,Ganancias,Inning_pitched,Inning_pitched_2,Juegos,Juegos totales,Juegos_2,Juegos_iniciados,Juegos_iniciados_2,Jugador,Losses,Losses_2,Pennants won,Peso,Playoffs,Posicion,Promedio_victorias,Saves,Saves_2,Status,Strike-outs,Strike-outs_2,Sueldo_ajustado,Sueldo_base,Sueldo_regular,TVS,TVS_2,Valor_contrato,Valor_contrato_total,Valor_del_contrato,Valor_promedio_contrato,Victorias,WAR,WAR_2,WHIP,WHIP_2,WS ganadas,Walks,Walks_2,Wins,Wins_2,ln_Sueldo_ajustado,ln_Sueldo_base,ln_Sueldo_regular
NYY,6.4,2022,2017,2017,5,37,1369,2200000,3,20,400,18,324,3.45,11.902500000000002,0.04417936823503424,0.0019518165776467524,0.15241882041086813,0.02323149681544047,3.22,10.368400000000001,29,28,New York Yankees,CHC,75672227,50.3,2530.0899999999997,52,162,2704,0,0,Aroldis Chapman,3,9,40,218,53,RP,0.5617283950617284,22,484,UFA,69,4761,17200000,15000000,17200000,17.75,315.0625,86000000,102500000,86000000,17200000,91,0.96,0.9216,1.13,1.2768999999999997,27,20,400,4,16,16.660419941783683,16.523560759066484,16.660419941783683
LAD,6.5,2022,2017,2017,5,44,1936,1333333,6,11,121,10,100,15.571428571428571,242.46938775510202,0.011387668781519441,0.0001296790002775925,0.17732227102651701,0.03144318780200155,1.32,1.7424000000000002,29,29,Los Angeles Dodgers,LAD,37948838,68.3,4664.889999999999,65,162,4225,0,0,Kenley Jansen,0,0,25,265,31,RP/CL,0.6419753086419753,41,1681,UFA,109,11881,11333333,10000000,11333333,90.26,8146.8676000000005,80000000,199600000,80000000,16000000,104,2.96,8.7616,0.75,0.5625,6,7,49,5,25,16.24325876450056,16.11809565095832,16.24325876450056
SF,6.1,2021,2017,2017,4,37,1369,10000000,3,16,256,15,225,4.833333333333333,23.361111111111107,0.022222222222222223,0.0004938271604938272,0.10740740740740741,0.011536351165980795,4.5,20.25,32,31,San Francisco Giants,WSH,36518000,30.0,900.0,32,162,1024,0,0,Mark Melancon,2,4,23,215,26,RP/CL,0.3950617283950617,11,121,UFA,29,841,14000000,4000000,14000000,0.0,0.0,62000000,65250000,62000000,15500000,64,0.12,0.0144,1.43,2.0448999999999997,8,6,36,1,1,16.454567887579532,15.201804919084164,16.454567887579532
LAD,6.5,2020,2017,2017,3,99,9801,666666,6,51,2601,50,2500,3.3877551020408165,11.476884631403584,0.040121182346679767,0.0016097092728955282,0.13592074019487432,0.018474447615122524,3.32,11.0224,37,36,Los Angeles Dodgers,LAD,25214059,135.7,18414.489999999998,25,162,625,25,625,Rich Hill,8,64,25,221,31,SP,0.6419753086419753,0,0,UFA,166,27556,12666666,12000000,12666666,67.79,4595.484100000001,48000000,199600000,48000000,16000000,104,2.23,4.9729,1.09,1.1881000000000002,6,49,2401,12,144,16.35448437639097,16.300417207752275,16.35448437639097
STL,0.0,2021,2017,2017,4,67,4489,250000,2,31,961,29,841,4.125,17.015625,0.02641571735182434,0.0006977901232114735,0.1089648340762754,0.011873335065270229,3.88,15.0544,30,30,St. Louis Cardinals,TOR,19118100,67.3,4529.29,73,162,5329,0,0,Brett Cecil,4,16,23,235,28,RP,0.5123456790123457,1,1,UFA,66,4356,7750000,7500000,7750000,12.34,152.2756,30500000,113000000,30500000,7625000,83,0.5,0.25,1.23,1.5129,11,16,256,2,4,15.86320340132953,15.830413578506539,15.86320340132953
PIT,6.5,2020,2017,2017,3,203,41209,666666,2,96,9216,86,7396,3.638888888888889,13.241512345679013,0.0213903743315508,0.0004575481140438674,0.0778371954842543,0.0060586290008540185,4.14,17.139599999999998,30,29,Pittsburgh Pirates,PIT,22390211,187.0,34969.0,31,162,961,31,961,Ivan Nova,14,196,9,250,17,SP,0.4629629629629629,0,0,UFA,131,17161,8416666,7000000,8416666,53.2,2830.2400000000002,26000000,37000000,26000000,8666667,75,2.15,4.6225,1.28,1.6384,5,36,1296,11,121,15.945724345809609,15.761420707019587,15.945724345809609
MIA,0.0,2019,2017,2017,2,78,6084,0,6,46,2116,43,1849,1.528301886792453,2.335706657173372,0.06380161309738774,0.004070645833828759,0.09750812567713978,0.009507834573068885,4.19,17.556100000000004,33,33,Miami Marlins,KC,31752000,92.3,8519.289999999999,17,162,289,17,289,Edinson Volquez,8,64,2,220,2,SP,0.4753086419753086,0,0,UFA,81,6561,9000000,9000000,9000000,37.36,1395.7695999999999,22000000,57250000,22000000,11000000,77,0.68,0.4624000000000001,1.42,2.0164,2,53,2809,4,16,16.012735135300492,16.012735135300492,16.012735135300492
COL,6.0,2021,2017,2017,3,43,1849,0,4,25,625,25,625,2.0357142857142856,4.144132653061224,0.061851115529047936,0.003825560492187635,0.12591119946984758,0.015853630151935746,4.47,19.9809,32,31,Colorado Rockies,MIA,13386500,50.3,2530.0899999999997,68,162,4624,0,0,Michael Dunn,1,1,1,215,4,RP,0.5370370370370371,0,0,UFA,57,3249,4000000,4000000,4000000,10.54,111.09159999999999,19000000,97250000,19000000,6333333,87,0.66,0.43560000000000004,1.41,1.9880999999999998,0,28,784,5,25,15.201804919084164,15.201804919084164,15.201804919084164
KC,6.6,2020,2017,2017,2,209,43681,0,4,109,11881,106,11236,3.0208333333333335,9.125434027777779,0.029580329081161028,0.0008749958685497809,0.08935724409934061,0.007984717073029142,5.29,27.9841,34,34,Kansas City Royals,CHC,49306500,180.3,32508.090000000004,32,162,1024,32,1024,Jason Hammel,13,169,4,225,9,SP,0.4938271604938271,0,0,UFA,145,21025,5000000,5000000,5000000,32.19,1036.1961,16000000,43800000,16000000,8000000,80,1.41,1.9880999999999998,1.42,2.0164,2,48,2304,8,64,15.424948470398375,15.424948470398375,15.424948470398375
MIA,6.4,2019,2017,2017,2,57,3249,0,6,29,841,25,625,1.625,2.640625,0.037825059101654845,0.0014307350960436822,0.061465721040189124,0.003778034862990348,4.79,22.9441,37,37,Miami Marlins,BOS,29399999,47.0,2209.0,53,162,2809,0,0,Brad Ziegler,4,16,2,220,2,RP,0.4753086419753086,10,100,UFA,26,676,7000000,7000000,7000000,4.18,17.472399999999997,16000000,57250000,16000000,8000000,77,-0.74,0.5476,1.55,2.4025000000000003,2,16,256,1,1,15.761420707019587,15.761420707019587,15.761420707019587
