Acronimo,Altura,Anio,Anio_de_agente_libre,Anios_de_contrato,Antiguedad,Bateos_en_contra,Bateos_en_contra_2,Bono_por_firma,Cantidad de equipos,Cantidad_agentes_libres,Carreras_en_contra,Carreras_en_contra_2,Carreras_ganadas,Carreras_ganadas_2,Comando,Comando_2,Control,Control_2,Dominio,Dominio_2,ERA,ERA_2,Edad,Edad_al_firmar,Equipo,Equipo_anterior,Estado,Ganancias,Inning_pitched,Inning_pitched_2,Juegos,Juegos totales,Juegos_iniciados,Jugador,Losses,Losses_2,Pago_efectivo,Pennants won,Peso,Playoffs,Posicion,Promedio_victorias,Saves,Saves_2,Status_agente_libre,Strike-outs,Strike-outs_2,Sueldo_ajustado,Sueldo_base,Sueldo_porcentual,Sueldo_regular,TVS,TVS_2,Valor_contrato,Valor_contrato_promedio,Valor_contrato_total,Valor_del_contrato,Valor_promedio_contrato,Victorias,WAR,WAR_2,WHIP,WHIP_2,WS ganadas,Walks,Walks_2,Wins,Wins_2,ln_Sueldo_ajustado,ln_Sueldo_base,ln_Sueldo_regular
WSH,6.4,2019,2025,6,0,169,28561,416666,1,7,81,6561,73,5329,3.4,11.559999999999999,0.03850385038503851,0.00148254649447343,0.13091309130913092,0.01713823747611285,3.25,10.5625,29,29,Washington Nationals,ARI,Washington DC,31233415,202.0,40804.0,33,162,33,Patrick Corbin,7,49,15000000,1,220,6,SP,0.5740740740740741,0,0,UFA,238,56644,12916666,12500000,0.075,12916666,80.28,6444.8784000000005,140000000,23333333,184550000,140000000,23333333,93,4.97,24.700899999999997,1.18,1.3923999999999999,1,70,4900,14,196,16.374028973482616,16.34123920227253,16.374028973482616
BOS,6.2,2019,2023,4,1,72,5184,0,1,1,46,2116,45,2025,2.0,4.0,0.057442967339569995,0.0032996944967749052,0.11488593467913999,0.013198777987099621,5.99,35.880100000000006,29,28,Boston Red Sox,BOS,Massachusetts,31768901,67.7,4583.29,23,161,12,Nathan Eovaldi,1,1,17000000,14,217,24,SP,0.515527950310559,0,0,UFA,70,4900,17000000,17000000,0.074,17000000,2.23,4.9729,68000000,17000000,68000000,68000000,17000000,83,-0.08,0.0064,1.58,2.4964000000000004,9,35,1225,2,4,16.64872390202049,16.64872390202049,16.64872390202049
CHC,6.0,2019,2023,3,1,21,441,0,2,5,15,225,15,225,2.5,6.25,0.06441223832528181,0.004148936446072903,0.16103059581320453,0.025930852787955646,6.53,42.6409,31,30,Chicago Cubs,BOS,Illinois,66349262,20.7,428.48999999999995,23,162,0,Craig Kimbrel,4,16,10000000,17,215,20,RP/CL,0.5185185185185185,13,169,UFA,30,900,10000000,10000000,0.045,10000000,0.0,0.0,43000000,14333333,49325000,43000000,14333333,84,-0.59,0.34809999999999997,1.6,2.5600000000000005,3,12,144,0,0,16.11809565095832,16.11809565095832,16.11809565095832
NYY,6.1,2019,2023,3,0,38,1444,0,2,5,13,169,13,169,1.65625,2.7431640625,0.05800253761102049,0.0033642943693178466,0.09606670291825269,0.00922881140958382,1.91,3.6481,31,31,New York Yankees,NYY,New York,48117103,61.3,3757.6899999999996,66,162,0,Zack Britton,1,1,13000000,40,200,55,RP,0.6358024691358025,3,9,UFA,53,2809,13000000,13000000,0.058,13000000,56.15,3152.8224999999998,39000000,13000000,124555000,39000000,13000000,103,2.47,6.100900000000001,1.14,1.2995999999999999,27,32,1024,3,9,16.38045991542581,16.38045991542581,16.38045991542581
NYY,6.5,2019,2021,2,0,160,25600,0,2,5,88,7744,88,7744,2.857142857142857,8.16326530612245,0.03375353034373493,0.001139300810665435,0.09643865812495694,0.009300414780942325,4.91,24.1081,36,36,New York Yankees,NYY,New York,73489000,161.3,26017.690000000002,32,162,29,J.A. Happ,8,64,17000000,40,205,55,SP,0.6358024691358025,0,0,UFA,140,19600,17000000,17000000,0.076,17000000,23.16,536.3856,34000000,17000000,124555000,34000000,17000000,103,1.37,1.8769000000000002,1.29,1.6641000000000001,27,49,2401,12,144,16.64872390202049,16.64872390202049,16.64872390202049
NYM,6.3,2019,2022,3,0,62,3844,666667,2,6,39,1521,38,1444,1.5,2.25,0.07777777777777778,0.006049382716049383,0.11666666666666667,0.013611111111111112,5.7,32.49,29,29,New York Mets,OAK,New York,27150170,60.0,3600.0,66,161,0,Jeurys Familia,2,4,8000000,5,240,9,RP,0.5279503105590062,0,0,UFA,63,3969,6666666,6000000,0.045,6666666,1.42,2.0164,30000000,10000000,79000000,30000000,10000000,85,-0.47,0.22089999999999999,1.73,2.9929,2,42,1764,4,16,15.71263044285015,15.60727002719233,15.71263044285015
TB,6.5,2019,2022,2,0,154,23716,0,2,2,71,5041,66,4356,4.2105263157894735,17.728531855955676,0.03252867659647321,0.0010581148011179439,0.13696284882725562,0.018758821958877677,3.05,9.302499999999998,35,35,Tampa Bay Rays,HOU,Florida,60098008,194.7,37908.09,33,161,33,Charlie Morton,6,36,15000000,1,215,5,SP,0.5962732919254659,0,0,UFA,240,57600,15000000,15000000,0.234,15000000,88.46,7825.171599999999,30000000,15000000,33500000,30000000,15000000,96,4.91,24.1081,1.08,1.1664,0,57,3249,16,256,16.523560759066484,16.523560759066484,16.523560759066484
TEX,6.5,2019,0,3,1,195,38025,1333333,2,6,89,7921,85,7225,4.169491525423729,17.384659580580298,0.031471702139008906,0.0009904680355264978,0.1312209953592575,0.017218949623074277,3.67,13.4689,32,31,Texas Rangers,NYY,Texas,48737213,208.3,43388.89000000001,33,162,33,Lance Lynn,11,121,11000000,2,270,8,SP,0.4814814814814814,0,0,UFA,246,60516,9333333,8000000,0.063,9333333,94.84,8994.625600000001,30000000,10000000,47250000,30000000,10000000,78,7.73,59.752900000000004,1.22,1.4884,0,59,3481,16,256,16.049102743757082,15.89495209964411,16.049102743757082
NYY,6.5,2019,2022,3,0,47,2209,1000000,2,5,17,289,14,196,2.2,4.840000000000001,0.06703536115300822,0.004493739644914244,0.14747779453661808,0.021749699881384938,1.9,3.61,33,33,New York Yankees,COL,New York,22310996,66.3,4395.69,73,162,0,Adam Ottavino,5,25,8000000,40,246,55,RP,0.6358024691358025,2,4,UFA,88,7744,9000000,8000000,0.04,9000000,56.66,3210.3555999999994,27000000,9000000,124555000,27000000,9000000,103,2.27,5.1529,1.31,1.7161000000000002,27,40,1600,6,36,16.012735135300492,15.89495209964411,16.012735135300492
LAD,6.1,2019,2023,3,1,49,2401,0,5,3,31,961,26,676,2.8181818181818183,7.942148760330579,0.047649989170457006,0.00227052146794467,0.13428633311674248,0.018032819261940728,4.56,20.793599999999998,31,30,Los Angeles Dodgers,BOS,California,13176907,51.3,2631.6899999999996,55,161,0,Joe Kelly,4,16,3000000,25,174,33,RP,0.6521739130434783,1,1,UFA,62,3844,3000000,3000000,0.015,3000000,8.68,75.3424,25000000,8333333,85000000,25000000,8333333,105,-0.55,0.30250000000000005,1.38,1.9043999999999996,6,22,484,5,25,14.914122846632385,14.914122846632385,14.914122846632385
