Acronimo,Altura,Anio,Anio_de_agente_libre,Anios_de_contrato,Antiguedad,At-bats,At-bats_2,Bateos,Bateos_2,Bateos_promedio,Bateos_promedio_2,Bono_por_firma,Cantidad de equipos,Cantidad_agentes_libres,Dobles,Dobles_2,Edad,Edad_al_firmar,Equipo,Estado,Ganancias,Home-runs,Home-runs_2,Juegos,Juegos totales,Juegos_iniciados,Juegos_iniciados_2,Jugador,Pago_efectivo,Pennants won,Peso,Playoffs,Porcentaje_On-base-plus-slugging,Porcentaje_On-base-plus-slugging_2,Porcentaje_juegos,Porcentaje_juegos_iniciados,Porcentaje_juegos_iniciados_2,Porcentaje_on-base,Porcentaje_on-base_2,Porcentaje_slugging,Porcentaje_slugging_2,Posicion,Promedio_victorias,Runs-batted-in,Runs-batted-in_2,Sueldo_ajustado,Sueldo_base,Sueldo_porcentual,Sueldo_regular,TVS,TVS_2,Triples,Triples_2,Valor_contrato_promedio,Valor_contrato_total,Valor_del_contrato,Victorias,WAR,WAR_2,WS ganadas,ln_Sueldo_ajustado,ln_Sueldo_base,ln_Sueldo_regular
WSH,6.2,2020,2023,1,1,233,54289,78,6084,0.335,0.11222500000000002,0,1,10,15,225,27,26,Washington Nationals,Washington DC,10887950,12,144,59,62,59,3481,Trea Turner,2759259,1,185,6,0.982,0.964324,0.983,0.983,0.966289,0.394,0.155236,0.588,0.34574399999999994,SS,0.4193548387096774,41,1681,2759259,7450000,0.037,7450000,98.34,9670.7556,4,16,7450000,316750000,7450000,26,2.75,7.5625,1,14.830472723385723,15.823724590355742,15.823724590355742
CHW,6.3,2020,2023,3,1,240,57600,76,5776,0.317,0.10048900000000001,1666666,2,5,15,225,33,32,Chicago White Sox,Illinois,83044074,19,361,60,60,60,3600,Jose Abreu,9189074,6,235,10,0.987,0.974169,1.0,1.0,1.0,0.37,0.1369,0.617,0.380689,1B,0.5833333333333334,60,3600,5740740,11000000,0.107,12781666,96.16,9246.7456,0,0,16666667,151500000,50000000,35,3.01,9.060099999999998,3,15.563098679846926,16.213405830762646,16.363522358354945
ATL,6.5,2020,2022,8,6,214,45796,73,5329,0.341,0.11628100000000002,359375,1,7,23,529,30,24,Atlanta Braves,Georgia,101689279,13,169,60,60,58,3364,Freddie Freeman,8348148,18,220,26,1.102,1.2144040000000003,1.0,0.967,0.935089,0.462,0.21344400000000002,0.64,0.4096,1B,0.5833333333333334,53,2809,8507523,22000000,0.134,22559375,99.56,9912.1936,1,1,16875000,95750000,135000000,35,3.3,10.889999999999999,3,15.956461388850459,16.90655301132259,16.931661280309662
NYY,6.4,2020,2021,2,1,195,38025,71,5041,0.364,0.132496,0,2,2,10,100,31,30,New York Yankees,New York,35237660,10,100,50,60,47,2209,D.J. LeMahieu,4444444,40,220,56,1.011,1.0221209999999998,0.833,0.783,0.613089,0.421,0.17724099999999998,0.59,0.34809999999999997,2B,0.55,27,729,4444444,12000000,0.04,12000000,98.01,9605.9601,2,4,12000000,336500000,24000000,33,3.04,9.2416,27,15.307165334741986,16.300417207752275,16.300417207752275
KC,6.1,2020,2025,4,2,248,61504,70,4900,0.282,0.07952399999999998,0,2,3,12,144,31,29,Kansas City Royals,Missouri,4342402,9,81,60,59,60,3600,Whit Merrifield,1851852,4,195,9,0.764,0.583696,1.0,1.0,1.0,0.325,0.10562500000000001,0.44,0.1936,CF,0.423728813559322,30,900,1851852,5000000,0.053,5000000,66.96,4483.641599999999,0,0,4062500,7550000,16250000,25,0.75,0.5625,2,14.431696777388089,15.424948470398375,15.424948470398375
SD,6.3,2020,2029,10,1,224,50176,68,4624,0.304,0.092416,2000000,5,2,12,144,27,26,San Diego Padres,California,80560896,16,256,60,61,60,3600,Manny Machado,11111111,2,218,6,0.95,0.9025,1.0,1.0,1.0,0.37,0.1369,0.58,0.3364,3B,0.6229508196721312,47,2209,13111111,30000000,0.179,32000000,84.31,7108.176100000001,1,1,30000000,43000000,300000000,38,3.15,9.9225,0,16.388970596619142,17.216707939626428,17.281246460764002
CHW,6.1,2020,2025,6,4,208,43264,67,4489,0.322,0.10368400000000001,0,2,5,11,121,27,23,Chicago White Sox,Illinois,7214376,10,100,49,60,49,2401,Tim Anderson,1481481,6,185,10,0.886,0.784996,0.817,0.817,0.6674889999999999,0.358,0.128164,0.529,0.279841,SS,0.5833333333333334,21,441,1481481,4000000,0.028,4000000,94.79,8985.144100000001,1,1,4166667,151500000,25000000,35,2.33,5.4289000000000005,3,14.208552821073829,15.201804919084164,15.201804919084164
LAA,5.9,2020,2025,1,1,207,42849,66,4356,0.319,0.101761,0,5,3,13,169,26,25,Los Angeles Angels,California,1513445,3,9,49,60,49,2401,David Fletcher,219815,1,185,10,0.801,0.6416010000000001,0.817,0.817,0.6674889999999999,0.376,0.141376,0.425,0.18062499999999998,2B,0.4333333333333333,18,324,219815,593500,0.003,593500,82.24,6763.417599999999,0,0,593500,260850000,593500,26,2.0,4.0,1,12.300541562481204,13.29379249303186,13.29379249303186
ATL,6.1,2020,2023,1,1,237,56169,65,4225,0.274,0.07507600000000002,0,1,7,15,225,26,25,Atlanta Braves,Georgia,9445717,10,100,60,60,60,3600,Dansby Swanson,1166667,18,190,26,0.809,0.6544810000000001,1.0,1.0,1.0,0.345,0.11902499999999998,0.464,0.21529600000000002,SS,0.5833333333333334,35,1225,1166667,3150000,0.018,3150000,94.47,8924.580899999999,0,0,3150000,95750000,3150000,35,2.84,8.0656,3,13.969661523505778,14.962913010801817,14.962913010801817
NYM,6.1,2020,2022,1,1,202,40804,65,4225,0.322,0.10368400000000001,0,2,5,12,144,27,26,New York Mets,New York,11716846,9,81,54,60,53,2809,Michael Conforto,2962963,5,215,9,0.927,0.8593290000000001,0.9,0.883,0.779689,0.412,0.16974399999999998,0.515,0.265225,RF,0.4333333333333333,31,961,2962963,8000000,0.036,8000000,93.59,8759.0881,0,0,8000000,26300000,8000000,26,2.14,4.5796,2,14.901700339133827,15.89495209964411,15.89495209964411
