Acronimo,Agente_libre,Altura,Anio,Anio_de_agente_libre,Anios_de_contrato,Antiguedad,Bateos_en_contra,Bateos_en_contra_2,Bono_por_firma,Cantidad de equipos,Cantidad_agentes_libres,Carreras_en_contra,Carreras_en_contra_2,Carreras_ganadas,Carreras_ganadas_2,Comando,Comando_2,Control,Control_2,Dominio,Dominio_2,ERA,ERA_2,Edad,Edad_al_firmar,Equipo,Estado,Ganancias,Inning_pitched,Inning_pitched_2,Juegos,Juegos totales,Juegos_iniciados,Jugador,Losses,Losses_2,Pago_efectivo,Pennants won,Peso,Playoffs,Porcentaje_juegos,Posicion,Promedio_victorias,Saves,Saves_2,Strike-outs,Strike-outs_2,Sueldo_ajustado,Sueldo_base,Sueldo_porcentual,Sueldo_regular,TVS,TVS_2,Valor_contrato_promedio,Valor_contrato_total,Valor_del_contrato,Victorias,WAR,WAR_2,WHIP,WHIP_2,WS ganadas,Walks,Walks_2,Wins,Wins_2,ln_Sueldo_ajustado,ln_Sueldo_base,ln_Sueldo_regular
PHI,No,6.2,2022,2024,4,4,168,28224,500000,2,7,75,5625,74,5476,8.10344827586207,65.66587395957194,0.015718157181571817,0.00024706046518459767,0.12737127371273713,0.016223441367205,3.25,10.5625,29,25,Philadelphia Phillies,Pennsylvania,40856353,205.0,42025.0,32,162,32,Aaron Nola,13,169,15000000,8,195.0,15,0.19753086419753085,SP,0.5370370370370371,0,0,235,55225,15500000,15000000,0.063,15500000,88.62,7853.504400000001,11250000,204150000,45000000,87,6.01,36.1201,0.96,0.9216,2,29,841,11,121,16.556350581889475,16.523560759066484,16.556350581889475
STL,No,6.5,2022,2024,4,3,170,28900,1000000,2,4,81,6561,74,5476,3.923076923076923,15.390532544378697,0.02142033283901796,0.0004588306589343112,0.08403361344537814,0.007061648188687239,3.29,10.8241,33,30,St. Louis Cardinals,Missouri,58484870,202.3,40925.29000000001,33,162,32,Miles Mikolas,13,169,15750000,23,220.0,32,0.2037037037037037,SP,0.5740740740740741,0,0,153,23409,16750000,15750000,0.107,16750000,60.0,3600.0,17000000,52700000,68000000,93,2.39,5.7121,1.03,1.0609,11,39,1521,12,144,16.63390881623535,16.572350923235916,16.63390881623535
MIL,No,6.3,2022,2025,1,0,144,20736,0,1,5,73,5329,66,4356,4.764705882352941,22.70242214532872,0.028052805280528052,0.0007869598841072226,0.13366336633663367,0.017865895500441136,2.94,8.6436,27,27,Milwaukee Brewers,Wisconsin,8513071,202.0,40804.0,33,162,33,Corbin Burnes,8,64,6500000,1,205.0,8,0.2037037037037037,SP,0.5308641975308642,0,0,243,59049,6500000,6500000,0.05,6500000,87.38,7635.264399999999,6500000,13625000,6500000,86,3.84,14.7456,0.96,0.9216,0,51,2601,12,144,15.687312734865866,15.687312734865866,15.687312734865866
NYY,No,6.4,2022,2029,9,2,154,23716,0,2,4,81,6561,78,6084,5.14,26.419599999999996,0.027680894646514975,0.0007662319284314614,0.14227979848308697,0.02024354105638784,3.5,12.25,31,29,New York Yankees,New York,120222046,200.7,40280.49,33,162,33,Gerrit Cole,8,64,36000000,40,220.0,58,0.2037037037037037,SP,0.6111111111111112,0,0,257,66049,36000000,36000000,0.142,36000000,21.92,480.48640000000006,36000000,37400000,324000000,99,2.38,5.6644,1.02,1.0404,27,50,2500,13,169,17.399029496420383,17.399029496420383,17.399029496420383
ARI,No,6.2,2022,2026,2,0,167,27889,333333,1,3,77,5929,75,5625,2.901639344262295,8.41951088417092,0.03383813169135186,0.0011450191563612709,0.0981860542519554,0.009640501249567928,3.37,11.356900000000001,33,33,Arizona Diamondbacks,Arizona,18861111,200.3,40120.090000000004,33,162,33,Merrill Kelly,8,64,6250000,1,202.0,6,0.2037037037037037,SP,0.4567901234567901,0,0,177,31329,5583333,5250000,0.065,5583333,75.1,5640.009999999999,9000000,23250000,18000000,74,3.15,9.9225,1.14,1.2995999999999999,1,61,3721,13,169,15.535296467865745,15.473738634567807,15.535296467865745
CLE,No,6.3,2022,2025,1,1,172,29584,0,2,2,70,4900,64,4096,5.5,30.25,0.02,0.0004,0.11,0.0121,2.88,8.2944,27,26,Cleveland Guardians,Ohio,8174325,200.0,40000.0,31,162,31,Shane Bieber,8,64,6000000,6,200.0,16,0.19135802469135801,SP,0.5679012345679012,0,0,198,39204,6000000,6000000,0.09,6000000,90.34,8161.315600000001,6000000,3900000,6000000,92,3.49,12.180100000000001,1.04,1.0816000000000001,2,36,1296,13,169,15.60727002719233,15.60727002719233,15.60727002719233
TOR,No,6.6,2022,2028,1,1,144,20736,0,1,6,55,3025,49,2401,3.5294117647058822,12.45674740484429,0.028808676495509236,0.0008299398414229063,0.10167768174885612,0.010338350965821669,2.24,5.017600000000001,24,23,Toronto Blue Jays,Toronto,5673143,196.7,38690.88999999999,31,162,31,Alek Manoah,7,49,730000,2,260.0,9,0.19135802469135801,SP,0.5679012345679012,0,0,180,32400,730000,730000,0.004,730000,98.85,9771.322499999998,730000,157000000,730000,92,5.99,35.880100000000006,0.99,0.9801,2,51,2601,16,256,13.500799813124575,13.500799813124575,13.500799813124575
TEX,Si,6.0,2022,2023,1,1,178,31684,0,2,8,70,4900,63,3969,2.449275362318841,5.998949800462089,0.039055866870436405,0.001525360737001252,0.09565857247976453,0.009150562488866363,2.89,8.3521,31,30,Texas Rangers,Texas,34166681,196.3,38533.69,32,162,32,Martin Perez,8,64,4000000,2,200.0,8,0.19753086419753085,SP,0.419753086419753,0,0,169,28561,4000000,4000000,0.027,4000000,91.39,8352.1321,4000000,580700000,4000000,68,5.17,26.7289,1.26,1.5876000000000001,0,69,4761,12,144,15.201804919084164,15.201804919084164,15.201804919084164
SD,No,6.5,2022,2024,6,4,148,21904,0,5,3,67,4489,67,4489,5.324324324324325,28.348429510591675,0.021115105860868573,0.00044584769551568636,0.11242367174570565,0.012639081968786176,3.1,9.610000000000001,35,31,San Diego Padres,California,158355991,194.7,37908.09,30,162,30,Yu Darvish,8,64,20000000,2,220.0,7,0.18518518518518517,SP,0.5493827160493827,0,0,197,38809,20000000,20000000,0.089,20000000,81.42,6629.2164,21000000,32500000,126000000,89,4.41,19.4481,0.95,0.9025,0,37,1369,16,256,16.811242831518264,16.811242831518264,16.811242831518264
SF,No,6.2,2022,2026,1,0,174,30276,0,5,7,76,5776,62,3844,3.326530612244898,11.065805914202414,0.028312243600855144,0.000801583137714163,0.09418154503957936,0.008870163426042315,2.9,8.41,25,25,San Francisco Giants,California,2075877,192.3,36979.29,32,162,31,Logan Webb,9,81,730000,23,220.0,27,0.19753086419753085,SP,0.5,0,0,163,26569,730000,730000,0.005,730000,94.73,8973.7729,730000,140700000,730000,81,4.67,21.808899999999998,1.16,1.3456,8,49,2401,15,225,13.500799813124575,13.500799813124575,13.500799813124575
