Acronimo_t,Acronimo_t_1,Altura_t,Altura_t_1,Anio_de_agente_libre_t,Anio_de_agente_libre_t_1,Anio_inicio_de_contrato_t,Anio_inicio_de_contrato_t_1,Anio,Anios_de_contrato_t,Anios_de_contrato_t_1,At_bats_2_t,At_bats_2_t_1,At_bats_t,At_bats_t_1,Bateos_2_t,Bateos_2_t_1,Bateos_t,Bateos_t_1,Bono_por_firma_t,Bono_por_firma_t_1,Cantidad_agentes_libres_t,Cantidad_agentes_libres_t_1,Cantidad_de_equipos_t,Cantidad_de_equipos_t_1,Edad_al_firmar_t,Edad_al_firmar_t_1,Edad_t,Edad_t_1,Equipo_anterior,Equipo_t,Equipo_t_1,Estado_t,Ganancias_t,Ganancias_t_1,Home_runs_2_t,Home_runs_2_t_1,Home_runs_t,Home_runs_t_1,Juegos_2_t,Juegos_2_t_1,Juegos_t,Juegos_t_1,Juegos_totales_t,Juegos_totales_t_1,Jugador,OPS_2_t,OPS_2_t_1,OPS_t,OPS_t_1,Pennants_won_t,Pennants_won_t_1,Peso_t,Peso_t_1,Playoffs_t,Playoffs_t_1,Porcentaje_bateo_2_t,Porcentaje_bateo_2_t_1,Porcentaje_bateo_t,Porcentaje_bateo_t_1,Porcetnaje_juegos_2_t,Porcetnaje_juegos_2_t_1,Porcetnaje_juegos_t,Porcetnaje_juegos_t_1,Posicion_t,Posicion_t_1,Promedio_victorias_t,Promedio_victorias_t_1,RBI_2_t,RBI_2_t_1,RBI_t,RBI_t_1,Status,Sueldo_ajustado_t,Sueldo_ajustado_t_1,Sueldo_base_t,Sueldo_base_t_1,Sueldo_regular_t,Sueldo_regular_t_1,TVS_2_t,TVS_2_t_1,TVS_t,TVS_t_1,Valor_contrato,Valor_contrato_total_t,Valor_contrato_total_t_1,Valor_del_contrato_t,Valor_del_contrato_t_1,Valor_promedio_contrato,Victorias_t,Victorias_t_1,WAR_2_t,WAR_2_t_1,WAR_t,WAR_t_1,WS_ganadas_t,WS_ganadas_t_1,ln_Sueldo_ajustado_t,ln_Sueldo_base_t,ln_Sueldo_regular_t
SD,KC,6.4,6.4,2026,2018,2018,2017,2018,8,1,375769,363609,613,603,24025,36864,155,192,1000000,0,3,4,5,2,28,27,28,27,KC,San Diego Padres,Kansas City Royals,California,62344750,37344750,324,625,18,25,24649,26244,157,162,162,162,Eric Hosmer,0.5184,0.7779240000000001,0.72,0.882,2,4,226,226,5,9,0.064009,0.101124,0.253,0.318,0.9389609999999999,1.0,0.969,1.0,1B,1B,0.4074074074074074,0.4938271604938271,4761,8836,69,94,UFA,21000000,12250000,20000000,12250000,21000000,12250000,289.34010000000006,5464.1664,17.01,73.92,144000000,149500000,43800000,144000000,12250000,18000000,66,80,2.0736,16.4025,1.44,4.05,0,2,16.860032995687696,16.811242831518264,16.860032995687696
CHC,LAD,6.5,6.5,2024,2018,2018,2012,2018,6,6,144,289,12,17,1,1,1,1,0,0,7,6,2,5,31,25,31,30,LAD,Chicago Cubs,Los Angeles Dodgers,Illinois,84207843,59207843,0,0,0,0,64,961,8,31,163,162,Yu Darvish,0.0625,0.028900000000000006,0.25,0.17,17,25,220,220,20,31,0.006889000000000001,0.0034809999999999997,0.083,0.059,0.0024010000000000004,0.036481,0.049,0.191,SP,SP,0.5828220858895705,0.6419753086419753,0,0,0,0,UFA,25000000,3786867,25000000,11000000,25000000,11000000,0.0,2545.2025000000003,0.0,50.45,126000000,215545000,199600000,126000000,60000000,21000000,95,104,0.004900000000000001,0.3844,-0.07,0.62,3,6,17.034386382832476,17.034386382832476,17.034386382832476
BOS,ARI,6.3,6.3,2023,2018,2018,2016,2018,5,2,323761,186624,569,432,35344,17161,188,131,0,0,3,5,1,1,30,28,30,29,ARI,Boston Red Sox,Arizona Diamondbacks,Massachusetts,47174800,23424800,1849,2025,43,45,22500,14161,150,119,162,162,J.D. Martinez,1.0629609999999998,1.1363560000000001,1.031,1.066,14,1,230,230,24,6,0.10890000000000001,0.091809,0.33,0.303,0.8574760000000001,0.540225,0.926,0.735,DH,DH,0.6666666666666666,0.5740740740740741,16900,10816,130,104,UFA,23750000,4879808,23750000,11750000,23750000,11750000,9348.9561,9337.356899999999,96.69,96.63,110000000,131000000,9750000,110000000,18500000,22000000,108,93,40.5769,6.604899999999999,6.37,2.57,9,1,16.983093088444924,16.983093088444924,16.983093088444924
MIL,KC,6.2,6.2,2023,2018,2018,2016,2018,5,2,290521,341056,539,584,27556,31329,166,177,0,0,5,4,1,2,31,29,32,31,KC,Milwaukee Brewers,Kansas City Royals,Wisconsin,35250025,21950025,100,225,10,15,20164,24025,142,155,163,162,Lorenzo Cain,0.6609689999999999,0.6544810000000001,0.813,0.809,1,4,214,214,5,9,0.094864,0.091809,0.308,0.303,0.758641,0.9158489999999999,0.871,0.957,CF,CF,0.588957055214724,0.4938271604938271,1444,2500,38,50,UFA,14300000,11000000,14000000,11000000,14300000,11000000,7071.128100000001,6090.241600000001,84.09,78.04,80000000,103750000,43800000,80000000,17500000,16000000,96,80,47.0596,30.25,6.86,5.5,0,2,16.475770095230136,16.454567887579532,16.475770095230136
PHI,CHC,6.4,6.4,2021,2018,2018,2017,2018,3,1,2025,3721,45,61,36,64,6,8,0,0,4,3,2,2,31,30,32,31,CHC,Philadelphia Phillies,Chicago Cubs,Pennsylvania,63290945,33290945,1,1,1,1,961,1024,31,32,162,162,Jake Arrieta,0.150544,0.128164,0.388,0.358,7,17,230,230,14,19,0.017689000000000003,0.017161000000000003,0.133,0.131,0.036481,0.039204,0.191,0.198,SP,SP,0.4938271604938271,0.5679012345679012,9,25,3,5,UFA,30000000,15637500,30000000,15637500,30000000,15637500,1051.7049,2647.1025000000004,32.43,51.45,75000000,169200000,16000000,75000000,15637500,25000000,80,92,8.7616,3.5721,2.96,1.89,2,3,17.216707939626428,17.216707939626428,17.216707939626428
BAL,TB,6.3,6.3,2022,2018,2018,2017,2018,4,1,36,36,6,6,1,0,1,0,0,0,2,5,1,2,30,29,30,29,TB,Baltimore Orioles,Tampa Bay Rays,Maryland,22013100,14513100,0,0,0,0,784,841,28,29,162,162,Alex Cobb,0.11088900000000002,0.0,0.333,0.0,7,1,205,205,14,4,0.027889000000000004,0.0,0.167,0.0,0.029928999999999997,0.032041,0.173,0.179,SP,SP,0.2901234567901234,0.4938271604938271,0,0,0,0,UFA,7500000,4200000,14000000,4200000,14000000,4200000,181.1716,6000.051599999999,13.46,77.46,57000000,73000000,21700000,57000000,4200000,14250000,47,80,1.2544000000000002,5.6169,1.12,2.37,3,0,15.830413578506539,16.454567887579532,16.454567887579532
LAA,CIN,0.0,0.0,2021,2018,2018,2017,2018,3,1,50176,191844,224,438,2401,16641,49,129,0,0,3,2,5,2,32,31,32,31,CIN,Los Angeles Angels,Cincinnati Reds,California,25695416,13028750,25,576,5,24,3481,14884,59,122,162,162,Zack Cozart,0.432964,0.8611840000000001,0.658,0.928,1,10,205,205,10,15,0.047961,0.08702499999999999,0.219,0.295,0.132496,0.567009,0.364,0.753,SS,SS,0.4938271604938271,0.419753086419753,324,3844,18,62,UFA,12666666,5325000,12666666,5325000,12666666,5325000,0.0,8770.3225,0.0,93.65,38000000,42800000,5300000,38000000,5325000,12666667,80,68,0.0081,26.936100000000003,0.09,5.19,1,5,16.35448437639097,16.35448437639097,16.35448437639097
NYM,NYY,6.3,6.3,2020,2018,2018,2017,2018,2,1,166464,224676,408,474,7569,10201,87,101,0,0,8,3,2,2,31,30,32,31,NYY,New York Mets,New York Yankees,New York,34846500,26846500,324,729,18,27,13225,21609,115,147,162,162,Todd Frazier,0.4830249999999999,0.5959840000000001,0.695,0.772,5,40,220,220,9,53,0.045369,0.045369,0.213,0.213,0.5041,0.8226490000000001,0.71,0.907,3B,3B,0.4753086419753086,0.5617283950617284,3481,5776,59,76,UFA,8000000,4983624,8000000,12000000,8000000,12000000,1620.0625,1723.0801,40.25,41.51,17000000,89635000,102500000,17000000,12000000,8500000,77,91,6.100900000000001,3.3124000000000002,2.47,1.82,2,27,15.89495209964411,15.89495209964411,15.89495209964411
BAL,TEX,6.6,6.6,2021,2018,2018,2017,2018,2,1,9,25,3,5,0,1,0,1,1500000,0,2,4,1,2,31,30,31,30,TEX,Baltimore Orioles,Texas Rangers,Maryland,36454400,26954400,0,0,0,0,900,784,30,28,162,162,Andrew Cashner,0.0,0.134689,0.0,0.367,7,2,235,235,14,8,0.0,0.04000000000000001,0.0,0.2,0.034225,0.029928999999999997,0.185,0.173,SP,SP,0.2901234567901234,0.4814814814814814,0,1,0,1,UFA,9500000,10000000,5000000,10000000,9500000,10000000,109.83040000000001,6559.380099999999,10.48,80.99,16000000,73000000,36000000,16000000,10000000,8000000,47,78,0.3721,18.147599999999997,0.61,4.26,3,0,16.06680235657077,15.424948470398375,16.06680235657077
NYM,KC,6.0,6.0,2021,2018,2018,2014,2018,2,4,729,16,27,4,16,1,4,1,0,0,8,4,2,2,34,30,35,34,KC,New York Mets,Kansas City Royals,New York,56179500,50179500,0,0,0,0,441,1024,21,32,162,162,Jason Vargas,0.10692900000000001,0.25,0.327,0.5,5,4,215,215,9,9,0.021903999999999996,0.0625,0.148,0.25,0.016900000000000002,0.039204,0.13,0.198,SP,SP,0.4753086419753086,0.4938271604938271,0,0,0,0,UFA,6000000,8000000,6000000,8000000,6000000,8000000,154.75359999999998,5291.107599999999,12.44,72.74,16000000,89635000,43800000,16000000,32000000,8000000,77,80,0.0961,14.9769,-0.31,3.87,2,2,15.60727002719233,15.60727002719233,15.60727002719233
MIL,SD,6.3,6.3,2020,2018,2018,2017,2018,2,1,3136,2916,56,54,81,144,9,12,750000,0,5,4,1,5,29,28,30,29,SD,Milwaukee Brewers,San Diego Padres,Wisconsin,21814609,12314609,0,0,0,0,1296,1156,36,34,163,162,Jhoulys Chacin,0.145924,0.23136099999999998,0.382,0.481,1,2,215,215,5,5,0.025921000000000003,0.049284,0.161,0.222,0.048841,0.04409999999999999,0.221,0.21,SP,SP,0.588957055214724,0.4382716049382716,1,16,1,4,UFA,8750000,1750000,8000000,1750000,8750000,1750000,4904.2009,6353.684099999999,70.03,79.71,15500000,103750000,8250000,15500000,1750000,7750000,96,71,3.9204,6.4516,1.98,2.54,0,0,15.984564258333798,15.89495209964411,15.984564258333798
BOS,BOS,6.3,6.3,2020,2018,2018,2017,2018,2,1,163216,258064,404,508,9801,15625,99,125,0,0,3,1,1,1,32,31,32,31,BOS,Boston Red Sox,Boston Red Sox,Massachusetts,25179800,18679800,225,484,15,22,15625,22201,125,149,162,162,Mitch Moreland,0.574564,0.591361,0.758,0.769,14,13,245,245,24,23,0.060024999999999995,0.060516,0.245,0.246,0.5959840000000001,0.8464,0.772,0.92,1B,1B,0.6666666666666666,0.5740740740740741,4624,6241,68,79,UFA,6500000,5500000,6500000,5500000,6500000,5500000,1550.7844000000002,2259.1009,39.38,47.53,13000000,131000000,5500000,13000000,5500000,6500000,108,93,0.8835999999999999,3.8024999999999998,0.94,1.95,9,8,15.687312734865866,15.687312734865866,15.687312734865866
NYY,STL,6.5,6.5,2019,2018,2018,2015,2018,1,3,16,2916,4,54,0,16,0,4,0,0,2,2,2,2,30,27,31,30,STL,New York Yankees,St. Louis Cardinals,New York,37737213,25737213,0,0,0,0,961,1089,31,33,162,162,Lance Lynn,0.0,0.047524,0.0,0.218,40,23,270,270,54,28,0.0,0.005475999999999999,0.0,0.074,0.036481,0.04161599999999999,0.191,0.204,SP,SP,0.6172839506172839,0.5123456790123457,0,0,0,0,UFA,1999996,8500000,12000000,7500000,12000000,8500000,412.49609999999996,5256.25,20.31,72.5,12000000,14000000,113000000,12000000,23500000,12000000,100,83,0.10890000000000001,10.0489,0.33,3.17,27,11,14.508655738522219,16.300417207752275,16.300417207752275
