Acronimo_t,Acronimo_t_1,Altura_t,Altura_t_1,Anio_de_agente_libre_t,Anio_de_agente_libre_t_1,Anio_inicio_de_contrato_t,Anio_inicio_de_contrato_t_1,Anio,Anios_de_contrato_t,Anios_de_contrato_t_1,Bateos_pitcher_2_t,Bateos_pitcher_2_t_1,Bateos_pitcher_t,Bateos_pitcher_t_1,Bono_por_firma_t,Bono_por_firma_t_1,Cantidad_agentes_libres_t,Cantidad_agentes_libres_t_1,Cantidad_de_equipos_t,Cantidad_de_equipos_t_1,Carreras_2_t,Carreras_2_t_1,Carreras_ganadas_2_t,Carreras_ganadas_2_t_1,Carreras_ganadas_t,Carreras_ganadas_t_1,Carreras_t,Carreras_t_1,Comando_2_t,Comando_2_t_1,Comando_t,Comando_t_1,Control_2_t,Control_2_t_1,Control_t,Control_t_1,Dominio_2_t,Dominio_2_t_1,Dominio_t,Dominio_t_1,ERA_2_t,ERA_2_t_1,ERA_t,ERA_t_1,Edad_al_firmar_t,Edad_al_firmar_t_1,Edad_t,Edad_t_1,Equipo_anterior,Equipo_t,Equipo_t_1,Estado_t,Ganancias_t,Ganancias_t_1,Inning_pitched_2_t,Inning_pitched_2_t_1,Inning_pitched_t,Inning_pitched_t_1,Juegos_2_t,Juegos_2_t_1,Juegos_iniciados_2_t,Juegos_iniciados_2_t_1,Juegos_iniciados_t,Juegos_iniciados_t_1,Juegos_t,Juegos_t_1,Juegos_totales_t,Juegos_totales_t_1,Jugador,Losses_2_t,Losses_2_t_1,Losses_t,Losses_t_1,Pennants_won_t,Pennants_won_t_1,Peso_t,Peso_t_1,Playoffs_t,Playoffs_t_1,Posicion_t,Posicion_t_1,Promedio_victorias_t,Promedio_victorias_t_1,Saves_2_t,Saves_2_t_1,Saves_t,Saves_t_1,Status,Strike_outs_2_t,Strike_outs_2_t_1,Strike_outs_t,Strike_outs_t_1,Sueldo_ajustado_t,Sueldo_ajustado_t_1,Sueldo_base_t,Sueldo_base_t_1,Sueldo_regular_t,Sueldo_regular_t_1,TVS_2_t,TVS_2_t_1,TVS_t,TVS_t_1,Valor_contrato,Valor_contrato_total_t,Valor_contrato_total_t_1,Valor_del_contrato_t,Valor_del_contrato_t_1,Valor_promedio_contrato,Victorias_t,Victorias_t_1,WAR_2_t,WAR_2_t_1,WAR_t,WAR_t_1,WHIP_2_t,WHIP_2_t_1,WHIP_t,WHIP_t_1,WS_ganadas_t,WS_ganadas_t_1,Walks_2_t,Walks_2_t_1,Walks_t,Walks_t_1,Wins_2_t,Wins_2_t_1,Wins_t,Wins_t_1,ln_Sueldo_ajustado_t,ln_Sueldo_base_t,ln_Sueldo_regular_t
BOS,TOR,6.5,6.5,2023,2016,2016,2015,2016,7,1,51529,36481,227,191,0,0,6,11,1,1,11236,4900,10404,3844,102,62,106,70,20.793599999999998,22.917609778180175,4.56,4.787234042553192,0.0005834441877290019,0.0005619293324946773,0.024154589371980676,0.023705048671004186,0.012131905061961773,0.012878077165026276,0.11014492753623188,0.11348161597821153,15.920100000000001,6.400899999999999,3.99,2.53,30,29,30,29,TOR,Boston Red Sox,Toronto Blue Jays,Massachusetts,93042498,63042498,52900.0,48532.090000000004,230.0,220.3,1225,1024,1225,1024,35,32,35,32,161,161,David Price,81,25,9,5,13,2,215,215,22,6,SP,SP,0.577639751552795,0.577639751552795,0,0,0,0,UFA,51984,50625,228,225,30000000,7230874,30000000,7230874,30000000,7230874,883.2783999999999,5592.048400000001,29.72,74.78,217000000,230000000,86600000,217000000,19750000,31000000,93,93,8.940100000000001,13.249600000000001,2.99,3.64,1.44,1.1664,1.2,1.08,8,2,2500,2209,50,47,289,324,17,18,17.216707939626428,17.216707939626428,17.216707939626428
DET,WSH,6.2,6.2,2021,2016,2016,2014,2016,5,2,13924,41616,118,204,0,0,11,8,1,1,3969,7921,3249,6724,57,82,63,89,6.44378698224852,17.68310322156476,2.5384615384615383,4.205128205128205,0.0007526705692635685,0.0004615644999108416,0.027434842249657067,0.021484052222773095,0.004850048816142166,0.008161892695333331,0.0696422918645141,0.09034319396243046,23.716900000000003,13.395600000000002,4.87,3.66,29,27,30,29,WSH,Detroit Tigers,Washington Nationals,Michigan,51361000,33361000,11088.09,40682.88999999999,105.3,201.7,361,1089,324,1089,18,33,19,33,160,161,Jordan Zimmermann,49,100,7,10,11,1,225,225,16,3,SP,SP,0.5375,0.515527950310559,0,0,0,0,UFA,4356,26896,66,164,18000000,16500000,18000000,16500000,18000000,16500000,73.4449,4187.384099999999,8.57,64.71,110000000,272257500,216000000,110000000,24000000,22000000,86,83,0.1521,9.302499999999998,0.39,3.05,1.8769000000000002,1.4641,1.37,1.21,4,0,676,1521,26,39,81,169,9,13,16.70588231586044,16.70588231586044,16.70588231586044
SF,CHW,0.0,0.0,2021,2016,2016,2015,2016,5,1,36100,51984,190,228,1800000,0,8,13,5,2,7744,14884,7396,13924,86,118,88,122,9.564128943758574,11.065805914202414,3.0925925925925926,3.326530612244898,0.0008710192304109589,0.0006472612304271548,0.02951303492375799,0.02544132917964694,0.00833054023214377,0.0071624671516947415,0.09127179319014046,0.08463136033229492,14.5161,24.6016,3.81,4.96,30,29,31,30,CHW,San Francisco Giants,Chicago White Sox,California,49675000,37675000,41330.89000000001,45796.0,203.3,214.0,1156,1024,1024,1024,32,32,34,32,161,161,Jeff Samardzija,121,169,11,13,23,6,240,240,26,9,SP,SP,0.5341614906832298,0.4720496894409938,0,0,0,0,UFA,27889,26569,167,163,10800000,9800000,9000000,9800000,10800000,9800000,2829.1760999999997,563.5876,53.19,23.74,90000000,251000000,137000000,90000000,9800000,18000000,86,76,7.0225,0.0841,2.65,0.29,1.44,1.6641000000000001,1.2,1.29,8,3,2916,2401,54,49,144,121,12,11,16.195056692094447,16.012735135300492,16.195056692094447
STL,SF,0.0,0.0,2021,2016,2016,2015,2016,5,1,41209,30276,203,174,0,0,5,9,2,5,10201,6400,8464,6241,92,79,101,80,17.361111111111114,5.897959183673469,4.166666666666667,2.4285714285714284,0.00035586427493134403,0.0008040900420096022,0.018864365214110546,0.028356481481481483,0.006178199217558055,0.0047424902477709195,0.0786015217254606,0.06886574074074074,21.996100000000002,13.690000000000001,4.69,3.7,28,27,28,27,SF,St. Louis Cardinals,San Francisco Giants,Missouri,34362500,22362500,31222.889999999996,36864.0,176.7,192.0,1156,1369,900,900,30,30,34,37,161,161,Mike Leake,144,100,12,10,23,23,170,170,28,25,SP,SP,0.5279503105590062,0.5217391304347826,0,0,0,0,UFA,15625,14161,125,119,12000000,3578825,12000000,3578825,12000000,3578825,365.5744,3377.9343999999996,19.12,58.12,80000000,94000000,44000000,80000000,9775000,16000000,85,84,0.1369,5.4289000000000005,0.37,2.33,1.7424000000000002,1.3456,1.32,1.16,11,8,900,2401,30,49,81,121,9,11,16.300417207752275,16.300417207752275,16.300417207752275
MIA,BAL,0.0,0.0,2022,2016,2016,2012,2016,5,3,17956,37249,134,193,6500000,0,10,9,2,1,4761,6084,4624,5041,68,71,69,78,17.361111111111114,13.925639500297443,4.166666666666667,3.731707317073171,0.00046774732377272425,0.0005670909995071301,0.021627466882941336,0.023813672532961606,0.008120613259943128,0.007897104822999648,0.09011444534558889,0.08886565603763721,24.6016,11.1556,4.96,3.34,30,26,30,29,BAL,Miami Marlins,Baltimore Orioles,Florida,21916000,15916000,15202.89,36595.69,123.3,191.3,484,961,484,961,22,31,22,31,160,161,Wei-Yin Chen,25,64,5,8,2,7,200,200,2,13,SP,SP,0.49375,0.4968944099378882,0,0,0,0,UFA,10000,23409,100,153,12500000,4750000,6000000,4750000,12500000,4750000,72.59039999999999,4907.0025,8.52,70.05,80000000,84707500,3000000,80000000,11388000,16000000,79,80,0.0625,13.9129,-0.25,3.73,1.6384,1.4884,1.28,1.22,2,3,576,1681,24,41,25,121,5,11,16.34123920227253,15.60727002719233,16.34123920227253
KC,SD,6.0,6.0,2021,2016,2016,2015,2016,5,1,29929,27556,173,166,0,0,10,8,2,5,6561,9025,6400,6400,80,80,81,95,7.7722681359045005,11.196745562130179,2.787878787878788,3.3461538461538463,0.0014084898881484423,0.001178564719911806,0.037529853292391675,0.03433023040866178,0.010947161077399828,0.013196089297355709,0.10462868190606163,0.11487423252129134,13.5424,18.3184,3.68,4.28,31,30,31,30,SD,Kansas City Royals,San Diego Padres,Missouri,32113700,24613700,38181.16,28324.890000000003,195.4,168.3,1089,900,1089,900,33,30,33,30,161,161,Ian Kennedy,121,225,11,15,4,2,205,205,9,5,SP,SP,0.5031055900621118,0.4596273291925465,0,0,0,0,UFA,33856,30276,184,174,7500000,9850000,7500000,9850000,7500000,9850000,2921.4024999999997,198.2464,54.05,14.08,70000000,186750000,80850000,70000000,9850000,14000000,81,74,15.209999999999999,0.0121,3.9,-0.11,1.4884,1.6641000000000001,1.22,1.29,2,0,4356,2704,66,52,121,81,11,9,15.830413578506539,15.830413578506539,15.830413578506539
LAD,HOU,6.0,6.0,2019,2016,2016,2014,2016,3,2,17689,26244,133,162,1666666,0,8,7,5,2,5041,5929,4761,3969,69,63,71,77,6.640532544378699,6.9017523700086185,2.576923076923077,2.6271186440677967,0.001796925024014434,0.001283266405147222,0.04239015244150974,0.0358227079538555,0.011932539101776324,0.008856786953077277,0.10923616206081356,0.09411050394656952,20.793599999999998,9.610000000000001,4.56,3.1,31,29,32,31,HOU,Los Angeles Dodgers,Houston Astros,California,67847000,59847000,18577.690000000002,33489.0,136.3,183.0,729,961,676,961,26,31,27,31,161,161,Scott Kazmir,36,121,6,11,25,1,185,185,30,10,SP,SP,0.5652173913043478,0.5341614906832298,0,0,0,0,UFA,17956,24025,134,155,12666666,4448087,11000000,4448087,12666666,4448087,241.18089999999998,1179.9225000000001,15.53,34.35,48000000,79750000,65600000,48000000,22000000,16000000,91,86,0.2304,0.0064,0.48,-0.08,1.8496000000000004,1.4641,1.36,1.21,6,0,2704,3481,52,59,100,49,10,7,16.35448437639097,16.213405830762646,16.35448437639097
TOR,PIT,6.5,6.5,2019,2016,2016,2014,2016,3,1,28224,29584,168,172,0,0,13,4,1,2,5184,5041,4761,4761,69,69,72,71,7.380277777777779,11.259753086419753,2.716666666666667,3.3555555555555556,0.0011688216816421947,0.0008450513791238507,0.03418803418803419,0.029069767441860465,0.00862622868320874,0.009515069874273047,0.09287749287749288,0.09754521963824289,10.1761,13.0321,3.19,3.61,33,31,33,32,PIT,Toronto Blue Jays,Pittsburgh Pirates,Toronto,30489000,20489000,38025.0,29584.0,195.0,172.0,1024,1024,1024,961,32,31,32,32,161,161,J.A. Happ,16,64,4,8,2,9,205,205,7,17,SP,SP,0.546583850931677,0.6024844720496895,0,0,0,0,UFA,26569,22801,163,151,10000000,2379781,10000000,2379781,10000000,2379781,7449.4161,4107.5281,86.31,64.09,36000000,65800000,50000000,36000000,5400000,12000000,88,97,20.25,6.6564000000000005,4.5,2.58,1.3688999999999998,1.5876000000000001,1.17,1.26,2,5,3600,2025,60,45,400,121,20,11,16.11809565095832,16.11809565095832,16.11809565095832
CHC,STL,6.6,6.6,2018,2016,2016,2010,2016,2,5,21316,44944,146,212,0,0,15,3,2,2,5476,5041,4900,4489,70,67,74,71,11.53435386258455,10.90245639017444,3.3962264150943398,3.30188679245283,0.0009780613117980458,0.0007297157719400516,0.03127397179441789,0.027013251783893986,0.0112813052695823,0.007955694380798888,0.10621348911311736,0.0891946992864424,11.2225,7.6729,3.35,2.77,37,31,37,36,STL,Chicago Cubs,St. Louis Cardinals,Illinois,137992500,121992500,35456.89000000001,47524.0,188.3,218.0,841,1089,841,1089,29,33,29,33,160,160,John Lackey,64,100,8,10,17,23,235,235,18,28,SP,SP,0.6375,0.625,0,0,0,0,UFA,32400,30625,180,175,16000000,507500,16000000,507500,16000000,507500,5209.952400000001,6709.2481,72.18,81.91,32000000,291277500,7500000,32000000,82500000,16000000,102,100,7.896100000000001,31.922500000000003,2.81,5.65,1.1236000000000002,1.4884,1.06,1.22,3,11,2809,2809,53,53,121,169,11,13,16.588099280204055,16.588099280204055,16.588099280204055
BAL,BAL,6.4,6.4,2020,2016,2016,2013,2016,4,2,625,2209,25,47,0,0,8,9,1,1,169,169,169,121,13,11,13,13,8.54437869822485,34.306122448979586,2.923076923076923,5.857142857142857,0.0021710923549286367,0.0005674723297162474,0.04659498207885305,0.023821677726731327,0.018550635269331074,0.019467775229653306,0.13620071684587814,0.1395269695422835,14.2129,2.3104,3.77,1.52,33,30,33,32,BAL,Baltimore Orioles,Baltimore Orioles,Maryland,18493700,13493700,961.0,4264.089999999999,31.0,65.3,1156,4624,0,0,0,0,34,68,161,161,Darren O'Day,1,4,1,2,7,7,220,220,14,13,RP,RP,0.546583850931677,0.4968944099378882,9,36,3,6,UFA,1444,6724,38,82,6000000,4250000,6000000,4250000,6000000,4250000,0.0,8541.456400000001,0.0,92.42,31000000,220260000,3000000,31000000,5800000,7750000,88,80,0.2601,7.617599999999999,0.51,2.76,1.5129,0.8649000000000001,1.23,0.93,3,3,169,196,13,14,9,36,3,6,15.60727002719233,15.60727002719233,15.60727002719233
