Acronimo,Altura,Anio_de_agente_libre,Anio_inicio_de_contrato,Anio,Anios_de_contrato,At-bats,At-bats_2,Bateos,Bateos_2,Bono_por_firma,Cantidad_agentes_libres,Edad,Edad_al_firmar,Equipo,Equipo_anterior,Ganancias,Home-runs,Home-runs_2,Juegos,Juegos totales,Juegos_2,Jugador,OPS,OPS_2,Pennants won,Peso,Playoffs,Porcentaje_bateo,Porcentaje_bateo_2,Porcetnaje_juegos,Porcetnaje_juegos_2,Posicion,Promedio_victorias,RBI,RBI_2,Status,Sueldo_ajustado,Sueldo_base,Sueldo_regular,TVS,TVS_2,Valor_contrato,Valor_contrato_total,Valor_del_contrato,Valor_promedio_contrato,Victorias,WAR,WAR_2,WS ganadas,ln_Sueldo_ajustado,ln_Sueldo_base,ln_Sueldo_regular
SD,6.4,2026,2018,2018,8,613,375769,155,24025,1000000,3,28,28,San Diego Padres,KC,62344750,18,324,157,162,24649,Eric Hosmer,0.72,0.5184,2,226,5,0.253,0.064009,0.969,0.9389609999999999,1B,0.4074074074074074,69,4761,UFA,21000000,20000000,21000000,17.01,289.34010000000006,144000000,149500000,144000000,18000000,66,1.44,2.0736,0,16.860032995687696,16.811242831518264,16.860032995687696
CHC,6.5,2024,2018,2018,6,12,144,1,1,0,7,31,31,Chicago Cubs,LAD,84207843,0,0,8,163,64,Yu Darvish,0.25,0.0625,17,220,20,0.083,0.006889000000000001,0.049,0.0024010000000000004,SP,0.5828220858895705,0,0,UFA,25000000,25000000,25000000,0.0,0.0,126000000,215545000,126000000,21000000,95,-0.07,0.004900000000000001,3,17.034386382832476,17.034386382832476,17.034386382832476
BOS,6.3,2023,2018,2018,5,569,323761,188,35344,0,3,30,30,Boston Red Sox,ARI,47174800,43,1849,150,162,22500,J.D. Martinez,1.031,1.0629609999999998,14,230,24,0.33,0.10890000000000001,0.926,0.8574760000000001,DH,0.6666666666666666,130,16900,UFA,23750000,23750000,23750000,96.69,9348.9561,110000000,131000000,110000000,22000000,108,6.37,40.5769,9,16.983093088444924,16.983093088444924,16.983093088444924
MIL,6.2,2023,2018,2018,5,539,290521,166,27556,0,5,32,31,Milwaukee Brewers,KC,35250025,10,100,142,163,20164,Lorenzo Cain,0.813,0.6609689999999999,1,214,5,0.308,0.094864,0.871,0.758641,CF,0.588957055214724,38,1444,UFA,14300000,14000000,14300000,84.09,7071.128100000001,80000000,103750000,80000000,16000000,96,6.86,47.0596,0,16.475770095230136,16.454567887579532,16.475770095230136
PHI,6.4,2021,2018,2018,3,45,2025,6,36,0,4,32,31,Philadelphia Phillies,CHC,63290945,1,1,31,162,961,Jake Arrieta,0.388,0.150544,7,230,14,0.133,0.017689000000000003,0.191,0.036481,SP,0.4938271604938271,3,9,UFA,30000000,30000000,30000000,32.43,1051.7049,75000000,169200000,75000000,25000000,80,2.96,8.7616,2,17.216707939626428,17.216707939626428,17.216707939626428
BAL,6.3,2022,2018,2018,4,6,36,1,1,0,2,30,30,Baltimore Orioles,TB,22013100,0,0,28,162,784,Alex Cobb,0.333,0.11088900000000002,7,205,14,0.167,0.027889000000000004,0.173,0.029928999999999997,SP,0.2901234567901234,0,0,UFA,7500000,14000000,14000000,13.46,181.1716,57000000,73000000,57000000,14250000,47,1.12,1.2544000000000002,3,15.830413578506539,16.454567887579532,16.454567887579532
NYM,6.3,2021,2018,2018,3,319,101761,71,5041,1000000,8,31,30,New York Mets,CLE,75547499,9,81,95,162,9025,Jay Bruce,0.68,0.4624000000000001,5,230,9,0.223,0.049729,0.586,0.343396,RF,0.4753086419753086,37,1369,UFA,11000000,10000000,11000000,0.0,0.0,39000000,89635000,39000000,13000000,77,-0.85,0.7224999999999999,2,16.213405830762646,16.11809565095832,16.213405830762646
LAA,0.0,2021,2018,2018,3,224,50176,49,2401,0,3,32,32,Los Angeles Angels,CIN,25695416,5,25,59,162,3481,Zack Cozart,0.658,0.432964,1,205,10,0.219,0.047961,0.364,0.132496,SS,0.4938271604938271,18,324,UFA,12666666,12666666,12666666,0.0,0.0,38000000,42800000,38000000,12666667,80,0.09,0.0081,1,16.35448437639097,16.35448437639097,16.35448437639097
TEX,6.4,2021,2018,2018,3,3,9,1,1,333333,4,30,30,Texas Rangers,KC,30396090,0,0,28,162,784,Mike Minor,1.0,1.0,2,210,8,0.333,0.11088900000000002,0.173,0.029928999999999997,SP,0.4135802469135802,0,0,UFA,8333333,8000000,8333333,61.58,3792.0964,28000000,35000000,28000000,9333333,67,3.72,13.838400000000002,0,15.935774054164364,15.89495209964411,15.935774054164364
CHC,6.3,2021,2018,2018,2,1,1,0,0,0,7,33,33,Chicago Cubs,LAD,39953450,0,0,35,163,1225,Brandon Morrow,0.0,0.0,17,205,20,0.0,0.0,0.215,0.046224999999999995,RP,0.5828220858895705,0,0,UFA,9000000,9000000,9000000,0.0,0.0,21000000,215545000,21000000,10500000,95,1.44,2.0736,3,16.012735135300492,16.012735135300492,16.012735135300492
