Acronimo,Altura,Anio,Anio_de_agente_libre,Anio_inicio_de_contrato,Anios_de_contrato,Bateos_pitcher,Bateos_pitcher_2,Bono_por_firma,Cantidad_agentes_libres,Carreras,Carreras_2,Carreras_ganadas,Carreras_ganadas_2,Comando,Comando_2,Control,Control_2,Dominio,Dominio_2,ERA,ERA_2,Edad,Edad_al_firmar,Equipo,Ganancias,Inning_pitched,Inning_pitched_2,Juegos,Juegos totales,Juegos_2,Juegos_iniciados,Juegos_iniciados_2,Jugador,Losses,Losses_2,Pennants won,Peso,Playoffs,Posicion,Promedio_victorias,Saves,Saves_2,Strike-outs,Strike-outs_2,Sueldo_ajustado,Sueldo_base,Sueldo_regular,TVS,TVS_2,Valor_contrato_total,Valor_del_contrato,Victorias,WAR,WAR_2,WHIP,WHIP_2,WS ganadas,Walks,Walks_2,Wins,Wins_2,ln_Sueldo_ajustado,ln_Sueldo_base,ln_Sueldo_regular
TEX,6.0,2022,2025,2019,4,33,1089,500000,8,17,289,15,225,2.5714285714285716,6.612244897959185,0.04891684136967156,0.002392857369585611,0.12578616352201258,0.01582215893358649,2.83,8.0089,28,25,Texas Rangers,13734787,47.7,2275.2900000000004,39,162,1521,0,0,Jose Leclerc,3,9,2,190,8,RP/CL,0.419753086419753,7,49,54,2916,5250000,4750000,5250000,0.0,0.0,580700000,14750000,68,0.96,0.9216,1.13,1.2768999999999997,0,21,441,0,0,15.473738634567807,15.373655176010823,15.473738634567807
LAD,6.0,2022,2023,2019,3,51,2601,0,9,31,961,25,625,2.5714285714285716,6.612244897959185,0.05185185185185185,0.0026886145404663923,0.13333333333333333,0.017777777777777778,3.75,14.0625,34,30,Los Angeles Dodgers,104275188,60.0,3600.0,63,162,3969,0,0,Craig Kimbrel,7,49,25,215,36,RP/CL,0.6851851851851852,22,484,72,5184,16000000,16000000,16000000,8.79,77.26409999999998,267800000,43000000,111,0.12,0.0144,1.32,1.7424000000000002,7,28,784,6,36,16.588099280204055,16.588099280204055,16.588099280204055
LAD,6.5,2022,2023,2016,7,38,1444,0,9,11,121,11,121,4.111111111111111,16.90123456790123,0.02481389578163772,0.0006157294238619781,0.10201268265784395,0.010406587423049977,2.46,6.0516,36,30,Los Angeles Dodgers,248042498,40.3,1624.0899999999997,40,162,1600,0,0,David Price,0,0,25,215,36,RP,0.6851851851851852,2,4,37,1369,16000000,32000000,32000000,0.0,0.0,267800000,217000000,111,0.74,0.5476,1.16,1.3456,7,9,81,2,4,16.588099280204055,17.281246460764002,17.281246460764002
NYM,6.4,2022,2024,2019,4,161,25921,0,6,71,5041,67,4489,3.707317073170732,13.744199881023201,0.029970760233918127,0.0008982464689990081,0.1111111111111111,0.012345679012345678,3.97,15.760900000000001,35,31,New York Mets,60953465,152.0,23104.0,29,162,841,29,841,Carlos Carrasco,7,49,5,224,10,SP,0.6234567901234568,0,0,152,23104,12000000,12000000,12000000,39.97,1597.6009,259270000,47000000,101,1.21,1.4641,1.33,1.7689000000000001,2,41,1681,15,225,16.300417207752275,16.300417207752275,16.300417207752275
NYM,6.4,2022,2023,2019,5,40,1600,2500000,6,22,484,22,484,12.75,162.5625,0.013824088474166236,0.00019110542214157577,0.17625712804561952,0.031066575186889916,3.08,9.4864,34,30,New York Mets,72659998,64.3,4134.49,11,162,121,11,121,Jacob deGrom,4,16,5,180,10,SP,0.6234567901234568,0,0,102,10404,20500000,33500000,36000000,0.0,0.0,259270000,137500000,101,1.42,2.0164,0.75,0.5625,2,8,64,5,25,16.835935444108635,17.327055996795295,17.399029496420383
PHI,6.2,2022,2024,2019,4,168,28224,500000,7,75,5625,74,5476,8.10344827586207,65.66587395957194,0.015718157181571817,0.00024706046518459767,0.12737127371273713,0.016223441367205,3.25,10.5625,29,25,Philadelphia Phillies,40856353,205.0,42025.0,32,162,1024,32,1024,Aaron Nola,13,169,8,195,15,SP,0.5370370370370371,0,0,235,55225,15500000,15000000,15500000,88.62,7853.504400000001,204150000,45000000,87,6.01,36.1201,0.96,0.9216,2,29,841,11,121,16.556350581889475,16.523560759066484,16.556350581889475
PHI,6.6,2022,2023,2020,3,176,30976,0,7,98,9604,94,8836,3.0,9.0,0.03180282250049692,0.0010114195189981133,0.09540846750149076,0.00910277567098302,5.05,25.502499999999998,34,32,Philadelphia Phillies,42932074,167.7,28123.289999999997,31,162,961,31,961,Kyle Gibson,8,64,8,215,15,SP,0.5370370370370371,0,0,144,20736,8000000,7000000,8000000,22.69,514.8361000000001,204150000,28000000,87,0.67,0.4489000000000001,1.34,1.7956000000000003,2,48,2304,10,100,15.89495209964411,15.761420707019587,15.89495209964411
PHI,6.4,2022,2025,2020,5,125,15625,0,7,52,2704,48,2304,4.794117647058823,22.98356401384083,0.024691358024691357,0.0006096631611034902,0.11837327523602033,0.014012232290102624,2.82,7.952399999999999,32,29,Philadelphia Phillies,70305242,153.0,23409.0,26,162,676,26,676,Zack Wheeler,7,49,8,195,15,SP,0.5370370370370371,0,0,163,26569,26000000,26000000,26000000,69.11,4776.1921,204150000,118000000,87,5.09,25.908099999999997,1.04,1.0816000000000001,2,34,1156,12,144,17.073607095985757,17.073607095985757,17.073607095985757
COL,6.1,2022,2025,2019,5,185,34225,300000,5,109,11881,101,10201,2.380952380952381,5.668934240362812,0.038525041276829944,0.001484178805381451,0.091726288754357,0.008413712048647678,5.0,25.0,27,23,Colorado Rockies,24006516,181.7,33014.89,31,162,961,31,961,German Marquez,13,169,1,230,5,SP,0.419753086419753,0,0,150,22500,11300000,11000000,11300000,18.28,334.15840000000003,195350000,43000000,68,1.47,2.1609,1.37,1.8769000000000002,0,63,3969,9,81,16.240313283682568,16.213405830762646,16.240313283682568
COL,6.2,2022,2024,2019,5,0,0,1000000,5,0,0,0,0,,,0.0,0.0,0.0,0.0,0.0,0.0,30,27,Colorado Rockies,40889324,1.0,1.0,141,162,19881,129,16641,Randal Grichuk,0,0,1,216,5,RF,0.419753086419753,0,0,0,0,10333333,9333333,10333333,26.48,701.1904000000001,195350000,52000000,68,0.25,0.0625,0.0,0.0,0,0,0,0,0,16.150885441523247,16.049102743757082,16.150885441523247
