Equipo,Cantidad_agentes_libres,Valor_contrato_total,Acronimo,Victorias,Juegos totales,Playoffs,Pennants won,WS ganadas,Promedio_victorias
Texas Rangers,8,580700000,TEX,68,162,8,2,0,0.41975308641975306
Los Angeles Dodgers,9,267800000,LAD,111,162,36,25,7,0.6851851851851852
New York Mets,6,259270000,NYM,101,162,10,5,2,0.6234567901234568
Detroit Tigers,4,235500000,DET,66,162,16,11,4,0.4074074074074074
Philadelphia Phillies,7,204150000,PHI,87,162,15,8,2,0.5370370370370371
Colorado Rockies,5,195350000,COL,68,162,5,1,0,0.41975308641975306
Boston Red Sox,6,173000000,BOS,78,162,25,14,9,0.48148148148148145
Toronto Blue Jays,6,157000000,TOR,92,162,9,2,2,0.5679012345679012
San Francisco Giants,7,140700000,SF,81,162,27,23,8,0.5
Los Angeles Angels,9,123750000,LAA,73,162,10,1,1,0.4506172839506173
Minnesota Twins,4,116550000,MIN,78,162,17,6,3,0.48148148148148145
Seattle Mariners,2,115700000,SEA,90,162,5,0,0,0.5555555555555556
Chicago Cubs,11,109707000,CHC,74,162,21,17,3,0.4567901234567901
Miami Marlins,2,89000000,MIA,69,162,3,2,2,0.42592592592592593
Houston Astros,3,69100000,HOU,106,162,16,5,2,0.654320987654321
Chicago White Sox,5,63000000,CHW,81,162,11,6,3,0.5
Atlanta Braves,6,61250000,ATL,101,162,28,18,4,0.6234567901234568
St. Louis Cardinals,4,52700000,STL,93,162,32,23,11,0.5740740740740741
New York Yankees,4,37400000,NYY,99,162,58,40,27,0.6111111111111112
San Diego Padres,3,32500000,SD,89,162,7,2,0,0.5493827160493827
Washington Nationals,5,23750000,WSH,55,162,6,1,1,0.3395061728395062
Arizona Diamondbacks,3,23250000,ARI,74,162,6,1,1,0.4567901234567901
Tampa Bay Rays,4,18900000,TB,86,162,8,2,0,0.5308641975308642
Cincinnati Reds,4,14825000,CIN,62,162,16,10,5,0.38271604938271603
Pittsburgh Pirates,6,14100000,PIT,62,162,17,9,5,0.38271604938271603
Kansas City Royals,2,13975000,KC,65,162,9,4,2,0.4012345679012346
Milwaukee Brewers,5,13625000,MIL,86,162,8,1,0,0.5308641975308642
Baltimore Orioles,3,7900000,BAL,83,162,14,7,3,0.5123456790123457
Cleveland Guardians,2,3900000,CLE,92,162,16,6,2,0.5679012345679012
Oakland Athletics,2,1700000,OAK,60,162,29,15,9,0.37037037037037035
