Acronimo,Altura,Anio_x,Anio_y,Anios_contrato,Bateos_pitcher,Bateos_pitcher_2,Cantidad de equipos,Cantidad_agentes_libres,Carreras,Carreras_2,Carreras_ganadas,Carreras_ganadas_2,Comando,Comando_2,Control,Control_2,Dominio,Dominio_2,ERA,ERA_2,Edad,Equipo,Equipo_anterior,Estado,Inning_pitched,Inning_pitched_2,Juegos,Juegos totales,Juegos_2,Juegos_iniciados,Juegos_iniciados_2,Jugador,Losses,Losses_2,Pennants won,Peso,Playoffs,Posicion,Promedio_victorias,Saves,Saves_2,Status,Strike-outs,Strike-outs_2,Sueldo,Sueldo_base,Sueldo_regular,TVS,TVS_2,Valor_contrato,Valor_contrato_total,Valor_promedio_contrato,Victorias,WAR,WAR_2,WHIP,WHIP_2,WS ganadas,Walks,Walks_2,Wins,Wins_2,ln_Sueldo,ln_Sueldo_base,ln_Sueldo_regular
TEX,6.6,2017,7,1,156,24336,2,4,75,5625,63,3969,1.34375,1.8056640625,0.042658135039658734,0.0018197164850617604,0.057321868959541424,0.0032857966610148385,3.4,11.559999999999999,30,Texas Rangers,MIA,Texas,166.7,27788.889999999996,28,162,784,28,784,Andrew Cashner,11,121,2,235,8,SP,0.4814814814814814,0,0,UFA,86,7396,10000000,10000000,10000000,80.99,6559.380099999999,10000000,36000000,10000000,78,4.26,18.147599999999997,1.32,1.7424000000000002,0,64,4096,11,121,16.11809565095832,16.11809565095832,16.11809565095832
DET,6.0,2013,7,5,139,19321,1,1,81,6561,75,5625,3.586206896551724,12.86087990487515,0.030600400970771345,0.0009363845395719838,0.10973936899862827,0.012042729108217095,6.41,41.088100000000004,33,Detroit Tigers,DET,Michigan,105.3,11088.09,28,162,784,17,289,Anibal Sanchez,7,49,11,205,16,RP,0.3950617283950617,0,0,UFA,104,10816,16800000,16000000,16800000,0.0,0.0,80000000,2000000,16000000,64,-0.71,0.5041,1.6,2.5600000000000005,4,29,841,3,9,16.636889444373487,16.588099280204055,16.636889444373487
NYY,6.4,2017,7,5,37,1369,2,3,20,400,18,324,3.45,11.902500000000002,0.04417936823503424,0.0019518165776467524,0.15241882041086813,0.02323149681544047,3.22,10.368400000000001,29,New York Yankees,CHC,New York,50.3,2530.0899999999997,52,162,2704,0,0,Aroldis Chapman,3,9,40,218,53,RP,0.5617283950617284,22,484,UFA,69,4761,17200000,15000000,17200000,17.75,315.0625,86000000,102500000,17200000,91,0.96,0.9216,1.13,1.2768999999999997,27,20,400,4,16,16.660419941783683,16.523560759066484,16.660419941783683
MIA,6.4,2017,7,2,57,3249,2,6,29,841,25,625,1.625,2.640625,0.037825059101654845,0.0014307350960436822,0.061465721040189124,0.003778034862990348,4.79,22.9441,37,Miami Marlins,BOS,Florida,47.0,2209.0,53,162,2809,0,0,Brad Ziegler,4,16,2,220,2,RP,0.4753086419753086,10,100,UFA,26,676,7000000,7000000,7000000,4.18,17.472399999999997,16000000,57250000,8000000,77,-0.74,0.5476,1.55,2.4025000000000003,2,16,256,1,1,15.761420707019587,15.761420707019587,15.761420707019587
LAD,6.7,2015,7,4,89,7921,5,6,43,1849,41,1681,2.6666666666666665,7.111111111111111,0.032362459546925564,0.0010473287879263935,0.08629989212513484,0.00744767138080991,3.98,15.8404,33,Los Angeles Dodgers,NYY,California,92.7,8593.29,19,162,361,16,256,Brandon McCarthy,4,16,25,225,31,SP,0.6419753086419753,0,0,UFA,72,5184,11500000,10000000,11500000,50.71,2571.5041,48000000,199600000,12000000,104,0.74,0.5476,1.25,1.5625,6,27,729,6,36,16.25785759333348,16.11809565095832,16.25785759333348
STL,0.0,2017,7,4,67,4489,2,2,31,961,29,841,4.125,17.015625,0.02641571735182434,0.0006977901232114735,0.1089648340762754,0.011873335065270229,3.88,15.0544,30,St. Louis Cardinals,TOR,Missouri,67.3,4529.29,73,162,5329,0,0,Brett Cecil,4,16,23,235,28,RP,0.5123456790123457,1,1,UFA,66,4356,7750000,7500000,7750000,12.34,152.2756,30500000,113000000,7625000,83,0.5,0.25,1.23,1.5129,11,16,256,2,4,15.86320340132953,15.830413578506539,15.86320340132953
CHC,6.0,2017,7,1,58,3364,2,3,19,361,19,361,3.388888888888889,11.484567901234568,0.03210272873194222,0.0010305851920366686,0.10879258070269307,0.011835825615951985,2.74,7.507600000000001,34,Chicago Cubs,BAL,Illinois,62.3,3881.2899999999995,68,162,4624,0,0,Brian Duensing,1,1,17,200,19,RP,0.5679012345679012,0,0,UFA,61,3721,2000000,2000000,2000000,54.78,3000.8484000000003,2000000,16000000,2000000,92,1.39,1.9320999999999997,1.22,1.4884,3,18,324,1,1,14.508657738524219,14.508657738524219,14.508657738524219
HOU,6.5,2017,7,2,125,15625,2,3,65,4225,59,3481,3.26,10.6276,0.03787018101946527,0.0014341506104470678,0.1234567901234568,0.01524157902758726,3.62,13.1044,33,Houston Astros,PHI,Texas,146.7,21520.889999999996,25,162,625,25,625,Charlie Morton,7,49,2,215,11,SP,0.6234567901234568,0,0,UFA,163,26569,8875000,7000000,8875000,71.93,5173.924900000001,14000000,82000000,7000000,101,1.82,3.3124000000000002,1.19,1.4161,1,50,2500,14,196,15.998748893325754,15.761420707019587,15.998748893325754
SD,6.5,2017,7,1,240,57600,5,4,114,12996,105,11025,2.559322033898305,6.550129273197356,0.03322633327701752,0.0011039892230354416,0.0850368868615194,0.007231272127098851,4.79,22.9441,33,San Diego Padres,SD,California,197.3,38927.29,32,162,1024,32,1024,Clayton Richard,15,225,2,240,5,SP,0.4382716049382716,0,0,UFA,151,22801,2750000,1750000,2750000,40.31,1624.8961000000002,1750000,8250000,1750000,71,0.54,0.2916,1.51,2.2801,0,59,3481,8,64,14.827111469642754,14.375126345899696,14.827111469642754
PIT,6.3,2017,7,2,58,3364,2,2,34,1156,31,961,2.0,4.0,0.059427336574824415,0.0035316083323774635,0.11885467314964883,0.014126433329509854,4.52,20.430399999999995,30,Pittsburgh Pirates,ARI,Pennsylvania,61.7,3806.8900000000003,71,162,5041,0,0,Daniel Hudson,7,49,9,215,17,RP,0.4629629629629629,0,0,UFA,66,4356,5500000,5500000,5500000,5.04,25.401600000000002,11000000,37000000,5500000,75,-0.01,0.0001,1.48,2.1904,5,33,1089,2,4,15.520258650202699,15.520258650202699,15.520258650202699
