Jugador,Anio_t,Anios_contrato_t,Valor_contrato_t,Valor_promedio_contrato_t,Juegos_t,Porcetnaje_juegos_t,At_bats_t,Bateos_t,Home_runs_t,RBI_t,Porcentaje_bateo_t,OPS_t,ln_Sueldo_base_t,ln_Sueldo_t,ln_Sueldo_regular_t,Juegos_2_t,Porcetnaje_juegos_2_t,At_bats_2_t,Bateos_2_t,Home_runs_2_t,RBI_2_t,Porcentaje_bateo_2_t,OPS_2_t,Anio_t_1,Anios_contrato_t_1,Valor_contrato_t_1,Valor_promedio_contrato_t_1,Juegos_t_1,Porcetnaje_juegos_t_1,At_bats_t_1,Bateos_t_1,Home_runs_t_1,RBI_t_1,Porcentaje_bateo_t_1,OPS_t_1,Juegos_2_t_1,Porcetnaje_juegos_2_t_1,At_bats_2_t_1,Bateos_2_t_1,Home_runs_2_t_1,RBI_2_t_1,Porcentaje_bateo_2_t_1,OPS_2_t_1
Nelson Cruz,5,4,57000000,14250000,152,0.938,590,178,44,93,0.302,0.936,16.454567887579532,16.48100114464769,16.48100114464769,23104,0.8798439999999998,348100,31684,1936,8649,0.091204,0.8760960000000001,4,1,8000000,8000000,159,0.982,613,166,40,108,0.271,0.859,25281,0.964324,375769,27556,1600,11664,0.073441,0.737881
Kendrys Morales,5,2,17000000,8500000,158,0.975,569,165,22,106,0.29,0.847,15.687312734865866,15.796512026830857,15.796512026830857,24964,0.950625,323761,27225,484,11236,0.0841,0.717409,4,1,7540983,7540983,98,0.605,367,80,8,42,0.218,0.612,9604,0.366025,134689,6400,64,1764,0.047524,0.374544
Mike Morse,5,2,16000000,8000000,98,0.605,229,53,5,19,0.231,0.649,14.890158310596608,14.890158310596608,14.890158310596608,9604,0.366025,52441,2809,25,361,0.053361,0.421201,4,1,6000000,6000000,131,0.809,438,122,16,61,0.279,0.811,17161,0.6544810000000001,191844,14884,256,3721,0.077841,0.6577210000000001
Stephen Drew,5,1,5000000,5000000,131,0.809,383,77,17,44,0.201,0.652,15.424948470398375,15.424948470398375,15.424948470398375,17161,0.6544810000000001,146689,5929,289,1936,0.040401,0.425104,4,1,10093443,10093443,85,0.525,271,44,7,26,0.162,0.536,7225,0.275625,73441,1936,49,676,0.026244,0.287296
Corey Hart,5,1,2500000,2500000,35,0.216,54,12,2,9,0.222,0.597,14.73180128983843,14.73180128983843,14.73180128983843,1225,0.0466559999999999,2916,144,4,81,0.049284,0.356409,4,1,6000000,6000000,68,0.42,232,47,6,21,0.203,0.59,4624,0.1763999999999999,53824,2209,36,441,0.041209,0.3480999999999999
Mark Reynolds,5,1,2000000,2000000,140,0.864,382,88,13,48,0.23,0.713,14.508657738524219,14.508657738524219,14.508657738524219,19600,0.7464959999999999,145924,7744,169,2304,0.0529,0.508369,4,1,2000000,2000000,130,0.803,378,74,22,45,0.196,0.681,16900,0.6448090000000001,142884,5476,484,2025,0.038416,0.4637610000000001
Kelly Johnson,5,1,1500000,1500000,111,0.685,310,82,14,47,0.265,0.753,13.301947858488397,13.301947858488397,13.301947858488397,12321,0.469225,96100,6724,196,2209,0.070225,0.567009,4,1,3000000,3000000,106,0.654,265,57,7,27,0.215,0.659,11236,0.427716,70225,3249,49,729,0.0462249999999999,0.434281
Chris Young,5,1,675000,675000,140,0.864,318,80,14,42,0.252,0.773,14.73180128983843,14.73180128983843,14.73180128983843,19600,0.7464959999999999,101124,6400,196,1764,0.063504,0.597529,4,1,7250000,7250000,111,0.685,325,72,11,38,0.222,0.71,12321,0.469225,105625,5184,121,1444,0.049284,0.5041
Chris Young,5,1,675000,675000,140,0.864,318,80,14,42,0.252,0.773,14.73180128983843,14.73180128983843,14.73180128983843,19600,0.7464959999999999,101124,6400,196,1764,0.063504,0.597529,4,1,7250000,7250000,111,0.685,325,72,11,38,0.222,0.71,12321,0.469225,105625,5184,121,1444,0.049284,0.5041
Chris Young,5,1,675000,675000,140,0.864,318,80,14,42,0.252,0.773,13.422467969854667,13.422467969854667,13.422467969854667,19600,0.7464959999999999,101124,6400,196,1764,0.063504,0.597529,4,1,7250000,7250000,111,0.685,325,72,11,38,0.222,0.71,12321,0.469225,105625,5184,121,1444,0.049284,0.5041
Chris Young,5,1,675000,675000,140,0.864,318,80,14,42,0.252,0.773,13.422467969854667,13.422467969854667,13.422467969854667,19600,0.7464959999999999,101124,6400,196,1764,0.063504,0.597529,4,1,7250000,7250000,111,0.685,325,72,11,38,0.222,0.71,12321,0.469225,105625,5184,121,1444,0.049284,0.5041
Reed Johnson,5,1,0,0,17,0.105,22,5,0,3,0.227,0.523,13.815510557964274,13.815510557964274,13.815510557964274,289,0.0110249999999999,484,25,0,9,0.051529,0.273529,4,1,1000000,1000000,113,0.698,187,44,2,25,0.235,0.614,12769,0.4872039999999999,34969,1936,4,625,0.0552249999999999,0.376996
J.P. Arencibia,5,1,0,0,24,0.148,71,22,6,17,0.31,0.921,13.137251989898079,13.137251989898079,11.591320662397601,576,0.0219039999999999,5041,484,36,289,0.0961,0.848241,4,1,1800000,1800000,63,0.389,203,36,10,35,0.177,0.608,3969,0.151321,41209,1296,100,1225,0.0313289999999999,0.369664
