Jugador,Anio,Status,Equipo_anterior,Anios_contrato,Valor_contrato,Valor_promedio_contrato,Posicion,Juegos,Juegos_iniciados,Inning_pitched,Bateos_pitcher,Carreras,Carreras_ganadas,Walks,Strike-outs,Wins,Losses,Saves,WHIP,ERA,Equipo,Sueldo_base,Sueldo,Sueldo_regular,Dominio,Control,Comando,Juegos_2,Juegos_iniciados_2,Inning_pitched_2,Bateos_pitcher_2,Carreras_2,Carreras_ganadas_2,Walks_2,Strike-outs_2,Wins_2,Losses_2,Saves_2,WHIP_2,ERA_2,Control_2,Comando_2,Juegos_2_2
Patrick Corbin,2019,UFA,ARI,6,140000000,23333333,SP,33,33,202.0,169,81,73,70,238,14,7,0,1.18,3.25,WSH,12500000,12916666,12916666,0.13091309130913092,0.03850385038503851,3.4,1089,1089,40804.0,28561,6561,5329,4900,56644,196,49,0,1.3923999999999999,10.5625,0.00148254649447343,11.559999999999999,1185921
Nathan Eovaldi,2019,UFA,BOS,4,68000000,17000000,SP,23,12,67.7,72,46,45,35,70,2,1,0,1.58,5.99,BOS,17000000,17000000,17000000,0.11488593467913999,0.057442967339569995,2.0,529,144,4583.29,5184,2116,2025,1225,4900,4,1,0,2.4964000000000004,35.880100000000006,0.0032996944967749052,4.0,279841
Craig Kimbrel,2019,UFA,BOS,3,43000000,14333333,RP,23,0,20.7,21,15,15,12,30,0,4,13,1.6,6.53,CHC,10000000,10000000,10000000,0.16103059581320453,0.06441223832528181,2.5,529,0,428.48999999999995,441,225,225,144,900,0,16,169,2.5600000000000005,42.6409,0.004148936446072903,6.25,279841
Zack Britton,2019,UFA,NYY,3,39000000,13000000,RP,66,0,61.3,38,13,13,32,53,3,1,3,1.14,1.91,NYY,13000000,13000000,13000000,0.09606670291825269,0.05800253761102049,1.65625,4356,0,3757.6899999999996,1444,169,169,1024,2809,9,1,9,1.2995999999999999,3.6481,0.0033642943693178466,2.7431640625,18974736
J.A. Happ,2019,UFA,NYY,2,34000000,17000000,SP,32,29,161.3,160,88,88,49,140,12,8,0,1.29,4.91,NYY,17000000,17000000,17000000,0.09643865812495694,0.03375353034373493,2.857142857142857,1024,841,26017.690000000002,25600,7744,7744,2401,19600,144,64,0,1.6641000000000001,24.1081,0.001139300810665435,8.16326530612245,1048576
Jeurys Familia,2019,UFA,OAK,3,30000000,10000000,RP,66,0,60.0,62,39,38,42,63,4,2,0,1.73,5.7,NYM,6000000,6666666,6666666,0.11666666666666667,0.07777777777777778,1.5,4356,0,3600.0,3844,1521,1444,1764,3969,16,4,0,2.9929,32.49,0.006049382716049383,2.25,18974736
Charlie Morton,2019,UFA,HOU,2,30000000,15000000,SP,33,33,194.7,154,71,66,57,240,16,6,0,1.08,3.05,TB,15000000,15000000,15000000,0.13696284882725562,0.03252867659647321,4.2105263157894735,1089,1089,37908.09,23716,5041,4356,3249,57600,256,36,0,1.1664,9.302499999999998,0.0010581148011179439,17.728531855955676,1185921
Lance Lynn,2019,UFA,NYY,3,30000000,10000000,SP,33,33,208.3,195,89,85,59,246,16,11,0,1.22,3.67,TEX,8000000,9333333,9333333,0.1312209953592575,0.031471702139008906,4.169491525423729,1089,1089,43388.89000000001,38025,7921,7225,3481,60516,256,121,0,1.4884,13.4689,0.0009904680355264978,17.384659580580298,1185921
Adam Ottavino,2019,UFA,COL,3,27000000,9000000,RP,73,0,66.3,47,17,14,40,88,6,5,2,1.31,1.9,NYY,8000000,9000000,9000000,0.14747779453661808,0.06703536115300822,2.2,5329,0,4395.69,2209,289,196,1600,7744,36,25,4,1.7161000000000002,3.61,0.004493739644914244,4.840000000000001,28398241
Joe Kelly,2019,UFA,BOS,3,25000000,8333333,RP,55,0,51.3,49,31,26,22,62,5,4,1,1.38,4.56,LAD,3000000,3000000,3000000,0.13428633311674248,0.047649989170457006,2.8181818181818183,3025,0,2631.6899999999996,2401,961,676,484,3844,25,16,1,1.9043999999999996,20.793599999999998,0.00227052146794467,7.942148760330579,9150625
