Jugador,Posicion,Juegos,Porcetnaje_juegos,At-bats,Bateos,Home-runs,RBI,Porcentaje_bateo,OPS,Equipo,Sueldo_base,Sueldo,Sueldo_regular,Juegos_2,Porcetnaje_juegos_2,At-bats_2,Bateos_2,Home-runs_2,RBI_2,Porcentaje_bateo_2,OPS_2
Trea Turner,SS,148,0.914,595,195,28,77,0.328,0.911,LAD,13000000,13000000,4567568,21904,0.835396,354025,38025,784,5929,0.10758400000000001,0.829921
Bo Bichette,SS,159,0.982,640,191,29,102,0.298,0.828,TOR,587800,587800,587800,25281,0.964324,409600,36481,841,10404,0.088804,0.685584
Vladimir Guerrero Jr.,1B,161,0.994,604,188,48,111,0.311,1.002,TOR,605400,605400,605400,25921,0.988036,364816,35344,2304,12321,0.096721,1.004004
Whit Merrifield,RF,162,1.0,664,184,10,74,0.277,0.713,KC,6750000,7450000,7450000,26244,1.0,440896,33856,100,5476,0.07672900000000002,0.508369
Freddie Freeman,1B,160,0.994,600,180,31,83,0.3,0.895,ATL,22000000,22409375,22409375,25600,0.988036,360000,32400,961,6889,0.09,0.801025
Austin Riley,3B,161,1.0,590,179,33,107,0.303,0.898,ATL,590500,590500,590500,25921,1.0,348100,32041,1089,11449,0.091809,0.806404
Paul Goldschmidt,1B,158,0.975,603,177,31,99,0.294,0.879,STL,22000000,26000000,26000000,24964,0.9506249999999999,363609,31329,961,9801,0.08643599999999999,0.772641
Adam Frazier,2B,155,0.957,577,176,5,43,0.305,0.779,SD,4300000,4300000,214690,24025,0.9158489999999999,332929,30976,25,1849,0.093025,0.6068410000000001
Cedric Mullins,CF,159,0.982,602,175,30,59,0.291,0.878,BAL,577000,577000,577000,25281,0.964324,362404,30625,900,3481,0.08468099999999999,0.770884
Isiah Kiner-Falefa,SS,158,0.975,635,172,8,53,0.271,0.67,TEX,2000000,2000000,2000000,24964,0.9506249999999999,403225,29584,64,2809,0.073441,0.4489000000000001
Salvador Perez,C,161,0.994,620,169,48,121,0.273,0.859,KC,13000000,14200000,14200000,25921,0.988036,384400,28561,2304,14641,0.07452900000000001,0.737881
Bryan Reynolds,LF,159,0.982,559,169,24,90,0.302,0.912,PIT,601000,601000,601000,25281,0.964324,312481,28561,576,8100,0.091204,0.831744
Yulieski Gurriel,1B,143,0.883,530,169,15,81,0.319,0.846,HOU,6500000,8500000,8500000,20449,0.779689,280900,28561,225,6561,0.101761,0.7157159999999999
J.P. Crawford,SS,160,0.988,619,169,9,54,0.273,0.714,SEA,2050000,2050000,2050000,25600,0.976144,383161,28561,81,2916,0.07452900000000001,0.5097959999999999
Tommy Edman,2B,159,0.982,641,168,11,56,0.262,0.695,STL,596000,596000,596000,25281,0.964324,410881,28224,121,3136,0.06864400000000001,0.4830249999999999
Jose Altuve,2B,146,0.901,602,167,31,83,0.277,0.838,HOU,26000000,29000000,29000000,21316,0.811801,362404,27889,961,6889,0.07672900000000002,0.702244
Ty France,DH,152,0.938,571,166,18,73,0.291,0.813,SEA,587500,587500,587500,23104,0.8798439999999998,326041,27556,324,5329,0.08468099999999999,0.6609689999999999
Rafael Devers,3B,156,0.963,591,165,38,113,0.279,0.89,BOS,4575000,4575000,4575000,24336,0.9273689999999999,349281,27225,1444,12769,0.07784100000000002,0.7921
Nick Castellanos,RF,138,0.852,531,164,34,100,0.309,0.939,CIN,14000000,14075000,13849496,19044,0.725904,281961,26896,1156,10000,0.095481,0.8817209999999999
David Fletcher,2B,157,0.969,626,164,2,47,0.262,0.622,LAA,2000000,2000000,2000000,24649,0.9389609999999999,391876,26896,4,2209,0.06864400000000001,0.386884
J.D. Martinez,DH,148,0.914,570,163,28,99,0.286,0.867,BOS,19350000,19350000,19350000,21904,0.835396,324900,26569,784,9801,0.08179599999999998,0.7516889999999999
Tim Anderson,SS,123,0.759,527,163,17,61,0.309,0.806,CHW,7250000,7250000,7250000,15129,0.5760810000000001,277729,26569,289,3721,0.095481,0.6496360000000001
Teoscar Hernandez,DH,143,0.883,550,163,32,116,0.296,0.87,TOR,4325000,4325000,4325000,20449,0.779689,302500,26569,1024,13456,0.08761599999999999,0.7569
Ozzie Albies,2B,157,0.975,629,163,30,106,0.259,0.799,ATL,3000000,3000000,3000000,24649,0.9506249999999999,395641,26569,900,11236,0.067081,0.6384010000000001
Jorge Polanco,SS,152,0.938,588,158,33,98,0.269,0.826,MIN,4333334,4333334,4333334,23104,0.8798439999999998,345744,24964,1089,9604,0.07236100000000001,0.6822759999999999
Aaron Judge,RF,148,0.914,550,158,39,98,0.287,0.916,NYY,10175000,10175000,10175000,21904,0.835396,302500,24964,1521,9604,0.08236899999999998,0.839056
Manny Machado,3B,153,0.944,564,157,28,106,0.278,0.837,SD,30000000,32000000,32000000,23409,0.8911359999999999,318096,24649,784,11236,0.07728400000000002,0.700569
Alex Verdugo,CF,146,0.901,544,157,13,63,0.289,0.777,BOS,649500,649500,649500,21316,0.811801,295936,24649,169,3969,0.08352099999999998,0.6037290000000001
Mitch Haniger,RF,157,0.969,620,157,39,100,0.253,0.804,SEA,3010000,3010000,3010000,24649,0.9389609999999999,384400,24649,1521,10000,0.064009,0.6464160000000001
Juan Soto,RF,151,0.932,502,157,29,95,0.313,0.999,WSH,8500000,8500000,8500000,22801,0.8686240000000001,252004,24649,841,9025,0.097969,0.998001
Xander Bogaerts,SS,144,0.889,529,156,23,79,0.295,0.863,BOS,20000000,20000000,20000000,20736,0.790321,279841,24336,529,6241,0.08702499999999999,0.744769
Carlos Correa,SS,148,0.914,555,154,26,92,0.278,0.847,HOU,11700000,11700000,11700000,21904,0.835396,308025,23716,676,8464,0.07728400000000002,0.717409
Matt Olson,1B,156,0.963,565,153,39,111,0.271,0.911,OAK,5000000,5000000,5000000,24336,0.9273689999999999,319225,23409,1521,12321,0.073441,0.829921
