Equipo,Cantidad_agentes_libres,Valor_contrato_total,Acronimo,Victorias,Juegos totales,Playoffs,Pennants won,WS ganadas,Promedio_victorias
Los Angeles Dodgers,6,199600000,LAD,104,162,31,25,6,0.6419753086419753
New York Mets,2,116500000,NYM,70,162,9,5,2,0.43209876543209874
St. Louis Cardinals,2,113000000,STL,83,162,28,23,11,0.5123456790123457
New York Yankees,3,102500000,NYY,91,162,53,40,27,0.5617283950617284
Colorado Rockies,4,97250000,COL,87,162,4,1,0,0.5370370370370371
Houston Astros,3,82000000,HOU,101,162,11,2,1,0.6234567901234568
Toronto Blue Jays,6,70000000,TOR,76,162,7,2,2,0.4691358024691358
San Francisco Giants,3,65250000,SF,64,162,26,23,8,0.3950617283950617
Miami Marlins,6,57250000,MIA,77,162,2,2,2,0.47530864197530864
Baltimore Orioles,5,55600000,BAL,75,162,14,7,3,0.46296296296296297
Kansas City Royals,4,43800000,KC,80,162,9,4,2,0.49382716049382713
Pittsburgh Pirates,2,37000000,PIT,75,162,17,9,5,0.46296296296296297
Texas Rangers,4,36000000,TEX,78,162,8,2,0,0.48148148148148145
Atlanta Braves,5,34525000,ATL,72,162,23,18,3,0.4444444444444444
Oakland Athletics,5,34500000,OAK,75,162,26,15,9,0.46296296296296297
Minnesota Twins,2,26550000,MIN,85,162,15,6,3,0.5246913580246914
Los Angeles Angels,4,24750000,LAA,80,162,10,1,1,0.49382716049382713
Tampa Bay Rays,5,21700000,TB,80,162,4,1,0,0.49382716049382713
Chicago Cubs,3,16000000,CHC,92,162,19,17,3,0.5679012345679012
Philadelphia Phillies,3,11750000,PHI,66,162,14,7,2,0.4074074074074074
Seattle Mariners,2,11535000,SEA,78,162,4,0,0,0.48148148148148145
Washington Nationals,4,10400000,WSH,97,163,5,1,0,0.5950920245398773
Arizona Diamondbacks,5,9750000,ARI,93,162,6,1,1,0.5740740740740741
San Diego Padres,4,8250000,SD,71,162,5,2,0,0.4382716049382716
Milwaukee Brewers,3,7550000,MIL,86,162,4,1,0,0.5308641975308642
Chicago White Sox,1,6000000,CHW,67,162,9,6,3,0.41358024691358025
Boston Red Sox,1,5500000,BOS,93,162,23,13,8,0.5740740740740741
Cincinnati Reds,2,5300000,CIN,68,162,15,10,5,0.41975308641975306
Detroit Tigers,1,2000000,DET,64,162,16,11,4,0.3950617283950617
