Acronimo_t,Acronimo_t_1,Agente libre,Altura_t,Altura_t_1,Anio,Anio_de_agente_libre_t,Anio_de_agente_libre_t_1,Anio_inicio_de_contrato_t,Anio_inicio_de_contrato_t_1,Anios_de_contrato_t,Anios_de_contrato_t_1,Bateos_pitcher_2_t,Bateos_pitcher_2_t_1,Bateos_pitcher_t,Bateos_pitcher_t_1,Bono_por_firma_t,Bono_por_firma_t_1,Cantidad_agentes_libres_t,Cantidad_agentes_libres_t_1,Cantidad_de_equipos_t,Cantidad_de_equipos_t_1,Carreras_2_t,Carreras_2_t_1,Carreras_ganadas_2_t,Carreras_ganadas_2_t_1,Carreras_ganadas_t,Carreras_ganadas_t_1,Carreras_t,Carreras_t_1,Comando_2_t,Comando_2_t_1,Comando_t,Comando_t_1,Control_2_t,Control_2_t_1,Control_t,Control_t_1,Dominio_2_t,Dominio_2_t_1,Dominio_t,Dominio_t_1,ERA_2_t,ERA_2_t_1,ERA_t,ERA_t_1,Edad_al_firmar_t,Edad_al_firmar_t_1,Edad_t,Edad_t_1,Equipo_t,Equipo_t_1,Estado_t,Ganancias_t,Ganancias_t_1,Inning_pitched_2_t,Inning_pitched_2_t_1,Inning_pitched_t,Inning_pitched_t_1,Juegos_2_t,Juegos_2_t_1,Juegos_iniciados_2_t,Juegos_iniciados_2_t_1,Juegos_iniciados_t,Juegos_iniciados_t_1,Juegos_t,Juegos_t_1,Juegos_totales_t,Juegos_totales_t_1,Jugador,Losses_2_t,Losses_2_t_1,Losses_t,Losses_t_1,Pennants_won_t,Pennants_won_t_1,Peso_t,Peso_t_1,Playoffs_t,Playoffs_t_1,Posicion_t,Posicion_t_1,Promedio_victorias_t,Promedio_victorias_t_1,Saves_2_t,Saves_2_t_1,Saves_t,Saves_t_1,Strike_outs_2_t,Strike_outs_2_t_1,Strike_outs_t,Strike_outs_t_1,Sueldo_ajustado_t,Sueldo_ajustado_t_1,Sueldo_base_t,Sueldo_base_t_1,Sueldo_regular_t,Sueldo_regular_t_1,TVS_2_t,TVS_2_t_1,TVS_t,TVS_t_1,Valor_contrato_total_t,Valor_contrato_total_t_1,Valor_del_contrato_t,Valor_del_contrato_t_1,Victorias_t,Victorias_t_1,WAR_2_t,WAR_2_t_1,WAR_t,WAR_t_1,WHIP_2_t,WHIP_2_t_1,WHIP_t,WHIP_t_1,WS_ganadas_t,WS_ganadas_t_1,Walks_2_t,Walks_2_t_1,Walks_t,Walks_t_1,Wins_2_t,Wins_2_t_1,Wins_t,Wins_t_1,ln_Sueldo_ajustado_t,ln_Sueldo_base_t,ln_Sueldo_regular_t
PIT,PIT,No,6.5,6.5,2013,2014,2014,2009,2009,5,5,27225,35721,165,189,0,0,8,3,2,2,6241,7396,4900,6241,70,79,79,86,9.730674983292491,8.428720083246619,3.1194029850746268,2.903225806451613,0.0015191401849296829,0.0011595956955578514,0.038976148923792905,0.03405283682100291,0.014782259393609595,0.009773907527594794,0.12158231529959279,0.09886307464162135,10.889999999999999,12.320099999999998,3.3,3.51,31,31,36,35,Pittsburgh Pirates,Pittsburgh Pirates,Pennsylvania,122617500,106117500,36481.0,40925.29000000001,191.0,202.3,900,961,900,961,30,31,30,31,162,162,A.J. Burnett,121,100,11,10,9,9,230,230,15,14,SP,SP,0.5802469135802469,0.4876543209876543,0,0,0,0,43681,32400,209,180,8000000,5000000,16500000,16500000,16500000,16500000,1557.8808999999999,2500.0,39.47,50.0,28875000,14500000,82500000,82500000,94,79,3.6481,6.708099999999999,1.91,2.59,1.4884,1.5376,1.22,1.24,5,5,4489,3844,67,62,100,256,10,16,15.89495209964411,16.61887093887081,16.61887093887081
STL,STL,No,6.7,6.7,2013,2014,2014,2008,2008,4,4,49729,38416,223,196,0,0,6,5,2,2,6889,9216,6241,7569,79,87,83,96,39.15183673469388,12.520710059171597,6.257142857142857,3.5384615384615383,0.00025887956430057914,0.000845523989712262,0.016089734749229992,0.029077895207739193,0.010135610435444961,0.01058656072326122,0.10067576885946768,0.10289101381200022,8.6436,15.5236,2.94,3.94,26,26,31,30,St. Louis Cardinals,St. Louis Cardinals,Missouri,39003000,26853000,58418.88999999999,39481.689999999995,241.7,198.7,1225,1089,1156,1024,34,32,35,33,162,162,Adam Wainwright,81,169,9,13,23,23,230,230,27,26,SP,SP,0.5987654320987654,0.5432098765432098,0,0,0,0,47961,33856,219,184,12150000,9000000,12000000,9000000,12150000,9000000,9672.722499999998,5578.5961,98.35,74.69,13650000,40850000,15000000,15000000,97,88,38.316100000000006,0.8464,6.19,0.92,1.1449,1.5625,1.07,1.25,11,11,1225,2704,35,52,361,196,19,14,16.31283972775083,16.300417207752275,16.31283972775083
CIN,CIN,No,6.4,6.4,2013,0,0,2010,2010,6,6,1369,1225,37,35,2708333,2708333,12,4,2,2,324,169,324,144,18,12,18,13,14.915576694411417,28.136105860113418,3.8620689655172415,5.304347826086956,0.0025587750787720884,0.0012703761795196673,0.05058433629862201,0.03564233689756702,0.038165605931173685,0.035743438669131815,0.19536019536019533,0.18905935223926854,6.5024999999999995,2.2801,2.55,1.51,21,21,25,24,Cincinnati Reds,Cincinnati Reds,Ohio,22300000,20275000,4057.6900000000005,5140.89,63.7,71.7,4624,4624,0,0,0,0,68,68,162,162,Aroldis Chapman,25,25,5,5,10,10,218,218,15,14,RP,RP,0.5555555555555556,0.5987654320987654,1444,1444,38,38,12544,14884,112,122,4733333,4733333,2000000,2000000,4733333,4733333,3325.8289,9264.0625,57.67,96.25,41800000,5100000,30250000,30250000,90,97,3.4596000000000005,11.424399999999999,1.86,3.38,1.0816000000000001,0.6561000000000001,1.04,0.81,5,5,841,529,29,23,16,25,4,5,15.370140163480842,14.508657738524219,15.370140163480842
SF,SF,No,6.4,6.4,2013,2014,2014,2007,2007,7,7,29929,34596,173,186,0,0,6,3,5,5,8836,8281,7225,7225,85,85,94,91,2.5363511659807956,2.6522448979591835,1.5925925925925926,1.6285714285714286,0.002026012879814102,0.0017809855289873586,0.0450112528132033,0.04220172424187617,0.005138680130008607,0.004723609782595859,0.07168458781362007,0.06872852233676975,32.9476,17.222500000000004,5.74,4.15,28,28,35,34,San Francisco Giants,San Francisco Giants,California,139540000,119540000,17768.890000000003,33966.490000000005,133.3,184.3,900,1024,625,1024,25,32,30,32,162,162,Barry Zito,121,64,11,8,23,23,208,208,23,23,SP,SP,0.4691358024691358,0.5802469135802469,0,0,0,0,7396,12996,86,114,20000000,19000000,20000000,19000000,20000000,19000000,0.1296,120.56040000000002,0.36,10.98,80750000,4800000,126000000,126000000,76,94,6.200100000000001,0.004900000000000001,-2.49,0.07,2.8899999999999997,1.9320999999999997,1.7,1.39,7,7,2916,4900,54,70,25,225,5,15,16.811242831518264,16.811242831518264,16.811242831518264
OAK,OAK,No,6.4,6.4,2013,2015,2015,2010,2010,4,4,2601,841,51,29,250000,250000,3,3,5,5,1024,121,900,100,30,10,32,11,4.7981859410430845,12.755102040816327,2.1904761904761907,3.5714285714285716,0.002724824429552445,0.0004938271604938272,0.05219985085756898,0.022222222222222223,0.01307421426968928,0.006298815822625346,0.114342530449913,0.07936507936507936,36.6025,6.604899999999999,6.05,2.57,21,21,25,24,Oakland Athletics,Oakland Athletics,California,12350000,6850000,1998.0900000000001,1225.0,44.7,35.0,256,36,25,36,5,6,16,6,162,162,Brett Anderson,16,4,4,2,15,15,230,230,25,24,SP,SP,0.5925925925925926,0.5802469135802469,9,0,3,0,2116,625,46,25,5750000,3250000,5500000,3000000,5750000,3250000,0.0,0.0,0.0,0.0,3000000,15414066,12500000,12500000,96,94,0.39690000000000003,0.8464,-0.63,0.92,2.5921000000000003,1.0609,1.61,1.03,9,9,441,49,21,7,1,16,1,4,15.564710412773533,15.520258650202699,15.564710412773533
NYY,NYY,No,6.6,6.6,2013,2016,2016,2009,2009,7,7,50176,33856,224,184,1285714,1285714,8,9,2,2,14884,7921,12544,5625,112,75,122,89,7.248520710059172,20.045971074380166,2.6923076923076925,4.4772727272727275,0.0011715930420961005,0.0005975308641975309,0.034228541337546076,0.024444444444444446,0.008492316429394813,0.011978086419753085,0.09215376513954714,0.10944444444444444,22.8484,11.424399999999999,4.78,3.38,28,28,32,31,New York Yankees,New York Yankees,New York,150285714,127285714,44521.0,40000.0,211.0,200.0,1024,784,1024,784,32,28,32,28,162,162,C.C. Sabathia,169,36,13,6,40,40,300,300,50,50,SP,SP,0.5246913580246914,0.5864197530864198,0,0,0,0,30625,38809,175,197,24285714,24285714,23000000,23000000,24285714,24285714,18.232899999999997,1650.7969000000003,4.27,40.63,64000000,9100000,161000000,161000000,85,95,0.0001,11.289599999999998,-0.01,3.36,1.8769000000000002,1.2995999999999999,1.37,1.14,27,27,4225,1936,65,44,196,225,14,15,17.005398834194516,16.951004773893423,17.005398834194516
KC,LAA,No,6.2,6.2,2013,2014,2014,2009,2009,4,4,36100,27225,190,165,0,0,5,4,2,5,7225,11881,5776,10404,76,102,85,109,9.965782391387927,4.7538296156947055,3.156862745098039,2.180327868852459,0.0007212576337259071,0.0014498886379541182,0.026856240126382307,0.038077403245942575,0.007187896625839768,0.006892523546565544,0.08478146392838336,0.08302122347066167,10.497600000000002,26.625600000000002,3.24,5.16,26,26,30,29,Kansas City Royals,Los Angeles Angels,Missouri,44236000,31236000,44521.0,31684.0,211.0,178.0,1024,900,1024,900,32,30,32,30,162,162,Ervin Santana,100,169,10,13,2,1,175,175,7,10,SP,SP,0.5308641975308642,0.5493827160493827,0,0,0,0,25921,17689,161,133,13000000,11200000,13000000,11200000,13000000,11200000,2818.5481000000004,2.8560999999999996,53.09,1.69,26100000,321150000,30000000,30000000,86,89,8.468100000000002,1.1664,2.91,-1.08,1.2995999999999999,1.6129,1.14,1.27,1,1,2601,3721,51,61,81,81,9,9,16.38045991542581,16.38045991542581,16.38045991542581
CHW,CHW,No,6.4,6.4,2013,2014,2014,2009,2009,4,4,729,27556,27,166,0,0,5,1,2,2,225,7056,196,6400,14,80,15,84,4.340277777777779,5.224489795918367,2.0833333333333335,2.2857142857142856,0.003010682277054273,0.001736111111111111,0.05486968449931413,0.041666666666666664,0.013067197383048058,0.009070294784580497,0.11431184270690442,0.09523809523809523,26.832399999999996,18.4041,5.18,4.29,25,25,30,29,Chicago White Sox,Chicago White Sox,Illinois,30626000,21126000,590.49,28224.0,24.3,168.0,25,841,25,841,5,29,5,29,162,162,Gavin Floyd,16,121,4,11,6,6,235,235,9,9,RP,RP,0.3888888888888889,0.5246913580246914,0,0,0,0,625,20736,25,144,9500000,7000000,9500000,7000000,9500000,7000000,0.0,0.0,0.0,0.0,14800000,900000,15500000,15500000,63,85,0.0004,4.928400000000001,-0.02,2.22,2.5600000000000005,1.8496000000000004,1.6,1.36,3,3,144,3969,12,63,0,144,0,12,16.06680235657077,16.06680235657077,16.06680235657077
MIA,DET,No,6.5,6.5,2013,0,0,2010,2010,4,4,13456,2500,116,50,0,0,12,3,2,1,3025,1024,2401,729,49,27,55,32,2.033264746227709,5.0625,1.4259259259259258,2.25,0.0025854639471416265,0.0010447913478216508,0.05084745762711865,0.03232323232323232,0.0052569326963658085,0.005289256198347107,0.07250470809792843,0.07272727272727272,13.987600000000002,19.5364,3.74,4.42,18,18,22,21,Miami Marlins,Detroit Tigers,Florida,4700000,3525000,13924.0,3025.0,118.0,55.0,400,100,400,100,20,10,20,10,162,162,Jacob Turner,64,25,8,5,2,11,215,215,2,14,RP,RP,0.382716049382716,0.5432098765432098,0,0,0,0,5929,1296,77,36,1175000,1175000,1175000,1175000,1175000,1175000,0.0,0.0,0.0,0.0,7675000,221000000,5500000,5500000,62,88,2.0736,0.0361,1.44,-0.19,2.0736,1.44,1.44,1.2,2,4,2916,256,54,16,9,4,3,2,13.976778705560397,13.976778705560397,13.976778705560397
KC,TB,No,6.3,6.3,2013,2015,2015,2008,2008,4,4,46225,43681,215,209,0,0,5,4,2,2,6724,10609,6400,7921,80,89,82,103,8.30795847750865,14.78269916765755,2.8823529411764706,3.8448275862068964,0.0010914415360194745,0.00080102285379874,0.03303697225866006,0.028302347142926856,0.009067650961878058,0.01184127987412531,0.0952242141573143,0.10881764504952912,9.9225,12.3904,3.15,3.52,26,26,31,30,Kansas City Royals,Tampa Bay Rays,Missouri,27594900,17344900,52303.689999999995,51847.28999999999,228.7,227.7,1156,1089,1156,1089,34,33,34,33,162,162,James Shields,81,100,9,10,2,1,215,215,7,3,SP,SP,0.5308641975308642,0.5555555555555556,0,0,0,0,38416,49729,196,223,10250000,7500000,10250000,7500000,10250000,7500000,6794.7049000000015,6305.9481,82.43,79.41,26100000,15950000,11250000,11250000,86,90,18.6624,6.5024999999999995,4.32,2.55,1.5376,1.3688999999999998,1.24,1.17,1,0,4624,3364,68,58,169,225,13,15,16.14278826354869,16.14278826354869,16.14278826354869
