Acronimo_t,Acronimo_t_1,Altura_t,Altura_t_1,Anio_de_agente_libre_t,Anio_de_agente_libre_t_1,Anio_t,Anios_de_contrato_t,Anios_de_contrato_t_1,Antiguedad_t,Antiguedad_t_1,Bateos_en_contra_2_t,Bateos_en_contra_2_t_1,Bateos_en_contra_t,Bateos_en_contra_t_1,Bono_por_firma_t,Bono_por_firma_t_1,Cantidad_agentes_libres_t,Cantidad_agentes_libres_t_1,Cantidad_de_equipos_t,Cantidad_de_equipos_t_1,Carreras_en_contra_2_t,Carreras_en_contra_2_t_1,Carreras_en_contra_t,Carreras_en_contra_t_1,Carreras_ganadas_2_t,Carreras_ganadas_2_t_1,Carreras_ganadas_t,Carreras_ganadas_t_1,Comando_2_t,Comando_2_t_1,Comando_t,Comando_t_1,Control_2_t,Control_2_t_1,Control_t,Control_t_1,Dominio_2_t,Dominio_2_t_1,Dominio_t,Dominio_t_1,ERA_2_t,ERA_2_t_1,ERA_t,ERA_t_1,Edad_al_firmar_t,Edad_al_firmar_t_1,Edad_t,Equipo_t,Equipo_t_1,Estado_t,Ganancias_t,Ganancias_t_1,Inning_pitched_2_t,Inning_pitched_2_t_1,Inning_pitched_t,Inning_pitched_t_1,Juegos_iniciados_t,Juegos_iniciados_t_1,Juegos_t,Juegos_t_1,Juegos_totales_t,Juegos_totales_t_1,Jugador,Losses_2_t,Losses_2_t_1,Losses_t,Losses_t_1,Pago_efectivo_t,Pago_efectivo_t_1,Pennants_won_t,Pennants_won_t_1,Peso_t,Peso_t_1,Playoffs_t,Playoffs_t_1,Posicion_t,Posicion_t_1,Promedio_victorias_t,Promedio_victorias_t_1,Saves_2_t,Saves_2_t_1,Saves_t,Saves_t_1,Strike_outs_2_t,Strike_outs_2_t_1,Strike_outs_t,Strike_outs_t_1,Sueldo_ajustado_t,Sueldo_ajustado_t_1,Sueldo_base_t,Sueldo_base_t_1,Sueldo_porcentual_t,Sueldo_porcentual_t_1,Sueldo_regular_t,Sueldo_regular_t_1,TVS_2_t,TVS_2_t_1,TVS_t,TVS_t_1,Valor_contrato_promedio_t,Valor_contrato_promedio_t_1,Valor_contrato_total_t,Valor_contrato_total_t_1,Valor_del_contrato_t,Valor_del_contrato_t_1,Victorias_t,Victorias_t_1,WAR_2_t,WAR_2_t_1,WAR_t,WAR_t_1,WHIP_2_t,WHIP_2_t_1,WHIP_t,WHIP_t_1,WS_ganadas_t,WS_ganadas_t_1,Walks_2_t,Walks_2_t_1,Walks_t,Walks_t_1,Wins_2_t,Wins_2_t_1,Wins_t,Wins_t_1,ln_Sueldo_ajustado_t,ln_Sueldo_base_t,ln_Sueldo_regular_t
ATL,ATL,6.0,6.0,2025,0,2020,1,1,0,0,225,1296,15,36,0,0,7,6,1,1,9,529,3,23,4,529,2,23,7.111111111111111,2.3156899810964084,2.6666666666666665,1.5217391304347827,0.002123638216993353,0.0076073852899053735,0.04608294930875576,0.08722032612817596,0.015101427320841625,0.017616345898174075,0.12288786482334871,0.13272658323852865,0.6889,49.843599999999995,0.83,7.06,26,25,26,Atlanta Braves,Atlanta Braves,Georgia,2274183,2061220,470.89,858.49,21.7,29.3,0,0,22,36,60,161,A.J. Minter,1,16,1,4,212963,575000,18,18,215,215.0,26,25,RP,RP,0.5833333333333334,0.6024844720496895,0,25,0,5,576,1225,24,35,212963,374011,575000,575000,0.003,0.003,575000,575000,3891.2644000000005,0.0,62.38,0.0,575000,575000,95750000,52210000,575000,575000,35,97,1.3456,1.3834999818255351,1.16,1.1762227602905562,1.2321000000000002,4.040099999999999,1.11,2.01,3,3,81,529,9,23,1,9,1,3,12.268873720682233,13.262125319779487,13.262125319779487
WSH,WSH,6.3,6.3,2021,0,2020,1,1,1,1,4,25,2,5,0,0,10,7,1,1,4,16,2,4,4,16,2,4,0.25,0.0625,0.5,0.25,0.01708744499978641,0.03734042801465612,0.13071895424836602,0.1932367149758454,0.0042718612499466025,0.0023337767509160074,0.06535947712418301,0.04830917874396135,116.64000000000001,238.0849,10.8,15.43,31,30,32,Washington Nationals,Washington Nationals,Washington DC,1539138,1498643,2.8899999999999997,5.289999999999999,1.7,2.3,0,0,2,3,62,162,Aaron Barrett,0,0,0,0,40495,77584,1,1,230,230.0,6,6,RP,RP,0.4193548387096774,0.5740740740740741,0,0,0,0,1,1,1,1,40495,77584,563500,555000,0.001,0.001,563500,555000,0.0,0.0,0.0,0.0,563500,555000,316750000,184550000,563500,555000,26,93,0.38616860499155536,1.3834999818255351,0.6214246575342464,1.1762227602905562,5.76,14.8996,2.4,3.86,1,1,4,16,2,4,0,0,0,0,10.60893378868309,13.241922612461968,13.241922612461968
CHW,CHW,6.3,6.3,2027,2025,2020,5,1,0,0,25,1849,5,43,0,0,5,3,2,2,1,289,1,17,1,256,1,16,7.839999999999999,6.25,2.8,2.5,0.003568527868061533,0.0015515298205243634,0.05973715651135006,0.03938946331856228,0.027977258485602414,0.00969706137827727,0.16726403823178015,0.0984736582964057,0.9216,4.536899999999999,0.96,2.13,26,25,26,Chicago White Sox,Chicago White Sox,Illinois,1421731,1051361,86.49000000000001,4583.29,9.3,67.7,0,0,9,58,60,161,Aaron Bummer,0,0,0,0,370370,462520,6,6,215,215.0,10,9,RP,RP,0.5833333333333334,0.4472049689440994,0,1,0,1,196,3600,14,60,370370,462520,1000000,555000,0.007,0.005,1000000,555000,0.0,9085.902399999999,0.0,95.32,3200000,555000,151500000,24500000,16000000,555000,35,72,0.12249999999999998,7.5625,0.35,2.75,1.1449,0.9801,1.07,0.99,3,3,25,576,5,24,1,0,1,0,12.822257784953491,13.815510557964274,13.815510557964274
PHI,PHI,6.2,6.2,2024,2024,2020,4,4,2,1,2916,30976,54,176,500000,500000,4,4,2,2,961,8281,31,91,676,7569,26,87,17.421550094517958,8.19390625,4.173913043478261,2.8625,0.0012846700325021521,0.001930648400512552,0.03584229390681004,0.043939144285165044,0.022380943326162257,0.015819551995512306,0.14960261804581582,0.12577580051628495,10.758399999999998,14.9769,3.28,3.87,25,25,27,Philadelphia Phillies,Philadelphia Phillies,Pennsylvania,14106353,11143391,5083.69,40925.29000000001,71.3,202.3,11,34,12,34,60,162,Aaron Nola,25,49,5,7,2962962,6000000,7,7,195,195.0,14,14,SP,SP,0.4666666666666667,0.5,0,0,0,0,9216,52441,96,229,3462963,4500000,8000000,4000000,0.047,0.028,8500000,4500000,4923.8289,5527.922499999999,70.17,74.35,11250000,11250000,134350000,403000000,45000000,45000000,28,81,4.840000000000001,13.0321,2.2,3.61,1.1664,1.5876000000000001,1.08,1.26,2,2,529,6400,23,80,25,144,5,12,15.057635138949774,15.89495209964411,15.955576721460545
LAD,LAD,6.3,6.3,2025,2025,2020,1,1,1,1,121,2304,11,48,0,0,4,3,5,5,4,484,2,22,4,400,2,20,10.5625,7.91015625,3.25,2.8125,0.0005471769091344344,0.0010447913478216508,0.023391812865497075,0.03232323232323232,0.005779556102732464,0.008264462809917356,0.07602339181286549,0.09090909090909091,0.9025,10.6929,0.95,3.27,30,29,31,Los Angeles Dodgers,Los Angeles Dodgers,California,1066979,876645,361.0,3025.0,19.0,55.0,0,0,21,82,59,161,Adam Kolarek,0,9,0,3,190334,183915,25,25,215,215.0,34,33,RP,RP,0.711864406779661,0.6521739130434783,1,1,1,1,169,2025,13,45,190334,183915,583500,560800,0.002,0.001,583500,560800,7754.5636,2560.36,88.06,50.6,583500,560800,15813500,85000000,583500,560800,42,105,0.6241000000000001,0.22089999999999999,0.79,0.47,0.6241000000000001,1.3456,0.79,1.16,7,6,16,256,4,16,9,36,3,6,12.156535702590874,13.276799730708747,13.276799730708747
PHI,PHI,6.1,6.1,2022,2022,2020,1,1,1,1,196,400,14,20,0,0,4,4,2,2,64,196,8,14,64,169,8,13,7.111111111111111,8.41,2.6666666666666665,2.9,0.0026298487836949372,0.001399594033754569,0.05128205128205128,0.03741114852225963,0.018701146906275116,0.011770585823875924,0.13675213675213677,0.10849233071455293,30.6916,15.5236,5.54,3.94,29,28,30,Philadelphia Phillies,Philadelphia Phillies,Pennsylvania,3661827,3078494,169.0,882.0899999999999,13.0,29.7,0,0,17,40,60,162,Adam Morgan,1,9,1,3,583333,1100000,7,7,200,200.0,14,14,RP,RP,0.4666666666666667,0.5,0,0,0,0,256,841,16,29,583333,1100000,1575000,1100000,0.008,0.007,1575000,1100000,0.0,0.0,0.0,0.0,1575000,1100000,134350000,403000000,1575000,1100000,28,81,0.0025000000000000005,0.0961,0.05,0.31,2.3716,1.0201,1.54,1.01,2,2,36,100,6,10,0,9,0,3,13.276513485802852,14.269765830241871,14.269765830241871
NYY,NYY,6.5,6.5,2022,2022,2020,3,3,1,0,400,2209,20,47,1000000,1000000,2,5,2,2,144,289,12,17,144,196,12,14,7.716049382716049,4.840000000000001,2.7777777777777777,2.2,0.002986055122577562,0.004493739644914244,0.05464480874316939,0.06703536115300822,0.023040548785320695,0.021749699881384938,0.15179113539769276,0.14747779453661808,34.692099999999996,3.61,5.89,1.9,33,33,34,New York Yankees,New York Yankees,New York,25273958,22310996,334.89000000000004,4395.69,18.3,66.3,0,0,24,73,60,162,Adam Ottavino,9,25,3,5,2962962,8000000,40,40,246,246.0,56,55,RP,RP,0.55,0.6358024691358025,0,4,0,2,625,7744,25,88,3962963,9000000,8000000,8000000,0.035,0.04,9000000,9000000,4.7089,3210.3555999999994,2.17,56.66,9000000,9000000,336500000,124555000,27000000,27000000,33,103,0.38616860499155536,5.1529,0.6214246575342464,2.27,2.4964000000000004,1.7161000000000002,1.58,1.31,27,27,81,1600,9,40,4,36,2,6,15.192502535767646,15.89495209964411,16.012735135300492
MIL,MIL,6.3,6.3,2025,2025,2020,1,1,1,1,3969,10201,63,101,0,0,9,5,1,1,1681,2401,41,49,1089,2116,33,46,4.390022675736962,9.999269539810081,2.0952380952380953,3.1621621621621623,0.001736111111111111,0.0013643572423834658,0.041666666666666664,0.036937206748527504,0.007621567145376668,0.01364257581518427,0.0873015873015873,0.11680143755615455,28.09,13.838400000000002,5.3,3.72,26,25,27,Milwaukee Brewers,Milwaukee Brewers,Wisconsin,1276289,1060882,3136.0,12387.689999999999,56.0,111.3,11,18,12,35,60,161,Adrian Houser,36,49,6,7,215407,450584,1,1,222,222.0,7,6,SP,SP,0.4833333333333333,0.5527950310559007,0,0,0,0,1936,13689,44,117,215407,450584,581600,555000,0.005,0.003,581600,555000,13.3225,2746.8080999999997,3.65,52.41,581600,555000,49875000,31900000,581600,555000,29,89,0.38616860499155536,4.120899999999999,0.6214246575342464,2.03,2.25,1.5376,1.5,1.24,0,0,441,1369,21,37,1,36,1,6,12.280284540855124,13.273538205201447,13.273538205201447
CHC,CHC,6.4,6.4,2026,0,2020,1,1,0,0,2809,961,53,31,0,0,4,5,2,2,961,121,31,11,961,121,31,11,5.861495844875346,14.578512396694217,2.4210526315789473,3.8181818181818183,0.0011482754763124609,0.0011526444139612862,0.033886213661494566,0.033950617283950615,0.006730611933177748,0.01680384087791495,0.08204030675940789,0.12962962962962962,20.070400000000003,7.5625,4.48,2.75,28,27,28,Chicago Cubs,Chicago Cubs,Illinois,934746,723820,3881.2899999999995,1296.0,62.3,36.0,11,4,12,9,58,162,Alec Mills,16,0,4,0,210926,134280,17,17,205,205.0,21,20,SP,RP,0.5517241379310345,0.5185185185185185,0,1,0,1,2116,1764,46,42,210926,134280,569500,555000,0.002,0.001,569500,555000,4860.8784,0.0,69.72,0.0,569500,555000,2650000,49325000,569500,555000,32,84,0.0576,0.9409,0.24,0.97,1.3224999999999998,1.3688999999999998,1.15,1.17,3,3,361,121,19,11,25,1,5,1,12.259262640044279,13.252514061869373,13.252514061869373
BAL,BAL,6.3,6.3,2022,2022,2020,4,4,2,1,2704,441,52,21,0,0,2,1,1,1,729,256,27,16,625,225,25,15,4.45679012345679,16.0,2.111111111111111,4.0,0.0014623677928117312,0.00032641097263125593,0.03824091778202677,0.018066847335140017,0.006517466335864628,0.005222575562100095,0.08073082642872317,0.07226738934056007,18.49,119.90249999999999,4.3,10.95,30,30,32,Baltimore Orioles,Baltimore Orioles,Maryland,36095287,31513100,2735.2899999999995,151.29000000000002,52.3,12.3,10,3,10,3,62,161,Alex Cobb,25,4,5,2,4582187,9500000,7,7,205,205.0,14,14,SP,SP,0.4354838709677419,0.3354037267080745,0,0,0,0,1444,64,38,8,4582187,9500000,14000000,14000000,0.195,0.13,14000000,14000000,1190.9400999999998,0.0,34.51,0.0,14250000,14250000,3800000,800000,57000000,57000000,27,54,1.2768999999999997,1.3834999818255351,1.13,1.1762227602905562,1.7956000000000003,3.4969000000000006,1.34,1.87,3,3,324,4,18,2,4,0,2,0,15.337686953035341,16.454567887579532,16.454567887579532
