Acronimo_t,Acronimo_t_1,Altura_t,Altura_t_1,Anio_de_agente_libre_t,Anio_de_agente_libre_t_1,Anio_t,Anios_de_contrato_t,Anios_de_contrato_t_1,Antiguedad_t,Antiguedad_t_1,Bateos_2_t,Bateos_2_t_1,Bateos_t,Bateos_t_1,Bono_por_firma_t,Bono_por_firma_t_1,Cantidad_agentes_libres_t,Cantidad_agentes_libres_t_1,Cantidad_de_equipos_t,Cantidad_de_equipos_t_1,Carreras_2_t,Carreras_2_t_1,Carreras_ganadas_2_t,Carreras_ganadas_2_t_1,Carreras_ganadas_t,Carreras_ganadas_t_1,Carreras_t,Carreras_t_1,Comando_2_t,Comando_2_t_1,Comando_t,Comando_t_1,Control_2_t,Control_2_t_1,Control_t,Control_t_1,Dominio_2_t,Dominio_2_t_1,Dominio_t,Dominio_t_1,ERA_2_t,ERA_2_t_1,ERA_t,ERA_t_1,Edad_al_firmar_t,Edad_al_firmar_t_1,Edad_t,Equipo_t,Equipo_t_1,Estado_t,Ganancias_t,Ganancias_t_1,Inning_pitched_2_t,Inning_pitched_2_t_1,Inning_pitched_t,Inning_pitched_t_1,Juegos_iniciados_t,Juegos_iniciados_t_1,Juegos_t,Juegos_t_1,Juegos_totales_t,Juegos_totales_t_1,Jugador,Losses_2_t,Losses_2_t_1,Losses_t,Losses_t_1,Pago_efectivo_t,Pago_efectivo_t_1,Pennants_won_t,Pennants_won_t_1,Peso_t,Peso_t_1,Playoffs_t,Playoffs_t_1,Porcentaje_juegos_t,Porcentaje_juegos_t_1,Posicion_t,Posicion_t_1,Promedio_victorias_t,Promedio_victorias_t_1,Saves_2_t,Saves_2_t_1,Saves_t,Saves_t_1,Strike_outs_2_t,Strike_outs_2_t_1,Strike_outs_t,Strike_outs_t_1,Sueldo_ajustado_t,Sueldo_ajustado_t_1,Sueldo_base_t,Sueldo_base_t_1,Sueldo_porcentual_t,Sueldo_porcentual_t_1,Sueldo_regular_t,Sueldo_regular_t_1,TVS_2_t,TVS_2_t_1,TVS_t,TVS_t_1,Valor_contrato_promedio_t,Valor_contrato_promedio_t_1,Valor_contrato_total_t,Valor_contrato_total_t_1,Valor_del_contrato_t,Valor_del_contrato_t_1,Victorias_t,Victorias_t_1,WAR_2_t,WAR_2_t_1,WAR_t,WAR_t_1,WHIP_2_t,WHIP_2_t_1,WHIP_t,WHIP_t_1,WS_ganadas_t,WS_ganadas_t_1,Walks_2_t,Walks_2_t_1,Walks_t,Walks_t_1,Wins_2_t,Wins_2_t_1,Wins_t,Wins_t_1,ln_Sueldo_ajustado_t,ln_Sueldo_base_t,ln_Sueldo_regular_t
ATL,ATL,6.0,6.0,2025,2025,2021,1,1,0,0,1936,225,44,15,0,0,6,7,1,1,729,9,484,4,22,2,27,3,8.1225,7.111111111111111,2.85,2.6666666666666665,0.14623677928117315,0.17201469557646162,0.38240917782026773,0.4147465437788019,1.1878082397113288,1.2232156129881715,1.089866156787763,1.1059907834101383,14.2884,0.6889,3.78,0.83,27,26,27,Atlanta Braves,Atlanta Braves,Georgia,3574183,2274183,2735.2899999999995,470.89,52.3,21.7,0,0,61,22,161,60,A.J. Minter,36,1,6,1,1300000,212963,18,18,215.0,215,27,26,0.37888198757763975,0.36666666666666664,RP,RP,0.546583850931677,0.5833333333333334,0,0,0,0,3249,576,57,24,1300000,212963,1300000,575000,0.009,0.003,1300000,575000,1085.7025,3891.2644000000005,32.95,62.38,1300000,575000,94240000,95750000,1300000,575000,88,35,0.0961,1.3456,0.31,1.16,1.4884,1.2321000000000002,1.22,1.11,4,3,400,81,20,9,9,1,3,1,14.077874822431765,14.077874822431765,14.077874822431765
CHW,CHW,6.3,6.3,2027,2027,2021,5,5,1,0,1764,25,42,5,0,0,2,5,2,2,784,1,484,1,22,1,28,1,6.6884661117717,7.839999999999999,2.586206896551724,2.8,0.26532563121314706,0.28905075731298413,0.5150976909413855,0.5376344086021505,1.7746214929535697,2.2661579373337957,1.3321492007104796,1.5053763440860215,12.3904,0.9216,3.52,0.96,26,26,27,Chicago White Sox,Chicago White Sox,Illinois,3421731,1421731,3169.6899999999996,86.49000000000001,56.3,9.3,0,0,62,9,162,60,Aaron Bummer,25,0,5,0,2000000,370370,6,6,215.0,215,11,10,0.38271604938271603,0.15,RP,RP,0.5740740740740741,0.5833333333333334,4,0,2,0,5625,196,75,14,2000000,370370,2000000,1000000,0.014,0.007,2000000,1000000,2179.9561,0.0,46.69,0.0,3200000,3200000,57000000,151500000,16000000,16000000,93,35,0.24009999999999998,0.12249999999999998,0.49,0.35,1.5876000000000001,1.1449,1.26,1.07,3,3,841,25,29,5,25,1,5,1,14.508657738524219,14.508657738524219,14.508657738524219
PHI,PHI,6.2,6.2,2024,2024,2021,4,4,3,2,27225,2916,165,54,500000,500000,6,4,2,2,9025,961,8649,676,93,26,95,31,32.69493754109139,17.421550094517958,5.717948717948718,4.173913043478261,0.04658143988406398,0.1040582726326743,0.21582733812949642,0.3225806451612903,1.5229772675835753,1.8128564094191424,1.2340896513558386,1.3464235624123422,21.436899999999998,10.758399999999998,4.63,3.28,25,25,28,Philadelphia Phillies,Philadelphia Phillies,Pennsylvania,25856353,14106353,32652.489999999994,5083.69,180.7,71.3,32,11,33,12,162,60,Aaron Nola,81,25,9,5,11750000,2962962,7,7,195.0,195,14,14,0.2037037037037037,0.2,SP,SP,0.5061728395061729,0.4666666666666667,0,0,0,0,49729,9216,223,96,12250000,3462963,11750000,8000000,0.062,0.047,12250000,8500000,3152.8224999999998,4923.8289,56.15,70.17,11250000,11250000,158800000,134350000,45000000,45000000,82,28,5.9049000000000005,4.840000000000001,2.43,2.2,1.2768999999999997,1.1664,1.13,1.08,2,2,1521,529,39,23,81,25,9,5,16.32103649495501,16.279363798554442,16.32103649495501
CHC,PHI,6.1,6.1,2022,2022,2021,1,1,1,1,484,196,22,14,0,0,10,4,2,2,225,64,144,64,12,8,15,8,5.4444444444444455,7.111111111111111,2.3333333333333335,2.6666666666666665,0.22496836382383725,0.21301775147928997,0.4743083003952569,0.46153846153846156,1.2248277585964475,1.5147928994082842,1.1067193675889329,1.2307692307692308,18.147599999999997,30.6916,4.26,5.54,30,29,31,Chicago Cubs,Philadelphia Phillies,Illinois,4126371,3661827,640.09,169.0,25.3,13.0,0,0,34,17,162,60,Adam Morgan,1,1,1,1,464544,583333,17,7,200.0,200,21,14,0.20987654320987653,0.2833333333333333,RP,RP,0.4382716049382716,0.4666666666666667,4,0,2,0,784,256,28,16,464544,583333,900000,1575000,0.003,0.008,900000,1575000,0.0,0.0,0.0,0.0,900000,1575000,24500000,134350000,900000,1575000,71,28,1.5011196963456546,0.0025000000000000005,1.22520190023753,0.05,1.7956000000000003,2.3716,1.34,1.54,3,2,144,36,12,6,4,0,2,0,13.048811558261155,13.710150042306449,13.710150042306449
CHC,CHC,6.1,6.1,2027,2026,2021,1,1,1,1,12544,144,112,12,0,0,10,4,2,2,4356,64,4096,49,64,7,66,8,14.173010380622838,4.976331360946745,3.764705882352941,2.230769230769231,0.07316228800499225,0.3725010469703982,0.27048528241845665,0.6103286384976525,1.036929867364873,1.8536886420242895,1.0182975338106603,1.3615023474178403,20.9764,8.7025,4.58,2.95,25,24,26,Chicago Cubs,Chicago Cubs,Illinois,646332,104076,15800.490000000002,453.69000000000005,125.7,21.3,21,4,30,6,162,58,Adbert Alzolay,169,1,13,1,542256,37380,17,17,208.0,208,21,21,0.18518518518518517,0.10344827586206896,SP,SP,0.4382716049382716,0.5517241379310345,1,0,1,0,16384,841,128,29,542256,37380,573000,563500,0.004,0.0,573000,563500,1839.5521,3953.8944,42.89,62.88,573000,563500,24500000,2650000,573000,563500,71,32,1.0201,0.24009999999999998,1.01,0.49,1.3456,1.3688999999999998,1.16,1.17,3,3,1156,169,34,13,25,1,5,1,13.20349349363482,13.258640995696876,13.258640995696876
MIL,MIL,6.3,6.3,2025,2025,2021,1,1,1,1,13924,3969,118,63,0,0,4,9,1,1,3721,1681,2601,1089,51,33,61,41,2.691650390625,4.390022675736962,1.640625,2.0952380952380953,0.20227869717901217,0.140625,0.4497540407589599,0.375,0.5444635342770042,0.6173469387755102,0.7378777231201686,0.7857142857142857,10.4329,28.09,3.23,5.3,27,26,28,Milwaukee Brewers,Milwaukee Brewers,Wisconsin,1860389,1276289,20249.290000000005,3136.0,142.3,56.0,26,11,28,12,162,60,Adrian Houser,36,36,6,6,584100,215407,1,1,222.0,222,8,7,0.1728395061728395,0.2,SP,SP,0.5864197530864198,0.4833333333333333,0,0,0,0,11025,1936,105,44,584100,215407,584100,581600,0.006,0.005,584100,581600,6648.771600000001,13.3225,81.54,3.65,584100,581600,45400000,49875000,584100,581600,95,29,4.120899999999999,0.38616860499155536,2.03,0.6214246575342464,1.6384,2.25,1.28,1.5,0,0,4096,441,64,21,100,1,10,1,13.277827480028401,13.277827480028401,13.277827480028401
CHC,CHC,6.4,6.4,2026,2026,2021,1,1,0,0,18769,2809,137,53,0,0,10,4,2,2,5625,961,4489,961,67,31,75,31,6.547577854671279,5.861495844875346,2.5588235294117645,2.4210526315789473,0.08163265306122448,0.09301031358130932,0.2857142857142857,0.30497592295345105,0.5344961514017371,0.5451795665873975,0.7310924369747899,0.738362760834671,25.704900000000002,20.070400000000003,5.07,4.48,29,28,29,Chicago Cubs,Chicago Cubs,Illinois,1534746,934746,14161.0,3881.2899999999995,119.0,62.3,20,11,33,12,162,58,Alec Mills,49,16,7,4,600000,210926,17,17,205.0,205,21,21,0.2037037037037037,0.20689655172413793,SP,SP,0.4382716049382716,0.5517241379310345,1,0,1,0,7569,2116,87,46,600000,210926,600000,569500,0.004,0.002,600000,569500,414.93690000000004,4860.8784,20.37,69.72,600000,569500,24500000,2650000,600000,569500,71,32,1.5011196963456546,0.0576,1.22520190023753,0.24,2.0736,1.3224999999999998,1.44,1.15,3,3,1156,361,34,19,36,25,6,5,13.304684934198283,13.304684934198283,13.304684934198283
LAA,BAL,6.3,6.3,2022,2022,2021,4,4,3,2,7225,2704,85,52,0,0,6,2,5,1,2116,729,1521,625,39,25,46,27,8.819100091827364,4.45679012345679,2.9696969696969697,2.111111111111111,0.12510209778641662,0.11845179121775022,0.3536977491961415,0.3441682600382409,1.1032879220759828,0.5279147732050349,1.0503751339764202,0.7265774378585086,14.137599999999999,18.49,3.76,4.3,30,30,33,Los Angeles Angels,Baltimore Orioles,California,51095287,36095287,8704.89,2735.2899999999995,93.3,52.3,18,10,18,10,162,62,Alex Cobb,9,25,3,5,5000000,4582187,1,7,205.0,205,10,14,0.1111111111111111,0.16129032258064516,SP,SP,0.4753086419753086,0.4354838709677419,0,0,0,0,9604,1444,98,38,5000000,4582187,15000000,14000000,0.028,0.195,15000000,14000000,3255.8436,1190.9400999999998,57.06,34.51,14250000,14250000,12625000,3800000,57000000,57000000,77,27,2.6569,1.2768999999999997,1.63,1.13,1.5876000000000001,1.7956000000000003,1.26,1.34,1,3,1089,324,33,18,64,4,8,2,15.424948470398375,16.523560759066484,16.523560759066484
STL,STL,6.4,6.4,2024,2024,2021,1,1,0,0,2116,196,46,14,0,0,2,2,2,2,1024,100,676,49,26,7,32,10,3.3376479289940826,3.719387755102041,1.8269230769230769,1.9285714285714286,0.5172852472313569,0.5050374913035637,0.719225449515906,0.7106598984771574,1.7265160341209307,1.8784302610219281,1.313969571230982,1.3705583756345179,10.497600000000002,10.240000000000002,3.24,3.2,26,25,26,St. Louis Cardinals,St. Louis Cardinals,Missouri,3285131,2385131,5227.29,388.09,72.3,19.7,0,1,70,15,161,58,Alexander Reyes,64,1,8,1,900000,171666,23,23,220.0,220,31,30,0.43478260869565216,0.25862068965517243,RP,RP,0.5527950310559007,0.5172413793103449,841,1,29,1,9025,729,95,27,900000,171666,900000,575000,0.006,0.002,900000,575000,6525.4084,0.0,80.78,0.0,900000,575000,17000000,7000000,900000,575000,89,30,0.4096,0.38616860499155536,0.64,0.6214246575342464,1.8496000000000004,2.0164,1.36,1.42,11,11,2704,196,52,14,100,4,10,2,13.710150042306449,13.710150042306449,13.710150042306449
CIN,CIN,6.5,6.5,2024,2024,2021,1,1,1,1,2116,100,46,10,0,0,1,4,2,2,1156,25,1024,25,32,5,34,5,4.42449464922711,13.795918367346939,2.103448275862069,3.7142857142857144,0.36962321286517313,0.14631670100630056,0.6079664570230607,0.3825136612021858,1.635395927552092,2.0185732628624327,1.2788259958071277,1.4207650273224044,36.4816,6.0516,6.04,2.46,28,27,29,Cincinnati Reds,Cincinnati Reds,Ohio,4113478,2613478,2275.2900000000004,334.89000000000004,47.7,18.3,0,0,63,21,163,59,Amir Garrett,16,0,4,0,1500000,220370,10,10,239.0,239,16,16,0.38650306748466257,0.3559322033898305,RP,RP,0.50920245398773,0.5254237288135594,49,1,7,1,3721,676,61,26,1500000,220370,1500000,595000,0.012,0.004,1500000,595000,10.240000000000002,4266.702399999999,3.2,65.32,1500000,595000,1500000,144825000,1500000,595000,83,31,1.5011196963456546,0.2916,1.22520190023753,0.54,2.4649,0.8649000000000001,1.57,0.93,5,5,841,49,29,7,0,1,0,1,14.22097566607244,14.22097566607244,14.22097566607244
