Acronimo,Altura,Anio_x,Anio_y,Anios_contrato,At-bats,At-bats_2,Bateos,Bateos_2,Cantidad de equipos,Cantidad_agentes_libres,Edad,Equipo,Equipo_anterior,Estado,Home-runs,Home-runs_2,Juegos,Juegos totales,Juegos_2,Jugador,OPS,OPS_2,Pennants won,Peso,Playoffs,Porcentaje_bateo,Porcentaje_bateo_2,Porcetnaje_juegos,Porcetnaje_juegos_2,Posicion,Promedio_victorias,RBI,RBI_2,Status,Sueldo,Sueldo_base,Sueldo_regular,TVS,TVS_2,Valor_contrato,Valor_contrato_total,Valor_promedio_contrato,Victorias,WAR,WAR_2,WS ganadas,ln_Sueldo,ln_Sueldo_base,ln_Sueldo_regular
LAA,6.3,2012,8,10,465,216225,114,12996,5,3,38,Los Angeles Angels,STL,California,19,361,117,162,13689,Albert Pujols,0.7,0.48999999999999994,1,235,10,0.245,0.060024999999999995,0.722,0.521284,DH,0.4938271604938271,64,4096,UFA,30000000,27000000,30000000,5.1,26.009999999999998,240000000,42800000,24000000,80,0.51,0.2601,1,17.216707939626428,17.111347423968603,17.216707939626428
KC,6.1,2018,8,1,485,235225,112,12544,2,6,31,Kansas City Royals,KC,Missouri,4,16,140,162,19600,Alcides Escobar,0.593,0.351649,4,185,9,0.231,0.053361000000000006,0.864,0.7464959999999999,SS,0.4938271604938271,34,1156,UFA,3775000,2500000,3775000,8.9,79.21000000000001,2500000,16775000,2500000,80,-2.16,4.6656,2,15.143910940665263,14.73180128983843,15.143910940665263
BAL,6.3,2018,8,4,6,36,1,1,1,2,30,Baltimore Orioles,TB,Maryland,0,0,28,162,784,Alex Cobb,0.333,0.11088900000000002,7,205,14,0.167,0.027889000000000004,0.173,0.029928999999999997,SP,0.2901234567901234,0,0,UFA,14000000,14000000,7500000,13.46,181.1716,57000000,73000000,14250000,47,1.12,1.2544000000000002,3,16.454567887579532,16.454567887579532,15.830413578506539
KC,6.1,2016,8,4,506,256036,124,15376,2,6,34,Kansas City Royals,KC,Missouri,13,169,142,162,20164,Alex Gordon,0.694,0.48163599999999995,4,225,9,0.245,0.060024999999999995,0.877,0.769129,LF,0.4938271604938271,54,2916,UFA,20000000,20000000,20000000,17.53,307.3009,72000000,16775000,18000000,80,2.38,5.6644,2,16.811242831518264,16.811242831518264,16.811242831518264
BAL,6.6,2018,8,2,3,9,0,0,1,2,31,Baltimore Orioles,TEX,Maryland,0,0,30,162,900,Andrew Cashner,0.0,0.0,7,235,14,0.0,0.0,0.185,0.034225,SP,0.2901234567901234,0,0,UFA,9500000,5000000,9500000,10.48,109.83040000000001,16000000,73000000,8000000,47,0.61,0.3721,3,16.06680235657077,15.424948470398375,16.06680235657077
ATL,6.0,2018,8,1,41,1681,1,1,1,4,34,Atlanta Braves,DET,Georgia,0,0,25,162,625,Anibal Sanchez,0.072,0.005183999999999999,18,205,24,0.024,0.000576,0.154,0.023716,SP,0.5555555555555556,0,0,UFA,1000000,1000000,1000000,84.95,7216.5025000000005,2500000,2900000,2500000,90,3.01,9.060099999999998,3,13.815510557964274,13.815510557964274,13.815510557964274
NYM,6.1,2018,8,1,347,120409,85,7225,2,8,31,New York Mets,TEX,New York,3,9,116,162,13456,Austin Jackson,0.624,0.389376,5,198,9,0.245,0.060024999999999995,0.716,0.512656,CF,0.4753086419753086,32,1024,UFA,545000,545000,193380,7.69,59.136100000000006,545000,89635000,545000,77,-1.2,1.44,2,13.208541073645382,13.208541073645382,12.172412444037539
CHC,6.3,2016,8,4,455,207025,139,19321,2,7,37,Chicago Cubs,KC,Illinois,9,81,140,163,19600,Ben Zobrist,0.817,0.6674889999999999,17,210,20,0.306,0.093636,0.859,0.737881,2B,0.5828220858895705,58,3364,UFA,16500000,16000000,16500000,45.59,2078.4481000000005,56000000,215545000,14000000,95,3.27,10.6929,3,16.61887093887081,16.588099280204055,16.61887093887081
ATL,6.7,2015,8,4,29,841,3,9,1,4,34,Atlanta Braves,NYY,Georgia,0,0,15,162,225,Brandon McCarthy,0.276,0.07617600000000001,18,225,24,0.103,0.010608999999999999,0.093,0.008649,SP,0.5555555555555556,2,4,UFA,11500000,10000000,7000000,0.0,0.0,48000000,2900000,12000000,90,-0.28,0.07840000000000001,3,16.25785759333348,16.11809565095832,15.761420707019587
CHC,6.3,2018,8,2,1,1,0,0,2,7,33,Chicago Cubs,LAD,Illinois,0,0,35,163,1225,Brandon Morrow,0.0,0.0,17,205,20,0.0,0.0,0.215,0.046224999999999995,RP,0.5828220858895705,0,0,UFA,9000000,9000000,9000000,0.0,0.0,21000000,215545000,10500000,95,1.44,2.0736,3,16.012735135300492,16.012735135300492,16.012735135300492
