Jugador,Anio_t,Anios_contrato_t,Valor_contrato_t,Valor_promedio_contrato_t,Juegos_t,Juegos_iniciados_t,Inning_pitched_t,Bateos_pitcher_t,Carreras_t,Carreras_ganadas_t,Walks_t,Strike_outs_t,Wins_t,Losses_t,Saves_t,WHIP_t,ERA_t,Equipo_t,ln_Sueldo_base_t,ln_Sueldo_t,ln_Sueldo_regular_t,Dominio_t,Control_t,Comando_t,Juegos_2_t,Juegos_iniciados_2_t,Inning_pitched_2_t,Bateos_pitcher_2_t,Carreras_2_t,Carreras_ganadas_2_t,Walks_2_t,Strike_outs_2_t,Wins_2_t,Losses_2_t,Saves_2_t,WHIP_2_t,ERA_2_t,Control_2_t,Comando_2_t,Anio_t_1,Anios_contrato_t_1,Valor_contrato_t_1,Valor_promedio_contrato_t_1,Juegos_t_1,Juegos_iniciados_t_1,Inning_pitched_t_1,Bateos_pitcher_t_1,Carreras_t_1,Carreras_ganadas_t_1,Walks_t_1,Strike_outs_t_1,Wins_t_1,Losses_t_1,Saves_t_1,WHIP_t_1,ERA_t_1,Equipo_t_1,Dominio_t_1,Control_t_1,Comando_t_1,Juegos_2_t_1,Juegos_iniciados_2_t_1,Inning_pitched_2_t_1,Bateos_pitcher_2_t_1,Carreras_2_t_1,Carreras_ganadas_2_t_1,Walks_2_t_1,Strike_outs_2_t_1,Wins_2_t_1,Losses_2_t_1,Saves_2_t_1,WHIP_2_t_1,ERA_2_t_1,Control_2_t_1,Comando_2_t_1
A.J. Burnett,5,1,8500000,8500000,26,26,164.0,174,64,58,49,143,9,7,0,1.36,3.18,PIT,15.955576721460545,15.955576721460545,15.955576721460545,0.0968834688346883,0.0331978319783197,2.9183673469387754,676,676,26896.0,30276,4096,3364,2401,20449,81,49,0,1.8496000000000004,10.1124,0.0011020960480607,8.516867971678467,4,1,16000000,16000000,34,34,213.7,205,122,109,96,190,8,18,0,1.41,4.59,PHI,0.0987885405292986,0.0499142099516456,1.9791666666666667,1156,1156,45667.69,42025,14884,11881,9216,36100,64,324,0,1.9881,21.0681,0.0024914283550969,3.9171006944444446
Adam Wainwright,11,1,8000000,8000000,34,32,206.3,168,72,70,50,174,17,7,0,1.06,3.05,STL,15.89495209964411,15.89495209964411,15.89495209964411,0.0937146550331232,0.0269294985727365,3.48,1156,1024,42559.69,28224,5184,4900,2500,30276,289,49,0,1.1236000000000002,9.302499999999998,0.000725197893379,12.1104,10,1,5000000,5000000,10,10,65.7,54,25,23,15,54,5,3,0,1.05,3.15,STL,0.091324200913242,0.0253678335870116,3.6,100,100,4316.490000000001,2916,625,529,225,2916,25,9,0,1.1025,9.9225,0.0006435269808983,12.96
Andrew Cashner,8,2,16000000,8000000,30,28,153.0,177,97,90,65,99,5,16,0,1.58,5.29,BAL,15.424948470398375,16.06680235657077,16.06680235657077,0.0718954248366013,0.0472040668119099,1.523076923076923,900,784,23409.0,31329,9409,8100,4225,9801,25,256,0,2.4964000000000004,27.9841,0.0022282239235832,2.3197633136094677,7,1,10000000,10000000,28,28,166.7,156,75,63,64,86,11,11,0,1.32,3.4,TEX,0.0573218689595414,0.0426581350396587,1.34375,784,784,27788.89,24336,5625,3969,4096,7396,121,121,0,1.7424000000000002,11.56,0.0018197164850617,1.8056640625
Anibal Sanchez,9,2,19000000,9500000,30,30,166.0,153,77,71,58,134,11,8,0,1.27,3.85,WSH,15.89495209964411,16.11809565095832,15.60727002719233,0.0896921017402945,0.038821954484605,2.310344827586207,900,900,27556.0,23409,5929,5041,3364,17956,121,64,0,1.6129,14.822500000000002,0.0015071441500047,5.33769322235434,8,1,2500000,2500000,25,24,136.7,106,48,43,42,135,7,6,0,1.08,2.83,ATL,0.1097293343087052,0.0341380151182638,3.2142857142857144,625,576,18686.89,11236,2304,1849,1764,18225,49,36,0,1.1664,8.0089,0.0011654040762148,10.331632653061224
Bartolo Colon,4,2,20000000,10000000,31,31,202.3,218,97,92,30,151,15,13,0,1.23,4.09,NYM,16.012735135300492,16.012735135300492,16.012735135300492,0.082935134838249,0.0164771791069368,5.033333333333333,961,961,40925.29000000001,47524,9409,8464,900,22801,225,169,0,1.5129,16.728099999999998,0.000271497431322,25.334444444444443,3,1,3000000,3000000,30,30,190.3,193,60,56,29,117,18,6,0,1.17,2.65,OAK,0.0683131897004729,0.0169323290710573,4.0344827586206895,900,900,36214.09,37249,3600,3136,841,13689,324,36,0,1.3688999999999998,7.0225,0.0002867037677705,16.27705112960761
Bartolo Colon,7,1,12500000,12500000,28,28,143.0,192,112,103,35,89,7,14,0,1.59,6.48,MIN,13.190022025878143,13.190022025878143,12.311099105397577,0.0691530691530691,0.0271950271950271,2.5428571428571427,784,784,20449.0,36864,12544,10609,1225,7921,49,196,0,2.5281,41.99040000000001,0.0007395695041382,6.466122448979591,6,1,7250000,7250000,34,33,191.7,200,81,73,32,128,15,8,0,1.21,3.43,NYM,0.0741899959427346,0.0185474989856836,4.0,1156,1089,36748.88999999999,40000,6561,5329,1024,16384,225,64,0,1.4641,11.7649,0.0003440097186239,16.0
Brett Anderson,11,1,2500000,2500000,24,24,96.0,102,52,45,28,58,4,9,0,1.35,4.22,MIL,14.73180128983843,14.73180128983843,14.73180128983843,0.0671296296296296,0.0324074074074074,2.071428571428572,576,576,9216.0,10404,2704,2025,784,3364,16,81,0,1.8225,17.8084,0.0010502400548696,4.290816326530613,10,1,5000000,5000000,10,10,47.0,50,24,22,10,32,4,4,0,1.28,4.21,MIL,0.0756501182033096,0.0236406619385342,3.2,100,100,2209.0,2500,576,484,100,1024,16,16,0,1.6384,17.7241,0.000558880896892,10.240000000000002
Brett Anderson,10,1,5000000,5000000,10,10,47.0,50,24,22,10,32,4,4,0,1.28,4.21,MIL,15.424948470398375,15.454118847698155,14.508583735786084,0.0756501182033096,0.0236406619385342,3.2,100,100,2209.0,2500,576,484,100,1024,16,16,0,1.6384,17.7241,0.000558880896892,10.240000000000002,9,1,1500000,1500000,32,31,176.0,181,80,76,49,90,13,9,0,1.31,3.89,OAK,0.0568181818181818,0.0309343434343434,1.836734693877551,1024,961,30976.0,32761,6400,5776,2401,8100,169,81,0,1.7161000000000002,15.1321,0.0009569336037139,3.373594335693461
Clay Buchholz,9,1,3000000,3000000,12,12,59.0,72,44,43,16,39,2,5,0,1.49,6.56,TOR,14.914122846632385,14.914122846632385,14.914122846632385,0.0734463276836158,0.0301318267419962,2.4375,144,144,3481.0,5184,1936,1849,256,1521,4,25,0,2.2201,43.03359999999999,0.0009079269828096,5.94140625,8,1,1500000,1500000,17,17,98.3,80,25,22,22,81,7,2,0,1.04,2.01,ARI,0.091556459816887,0.0248671866169322,3.6818181818181817,289,289,9662.89,6400,625,484,484,6561,49,4,0,1.0816,4.040099999999999,0.0006183769702413,13.555785123966942
Colby Lewis,5,1,4000000,4000000,33,33,204.7,211,114,106,42,142,17,9,0,1.24,4.66,TEX,15.201804919084164,15.201804919084164,15.201804919084164,0.0770775660858709,0.0227975899690604,3.380952380952381,1089,1089,41902.09,44521,12996,11236,1764,20164,289,81,0,1.5376,21.7156,0.0005197301083974,11.430839002267572,4,1,2000000,2000000,29,29,170.3,211,107,98,48,133,10,14,0,1.52,5.18,TEX,0.0867749722711554,0.0313172832256801,2.770833333333333,841,841,29002.090000000004,44521,11449,9604,2304,17689,100,196,0,2.3104,26.8324,0.0009807722286374,7.677517361111112
