Equipo,Cantidad_agentes_libres,Valor_contrato,Acronimo,Victorias,Juegos totales
Los Angeles Angels,8,153500000,LAA,78,162
Los Angeles Dodgers,7,150850000,LAD,92,162
Boston Red Sox,10,130700000,BOS,97,162
Detroit Tigers,4,107775000,DET,93,162
San Francisco Giants,6,80750000,SF,76,162
Atlanta Braves,3,77250000,ATL,96,162
Chicago Cubs,10,73850000,CHC,66,162
Washington Nationals,11,67000000,WSH,86,162
New York Yankees,8,64000000,NYY,85,162
Arizona Diamondbacks,7,54650000,ARI,81,162
Milwaukee Brewers,7,43300000,MIL,74,162
Cincinnati Reds,12,41800000,CIN,90,162
Toronto Blue Jays,7,36750000,TOR,74,162
Texas Rangers,12,33750000,TEX,91,162
Pittsburgh Pirates,8,28875000,PIT,94,162
Seattle Mariners,10,28400000,SEA,71,162
Kansas City Royals,5,26100000,KC,86,162
Tampa Bay Rays,10,19090000,TB,91,162
Philadelphia Phillies,6,16350000,PHI,73,162
Minnesota Twins,7,15515000,MIN,66,162
Chicago White Sox,5,14800000,CHW,63,162
St. Louis Cardinals,6,13650000,STL,97,162
Miami Marlins,12,7675000,MIA,62,162
New York Mets,10,7150000,NYM,74,162
Houston Astros,5,5900000,HOU,51,162
Colorado Rockies,7,5800000,COL,74,162
San Diego Padres,3,3550000,SD,76,162
Oakland Athletics,3,3000000,OAK,96,162
Baltimore Orioles,4,2000000,BAL,85,162
