Acronimo,Altura,Anio_de_agente_libre,Anio_inicio_de_contrato,Anio,Anios_de_contrato,Bateos_pitcher,Bateos_pitcher_2,Bono_por_firma,Cantidad de equipos,Cantidad_agentes_libres,Carreras,Carreras_2,Carreras_ganadas,Carreras_ganadas_2,Comando,Control,Dominio,ERA,ERA_2,Edad,Edad_al_firmar,Equipo,Equipo_anterior,Estado,Ganancias,Inning_pitched,Inning_pitched_2,Juegos,Juegos totales,Juegos_2,Juegos_iniciados,Juegos_iniciados_2,Jugador,Losses,Losses_2,Pennants won,Peso,Playoffs,Posicion,Promedio_victorias,Saves,Saves_2,Status,Strike-outs,Strike-outs_2,Sueldo_ajustado,Sueldo_base,Sueldo_regular,TVS,TVS_2,Valor_contrato,Valor_contrato_total,Valor_del_contrato,Valor_promedio_contrato,Victorias,WAR,WAR_2,WHIP,WHIP_2,WS ganadas,Walks,Walks_2,Wins,Wins_2,ln_Sueldo_ajustado,ln_Sueldo_base,ln_Sueldo_regular
BOS,6.5,2023,2016,2016,7,227,51529,0,1,6,106,11236,102,10404,4.56,0.024154589371980676,0.11014492753623188,3.99,15.920100000000001,30,30,Boston Red Sox,TOR,Massachusetts,93042498,230.0,52900.0,35,161,1225,35,1225,David Price,9,81,13,215,22,SP,0.577639751552795,0,0,UFA,228,51984,30000000,30000000,30000000,29.72,883.2783999999999,217000000,230000000,217000000,31000000,93,2.99,8.940100000000001,1.2,1.44,8,50,2500,17,289,17.216707939626428,17.216707939626428,17.216707939626428
ARI,6.2,2022,2016,2016,6,161,25921,3000000,1,7,80,6400,77,5929,3.268292682926829,0.02870545403626689,0.0938178253868235,4.37,19.0969,32,32,Arizona Diamondbacks,LAD,Arizona,143397172,158.7,25185.689999999995,27,161,729,26,676,Zack Greinke,7,49,1,200,5,SP,0.422360248447205,0,0,UFA,134,17956,34000000,31000000,34000000,16.62,276.22440000000006,206500000,218750000,206500000,34416667,68,2.34,5.475599999999999,1.27,1.6129,1,41,1681,13,169,17.341871082580436,17.24949776244942,17.341871082580436
DET,6.2,2021,2016,2016,5,118,13924,0,1,11,63,3969,57,3249,2.5384615384615383,0.027434842249657067,0.0696422918645141,4.87,23.716900000000003,30,29,Detroit Tigers,WSH,Michigan,51361000,105.3,11088.09,19,160,361,18,324,Jordan Zimmermann,7,49,11,225,16,SP,0.5375,0,0,UFA,66,4356,18000000,18000000,18000000,8.57,73.4449,110000000,272257500,110000000,22000000,86,0.39,0.1521,1.37,1.8769000000000002,4,26,676,9,81,16.70588231586044,16.70588231586044,16.70588231586044
SF,0.0,2021,2016,2016,5,190,36100,1800000,5,8,88,7744,86,7396,3.0925925925925926,0.02951303492375799,0.09127179319014046,3.81,14.5161,31,30,San Francisco Giants,CHW,California,49675000,203.3,41330.89000000001,34,161,1156,32,1024,Jeff Samardzija,11,121,23,240,26,SP,0.5341614906832298,0,0,UFA,167,27889,10800000,9000000,10800000,53.19,2829.1760999999997,90000000,251000000,90000000,18000000,86,2.65,7.0225,1.2,1.44,8,54,2916,12,144,16.195056692094447,16.012735135300492,16.195056692094447
STL,0.0,2021,2016,2016,5,203,41209,0,2,5,101,10201,92,8464,4.166666666666667,0.018864365214110546,0.0786015217254606,4.69,21.996100000000002,28,28,St. Louis Cardinals,SF,Missouri,34362500,176.7,31222.889999999996,34,161,1156,30,900,Mike Leake,12,144,23,170,28,SP,0.5279503105590062,0,0,UFA,125,15625,12000000,12000000,12000000,19.12,365.5744,80000000,94000000,80000000,16000000,85,0.37,0.1369,1.32,1.7424000000000002,11,30,900,9,81,16.300417207752275,16.300417207752275,16.300417207752275
MIA,0.0,2022,2016,2016,5,134,17956,6500000,2,10,69,4761,68,4624,4.166666666666667,0.021627466882941336,0.09011444534558889,4.96,24.6016,30,30,Miami Marlins,BAL,Florida,21916000,123.3,15202.89,22,160,484,22,484,Wei-Yin Chen,5,25,2,200,2,SP,0.49375,0,0,UFA,100,10000,12500000,6000000,12500000,8.52,72.59039999999999,80000000,84707500,80000000,16000000,79,-0.25,0.0625,1.28,1.6384,2,24,576,5,25,16.34123920227253,15.60727002719233,16.34123920227253
KC,6.0,2021,2016,2016,5,173,29929,0,2,10,81,6561,80,6400,2.787878787878788,0.037529853292391675,0.10462868190606163,3.68,13.5424,31,31,Kansas City Royals,SD,Missouri,32113700,195.4,38181.16,33,161,1089,33,1089,Ian Kennedy,11,121,4,205,9,SP,0.5031055900621118,0,0,UFA,184,33856,7500000,7500000,7500000,54.05,2921.4024999999997,70000000,186750000,70000000,14000000,81,3.9,15.209999999999999,1.22,1.4884,2,66,4356,11,121,15.830413578506539,15.830413578506539,15.830413578506539
LAD,6.0,2019,2016,2016,3,133,17689,1666666,5,8,71,5041,69,4761,2.576923076923077,0.04239015244150974,0.10923616206081356,4.56,20.793599999999998,32,31,Los Angeles Dodgers,HOU,California,67847000,136.3,18577.690000000002,27,161,729,26,676,Scott Kazmir,6,36,25,185,30,SP,0.5652173913043478,0,0,UFA,134,17956,12666666,11000000,12666666,15.53,241.18089999999998,48000000,79750000,48000000,16000000,91,0.48,0.2304,1.36,1.8496000000000004,6,52,2704,10,100,16.35448437639097,16.213405830762646,16.35448437639097
TOR,6.5,2019,2016,2016,3,168,28224,0,1,13,72,5184,69,4761,2.716666666666667,0.03418803418803419,0.09287749287749288,3.19,10.1761,33,33,Toronto Blue Jays,PIT,Toronto,30489000,195.0,38025.0,32,161,1024,32,1024,J.A. Happ,4,16,2,205,7,SP,0.546583850931677,0,0,UFA,163,26569,10000000,10000000,10000000,86.31,7449.4161,36000000,65800000,36000000,12000000,88,4.5,20.25,1.17,1.3688999999999998,2,60,3600,20,400,16.11809565095832,16.11809565095832,16.11809565095832
CHC,6.6,2018,2016,2016,2,146,21316,0,2,15,74,5476,70,4900,3.3962264150943398,0.03127397179441789,0.10621348911311736,3.35,11.2225,37,37,Chicago Cubs,STL,Illinois,137992500,188.3,35456.89000000001,29,160,841,29,841,John Lackey,8,64,17,235,18,SP,0.6375,0,0,UFA,180,32400,16000000,16000000,16000000,72.18,5209.952400000001,32000000,291277500,32000000,16000000,102,2.81,7.896100000000001,1.06,1.1236000000000002,3,53,2809,11,121,16.588099280204055,16.588099280204055,16.588099280204055
BAL,6.4,2020,2016,2016,4,25,625,0,1,8,13,169,13,169,2.923076923076923,0.04659498207885305,0.13620071684587814,3.77,14.2129,33,33,Baltimore Orioles,BAL,Maryland,18493700,31.0,961.0,34,161,1156,0,0,Darren O'Day,1,1,7,220,14,RP,0.546583850931677,3,9,UFA,38,1444,6000000,6000000,6000000,0.0,0.0,31000000,220260000,31000000,7750000,88,0.51,0.2601,1.23,1.5129,3,13,169,3,9,15.60727002719233,15.60727002719233,15.60727002719233
TOR,6.0,2018,2016,2016,2,132,17424,500000,1,13,73,5329,68,4624,2.5384615384615383,0.041035353535353536,0.10416666666666667,3.48,12.1104,32,32,Toronto Blue Jays,TOR,Toronto,22406808,176.0,30976.0,29,161,841,29,841,Marco Estrada,9,81,2,180,7,SP,0.546583850931677,0,0,UFA,165,27225,11500000,11000000,11500000,68.46,4686.771599999999,26000000,65800000,26000000,13000000,88,3.63,13.1769,1.12,1.2544000000000002,2,65,4225,9,81,16.25785759333348,16.213405830762646,16.25785759333348
KC,6.3,2020,2016,2016,3,70,4900,0,2,10,31,961,30,900,2.5185185185185186,0.04497751124437781,0.1132766949858404,4.05,16.4025,32,31,Kansas City Royals,PIT,Missouri,37056500,66.7,4448.89,70,161,4900,0,0,Joakim Soria,8,64,4,205,9,RP/CL,0.5031055900621118,1,1,UFA,68,4624,7000000,7000000,7000000,4.84,23.4256,25000000,186750000,25000000,8333333,81,0.39,0.1521,1.46,2.1315999999999997,2,27,729,5,25,15.761420707019587,15.761420707019587,15.761420707019587
BAL,6.2,2019,2016,2016,2,126,15876,0,1,8,74,5476,71,5041,1.3934426229508197,0.05753631390303716,0.08017355215996981,5.43,29.484899999999996,30,29,Baltimore Orioles,TEX,Maryland,54423000,117.8,13876.84,24,161,576,23,529,Yovani Gallardo,8,64,7,205,14,RP,0.546583850931677,0,0,UFA,85,7225,9000000,9000000,9000000,0.0,0.0,22000000,220260000,22000000,11000000,88,0.08,0.0064,1.59,2.5281000000000002,3,61,3721,6,36,16.012735135300492,16.012735135300492,16.012735135300492
OAK,6.6,2019,2016,2016,3,63,3969,166666,5,4,27,729,26,676,2.45,0.03434655675768504,0.08414906405632834,3.62,13.1044,35,35,Oakland Athletics,KC,California,37000000,64.7,4186.09,63,161,3969,0,0,Ryan Madson,7,49,15,234,26,RP,0.422360248447205,30,900,UFA,49,2401,7916666,6500000,7916666,59.27,3512.9329000000002,22000000,42250000,22000000,7333333,68,1.32,1.7424000000000002,1.28,1.6384,9,20,400,6,36,15.884480715566285,15.687312734865866,15.884480715566285
