Acronimo_t,Acronimo_t_1,Altura_t,Altura_t_1,Anio_de_agente_libre_t,Anio_de_agente_libre_t_1,Anio_inicial,Anio_ref,Anio_t,Anios_de_contrato_t,Anios_de_contrato_t_1,Antiguedad_t,Antiguedad_t_1,At-bats_2_t,At-bats_t,At_bats_2_t,At_bats_2_t_1,At_bats_t,At_bats_t_1,Aux_Anio,Bateos_2_t,Bateos_2_t_1,Bateos_promedio_2_t,Bateos_promedio_2_t_1,Bateos_promedio_t,Bateos_promedio_t_1,Bateos_t,Bateos_t_1,Bono_por_firma_t,Bono_por_firma_t_1,Cantidad de equipos_t,Cantidad_agentes_libres_t,Cantidad_agentes_libres_t_1,Cantidad_de_equipos_t,Cantidad_de_equipos_t_1,Dobles_2_t,Dobles_2_t_1,Dobles_t,Dobles_t_1,Edad_al_firmar_t,Edad_al_firmar_t_1,Edad_t,Equipo_anterior,Equipo_t,Equipo_t_1,Estado_t,Ganancias_t,Ganancias_t_1,Home-runs_2_t,Home-runs_t,Home_runs_2_t,Home_runs_2_t_1,Home_runs_t,Home_runs_t_1,Juegos totales_t,Juegos_iniciados_2_t,Juegos_iniciados_2_t_1,Juegos_iniciados_t,Juegos_iniciados_t_1,Juegos_t,Juegos_t_1,Juegos_totales_t,Juegos_totales_t_1,Jugador,Pago_efectivo_t,Pago_efectivo_t_1,Pennants won_t,Pennants_won_t,Pennants_won_t_1,Peso_t,Peso_t_1,Playoffs_t,Playoffs_t_1,Porcentaje_On-base-plus-slugging_2_t,Porcentaje_On-base-plus-slugging_t,Porcentaje_On_base_plus_slugging_2_t,Porcentaje_On_base_plus_slugging_2_t_1,Porcentaje_On_base_plus_slugging_t,Porcentaje_On_base_plus_slugging_t_1,Porcentaje_juegos_iniciados_2_t,Porcentaje_juegos_iniciados_2_t_1,Porcentaje_juegos_iniciados_t,Porcentaje_juegos_iniciados_t_1,Porcentaje_juegos_t,Porcentaje_juegos_t_1,Porcentaje_on-base_2_t,Porcentaje_on-base_t,Porcentaje_on_base_2_t,Porcentaje_on_base_2_t_1,Porcentaje_on_base_t,Porcentaje_on_base_t_1,Porcentaje_slugging_2_t,Porcentaje_slugging_2_t_1,Porcentaje_slugging_t,Porcentaje_slugging_t_1,Posicion_t,Posicion_t_1,Promedio_victorias_t,Promedio_victorias_t_1,Runs-batted-in_2_t,Runs-batted-in_t,Runs_batted_in_2_t,Runs_batted_in_2_t_1,Runs_batted_in_t,Runs_batted_in_t_1,Status_agente_libre,Sueldo_ajustado_norm_t,Sueldo_ajustado_norm_t_1,Sueldo_ajustado_t,Sueldo_ajustado_t_1,Sueldo_base_norm_t,Sueldo_base_norm_t_1,Sueldo_base_t,Sueldo_base_t_1,Sueldo_porcentual_t,Sueldo_porcentual_t_1,Sueldo_regular_norm_t,Sueldo_regular_norm_t_1,Sueldo_regular_t,Sueldo_regular_t_1,TVS_2_t,TVS_2_t_1,TVS_t,TVS_t_1,Triples_2_t,Triples_2_t_1,Triples_t,Triples_t_1,Valor_contrato,Valor_contrato_promedio_t,Valor_contrato_promedio_t_1,Valor_contrato_total_t,Valor_contrato_total_t_1,Valor_del_contrato_t,Valor_del_contrato_t_1,Valor_promedio_contrato,Victorias_t,Victorias_t_1,WAR_2_t,WAR_2_t_1,WAR_t,WAR_t_1,WS ganadas_t,WS_ganadas_t,WS_ganadas_t_1,ln_Sueldo_ajustado_t,ln_Sueldo_base_t,ln_Sueldo_regular_t,id,Y_Sueldo_ajustado_norm_t,Y_Sueldo_regular_norm_t,Y_Sueldo_base_norm_t,Y_TVS_t,Y_ln_Sueldo_ajustado_t,Y_ln_Sueldo_regular_t,X_At_bats_2_t,X_At_bats_2_t_1,X_At_bats_t,X_At_bats_t_1,X_Bateos_2_t,X_Bateos_2_t_1,X_Bateos_promedio_2_t,X_Bateos_promedio_2_t_1,X_Bateos_promedio_t,X_Bateos_promedio_t_1,X_Bateos_t,X_Bateos_t_1,X_Dobles_2_t,X_Dobles_2_t_1,X_Dobles_t,X_Dobles_t_1,X_Home_runs_2_t,X_Home_runs_2_t_1,X_Home_runs_t,X_Home_runs_t_1,X_Juegos_iniciados_2_t,X_Juegos_iniciados_2_t_1,X_Juegos_iniciados_t,X_Juegos_iniciados_t_1,X_Porcentaje_On_base_plus_slugging_2_t,X_Porcentaje_On_base_plus_slugging_2_t_1,X_Porcentaje_On_base_plus_slugging_t,X_Porcentaje_On_base_plus_slugging_t_1,X_Porcentaje_on_base_2_t,X_Porcentaje_on_base_2_t_1,X_Porcentaje_on_base_t,X_Porcentaje_on_base_t_1,X_Porcentaje_slugging_2_t,X_Porcentaje_slugging_2_t_1,X_Porcentaje_slugging_t,X_Porcentaje_slugging_t_1,X_Runs_batted_in_2_t,X_Runs_batted_in_2_t_1,X_Runs_batted_in_t,X_Runs_batted_in_t_1,X_Triples_2_t,X_Triples_2_t_1,X_Triples_t,X_Triples_t_1,X_WAR_2_t,X_WAR_2_t_1,X_WAR_t,X_WAR_t_1
PHI,PIT,6.5,6.5,2015,0.0,2014,2014,2014,2,5.0,1,5.0,0.0,0.0,3600.0,3481.0,60.0,59.0,1,64,16.0,0.017689000000000003,0.0046240000000000005,0.133,0.068,8,4.0,3750000,0.0,0.0,7,8.0,2.0,2.0,4,0.0,2,0.0,36,31.0,37,PIT,Philadelphia Phillies,Pittsburgh Pirates,Pennsylvania,137617500,122617500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1156,900.0,34,30.0,34,30.0,162.0,162.0,A.J. Burnett,15000000,8000000.0,0.0,7.0,9.0,230.0,230.0,14,15.0,0.0,0.0,0.11628100000000002,0.027556000000000004,0.341,0.166,0.04409999999999999,0.034225,0.21,0.185,0.21,0.185,0.0,0.0,0.030624999999999996,0.009604000000000001,0.175,0.098,0.027889000000000004,0.0046240000000000005,0.167,0.068,SP,SP,0.4506172839506173,0.5802469135802469,0.0,0.0,1.0,4.0,1.0,2.0,UFA,0.432632690481169,0.27553156146752467,11250000,8000000.0,0.29718875502008035,0.5848375451263538,7500000,16500000.0,0.064,0.112,0.4323866697452474,0.561711079943899,11250000,16500000.0,150.7984,1557.8808999999999,12.28,39.47,0,0.0,0,0.0,16000000,11250000,16500000.0,59875000,28875000.0,22500000,82500000.0,16000000,73,94.0,3.778791104643598,4.0,1.94391129032258,2.0,0.0,2.0,5.0,16.235878686614704,15.830413578506539,16.235878686614704,0,-0.14702414368627603,-0.15100532428416968,-0.01719743748519753,4.726755722990118,-0.03493372963210195,-0.03493372963210195,-6.132879045996593,-5.890016920473773,-2.4764650302389883,-2.426935705879695,-0.3902439024390244,-0.10256410256410256,-0.017689000000000003,-0.016281690140845073,-0.133,-0.1275997262569363,-0.6246950475544243,-0.32025630761017426,-0.10526315789473684,-0.0,-0.3244428422615251,-0.0,-0.0,-0.0,-0.0,-0.0,-7.458064516129032,-5.882352941176471,-2.730945718268496,-2.42535625036333,-0.05814050000000001,-0.033320435308343416,-0.2411234123846127,-0.1825388597212753,-0.030624999999999996,-0.027597701149425294,-0.175,0.16612555838709855,-0.027889000000000004,-0.009174603174603176,-0.167,-0.0957841488692319,-0.01,-0.0425531914893617,-0.1,-0.20628424925175867,-0.0,-0.0,-0.0,-0.0,-0.9789614260734709,-1.146131805157593,-0.9894247955622858,1.0705754551443785
PIT,PHI,6.5,6.5,2016,2015.0,2014,2015,2015,1,2.0,1,1.0,0.0,0.0,1764.0,3600.0,42.0,60.0,2,25,64.0,0.014160999999999998,0.017689000000000003,0.119,0.133,5,8.0,0,3750000.0,0.0,4,7.0,2.0,2.0,0,4.0,0,2.0,37,36.0,38,PHI,Pittsburgh Pirates,Philadelphia Phillies,Pennsylvania,146117500,137617500.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,676,1156.0,26,34.0,26,34.0,161.0,162.0,A.J. Burnett,8500000,15000000.0,0.0,9.0,7.0,230.0,230.0,17,14.0,0.0,0.0,0.094249,0.11628100000000002,0.307,0.341,0.025921000000000003,0.04409999999999999,0.161,0.21,0.161,0.21,0.0,0.0,0.013456000000000001,0.030624999999999996,0.116,0.175,0.0361,0.027889000000000004,0.19,0.167,SP,SP,0.6024844720496895,0.4506172839506173,0.0,0.0,25.0,1.0,5.0,1.0,UFA,0.2608390584968649,0.432632690481169,8500000,11250000.0,0.2787341334508919,0.29718875502008035,8500000,7500000.0,0.086,0.064,0.256598807460044,0.4323866697452474,8500000,11250000.0,4590.0625,150.7984,67.75,12.28,0,0.0,0,0.0,8500000,8500000,11250000.0,50000000,59875000.0,8500000,22500000.0,8500000,97,73.0,6.969600000000001,3.778791104643598,2.64,1.94391129032258,0.0,5.0,2.0,15.955576721460545,15.955576721460545,15.955576721460545,0,-0.14702414368627603,-0.15100532428416968,-0.01719743748519753,4.726755722990118,-0.03493372963210195,-0.03493372963210195,-4.027397260273973,-6.7669172932330826,-2.0068376267834855,-2.60132990857236,-0.20491803278688525,-0.4129032258064516,-0.04934146341463414,-0.06078694158075603,-0.22212938440160085,-0.24655007925522152,-0.45267873021259264,-0.6425754631219991,-0.0,-0.11428571428571428,-0.0,-0.3380617018914066,-0.05555555555555555,-0.0,-0.23570226039551587,-0.0,-5.408,-8.691729323308271,-2.3255106965997814,-2.948173896382008,-0.10971944121071013,-0.13427367205542728,-0.33123925070967986,-0.3664337212313125,-0.035410526315789476,-0.07599255583126549,-0.18817684851168456,-0.2756674732921269,-0.0707843137254902,-0.05457729941291586,-0.2660532159653219,-0.23361784908888245,-0.4098360655737705,-0.011363636363636364,-0.6401843996644799,-0.10660035817780521,-0.0,-0.0,-0.0,-0.0,-2.4454736842105267,-0.9789614260734709,1.5638010372840039,0.9894247955622858
MIA,PHI,6.2,6.2,0,201.0,2017,2017,2017,1,1.0,1,1.0,0.0,0.0,20449.0,29241.0,143.0,171.0,1,900,1369.0,0.04409999999999999,0.046655999999999996,0.21,0.216,30,37.0,0,0.0,0.0,6,6.0,2.0,2.0,25,64.0,5,8.0,35,34.0,36,PHI,Miami Marlins,Philadelphia Phillies,Florida,18513500,16013500.0,0.0,0.0,36.0,4.0,6.0,2.0,0.0,1296,2500.0,36,50.0,51,64.0,162.0,161.0,A.J. Ellis,2500000,983606.0,0.0,2.0,7.0,225.0,225.0,2,14.0,0.0,0.0,0.44756100000000004,0.358801,0.669,0.599,0.049284,0.095481,0.222,0.309,0.315,0.395,0.0,0.0,0.088804,0.09060099999999999,0.298,0.301,0.13764099999999999,0.088804,0.371,0.298,C,C,0.4753086419753086,0.4347826086956521,0.0,0.0,196.0,484.0,14.0,22.0,UFA,0.07005187660461497,0.028373478806161243,2500000,983606.0,0.07425674957886269,0.1267762165594983,2500000,4500000.0,0.023,0.01,0.0688807072304443,0.11720609555069514,2500000,4500000.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,2500000,2500000,4500000.0,57250000,8750000.0,2500000,4500000.0,2500000,77,70.0,0.36,3.0175853971921485,0.6,1.7371198568872985,0.0,2.0,2.0,14.73180128983843,14.73180128983843,14.73180128983843,1,0.0,0.0,0.0,0.0,0.0,0.0,-33.19642857142857,-58.953629032258064,-5.761634192781469,-7.678126661644628,-5.084745762711864,-11.221311475409836,0.1450657894736842,0.1767272727272727,0.38087503130775613,0.42038942984722233,-2.2549380840084865,-3.3498226035731857,-0.625,-1.9393939393939394,-0.7905694150420948,-1.3926212476455828,-1.2413793103448276,-0.26666666666666666,-1.1141720290623112,-0.5163977794943222,-8.150943396226415,-19.37984496124031,-2.854985708585319,-4.402254531628119,-0.49399668874172187,0.44406064356435637,0.7028489800389,0.6663787538362522,0.21765686274509805,0.25521408450704225,0.46653709685843636,0.5051871776946069,-0.24361238938053098,0.1960353200883002,0.4935710580864026,0.44275876060028463,-2.2790697674418605,-9.132075471698114,-1.5096588248481377,-3.0219324068711586,-0.0,-0.0,-0.0,-0.0,-0.12413793103448276,-1.5523266993790643,0.3523321317088221,-1.2459240343532443
TEX,CHW,6.3,6.3,0,0.0,2013,2013,2013,1,2.0,0,0.0,0.0,0.0,253009.0,229441.0,503.0,479.0,1,18769,17689.0,0.07398400000000001,0.07728400000000002,0.272,0.278,137,133.0,0,0.0,0.0,12,1.0,2.0,2.0,576,324.0,24,18.0,36,34.0,36,CHW,Texas Rangers,Chicago White Sox,Texas,50425000,36925000.0,0.0,0.0,289.0,729.0,17.0,27.0,0.0,15129,15876.0,123,126.0,134,135.0,162.0,162.0,A.J. Pierzynski,7500000,2000000.0,0.0,2.0,6.0,250.0,250.0,6,9.0,0.0,0.0,0.521284,0.6839289999999999,0.722,0.827,0.570025,0.605284,0.755,0.778,0.822,0.833,0.0,0.0,0.088209,0.10627600000000001,0.297,0.326,0.18062499999999998,0.251001,0.425,0.501,C,C,0.5617283950617284,0.5246913580246914,0.0,0.0,4900.0,5929.0,70.0,77.0,UFA,0.25828231293103715,0.06183677723670777,7500000,2000000.0,0.25992779783393505,0.06177739672280139,7500000,2000000.0,0.054,0.016,0.24614305750350635,0.059841378317667,7500000,2000000.0,802.0224000000001,4891.6035999999995,28.32,69.94,1,16.0,1,4.0,7500000,7500000,4000000.0,33750000,900000.0,7500000,8000000.0,7500000,91,85.0,3.1684,10.6276,1.78,3.26,0.0,0.0,3.0,15.830413578506539,15.830413578506539,15.830413578506539,2,0.0,0.0,0.0,0.0,0.0,0.0,388.0506134969325,349.2252663622527,19.69900031719713,18.687569835648848,108.49132947976878,99.37640449438203,-0.14796800000000002,-0.15456800000000004,0.3846660889654819,0.3931513703397204,10.415917121394966,9.968771463644957,-14.76923076923077,10.125,-3.843075691322091,3.181980515339464,-6.4222222222222225,-22.09090909090909,2.5342103744997617,4.700096710803842,93.96894409937889,98.6086956521739,9.693757996740938,9.930191118612669,0.521284,0.6839289999999999,0.722,0.827,-0.176418,-0.21255200000000002,0.4200214280248092,0.46103362133362896,0.33573420074349436,0.46055229357798155,0.5794257508460375,0.6786400324015536,48.03921568627451,68.94186046511628,6.931032800836721,8.303123536664758,0.25,-3.2,0.5,-1.7888543819998317,-0.43702068965517243,-1.3748512289780075,-0.6610754039103047,-1.1725405020629385
TEX,CHW,6.3,6.3,0,0.0,2013,2014,2013,1,2.0,0,1.0,0.0,0.0,253009.0,229441.0,503.0,479.0,2,18769,17689.0,0.07398400000000001,0.07728400000000002,0.272,0.278,137,133.0,0,0.0,0.0,12,1.0,2.0,2.0,576,324.0,24,18.0,36,34.0,36,CHW,Texas Rangers,Chicago White Sox,Texas,50425000,42925000.0,0.0,0.0,289.0,729.0,17.0,27.0,0.0,15129,15876.0,123,126.0,134,135.0,162.0,162.0,A.J. Pierzynski,7500000,6000000.0,0.0,2.0,6.0,250.0,250.0,6,9.0,0.0,0.0,0.521284,0.6839289999999999,0.722,0.827,0.570025,0.605284,0.755,0.778,0.822,0.833,0.0,0.0,0.088209,0.10627600000000001,0.297,0.326,0.18062499999999998,0.251001,0.425,0.501,C,C,0.5617283950617284,0.5246913580246914,0.0,0.0,4900.0,5929.0,70.0,77.0,UFA,0.25828231293103715,0.18692520693848005,7500000,6000000.0,0.25992779783393505,0.19118741096793224,7500000,6000000.0,0.054,0.055,0.24614305750350635,0.18519586120864473,7500000,6000000.0,802.0224000000001,4891.6035999999995,28.32,69.94,1,16.0,1,4.0,7500000,7500000,4000000.0,33750000,900000.0,7500000,8000000.0,7500000,91,85.0,3.1684,10.6276,1.78,3.26,0.0,0.0,3.0,15.830413578506539,15.830413578506539,15.830413578506539,2,-0.4285944998573565,-0.4192611177974319,-0.45775034725937047,-1.8202255982577094,-0.510464465373746,-0.510464465373746,388.0506134969325,349.2252663622527,19.69900031719713,18.687569835648848,108.49132947976878,99.37640449438203,-0.14796800000000002,-0.15456800000000004,0.3846660889654819,0.3931513703397204,10.415917121394966,9.968771463644957,-14.76923076923077,10.125,-3.843075691322091,3.181980515339464,-6.4222222222222225,-22.09090909090909,2.5342103744997617,4.700096710803842,93.96894409937889,98.6086956521739,9.693757996740938,9.930191118612669,0.521284,0.6839289999999999,0.722,0.827,-0.176418,-0.21255200000000002,0.4200214280248092,0.46103362133362896,0.33573420074349436,0.46055229357798155,0.5794257508460375,0.6786400324015536,48.03921568627451,68.94186046511628,6.931032800836721,8.303123536664758,0.25,-3.2,0.5,-1.7888543819998317,-0.43702068965517243,-1.3748512289780075,-0.6610754039103047,-1.1725405020629385
STL,TEX,6.3,6.3,0,0.0,2013,2015,2014,1,1.0,0,0.0,0.0,0.0,114244.0,253009.0,338.0,503.0,3,7225,18769.0,0.063504,0.07398400000000001,0.252,0.272,85,137.0,0,0.0,0.0,5,12.0,2.0,2.0,144,576.0,12,24.0,37,36.0,37,BOS,St. Louis Cardinals,Texas Rangers,Missouri,58842539,50425000.0,0.0,0.0,25.0,289.0,5.0,17.0,0.0,7225,15129.0,85,123.0,102,134.0,161.0,162.0,A.J. Pierzynski,167539,7500000.0,0.0,23.0,2.0,250.0,250.0,27,6.0,0.0,0.0,0.390625,0.521284,0.625,0.722,0.275625,0.570025,0.525,0.755,0.63,0.822,0.0,0.0,0.08294399999999999,0.088209,0.288,0.297,0.11356900000000002,0.18062499999999998,0.337,0.425,C,C,0.5527950310559007,0.5617283950617284,0.0,0.0,1369.0,4900.0,37.0,70.0,UFA,0.006339396893550507,0.25828231293103715,167539,7500000.0,0.002712409638554217,0.25992779783393505,167539,7500000.0,0.001,0.054,0.005908527668744708,0.24614305750350635,167539,7500000.0,150.3076,802.0224000000001,12.26,28.32,1,1.0,1,1.0,500000,500000,7500000.0,59750000,33750000.0,500000,7500000.0,500000,89,91.0,3.778791104643598,3.1684,1.94391129032258,1.78,0.0,11.0,0.0,12.028971438966101,12.028971438966101,12.028971438966101,2,0.19153729863775987,0.1843067029418387,0.19424624161722112,3.6462986314010535,0.3646005694459391,0.3646005694459391,227.12524850894633,-451.8017857142857,15.070675117888593,21.255629506422192,52.737226277372265,-127.68027210884354,0.2095841584158416,0.2740148148148148,0.45780362429303856,0.5234642440652607,7.262040090592468,11.299569554139818,4.8,-15.157894736842104,2.1908902300206643,-3.893314107138301,1.1363636363636365,-12.041666666666666,1.0660035817780522,-3.470110468942836,58.739837398373986,-99.53289473684211,7.664191894673174,9.976617399541897,0.4644768133174792,-0.5817901785714286,0.6815253577949093,0.7627517148924862,0.21105343511450378,0.243,0.4594055236003413,0.49295030175464943,0.2175651340996169,-0.3284090909090909,0.4664387785118395,0.5730698830937557,19.557142857142857,-65.33333333333333,4.422345854537256,-8.08290376865476,-0.14285714285714285,-0.1111111111111111,-0.3779644730092272,-0.3333333333333333,-0.9470654397603001,-0.5500694444444445,-0.9731728724950671,-0.7416666666666667
ATL,STL,6.3,6.3,0,0.0,2013,2016,2015,1,1.0,0,0.0,0.0,0.0,165649.0,114244.0,407.0,338.0,4,15129,7225.0,0.091204,0.063504,0.302,0.252,123,85.0,0,0.0,0.0,18,5.0,1.0,2.0,576,144.0,24,12.0,38,37.0,38,STL,Atlanta Braves,St. Louis Cardinals,Georgia,61242539,58842539.0,0.0,0.0,81.0,25.0,9.0,5.0,0.0,11025,7225.0,105,85.0,113,102.0,160.0,161.0,A.J. Pierzynski,2400000,167539.0,0.0,18.0,23.0,250.0,250.0,23,27.0,0.0,0.0,0.599076,0.390625,0.774,0.625,0.419904,0.275625,0.648,0.525,0.698,0.63,0.0,0.0,0.11696400000000001,0.08294399999999999,0.342,0.288,0.18662399999999998,0.11356900000000002,0.432,0.337,C,C,0.40625,0.5527950310559007,0.0,0.0,2401.0,1369.0,49.0,37.0,UFA,0.07352645937856066,0.006339396893550507,2400000,167539.0,0.060677011005812624,0.002712409638554217,2000000,167539.0,0.022,0.001,0.06821167585764246,0.005908527668744708,2400000,167539.0,2610.1881000000003,150.3076,51.09,12.26,1,1.0,1,1.0,2000000,2000000,500000.0,69107500,59750000.0,2000000,500000.0,2000000,65,89.0,1.9599999999999997,3.778791104643598,1.4,1.94391129032258,0.0,3.0,11.0,14.690979295318174,14.508657738524219,14.690979295318174,2,0.025743031506708147,0.01202787328256677,-0.02862946096166194,-7.147726911403373,0.0311388747975454,0.0311388747975454,-258.0202492211838,-186.67320261437908,16.06300872256452,13.662840210380091,-81.77837837837838,-39.9171270718232,-0.091204,0.18788165680473373,-0.302,0.4334531771768823,-9.043139851753836,6.318000243100914,-13.395348837209303,-3.789473684210526,-3.659965687982512,1.9466570535691505,-2.7,-0.6578947368421053,-1.6431676725154982,-0.8111071056538127,-68.05555555555556,-46.31410256410256,8.249579113843055,6.805446536716203,-0.299538,0.36609653233364575,-0.5473006486383878,0.605059114743052,-0.11696400000000001,0.19244547563805103,-0.342,0.43868607869187165,-0.18662399999999998,-0.1785676100628931,-0.432,0.4225726092198749,-25.817204301075268,-12.11504424778761,-5.081063304179084,-3.4806672130193097,-0.1111111111111111,-0.3333333333333333,-0.3333333333333333,-0.5773502691896258,-0.6105919003115264,-1.1555936099827515,0.7814038010603266,-1.0749853998928318
ATL,ATL,6.3,6.3,0,0.0,2013,2017,2016,1,1.0,0,0.0,0.0,0.0,61009.0,165649.0,247.0,407.0,5,3025,15129.0,0.049729,0.091204,0.223,0.302,55,123.0,1000000,0.0,0.0,13,18.0,1.0,1.0,256,576.0,16,24.0,39,38.0,39,ATL,Atlanta Braves,Atlanta Braves,Georgia,64292539,61242539.0,0.0,0.0,4.0,81.0,2.0,9.0,0.0,3481,11025.0,59,105.0,81,113.0,160.0,160.0,A.J. Pierzynski,3050000,2400000.0,0.0,18.0,18.0,250.0,250.0,23,23.0,0.0,0.0,0.31248100000000006,0.599076,0.559,0.774,0.134689,0.419904,0.367,0.648,0.503,0.698,0.0,0.0,0.061009,0.11696400000000001,0.247,0.342,0.097344,0.18662399999999998,0.312,0.432,C,C,0.41875,0.40625,0.0,0.0,529.0,2401.0,23.0,49.0,UFA,0.08815000178630034,0.07352645937856066,3050000,2400000.0,0.04739223624672541,0.060677011005812624,2000000,2000000.0,0.032,0.022,0.074639072745809,0.06821167585764246,3050000,2400000.0,0.0,2610.1881000000003,0.0,51.09,0,1.0,0,1.0,3000000,3000000,2000000.0,19157500,69107500.0,3000000,2000000.0,3000000,67,65.0,3.0175853971921485,1.9599999999999997,1.7371198568872985,1.4,0.0,3.0,3.0,14.930652148583594,14.508657738524219,14.930652148583594,2,0.025743031506708147,0.01202787328256677,-0.02862946096166194,-7.147726911403373,0.0311388747975454,0.0311388747975454,-95.02959501557632,-270.66830065359477,9.74831241885365,-16.45199989829792,-16.35135135135135,-83.58563535911603,-0.049729,-0.2698343195266272,-0.223,0.519455791696105,4.043680421515942,-9.142517998840146,-5.953488372093023,-15.157894736842104,2.4399771253216747,-3.893314107138301,-0.13333333333333333,-2.1315789473684212,-0.3651483716701107,-1.459992790176863,-21.487654320987655,-70.67307692307692,4.635477787778479,-8.406728074767074,-0.15624050000000003,-0.5614582942830366,-0.3952726906832801,0.7493052076977956,-0.061009,-0.2713781902552205,-0.247,0.5209397184465977,-0.097344,-0.2934339622641509,-0.312,-0.5416954515815606,-5.688172043010753,-21.24778761061947,2.3849888978799783,-4.6095322550796265,-0.0,-0.3333333333333333,-0.0,-0.5773502691896258,-0.9400577561346257,-0.5993883792048929,-0.9695657564779325,0.7742017690530634
LAD,ARI,6.1,6.1,2023,2019.0,2019,2019,2019,5,1.0,0,0.0,0.0,0.0,94864.0,170569.0,308.0,413.0,1,6724,11236.0,0.07075600000000001,0.066049,0.266,0.257,82,106.0,3000000,0.0,0.0,3,2.0,5.0,1.0,225,441.0,15,21.0,31,30.0,31,ARI,Los Angeles Dodgers,Arizona Diamondbacks,California,34053893,21053893.0,0.0,0.0,225.0,441.0,15.0,21.0,0.0,5929,11025.0,77,105.0,86,113.0,161.0,162.0,A.J. Pollock,13000000,7750000.0,0.0,25.0,1.0,210.0,210.0,33,6.0,0.0,0.0,0.6320250000000001,0.6400000000000001,0.795,0.8,0.225625,0.419904,0.475,0.648,0.531,0.698,0.0,0.0,0.10758400000000001,0.099856,0.328,0.316,0.21902400000000002,0.234256,0.468,0.484,CF,CF,0.6521739130434783,0.5061728395061729,0.0,0.0,2209.0,4225.0,47.0,65.0,UFA,0.10636645279386955,0.2178714894437187,4000000,7750000.0,0.012919146465379592,0.2204697430986199,1000000,7750000.0,0.019,0.054,0.08883826726542714,0.20586070975167836,4000000,7750000.0,0.0,4664.889999999999,0.0,68.3,1,25.0,1,5.0,60000000,12000000,7750000.0,85000000,15750000.0,60000000,7750000.0,12000000,105,82.0,0.0025000000000000005,4.7961,0.05,2.19,0.0,6.0,1.0,15.201804919084164,13.815510557964274,15.201804919084164,3,0.0,0.0,0.0,0.0,0.0,0.0,-158.10666666666665,-278.7075163398693,12.574047346286982,16.694535523334253,-37.355555555555554,-56.462311557788944,0.2358533333333334,0.20136890243902436,0.48564733432124735,0.448741465031954,6.111919138499425,-7.514140773088361,8.653846153846153,-9.382978723404255,2.9417420270727606,-3.0631648214557856,-7.258064516129032,21.0,2.694079530401624,4.58257569495584,-37.289308176100626,-69.33962264150944,6.10649721002971,-8.327041650040513,0.706173184357542,0.6971677559912856,0.840341111904887,0.834965721446866,0.2744489795918368,0.24414669926650368,0.5238787832999507,0.49411203108860213,0.4354353876739563,0.458426614481409,0.6598752819086016,0.6770720895749647,26.6144578313253,-42.25,5.158920219515446,-6.5,0.2,-6.25,0.4472135954999579,-2.5,-0.0005376344086021506,-0.8312131715771232,-0.023186944788008413,-0.9117089291967712
PHI,ATL,6.7,6.7,2016,2015.0,2015,2015,2015,1,1.0,1,1.0,0.0,0.0,2304.0,3721.0,48.0,61.0,1,64,25.0,0.027889000000000004,0.006724000000000001,0.167,0.082,8,5.0,0,0.0,0.0,8,5.0,2.0,1.0,1,0.0,1,0.0,36,35.0,37,ATL,Philadelphia Phillies,Atlanta Braves,Pennsylvania,62650000,57650000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,841,1089.0,29,33.0,29,33.0,161.0,162.0,Aaron Harang,5000000,1000000.0,0.0,7.0,18.0,260.0,260.0,14,23.0,0.0,0.0,0.13764099999999999,0.032041,0.371,0.179,0.032041,0.04161599999999999,0.179,0.204,0.179,0.204,0.0,0.0,0.033856,0.009409,0.184,0.097,0.035344,0.006724000000000001,0.188,0.082,SP,SP,0.3850931677018633,0.4876543209876543,0.0,0.0,0.0,1.0,0.0,1.0,UFA,0.1533646163798051,0.03836049234096444,5000000,1000000.0,0.16131875982661842,0.03614457831325301,5000000,1000000.0,0.035,0.009,0.14850783031112505,0.03794350804279227,5000000,1000000.0,551.3104000000001,4716.942400000001,23.48,68.68,0,0.0,0,0.0,5000000,5000000,1000000.0,13800000,47350000.0,5000000,1000000.0,5000000,62,79.0,0.16809999999999997,4.9729,0.41,2.23,0.0,2.0,3.0,15.424948470398375,15.424948470398375,15.424948470398375,4,0.0,0.0,0.0,0.0,0.0,0.0,-3.9250425894378194,-6.296108291032149,-1.9811720241911905,-2.5092047128586676,-0.3902439024390244,-0.16025641025641027,-0.027889000000000004,-0.023676056338028172,-0.167,0.15387025813336436,-0.6246950475544243,-0.40032038451271784,-0.02631578947368421,-0.0,-0.16222142113076254,-0.0,-0.0,-0.0,-0.0,-0.0,-5.425806451612903,-7.117647058823529,-2.3293360538172467,-2.667891875399663,-0.06882049999999999,-0.038743651753325274,-0.2623366158202091,-0.19683407162715827,-0.033856,-0.027037356321839085,-0.184,0.16443039962804654,-0.035344,-0.013341269841269843,-0.188,-0.11550441481289728,-0.0,-0.010638297872340425,-0.0,-0.10314212462587934,-0.0,-0.0,-0.0,-0.0,-0.04354922279792745,-1.4248997134670487,0.2086845054093079,-1.1936916324859819
