Acronimo,Equipo,Victorias,Juegos totales,Playoffs,Pennants won,WS ganadas,Anio,Rango,Valor_Corriente,1An_Cambio_Valor%,Valor%,Ingresos_equipo,Ingresos_Operando,Estado,Cantidad de equipos
ARI,Arizona Diamondbacks,94,162,5,1,1,2011,20,396.0,4.0,25.0,180,6.2,Arizona,1
ATL,Atlanta Braves,89,162,21,18,3,2011,13,482.0,7.0,0.0,201,22.2,Georgia,1
BAL,Baltimore Orioles,69,162,11,7,3,2011,18,411.0,9.0,37.0,175,25.5,Maryland,1
BOS,Boston Red Sox,90,162,20,12,7,2011,2,912.0,5.0,26.0,272,-1.1,Massachusetts,1
CHC,Chicago Cubs,71,162,16,17,2,2011,4,773.0,6.0,75.0,258,23.4,Illinois,2
CHW,Chicago White Sox,79,162,9,6,3,2011,10,526.0,13.0,8.0,210,27.6,Illinois,2
CIN,Cincinnati Reds,79,162,13,10,5,2011,23,375.0,13.0,11.0,179,20.1,Ohio,2
COL,Colorado Rockies,73,162,3,1,0,2011,17,414.0,8.0,19.0,188,16.3,Colorado,1
DET,Detroit Tigers,95,162,13,11,3,2011,21,385.0,3.0,55.0,192,-29.1,Michigan,1
HOU,Houston Astros,56,162,9,1,0,2011,14,474.0,5.0,12.0,197,14.4,Texas,2
KC,Kansas City Royals,71,162,7,2,1,2011,26,351.0,3.0,14.0,160,10.3,Missouri,2
LAA,Los Angeles Angels,86,162,10,1,1,2011,9,554.0,6.0,10.0,222,11.8,California,5
LAD,Los Angeles Dodgers,82,161,26,25,6,2011,3,800.0,10.0,54.0,246,32.8,California,5
MIA,Miami Marlins,72,162,2,2,2,2011,24,360.0,13.0,40.0,143,20.2,Florida,2
MIL,Milwaukee Brewers,96,162,4,1,0,2011,22,376.0,7.0,32.0,179,12.4,Wisconsin,1
MIN,Minnesota Twins,63,162,14,6,3,2011,12,490.0,21.0,20.0,213,26.5,Minnesota,1
NYM,New York Mets,77,162,8,5,2,2011,5,747.0,-13.0,60.0,233,-6.2,New York,2
NYY,New York Yankees,97,162,49,40,27,2011,1,1700.0,6.0,4.0,427,25.7,New York,2
OAK,Oakland Athletics,74,162,23,15,9,2011,29,307.0,4.0,29.0,161,23.2,California,5
PHI,Philadelphia Phillies,102,162,14,7,2,2011,6,609.0,13.0,29.0,239,8.9,Pennsylvania,2
PIT,Pittsburgh Pirates,72,162,14,9,5,2011,30,304.0,5.0,42.0,160,26.4,Pennsylvania,2
SD,San Diego Padres,71,162,5,2,0,2011,19,406.0,0.0,49.0,159,37.2,California,5
SEA,Seattle Mariners,67,162,4,0,0,2011,15,449.0,2.0,15.0,204,9.9,Washington,1
SF,San Francisco Giants,86,162,22,23,6,2011,7,563.0,16.0,21.0,230,29.9,California,5
STL,St. Louis Cardinals,90,162,25,23,11,2011,11,518.0,6.0,53.0,207,19.8,Missouri,2
TB,Tampa Bay Rays,91,162,3,1,0,2011,28,331.0,5.0,35.0,166,6.8,Florida,2
TEX,Texas Rangers,96,162,5,2,0,2011,8,561.0,25.0,66.0,206,22.6,Texas,2
TOR,Toronto Blue Jays,81,162,5,2,2,2011,27,337.0,3.0,0.0,168,3.6,Toronto,1
WSH,Washington Nationals,80,161,1,1,0,2011,16,417.0,8.0,60.0,194,36.6,Washington DC,1
ARI,Arizona Diamondbacks,81,162,5,1,1,2012,23,447.0,13.0,39.0,186,27.2,Arizona,1
ATL,Atlanta Braves,94,162,22,18,3,2012,15,508.0,5.0,0.0,203,20.7,Georgia,1
BAL,Baltimore Orioles,93,162,12,7,3,2012,19,460.0,12.0,33.0,179,12.9,Maryland,1
BOS,Boston Red Sox,69,162,20,12,7,2012,3,1000.0,10.0,24.0,310,25.4,Massachusetts,1
CHC,Chicago Cubs,61,162,16,17,2,2012,4,879.0,14.0,66.0,266,28.1,Illinois,2
CHW,Chicago White Sox,85,162,9,6,3,2012,10,600.0,14.0,7.0,214,10.7,Illinois,2
CIN,Cincinnati Reds,97,162,14,10,5,2012,24,424.0,13.0,10.0,185,17.1,Ohio,2
COL,Colorado Rockies,64,162,3,1,0,2012,18,464.0,12.0,15.0,193,14.4,Colorado,1
DET,Detroit Tigers,88,162,14,11,4,2012,17,478.0,24.0,39.0,217,8.2,Michigan,1
HOU,Houston Astros,55,162,9,1,0,2012,13,549.0,16.0,41.0,196,24.3,Texas,2
KC,Kansas City Royals,72,162,7,2,1,2012,27,354.0,1.0,14.0,161,28.5,Missouri,2
LAA,Los Angeles Angels,89,162,10,1,1,2012,8,656.0,18.0,3.0,226,-1.2,California,5
LAD,Los Angeles Dodgers,86,162,26,25,6,2012,2,1400.0,75.0,41.0,230,1.2,California,5
MIA,Miami Marlins,69,162,2,2,2,2012,21,450.0,25.0,32.0,148,8.9,Florida,2
MIL,Milwaukee Brewers,83,162,4,1,0,2012,22,448.0,19.0,27.0,195,19.2,Wisconsin,1
MIN,Minnesota Twins,66,162,14,6,3,2012,14,510.0,4.0,20.0,213,16.6,Minnesota,1
NYM,New York Mets,74,162,8,5,2,2012,6,719.0,-4.0,69.0,225,-40.8,New York,2
NYY,New York Yankees,95,162,50,40,27,2012,1,1850.0,9.0,2.0,439,10.0,New York,2
