Acronimo,Altura,Anio_x,Anio_y,Anios_contrato,At-bats,At-bats_2,Bateos,Bateos_2,Cantidad de equipos,Cantidad_agentes_libres,Edad,Equipo,Equipo_anterior,Estado,Home-runs,Home-runs_2,Juegos,Juegos totales,Juegos_2,Jugador,OPS,OPS_2,Pennants won,Peso,Playoffs,Porcentaje_bateo,Porcentaje_bateo_2,Porcetnaje_juegos,Porcetnaje_juegos_2,Posicion,Promedio_victorias,RBI,RBI_2,Status,Sueldo,Sueldo_base,Sueldo_regular,TVS,TVS_2,Valor_contrato,Valor_contrato_total,Valor_promedio_contrato,Victorias,WAR,WAR_2,WS ganadas,ln_Sueldo,ln_Sueldo_base,ln_Sueldo_regular
TEX,6.5,2016,6,1,2,4,0,0,2,10,28,Texas Rangers,OAK,Texas,0,0,23,161,529,A.J. Griffin,0.0,0.0,2,230,8,0.0,0.0,0.142,0.020163999999999998,RP,0.5900621118012422,0,0,UFA,507500,507500,493633,0.0,0.0,507500,20165000,507500,95,0.93,0.8649000000000001,0,13.137251989898079,13.137251989898079,13.109547605092216
ATL,6.3,2016,6,1,247,61009,55,3025,1,13,39,Atlanta Braves,ATL,Georgia,2,4,81,160,6561,A.J. Pierzynski,0.559,0.31248100000000006,18,250,23,0.223,0.049729,0.503,0.253009,C,0.41875,23,529,UFA,3050000,2000000,3050000,0.0,0.0,3000000,19157500,3000000,67,-1.28,1.6384,3,14.930652148583594,14.508657738524219,14.930652148583594
LAA,6.3,2012,6,10,593,351649,159,25281,5,9,36,Los Angeles Angels,STL,California,31,961,152,161,23104,Albert Pujols,0.78,0.6084,1,235,10,0.268,0.07182400000000001,0.938,0.8798439999999998,DH,0.453416149068323,119,14161,UFA,25000000,25000000,25000000,20.37,414.93690000000004,240000000,12525000,24000000,73,1.29,1.6641000000000001,1,17.034386382832476,17.034386382832476,17.034386382832476
NYM,6.0,2016,6,1,234,54756,48,2304,2,9,32,New York Mets,SF,New York,6,36,130,161,16900,Alejandro De Aza,0.618,0.381924,5,195,9,0.205,0.04202499999999999,0.803,0.6448090000000001,LF,0.5403726708074534,25,625,UFA,5750000,5750000,5750000,4.25,18.0625,5750000,48757500,5750000,87,-0.38,0.1444,2,15.564710412773533,15.564710412773533,15.564710412773533
KC,6.1,2016,6,4,445,198025,98,9604,2,10,32,Kansas City Royals,KC,Missouri,17,289,128,161,16384,Alex Gordon,0.692,0.47886399999999996,4,225,9,0.22,0.0484,0.79,0.6241000000000001,LF,0.5031055900621118,40,1600,UFA,12000000,12000000,12000000,12.36,152.7696,72000000,186750000,18000000,81,0.91,0.8281000000000001,2,16.300417207752275,16.300417207752275,16.300417207752275
TB,6.2,2016,6,1,478,228484,115,13225,2,4,34,Tampa Bay Rays,CHW,Florida,6,36,145,161,21025,Alexei Ramirez,0.61,0.3721,1,180,4,0.241,0.058080999999999994,0.895,0.801025,SS,0.4161490683229814,48,2304,UFA,507500,507500,69325,5.07,25.704900000000002,4000000,5275000,4000000,67,-2.24,5.017600000000001,0,13.137251989898079,13.137251989898079,11.14656087048398
CIN,6.6,2016,6,1,14,196,1,1,2,8,35,Cincinnati Reds,DET,Ohio,0,0,15,161,225,Alfredo Simon,0.259,0.067081,10,267,15,0.071,0.0050409999999999995,0.093,0.008649,SP,0.422360248447205,1,1,UFA,2000000,2000000,2000000,0.0,0.0,2000000,3400000,2000000,68,-2.14,4.5796,5,14.508657738524219,14.508657738524219,14.508657738524219
SF,6.2,2013,6,4,495,245025,137,18769,5,8,34,San Francisco Giants,SF,California,12,144,129,161,16641,Angel Pagan,0.75,0.5625,23,202,26,0.277,0.07672900000000002,0.796,0.6336160000000001,LF,0.5341614906832298,55,3025,UFA,11250000,10000000,11250000,39.22,1538.2084,40000000,251000000,10000000,86,1.21,1.4641,8,16.235878686614704,16.11809565095832,16.235878686614704
DET,6.0,2013,6,5,6,36,0,0,1,11,32,Detroit Tigers,DET,Michigan,0,0,35,160,1225,Anibal Sanchez,0.0,0.0,11,205,16,0.0,0.0,0.217,0.047089,RP,0.5375,0,0,UFA,16800000,16000000,16800000,0.0,0.0,80000000,272257500,16000000,86,-0.96,0.9216,4,16.636889444373487,16.588099280204055,16.636889444373487
NYM,6.0,2016,6,2,521,271441,146,21316,2,9,30,New York Mets,TB,New York,24,576,141,161,19881,Asdrubal Cabrera,0.816,0.6658559999999999,5,235,9,0.28,0.07840000000000001,0.87,0.7569,2B,0.5403726708074534,62,3844,UFA,8250000,8250000,8250000,58.89,3468.0321,18500000,48757500,9250000,87,3.34,11.1556,2,15.925723758310864,15.925723758310864,15.925723758310864
CHW,6.1,2016,6,1,181,32761,46,2116,2,13,29,Chicago White Sox,CHC,Illinois,0,0,54,161,2916,Austin Jackson,0.661,0.43692100000000006,6,198,9,0.254,0.064516,0.333,0.11088900000000002,CF,0.484472049689441,18,324,UFA,5000000,5000000,5000000,0.0,0.0,5000000,17650000,5000000,78,-0.11,0.0121,3,15.424948470398375,15.424948470398375,15.424948470398375
CHC,6.3,2016,6,4,523,273529,142,20164,2,15,35,Chicago Cubs,KC,Illinois,18,324,147,160,21609,Ben Zobrist,0.831,0.690561,17,210,18,0.272,0.07398400000000001,0.907,0.8226490000000001,2B,0.6375,76,5776,UFA,10500000,10000000,10500000,73.71,5433.164099999999,56000000,291277500,14000000,102,3.68,13.5424,3,16.166885815127753,16.11809565095832,16.166885815127753
NYY,6.0,2015,6,3,250,62500,71,5041,2,4,30,New York Yankees,KC,New York,5,25,97,161,9409,Billy Butler,0.752,0.565504,40,260,52,0.284,0.08065599999999999,0.599,0.358801,DH,0.5217391304347826,35,1225,UFA,507500,507500,49914,0.0,0.0,30000000,1049914,10000000,84,-0.03,0.0009,27,13.137251989898079,13.137251989898079,10.818056803511944
