Jugador,Anio_t,Anios_contrato_t,Valor_contrato_t,Valor_promedio_contrato_t,Juegos_t,Juegos_iniciados_t,Inning_pitched_t,Bateos_pitcher_t,Carreras_t,Carreras_ganadas_t,Walks_t,Strike_outs_t,Wins_t,Losses_t,Saves_t,WHIP_t,ERA_t,Equipo_t,ln_Sueldo_base_t,ln_Sueldo_t,ln_Sueldo_regular_t,Dominio_t,Control_t,Comando_t,Juegos_2_t,Juegos_iniciados_2_t,Inning_pitched_2_t,Bateos_pitcher_2_t,Carreras_2_t,Carreras_ganadas_2_t,Walks_2_t,Strike_outs_2_t,Wins_2_t,Losses_2_t,Saves_2_t,WHIP_2_t,ERA_2_t,Control_2_t,Comando_2_t,Anio_t_1,Anios_contrato_t_1,Valor_contrato_t_1,Valor_promedio_contrato_t_1,Juegos_t_1,Juegos_iniciados_t_1,Inning_pitched_t_1,Bateos_pitcher_t_1,Carreras_t_1,Carreras_ganadas_t_1,Walks_t_1,Strike_outs_t_1,Wins_t_1,Losses_t_1,Saves_t_1,WHIP_t_1,ERA_t_1,Equipo_t_1,Dominio_t_1,Control_t_1,Comando_t_1,Juegos_2_t_1,Juegos_iniciados_2_t_1,Inning_pitched_2_t_1,Bateos_pitcher_2_t_1,Carreras_2_t_1,Carreras_ganadas_2_t_1,Walks_2_t_1,Strike_outs_2_t_1,Wins_2_t_1,Losses_2_t_1,Saves_2_t_1,WHIP_2_t_1,ERA_2_t_1,Control_2_t_1,Comando_2_t_1
Blake Treinen,11,2,17500000,8750000,72,0,72.3,46,20,16,25,85,6,5,7,0.98,1.99,LAD,15.60727002719233,15.89495209964411,15.89495209964411,0.1306285538650684,0.0384201629014907,3.4,5184,0,5227.29,2116,400,256,625,7225,36,25,49,0.9604,3.9601,0.001476108917377,11.56,10,1,10000000,10000000,27,0,25.7,23,15,11,8,22,3,3,1,1.21,3.86,LAD,0.095114569822741,0.0345871162991785,2.75,729,0,660.49,529,225,121,64,484,9,9,1,1.4641,14.8996,0.0011962686138929,7.5625
Brad Brach,10,2,2100000,1050000,14,0,12.3,8,8,8,14,14,1,0,0,1.78,5.84,NYM,13.652991628466498,13.790192749979985,12.659740443691337,0.1264679313459801,0.1264679313459801,1.0,196,0,151.29000000000002,64,64,64,196,196,1,0,0,3.1684,34.105599999999995,0.0159941376589315,1.0,9,0,0,0,59,0,54.3,57,33,33,31,60,5,4,0,1.62,5.47,NYM,0.1227747084100675,0.0634335993452015,1.935483870967742,3481,0,2948.49,3249,1089,1089,961,3600,25,16,0,2.6244000000000005,29.9209,0.0040238215258875,3.746097814776275
Brandon Morrow,6,1,0,0,18,0,16.0,19,4,3,3,8,1,0,0,1.38,1.69,SD,13.137251989898079,13.31710745419684,11.839708051043925,0.0555555555555555,0.0208333333333333,2.6666666666666665,324,0,256.0,361,16,9,9,64,1,0,0,1.9044,2.8561,0.0004340277777777,7.111111111111111,5,1,2500000,2500000,5,5,33.0,29,10,10,7,23,2,0,0,1.09,2.73,SD,0.0774410774410774,0.0235690235690235,3.2857142857142856,25,25,1089.0,841,100,100,49,529,4,0,0,1.1881000000000002,7.4529,0.0005554988719971,10.795918367346935
Brian Duensing,7,1,2000000,2000000,68,0,62.3,58,19,19,18,61,1,1,0,1.22,2.74,CHC,14.508657738524219,14.508657738524219,14.508657738524219,0.108792580702693,0.0321027287319422,3.388888888888889,4624,0,3881.29,3364,361,361,324,3721,1,1,0,1.4884,7.507600000000001,0.0010305851920366,11.484567901234568,6,1,0,0,14,0,13.3,13,6,6,3,10,1,0,0,1.2,4.05,BAL,0.0835421888053467,0.025062656641604,3.333333333333333,196,0,176.89,169,36,36,9,100,1,0,0,1.44,16.4025,0.0006281367579349,11.111111111111112
Brian Duensing,8,2,7000000,3500000,49,0,37.7,42,33,32,29,24,3,0,1,1.88,7.65,CHC,15.068273526459642,15.068273526459642,15.068273526459642,0.0707338638373121,0.0854700854700854,0.8275862068965517,2401,0,1421.2900000000002,1764,1089,1024,841,576,9,0,1,3.5344,58.52250000000001,0.0073051355102637,0.6848989298454221,7,1,2000000,2000000,68,0,62.3,58,19,19,18,61,1,1,0,1.22,2.74,CHC,0.108792580702693,0.0321027287319422,3.388888888888889,4624,0,3881.29,3364,361,361,324,3721,1,1,0,1.4884,7.507600000000001,0.0010305851920366,11.484567901234568
Brian Wilson,4,2,19000000,9500000,61,0,48.3,49,26,25,29,54,2,4,1,1.61,4.66,LAD,16.11809565095832,16.11809565095832,16.11809565095832,0.124223602484472,0.0667126754083275,1.862068965517241,3721,0,2332.89,2401,676,625,841,2916,4,16,1,2.5921000000000003,21.7156,0.0044505810601368,3.467300832342449,3,1,1000000,1000000,18,0,13.7,8,1,1,4,13,2,1,0,0.88,0.66,LAD,0.105433901054339,0.032441200324412,3.25,324,0,187.69,64,1,1,16,169,4,1,0,0.7744,0.4356,0.0010524314784886,10.5625
Carlos Villanueva,6,1,1500000,1500000,51,0,74.0,89,50,49,14,61,2,2,1,1.39,5.96,SD,14.22097566607244,14.22097566607244,14.22097566607244,0.0915915915915916,0.021021021021021,4.357142857142857,2601,0,5476.0,7921,2500,2401,196,3721,4,4,1,1.9321,35.5216,0.0004418833247662,18.984693877551017,5,1,2000000,2000000,35,0,61.0,50,21,20,21,55,4,3,2,1.16,2.95,STL,0.1001821493624772,0.0382513661202185,2.619047619047619,1225,0,3721.0,2500,441,400,441,3025,16,9,4,1.3456,8.7025,0.001463167010063,6.859410430839002
Chad Qualls,4,2,6000000,3000000,58,0,51.3,54,22,19,5,43,1,5,19,1.15,3.33,HOU,14.827111469642754,14.827111469642754,14.827111469642754,0.0931340697422568,0.0108295429932856,8.6,3364,0,2631.69,2916,484,361,25,1849,1,25,361,1.3224999999999998,11.0889,0.0001172790014434,73.96,3,1,1150000,1150000,66,0,62.0,57,18,18,19,49,5,2,0,1.23,2.61,MIA,0.0878136200716845,0.0340501792114695,2.5789473684210527,4356,0,3844.0,3249,324,324,361,2401,25,4,0,1.5129,6.812099999999999,0.0011594147043331,6.650969529085873
Chris Capuano,6,1,1500000,1500000,16,0,24.0,23,11,11,15,27,1,1,0,1.58,4.13,MIL,14.22097566607244,14.22097566607244,14.22097566607244,0.125,0.0694444444444444,1.8,256,0,576.0,529,121,121,225,729,1,1,0,2.4964000000000004,17.0569,0.0048225308641975,3.24,5,1,5000000,5000000,22,4,40.7,52,38,36,22,38,0,4,0,1.82,7.97,NYY,0.1037401037401037,0.06006006006006,1.7272727272727273,484,16,1656.4900000000002,2704,1444,1296,484,1444,0,16,0,3.3124,63.5209,0.003607210814418,2.9834710743801653
Chris Capuano,5,1,5000000,5000000,22,4,40.7,52,38,36,22,38,0,4,0,1.82,7.97,NYY,15.424948470398375,15.424948470398375,15.424948470398375,0.1037401037401037,0.06006006006006,1.7272727272727273,484,16,1656.4900000000002,2704,1444,1296,484,1444,0,16,0,3.3124,63.5209,0.003607210814418,2.9834710743801653,4,1,2250000,2250000,40,12,97.3,101,51,47,34,84,3,4,0,1.39,4.35,NYY,0.0959232613908873,0.0388260819915496,2.4705882352941178,1600,144,9467.29,10201,2601,2209,1156,7056,9,16,0,1.9321,18.9225,0.0015074646428145,6.103806228373703
Chris Young,6,2,13000000,6500000,34,13,88.2,104,63,60,43,94,3,9,1,1.67,6.12,KC,15.2624295409006,15.319587954740548,15.319587954740548,0.1184177374653565,0.0541698160745779,2.186046511627907,1156,169,7779.240000000001,10816,3969,3600,1849,8836,9,81,1,2.7889,37.4544,0.0029343689735536,4.77879935100054,5,1,675000,675000,33,18,121.7,91,44,42,42,80,11,6,0,1.09,3.11,NYY,0.0730393499497854,0.0383456587236373,1.9047619047619049,1089,324,14810.89,8281,1936,1764,1764,6400,121,36,0,1.1881000000000002,9.6721,0.0014703895429496,3.6281179138321993
Chris Young,5,1,675000,675000,33,18,121.7,91,44,42,42,80,11,6,0,1.09,3.11,KC,13.422467969854667,13.422467969854667,13.422467969854667,0.0730393499497854,0.0383456587236373,1.9047619047619049,1089,324,14810.89,8281,1936,1764,1764,6400,121,36,0,1.1881000000000002,9.6721,0.0014703895429496,3.6281179138321993,4,1,7250000,7250000,30,29,165.0,143,70,67,60,108,12,9,0,1.23,3.66,NYY,0.0727272727272727,0.0404040404040404,1.8,900,841,27225.0,20449,4900,4489,3600,11664,144,81,0,1.5129,13.395600000000002,0.0016324864809713,3.24
Chris Young,5,1,675000,675000,33,18,121.7,91,44,42,42,80,11,6,0,1.09,3.11,NYY,14.73180128983843,14.73180128983843,14.73180128983843,0.0730393499497854,0.0383456587236373,1.9047619047619049,1089,324,14810.89,8281,1936,1764,1764,6400,121,36,0,1.1881000000000002,9.6721,0.0014703895429496,3.6281179138321993,4,1,7250000,7250000,30,29,165.0,143,70,67,60,108,12,9,0,1.23,3.66,NYY,0.0727272727272727,0.0404040404040404,1.8,900,841,27225.0,20449,4900,4489,3600,11664,144,81,0,1.5129,13.395600000000002,0.0016324864809713,3.24
Chris Young,5,1,675000,675000,33,18,121.7,91,44,42,42,80,11,6,0,1.09,3.11,NYY,14.73180128983843,14.73180128983843,14.73180128983843,0.0730393499497854,0.0383456587236373,1.9047619047619049,1089,324,14810.89,8281,1936,1764,1764,6400,121,36,0,1.1881000000000002,9.6721,0.0014703895429496,3.6281179138321993,4,1,7250000,7250000,30,29,165.0,143,70,67,60,108,12,9,0,1.23,3.66,SEA,0.0727272727272727,0.0404040404040404,1.8,900,841,27225.0,20449,4900,4489,3600,11664,144,81,0,1.5129,13.395600000000002,0.0016324864809713,3.24
Chris Young,6,2,13000000,6500000,34,13,88.2,104,63,60,43,94,3,9,1,1.67,6.12,KC,15.2624295409006,15.319587954740548,15.319587954740548,0.1184177374653565,0.0541698160745779,2.186046511627907,1156,169,7779.240000000001,10816,3969,3600,1849,8836,9,81,1,2.7889,37.4544,0.0029343689735536,4.77879935100054,5,1,675000,675000,33,18,121.7,91,44,42,42,80,11,6,0,1.09,3.11,KC,0.0730393499497854,0.0383456587236373,1.9047619047619049,1089,324,14810.89,8281,1936,1764,1764,6400,121,36,0,1.1881000000000002,9.6721,0.0014703895429496,3.6281179138321993
Chris Young,6,2,11500000,5750000,34,13,88.2,104,63,60,43,94,3,9,1,1.67,6.12,BOS,15.687312734865866,15.687312734865866,15.687312734865866,0.1184177374653565,0.0541698160745779,2.186046511627907,1156,169,7779.240000000001,10816,3969,3600,1849,8836,9,81,1,2.7889,37.4544,0.0029343689735536,4.77879935100054,5,1,675000,675000,33,18,121.7,91,44,42,42,80,11,6,0,1.09,3.11,NYY,0.0730393499497854,0.0383456587236373,1.9047619047619049,1089,324,14810.89,8281,1936,1764,1764,6400,121,36,0,1.1881000000000002,9.6721,0.0014703895429496,3.6281179138321993
