Jugador,Anio_t,Anios_contrato_t,Valor_contrato_t,Valor_promedio_contrato_t,Juegos_t,Porcetnaje_juegos_t,At_bats_t,Bateos_t,Home_runs_t,RBI_t,Porcentaje_bateo_t,OPS_t,ln_Sueldo_base_t,ln_Sueldo_t,ln_Sueldo_regular_t,Juegos_2_t,Porcetnaje_juegos_2_t,At_bats_2_t,Bateos_2_t,Home_runs_2_t,RBI_2_t,Porcentaje_bateo_2_t,OPS_2_t,Anio_t_1,Anios_contrato_t_1,Valor_contrato_t_1,Valor_promedio_contrato_t_1,Juegos_t_1,Porcetnaje_juegos_t_1,At_bats_t_1,Bateos_t_1,Home_runs_t_1,RBI_t_1,Porcentaje_bateo_t_1,OPS_t_1,Juegos_2_t_1,Porcetnaje_juegos_2_t_1,At_bats_2_t_1,Bateos_2_t_1,Home_runs_2_t_1,RBI_2_t_1,Porcentaje_bateo_2_t_1,OPS_2_t_1
Adeiny Hechavarria,10,1,1000000,1000000,27,0.45,59,15,0,2,0.254,0.607,13.815510557964274,13.815510557964274,12.822257784953491,729,0.2025,3481,225,0,4,0.064516,0.3684489999999999,9,0,0,0,84,0.519,203,49,9,33,0.241,0.742,7056,0.269361,41209,2401,81,1089,0.0580809999999999,0.5505639999999999
Asdrubal Cabrera,11,1,1750000,1750000,110,0.679,309,71,7,42,0.23,0.681,14.375126345899696,14.375126345899696,12.76033986965099,12100,0.4610410000000001,95481,5041,49,1764,0.0529,0.4637610000000001,10,1,2500000,2500000,52,0.867,190,46,8,31,0.242,0.753,2704,0.7516889999999999,36100,2116,64,961,0.058564,0.567009
Asdrubal Cabrera,10,1,2500000,2500000,52,0.867,190,46,8,31,0.242,0.753,14.73180128983843,14.803191285925102,13.92070445974278,2704,0.7516889999999999,36100,2116,64,961,0.058564,0.567009,9,1,3500000,3500000,132,0.815,447,116,18,91,0.26,0.783,17424,0.664225,199809,13456,324,8281,0.0676,0.613089
Asdrubal Cabrera,6,2,18500000,9250000,141,0.87,521,146,24,62,0.28,0.816,15.925723758310864,15.925723758310864,15.925723758310864,19881,0.7569,271441,21316,576,3844,0.0784,0.6658559999999999,5,1,7500000,7500000,143,0.883,505,134,15,58,0.265,0.744,20449,0.779689,255025,17956,225,3364,0.070225,0.553536
Avisail Garcia,10,2,20000000,10000000,53,0.883,181,43,2,15,0.238,0.659,15.761420707019587,15.796512026830857,14.860227221749717,2809,0.779689,32761,1849,4,225,0.0566439999999999,0.434281,9,1,3500000,3500000,126,0.778,489,138,20,72,0.282,0.796,15876,0.605284,239121,19044,400,5184,0.0795239999999999,0.6336160000000001
Billy Butler,6,1,49914,49914,97,0.599,250,71,5,35,0.284,0.752,13.137251989898079,13.137251989898079,10.818056803511944,9409,0.358801,62500,5041,25,1225,0.0806559999999999,0.565504,5,3,30000000,10000000,151,0.932,538,135,15,65,0.251,0.713,22801,0.8686240000000001,289444,18225,225,4225,0.063001,0.508369
Brett Gardner,11,2,5150000,2575000,140,0.864,387,86,10,39,0.222,0.689,14.430696197054507,14.862829552244833,14.862829552244833,19600,0.7464959999999999,149769,7396,100,1521,0.049284,0.4747209999999999,10,1,12500000,12500000,49,0.817,130,29,5,15,0.223,0.747,2401,0.6674889999999999,16900,841,25,225,0.049729,0.558009
Carlos Gomez,8,1,4000000,4000000,118,0.728,360,75,9,32,0.208,0.634,15.201804919084164,15.29711509888849,15.29711509888849,13924,0.529984,129600,5625,81,1024,0.043264,0.401956,7,1,11500000,11500000,105,0.648,368,94,17,51,0.255,0.804,11025,0.419904,135424,8836,289,2601,0.065025,0.6464160000000001
Carlos Pena,3,1,2900000,2900000,89,0.549,280,58,8,25,0.207,0.668,13.102160670086809,13.102160670086809,11.224869989478876,7921,0.301401,78400,3364,64,625,0.042849,0.446224,2,1,7250000,7250000,160,0.988,497,98,19,61,0.197,0.684,25600,0.976144,247009,9604,361,3721,0.038809,0.467856
Chase Utley,8,2,2000000,1000000,87,0.534,164,35,1,14,0.213,0.61,13.815510557964274,13.815510557964274,13.815510557964274,7569,0.285156,26896,1225,1,196,0.045369,0.3721,7,1,2000000,2000000,127,0.784,309,73,8,34,0.236,0.728,16129,0.6146560000000001,95481,5329,64,1156,0.0556959999999999,0.529984
